t,F
4.965300,159.881000
4.966100,162.027000
4.966900,153.327000
4.967700,145.952000
4.968500,146.059000
4.969300,147.818000
4.970100,149.937000
4.970900,153.409000
4.971700,155.012000
4.972500,155.089000
4.973300,155.426000
4.974100,157.918000
4.974900,161.357000
4.975700,156.740000
4.976500,149.392000
4.977300,142.526000
4.978100,143.435000
4.978900,147.225000
4.979700,151.764000
4.980500,156.188000
4.981300,160.162000
4.982100,159.333000
4.982900,158.651000
4.983700,158.521000
4.984500,160.015000
4.985300,162.020000
4.986100,163.461000
4.987000,154.159000
4.987700,148.544000
4.988600,149.363000
4.989300,150.625000
4.990200,152.183000
4.991000,156.453000
4.991800,158.020000
4.992600,157.835000
4.993400,157.641000
4.994200,160.428000
4.995000,165.152000
4.995800,160.875000
4.996600,160.320000
4.997400,158.336000
4.998200,155.903000
4.999000,152.260000
4.999800,150.775000
5.000600,152.449000
5.001400,154.003000
5.002200,153.865000
5.003000,153.714000
5.003800,153.501000
5.004600,155.202000
5.005400,157.113000
5.006200,158.443000
5.007000,149.825000
5.007800,147.011000
5.008600,154.129000
5.009400,163.996000
5.010200,169.317000
5.011000,174.713000
5.011800,175.426000
5.012600,168.146000
5.013400,158.294000
5.014200,157.730000
5.015000,160.068000
5.015800,156.236000
5.016600,156.904000
5.017400,157.649000
5.018200,157.023000
5.019000,153.535000
5.019800,151.621000
5.020600,153.290000
5.021400,155.770000
5.022200,155.197000
5.023000,155.464000
5.023800,155.182000
5.024600,156.323000
5.025400,157.734000
5.026200,153.848000
5.027000,136.890000
5.027800,132.030000
5.028600,138.545000
5.029400,147.756000
5.030300,152.049000
5.031100,156.624000
5.031800,158.738000
5.032700,159.415000
5.033500,159.374000
5.034300,162.455000
5.035100,166.017000
5.035900,161.462000
5.036700,161.469000
5.037500,161.944000
5.038300,160.295000
5.039100,157.781000
5.039900,157.167000
5.040700,158.797000
5.041500,159.777000
5.042300,159.263000
5.043100,159.140000
5.043900,159.108000
5.044700,161.298000
5.045500,162.977000
5.046300,163.854000
5.047100,150.393000
5.047900,145.495000
5.048700,147.577000
5.049500,150.047000
5.050300,152.379000
5.051100,155.444000
5.051900,155.008000
5.052700,154.547000
5.053500,154.545000
5.054300,157.135000
5.055100,158.940000
5.055900,155.391000
5.056700,155.909000
5.057500,158.094000
5.058300,160.560000
5.059100,165.441000
5.059900,171.656000
5.060700,176.977000
5.061500,178.378000
5.062300,173.152000
5.063100,162.108000
5.063900,155.757000
5.064700,156.421000
5.065500,158.045000
5.066300,157.317000
5.067100,146.984000
5.067900,144.273000
5.068700,146.439000
5.069500,148.641000
5.070300,150.786000
5.071200,154.445000
5.072000,155.988000
5.072700,156.180000
5.073600,155.580000
5.074400,159.520000
5.075200,160.337000
5.076000,152.682000
5.076800,144.966000
5.077600,142.444000
5.078400,142.770000
5.079200,146.515000
5.080000,151.913000
5.080800,157.911000
5.081600,159.771000
5.082400,158.411000
5.083200,157.989000
5.084000,157.844000
5.084800,159.628000
5.085600,161.738000
5.086400,160.722000
5.087200,150.757000
5.088000,148.835000
5.088800,150.249000
5.089600,151.632000
5.090400,154.110000
5.091200,158.194000
5.092000,159.258000
5.092800,159.116000
5.093600,159.350000
5.094400,162.979000
5.095200,163.929000
5.096000,161.108000
5.096800,160.194000
5.097600,158.892000
5.098400,156.689000
