t,F
5.011200,159.999000
5.012000,158.581000
5.012700,158.287000
5.013600,162.124000
5.014400,162.100000
5.015200,159.884000
5.016000,160.062000
5.016800,161.688000
5.017600,163.397000
5.018400,162.606000
5.019200,163.815000
5.020000,153.983000
5.020800,150.181000
5.021600,152.967000
5.022400,154.261000
5.024800,156.255000
5.025600,157.230000
5.026400,158.087000
5.027200,165.709000
5.028000,164.455000
5.028800,158.674000
5.029600,159.229000
5.030400,158.994000
5.031200,156.395000
5.032000,157.021000
5.032800,163.651000
5.033600,175.343000
5.034400,179.118000
5.035200,179.382000
5.036000,178.932000
5.036800,175.078000
5.037600,164.598000
5.038400,161.678000
5.039200,162.561000
5.040000,151.394000
5.040800,148.849000
5.041600,153.466000
5.042400,154.089000
5.043200,155.562000
5.044000,157.051000
5.044800,156.674000
5.045600,155.998000
5.046400,157.711000
5.047200,164.421000
5.048000,162.581000
5.048800,158.617000
5.049600,158.929000
5.050400,153.549000
5.051200,142.146000
5.052000,135.621000
5.052800,137.656000
5.053600,149.923000
5.054400,158.002000
5.055200,160.592000
5.056000,161.352000
5.056800,162.083000
5.057600,164.664000
5.058400,163.674000
5.059200,162.834000
5.060000,152.878000
5.060900,152.434000
5.061700,157.091000
5.062400,157.032000
5.063300,157.530000
5.064100,158.824000
5.064900,159.375000
5.065700,159.529000
5.066500,161.192000
5.067300,169.343000
5.068100,166.592000
5.068900,161.586000
5.069700,162.181000
5.070500,162.517000
5.071300,158.349000
5.072100,154.928000
5.072900,155.287000
5.073700,157.894000
5.074500,157.670000
5.075300,157.039000
5.076100,157.107000
5.076900,157.901000
5.077700,159.048000
5.078500,160.038000
5.079300,159.517000
5.080100,148.249000
5.080900,146.232000
5.081700,152.456000
5.082500,159.120000
5.083300,168.329000
5.084100,176.842000
5.084900,178.378000
5.085700,178.212000
5.086500,178.775000
5.087300,181.297000
5.088100,170.654000
5.088900,158.796000
5.089700,158.768000
5.090500,159.033000
5.091300,154.407000
5.092100,151.757000
5.092900,153.075000
5.093700,155.589000
5.094500,155.797000
5.095300,156.095000
5.096100,156.737000
5.096900,157.453000
5.097700,157.620000
5.098500,159.487000
5.099300,160.015000
5.100100,146.848000
5.100900,138.142000
5.101700,137.690000
