t,F
5.017500,158.418000
5.018300,157.914000
5.019100,158.025000
5.019900,159.779000
5.020700,167.410000
5.021500,179.250000
5.022300,178.138000
5.023100,167.544000
5.023900,167.207000
5.024700,175.327000
5.025500,182.151000
5.026300,178.944000
5.027100,172.494000
5.027900,162.786000
5.028700,157.966000
5.029500,160.927000
5.030300,165.486000
5.031100,159.858000
5.031900,158.468000
5.032700,159.100000
5.033500,157.756000
5.034300,155.506000
5.035100,153.667000
5.035900,154.690000
5.036700,157.659000
5.037500,155.100000
5.038300,148.767000
5.039100,142.437000
5.039900,143.835000
5.040700,141.438000
5.041500,145.654000
5.042300,151.280000
5.043100,147.719000
5.043900,150.503000
5.044700,159.738000
5.045500,164.168000
5.046300,161.238000
5.047100,160.518000
5.047900,159.881000
5.048700,159.356000
5.049500,163.990000
5.050300,168.770000
5.051100,161.342000
5.051900,159.774000
5.052700,159.584000
5.053500,160.081000
5.054300,158.373000
5.055100,157.125000
5.055900,159.026000
5.056700,160.557000
5.057500,159.360000
5.058300,158.940000
5.059100,157.579000
5.059900,159.486000
5.060700,160.513000
5.061500,163.562000
5.062300,158.266000
5.063100,148.738000
5.063900,150.098000
5.064700,157.943000
5.065500,161.139000
5.066300,158.763000
5.067200,158.394000
5.067900,158.165000
5.068700,158.054000
5.069500,163.827000
5.070300,168.398000
5.071200,173.799000
5.072000,179.565000
5.072800,181.604000
5.073600,183.973000
5.074300,179.295000
5.075200,175.707000
5.076000,170.011000
5.076800,162.257000
5.077600,158.191000
5.078400,157.568000
5.079200,157.476000
5.080000,158.392000
5.080800,159.086000
5.081600,162.446000
5.082400,155.343000
5.083200,147.798000
5.084000,150.430000
5.084800,159.458000
5.085600,160.690000
5.086400,157.437000
5.087200,157.327000
5.088000,153.179000
5.088800,144.699000
5.089600,149.267000
5.090400,153.385000
5.091200,154.633000
5.092000,160.568000
5.092800,163.373000
5.093600,164.263000
5.094400,160.203000
5.095200,157.938000
5.096000,159.640000
5.096800,161.531000
5.097600,160.247000
5.098400,159.906000
5.099200,160.508000
5.100000,160.989000
5.100800,162.017000
5.101600,164.783000
5.102400,156.532000
5.103200,149.664000
5.104000,153.155000
5.104800,161.662000
5.105600,162.351000
5.106400,159.880000
5.107200,159.381000
5.108000,159.534000
5.108800,158.548000
5.109600,162.365000
5.110400,163.271000
5.111200,158.382000
5.112000,157.279000
5.112800,158.005000
5.113600,158.529000
5.114400,155.075000
5.115200,153.787000
5.116000,155.644000
5.116800,156.648000
5.117600,157.078000
5.118400,157.048000
5.119200,158.244000
5.120000,162.980000
5.120800,171.806000
5.121600,180.216000
5.122400,171.867000
5.123200,165.306000
5.124000,166.882000
5.124800,166.303000
5.125600,159.632000
5.126400,157.258000
5.127200,156.811000
5.128000,157.184000
5.128800,158.488000
5.129600,166.069000
5.130400,166.134000
5.131200,160.155000
5.132000,159.509000
5.132800,159.861000
5.133600,162.273000
5.134400,158.076000
5.135200,156.115000
5.136000,156.888000
5.136800,157.321000
5.137600,154.829000
5.138400,146.519000
5.139200,142.562000
5.140000,145.384000
5.140800,152.790000
5.141600,162.729000
5.142400,156.073000
5.143200,151.492000
5.144000,153.461000
5.144800,162.097000
5.145600,163.811000
5.146400,161.221000
5.147200,161.003000
5.148000,160.864000
5.148900,161.144000
5.149600,165.786000
5.150400,167.095000
5.151200,161.800000
5.152100,162.646000
5.152900,163.670000
5.153700,163.463000
5.154500,160.138000
5.155300,157.209000
5.156100,159.461000
5.156900,160.124000
5.157700,160.533000
5.158500,159.356000
5.159300,157.180000
5.160100,159.204000
5.160900,159.523000
5.161700,160.846000
5.162500,151.288000
5.163300,147.688000
5.164100,151.677000
5.164900,158.502000
5.165700,159.198000
5.166500,156.834000
5.167300,155.718000
5.168100,155.445000
5.168900,157.726000
5.169700,167.884000
5.170500,171.152000
5.171300,176.258000
5.172100,179.360000
5.172900,180.869000
5.173700,178.412000
5.174500,166.681000
5.175300,158.383000
5.176100,158.186000
5.176900,157.459000
5.177700,156.477000
5.178500,156.551000
5.179300,157.484000
5.180100,158.716000
5.180900,158.773000
5.181700,159.501000
5.182500,149.971000
5.183300,146.894000
5.184100,152.759000
5.184900,160.925000
5.185700,158.698000
5.186500,156.525000
5.187300,155.517000
5.188100,149.098000
5.188900,144.178000
5.189700,145.851000
5.190500,140.879000
5.191300,141.379000
5.192100,148.806000
5.192900,159.312000
5.193700,163.262000
5.194500,160.032000
5.195300,160.277000
5.196100,163.142000
5.196900,162.487000
5.197700,161.520000
5.198500,160.983000
5.199300,162.068000
5.200100,164.056000
5.200900,163.903000
5.201700,163.440000
5.202500,153.364000
5.203300,150.546000
5.204100,158.271000
5.204900,167.561000
5.205700,162.761000
5.206500,160.989000
5.207300,161.011000
5.208100,160.404000
5.208900,160.870000
5.209700,168.028000
5.210500,163.344000
5.211300,160.537000
5.212100,160.072000
5.212900,160.710000
5.213700,159.878000
5.214500,156.760000
5.215300,156.884000
5.216100,158.243000
5.216900,158.239000
5.217700,158.590000
5.218500,158.558000
5.219300,160.433000
5.220100,168.334000
5.220900,178.445000
5.221700,180.815000
5.222500,169.270000
5.223300,167.874000
5.224100,174.233000
5.224900,179.988000
5.225700,171.609000
5.226500,161.290000
5.227300,157.911000
5.228100,157.133000
5.228900,160.034000
5.229700,167.108000
5.230500,161.313000
5.231400,157.928000
5.232200,158.570000
5.233000,160.945000
5.233800,159.058000
5.234600,153.851000
5.235400,153.773000
5.236200,156.262000
5.237000,156.060000
5.237800,151.851000
5.238600,143.945000
5.239400,143.087000
5.240200,141.416000
5.241000,141.502000
5.241800,142.030000
5.242600,133.661000
5.243400,131.328000
5.244200,134.104000
5.245000,147.281000
5.245800,154.733000
5.246600,157.306000
5.247400,159.428000
5.248200,160.375000
5.249000,164.466000
5.249800,170.730000
5.250600,163.705000
5.251400,160.916000
5.252200,162.034000
5.253000,163.631000
5.253800,161.696000
5.254600,158.565000
5.255400,158.484000
5.256200,159.708000
5.257000,159.875000
5.257800,160.387000
5.258600,159.690000
5.259400,159.391000
5.260200,160.082000
5.261000,162.840000
5.261800,160.163000
5.262600,149.955000
5.263400,150.137000
5.264200,156.894000
5.265000,160.383000
5.265800,158.501000
5.266600,158.107000
5.267400,158.516000
5.268200,158.792000
5.269000,161.919000
5.269800,169.223000
5.270600,174.270000
5.271400,179.051000
5.272200,180.881000
5.273000,182.039000
5.273800,178.838000
5.274600,176.863000
5.275400,179.357000
5.276200,182.112000
5.277000,179.794000
5.277800,179.009000
5.278600,175.866000
5.279400,165.462000
5.280200,159.369000
5.281000,162.985000
5.281800,159.090000
5.282600,149.146000
5.283400,149.678000
5.284200,157.459000
5.285000,160.974000
5.285800,158.284000
5.286600,157.628000
5.287400,155.595000
5.288200,146.992000
5.289000,139.842000
5.289800,145.369000
5.290600,153.478000
5.291400,159.163000
5.292200,161.736000
5.293000,160.634000
5.293800,156.838000
5.294600,157.338000
5.295400,159.161000
5.296200,161.280000
5.297000,160.694000
5.297800,160.462000
5.298600,161.057000
5.299400,163.214000
5.300200,161.659000
5.301000,163.861000
5.301800,157.715000
5.302600,150.792000
5.303400,153.289000
5.304200,160.790000
5.305000,163.382000
5.305800,160.673000
5.306600,160.256000
5.307400,159.836000
5.308200,159.443000
5.309000,162.442000
5.309800,165.893000
5.310700,160.421000
5.311500,158.375000
5.312300,159.866000
5.313100,161.867000
5.313900,157.640000
5.314700,154.481000
5.315500,156.408000
5.316200,158.877000
5.317100,157.805000
5.317800,157.144000
5.318700,157.427000
5.319500,160.793000
5.320300,168.985000
5.321100,180.648000
5.321900,174.447000
5.322700,166.202000
5.323500,165.998000
5.324300,165.061000
5.325100,161.061000
5.325900,158.091000
5.326700,158.041000
5.327500,157.979000
5.328300,158.434000
5.329100,163.499000
5.329900,164.520000
5.330700,159.952000
5.331500,160.015000
5.332300,160.470000
5.333100,160.917000
5.333900,156.205000
5.334700,154.542000
5.335500,157.127000
5.336300,157.659000
5.337100,156.407000
5.337900,150.960000
5.338700,144.751000
5.339500,143.396000
5.340300,142.156000
5.341100,150.412000
5.341900,152.431000
5.342700,150.386000
5.343500,152.125000
5.344300,160.158000
5.345100,162.778000
5.345900,161.438000
5.346700,161.019000
5.347500,160.896000
5.348300,160.965000
5.349100,165.477000
5.349900,171.181000
5.350700,164.220000
5.351500,162.194000
5.352300,162.791000
5.353100,161.950000
5.353900,159.606000
5.354700,158.323000
5.355500,159.910000
5.356300,160.232000
5.357100,159.191000
5.357900,158.324000
5.358700,156.402000
5.359500,156.944000
5.360300,157.764000
5.361100,160.890000
5.361900,151.956000
5.362700,145.856000
5.363500,149.595000
5.364300,157.727000
5.365100,158.337000
5.365900,156.254000
5.366700,157.160000
5.367500,156.983000
5.368300,157.628000
5.369100,164.531000
5.369900,168.380000
5.370700,173.700000
5.371500,179.501000
5.372300,181.365000
5.373100,181.246000
5.373900,175.663000
5.374700,170.372000
5.375500,163.118000
5.376300,158.819000
5.377100,156.485000
5.377900,156.038000
5.378700,157.359000
5.379500,159.545000
5.380300,159.847000
5.381100,161.619000
5.381900,151.776000
5.382700,147.086000
5.383500,151.207000
5.384300,159.728000
5.385100,159.417000
5.385900,156.686000
5.386700,156.211000
5.387500,153.102000
5.388300,144.876000
5.389100,138.598000
5.389900,138.992000
5.390700,140.935000
5.391500,141.113000
5.392400,145.530000
5.393200,154.482000
5.394000,157.761000
5.394800,159.833000
5.395500,163.382000
5.396300,163.259000
5.397200,161.554000
5.398000,161.470000
5.398800,162.478000
