t,F
4.992700,165.583000
4.993500,163.281000
4.994300,159.795000
4.995100,161.025000
4.995900,165.888000
4.996700,170.879000
4.997500,173.800000
4.998300,177.000000
4.999100,179.282000
4.999900,177.371000
5.000700,169.698000
5.001500,160.996000
5.002300,158.152000
5.003100,158.062000
5.003900,160.398000
5.004700,161.161000
5.005500,150.314000
5.006300,147.845000
5.007100,154.125000
5.007900,159.940000
5.008700,158.754000
5.009500,157.009000
5.010400,157.512000
5.011200,157.529000
5.012000,158.631000
5.012700,164.508000
5.013600,161.491000
5.014400,151.319000
5.015200,144.052000
5.016000,145.396000
5.016800,151.027000
5.017600,156.116000
5.018400,158.969000
5.019200,162.917000
5.020000,161.581000
5.020800,160.668000
5.021600,160.585000
5.022400,160.721000
5.023200,162.583000
5.024000,165.730000
5.024800,163.456000
5.025600,152.831000
5.026400,151.825000
5.027200,158.701000
5.028000,163.422000
5.028800,160.043000
5.029600,159.238000
5.030400,160.127000
5.031200,160.272000
5.032000,162.875000
5.032800,170.330000
5.033600,164.868000
5.034400,161.354000
5.035200,160.854000
5.036000,160.084000
5.036800,156.919000
5.037600,154.183000
5.038400,153.689000
5.039200,156.707000
5.040000,156.841000
5.040800,156.659000
5.041600,156.583000
5.042400,156.993000
5.043200,157.787000
5.044000,160.824000
5.044800,160.868000
5.045600,151.201000
5.046400,153.410000
5.047200,169.131000
5.048000,180.456000
5.048800,178.401000
5.049600,176.327000
5.050400,170.725000
5.051200,162.036000
5.052000,159.645000
5.052800,164.329000
5.053600,160.505000
5.054400,158.139000
5.055200,159.250000
5.056000,159.548000
5.056800,156.959000
5.057600,153.821000
5.058400,153.809000
5.059200,156.416000
5.060000,155.816000
5.060800,155.206000
5.061600,155.187000
5.062400,156.787000
5.063200,157.095000
5.064000,155.101000
5.064800,145.636000
5.065600,133.026000
5.066400,130.653000
5.067200,135.050000
5.068000,145.800000
5.068800,154.494000
5.069600,159.005000
5.070400,160.350000
5.071200,160.524000
5.072000,164.424000
5.072800,171.454000
5.073600,167.989000
5.074400,162.223000
5.075200,162.926000
5.076000,164.304000
5.076800,161.583000
5.077600,161.196000
5.078400,161.491000
5.079200,162.374000
5.080000,161.034000
5.080800,160.875000
5.081600,160.715000
5.082400,160.834000
5.083200,163.231000
5.084000,167.417000
5.084800,163.590000
5.085600,149.845000
5.086400,150.711000
5.087200,158.488000
5.088000,161.674000
5.088800,158.983000
5.089600,158.047000
5.090400,158.203000
5.091200,158.261000
5.092000,160.846000
5.092800,163.819000
5.093700,158.649000
5.094400,158.761000
5.095300,161.006000
5.096100,166.732000
5.096900,170.718000
5.097700,173.472000
5.098500,175.048000
5.099300,177.638000
5.100100,178.256000
5.100900,177.366000
5.101700,175.307000
5.102500,173.376000
5.103300,165.022000
5.104100,162.007000
5.104900,156.341000
5.105700,146.697000
5.106500,149.383000
5.107300,157.302000
5.108100,159.201000
5.108900,156.740000
5.109700,156.481000
5.110500,156.454000
5.111300,156.005000
5.112100,159.077000
5.112900,163.045000
5.113700,156.912000
5.114500,148.048000
5.115300,142.814000
5.116100,141.031000
5.116900,135.480000
5.117700,134.355000
5.118500,146.651000
5.119300,157.935000
5.120100,159.538000
5.120900,160.081000
5.121700,160.032000
5.122500,160.542000
5.123300,161.285000
5.124100,165.789000
5.124900,159.781000
5.125700,149.430000
5.126500,151.234000
5.127300,159.642000
5.128100,162.730000
5.128900,160.405000
5.129700,160.597000
5.130500,160.789000
5.131300,160.681000
5.132100,162.897000
5.132900,167.126000
5.133700,163.238000
5.134500,160.744000
5.135300,159.086000
5.136100,160.730000
5.136900,158.661000
5.137700,157.210000
5.138500,157.933000
5.139300,158.716000
5.140100,157.763000
5.140900,157.920000
5.141700,158.616000
5.142500,159.967000
5.143300,160.339000
5.144100,162.684000
5.144900,155.867000
5.145700,150.809000
5.146500,161.139000
5.147300,176.741000
5.148100,181.024000
5.148900,178.445000
5.149700,178.421000
5.150500,178.639000
5.151300,178.356000
5.152100,180.986000
5.152900,177.896000
