t,F
4.987800,161.104000
4.988600,162.065000
4.989400,168.936000
4.990200,167.279000
4.991000,160.574000
4.991800,160.835000
4.992600,162.326000
4.993400,162.836000
4.994200,161.665000
4.995000,159.446000
4.995800,162.245000
4.996600,162.037000
4.997400,161.031000
4.998200,161.107000
4.999100,160.436000
4.999900,162.204000
5.000600,165.183000
5.001500,162.966000
5.002300,151.004000
5.003100,147.944000
5.003900,149.905000
5.004700,152.153000
5.005500,153.923000
5.006300,157.344000
5.007100,158.321000
5.007900,157.998000
5.008700,157.656000
5.009500,161.598000
5.010300,161.966000
5.011100,159.345000
5.011900,159.748000
5.012700,159.555000
5.013500,159.034000
5.014300,164.363000
5.015100,173.334000
5.015900,180.102000
5.016700,180.452000
5.017500,178.432000
5.018300,173.447000
5.019100,164.012000
5.019900,160.040000
5.020700,159.740000
5.021500,159.139000
5.022300,148.274000
5.023100,146.832000
5.023900,149.011000
5.024700,150.922000
5.025500,153.069000
5.026300,155.875000
5.027100,155.861000
5.027900,156.148000
5.028700,158.147000
5.029500,164.200000
5.030300,161.359000
5.031100,156.627000
5.031900,149.574000
5.032700,141.382000
5.033500,142.722000
5.034300,148.729000
5.035100,154.468000
5.035900,158.505000
5.036700,160.070000
5.037500,160.372000
5.038300,160.527000
5.039100,162.029000
5.039900,162.399000
5.040700,163.608000
5.041500,161.355000
5.042300,150.949000
5.043100,149.964000
5.043900,151.424000
5.044700,153.291000
5.045500,156.199000
5.046300,159.479000
5.047100,160.045000
5.047900,160.059000
5.048700,160.724000
5.049500,165.786000
5.050300,163.514000
5.051200,161.674000
5.052000,162.397000
5.052800,162.221000
5.053600,158.321000
5.054400,154.448000
5.055200,155.140000
5.056000,157.332000
5.056800,158.061000
5.057600,158.197000
5.058400,157.707000
5.059200,159.482000
5.060000,160.293000
5.060800,161.803000
5.061600,158.787000
5.062400,149.097000
5.063200,149.730000
5.064000,157.165000
5.064800,167.069000
5.065600,174.295000
5.066400,178.977000
5.067200,177.703000
5.068000,169.716000
5.068800,162.901000
5.069600,164.290000
5.070400,160.445000
5.071200,159.060000
5.072000,160.024000
5.072800,159.577000
5.073600,156.603000
5.074400,154.249000
5.075200,154.147000
5.076000,157.238000
5.076800,157.323000
5.077600,157.283000
5.078400,157.507000
5.079200,158.811000
5.080000,160.070000
5.080800,160.740000
5.081600,151.296000
5.082400,135.798000
