t,F
5.032000,176.361000
5.032800,173.786000
5.033600,170.453000
5.034400,162.840000
5.035200,157.718000
5.036000,156.821000
5.036800,156.322000
5.037600,156.833000
5.038400,157.398000
5.039200,161.296000
5.040000,153.995000
5.040800,145.707000
5.041600,146.451000
5.042400,150.822000
5.043200,152.784000
5.044000,155.101000
5.044800,156.071000
5.045600,154.979000
5.046400,149.310000
5.047200,141.901000
5.048000,139.573000
5.048800,137.948000
5.049600,140.548000
5.050400,147.613000
5.051200,158.805000
5.052000,160.059000
5.052800,159.989000
5.053600,161.264000
5.054400,162.410000
5.055200,161.150000
5.056000,160.584000
5.056800,160.176000
5.057600,159.987000
5.058400,161.101000
5.059200,163.548000
5.060000,154.489000
5.060800,148.867000
5.061600,150.796000
5.062400,154.872000
5.063200,156.970000
5.064000,159.511000
5.064800,160.175000
5.065600,159.847000
5.066400,160.410000
5.067200,162.329000
5.068000,163.586000
5.068800,160.388000
5.069600,159.836000
5.070400,159.648000
5.071200,157.520000
5.072000,156.098000
5.072800,155.750000
5.073600,157.404000
5.074400,157.922000
5.075200,157.714000
5.076000,157.742000
5.076800,157.979000
5.077600,162.110000
5.078400,169.077000
5.079200,179.024000
5.080000,172.548000
5.080900,166.240000
5.081600,167.337000
5.082500,170.510000
5.083300,173.021000
5.084100,174.612000
5.084900,165.416000
5.085700,157.874000
5.086500,155.754000
5.087300,158.591000
5.088100,160.018000
5.088900,156.974000
5.089700,157.762000
5.090500,159.008000
5.091300,158.788000
5.092100,154.827000
5.092900,153.444000
5.093700,155.417000
5.094500,156.433000
5.095300,156.396000
5.096100,152.786000
5.096900,145.314000
5.097700,143.355000
5.098500,144.020000
5.099300,154.510000
5.100100,152.206000
5.100900,149.659000
5.101700,152.163000
5.102500,155.493000
5.103300,156.836000
5.104100,158.844000
5.104900,159.183000
5.105700,159.399000
5.106500,160.420000
5.107300,165.227000
5.108100,163.233000
5.108900,160.753000
5.109700,160.807000
5.110500,162.557000
5.111300,163.595000
5.112100,160.900000
5.112900,158.472000
5.113700,160.807000
5.114500,161.305000
5.115300,159.869000
5.116100,160.724000
5.116900,160.168000
5.117700,159.292000
5.118500,160.288000
5.119300,162.449000
5.120100,150.846000
5.120900,146.795000
5.121700,149.175000
5.122500,152.753000
5.123300,154.239000
5.124100,156.648000
5.124900,157.832000
5.125700,157.795000
5.126500,157.668000
5.127300,163.923000
5.128100,168.815000
5.128900,172.674000
5.129700,179.055000
5.130500,182.590000
5.131300,181.664000
5.132100,175.671000
5.132900,169.225000
5.133700,163.241000
5.134500,159.739000
5.135300,156.785000
5.136100,156.994000
5.136900,157.672000
5.137700,159.106000
5.138500,159.806000
5.139300,160.374000
5.140100,149.853000
5.140900,147.134000
5.141700,149.774000
5.142500,153.012000
5.143300,155.523000
5.144200,157.631000
5.144900,157.065000
5.145800,155.211000
5.146500,148.695000
5.147300,149.108000
5.148200,144.648000
5.148900,141.042000
5.149800,146.106000
5.150600,155.388000
5.151400,158.240000
5.152200,157.245000
5.153000,158.480000
5.153800,160.448000
5.154600,160.350000
5.155400,159.702000
5.156200,159.091000
5.157000,159.782000
5.157800,161.681000
5.158600,164.517000
5.159400,164.891000
5.160200,151.644000
5.161000,148.739000
5.161800,151.816000
5.162600,155.111000
5.163400,157.201000
5.164200,158.783000
5.165000,158.545000
5.165800,159.091000
5.166600,160.008000
5.167400,163.139000
5.168200,160.303000
5.169000,157.631000
5.169800,158.454000
5.170600,159.676000
5.171400,158.444000
5.172200,153.985000
5.173000,154.165000
5.173800,156.633000
5.174600,156.718000
5.175400,156.347000
5.176200,156.225000
5.177000,157.342000
5.177800,161.053000
5.178600,171.825000
5.179400,179.824000
5.180200,168.173000
5.181000,164.953000
5.181800,167.696000
5.182600,171.205000
5.183400,172.862000
5.184200,167.451000
5.185000,159.939000
5.185800,158.273000
5.186600,158.156000
5.187400,161.149000
5.188200,159.321000
5.189000,157.325000
5.189800,158.049000
5.190600,159.567000
5.191400,158.280000
5.192200,153.225000
5.193000,152.902000
5.193800,157.653000
5.194600,157.737000
5.195400,156.635000
5.196200,150.667000
5.197000,143.724000
5.197800,141.771000
5.198600,141.506000
5.199400,142.335000
5.200200,137.695000
5.201000,144.452000
5.201800,151.466000
5.202600,154.742000
5.203400,157.256000
5.204200,160.660000
5.205000,161.339000
5.205800,161.231000
5.206600,161.320000
5.207400,163.703000
5.208200,162.228000
5.209000,163.484000
5.209800,165.056000
5.210700,165.201000
5.211500,161.023000
5.212300,157.756000
5.213100,159.538000
5.213900,161.927000
5.214700,161.155000
5.215500,160.061000
5.216300,159.768000
5.217100,158.922000
5.217900,158.006000
5.218700,161.620000
5.219500,159.264000
5.220300,148.270000
5.221100,147.329000
5.221900,149.827000
5.224300,152.649000
5.225100,155.390000
5.225900,156.100000
5.226700,158.021000
5.227500,163.179000
5.228300,163.837000
5.229100,171.692000
5.229900,178.402000
5.230700,180.619000
5.231500,178.991000
5.232300,176.423000
5.233100,176.248000
5.233900,177.531000
5.234700,170.058000
5.235500,160.400000
5.236300,156.694000
5.237100,157.867000
5.237900,158.200000
5.238700,160.272000
5.239500,155.666000
5.240300,146.636000
5.241100,145.890000
5.241900,149.567000
5.242700,153.246000
5.243500,154.739000
5.244300,156.146000
5.245100,155.623000
5.245900,152.080000
5.246700,147.429000
5.247500,150.533000
5.248300,145.911000
5.249100,152.775000
5.249900,161.242000
5.250700,164.183000
5.251500,161.480000
5.252300,157.578000
5.253100,159.651000
5.253900,160.182000
5.254700,160.868000
5.255500,161.053000
5.256300,161.213000
5.257100,162.843000
5.257900,161.658000
5.258700,164.555000
5.259500,159.639000
5.260300,150.672000
5.261100,150.589000
5.261900,155.039000
5.262700,156.535000
5.263500,158.677000
5.264300,160.878000
5.265100,160.699000
5.265900,160.884000
5.266700,161.705000
5.267500,164.778000
5.268300,161.010000
5.269100,159.870000
5.269900,159.697000
5.270700,159.961000
5.271500,157.718000
5.272300,155.802000
5.273100,157.009000
5.274000,158.854000
5.274700,157.331000
5.275600,156.599000
5.276400,156.947000
5.277200,158.966000
5.277900,164.172000
5.278800,174.991000
5.279600,173.283000
5.280400,165.808000
5.281200,166.153000
5.282000,169.342000
5.282800,168.451000
5.283600,160.874000
5.284400,157.727000
5.285200,156.854000
5.286000,156.321000
5.286800,158.039000
5.287600,161.235000
5.288400,157.744000
5.289200,157.236000
5.290000,158.292000
5.290800,157.605000
5.291600,154.986000
5.292400,153.772000
5.293200,154.611000
5.294000,155.898000
5.294800,155.846000
5.295600,154.173000
5.296400,146.803000
5.297200,141.152000
5.298000,138.374000
5.298800,140.025000
5.299600,136.879000
5.300400,135.563000
5.301200,144.288000
5.302000,151.869000
5.302800,156.157000
5.303600,158.848000
5.304400,160.359000
5.305200,160.269000
5.306000,159.675000
5.306800,162.703000
5.307600,165.325000
5.308400,161.693000
5.309200,161.549000
5.310000,162.319000
5.310800,162.524000
5.311600,158.506000
5.312400,158.590000
5.313200,159.400000
5.314000,160.243000
5.314800,160.898000
5.315600,160.871000
5.316400,160.468000
5.317200,161.011000
5.318000,161.438000
5.318800,165.778000
5.319600,156.727000
5.320400,147.603000
5.321200,147.916000
5.322000,151.833000
5.322800,154.017000
5.323600,156.505000
5.324400,157.479000
5.325200,157.441000
5.326000,157.073000
5.326800,160.401000
5.327600,164.381000
5.328400,167.707000
5.329200,176.510000
5.330000,180.886000
5.330800,180.867000
5.331600,177.868000
5.332400,176.390000
5.333200,177.808000
5.334000,177.526000
5.334900,169.575000
5.335700,162.449000
5.336500,159.992000
5.337300,160.900000
5.338100,160.638000
5.338900,161.716000
5.339700,152.659000
5.340500,147.457000
5.341300,148.408000
5.342100,151.159000
5.342900,153.164000
5.343700,155.248000
5.344500,156.236000
5.345300,155.665000
5.346100,149.793000
5.346900,147.115000
5.347700,148.349000
5.348500,150.172000
5.349300,158.366000
5.350100,161.343000
5.350900,163.173000
5.351700,158.284000
5.352500,159.349000
5.353300,160.788000
5.354100,160.295000
5.354900,158.511000
5.355700,158.988000
5.356500,160.188000
5.357300,160.906000
5.358100,161.615000
5.358900,164.338000
5.359700,154.384000
5.360500,149.455000
5.361300,150.719000
5.362100,155.026000
5.362900,156.784000
5.363700,158.075000
5.364500,158.653000
5.365300,158.855000
5.366100,158.875000
5.366900,160.593000
5.367700,158.951000
5.368500,157.153000
5.369300,158.463000
5.370100,160.202000
5.370900,159.543000
5.371700,154.469000
