t,F
5.008300,158.712000
5.009100,158.890000
5.009900,159.299000
5.010700,160.188000
5.011500,162.215000
5.012300,162.225000
5.013100,162.642000
5.013900,152.313000
5.014700,148.802000
5.015500,150.026000
5.016300,152.259000
5.017100,153.872000
5.017900,157.345000
5.018800,158.407000
5.019500,158.839000
5.020400,158.997000
5.021200,160.536000
5.022000,161.106000
5.022800,160.263000
5.023600,161.636000
5.024400,160.336000
5.025200,157.518000
5.026000,153.009000
5.026800,151.025000
5.027600,153.909000
5.028400,155.578000
5.029200,155.285000
5.030000,155.515000
5.030800,155.746000
5.031600,156.314000
5.032400,157.366000
5.033200,156.989000
5.034000,147.916000
5.034800,145.790000
5.035600,148.428000
5.036400,156.165000
5.037200,167.390000
5.038000,176.305000
5.038800,177.555000
5.039600,176.121000
5.040400,169.752000
5.041200,161.417000
5.042000,157.946000
5.042800,156.475000
5.043600,157.279000
5.044400,157.429000
5.045200,155.880000
5.046000,154.304000
5.046800,154.435000
5.047600,155.785000
5.048400,154.759000
5.049200,153.865000
5.050000,153.973000
5.050800,155.215000
5.051600,156.848000
5.052400,157.538000
5.053200,156.114000
5.054000,143.033000
5.054800,133.575000
5.055600,132.939000
5.056400,140.078000
5.057200,151.486000
5.058000,158.325000
5.058800,158.852000
5.059600,159.100000
5.060400,160.029000
5.061200,161.782000
5.062000,161.372000
5.062800,160.258000
5.063600,161.081000
5.064500,162.621000
5.065300,160.488000
5.066100,156.623000
5.066900,157.202000
5.067700,158.589000
5.068500,159.182000
5.069300,158.870000
5.070100,158.752000
5.070900,159.077000
5.071700,160.479000
5.072500,162.591000
5.073300,161.469000
5.074100,151.559000
5.074900,148.104000
5.075700,148.394000
5.076500,150.980000
5.077300,153.577000
5.078100,156.556000
5.078900,156.244000
5.079700,155.659000
5.080500,156.203000
5.081300,159.499000
5.082100,158.229000
5.082900,157.188000
5.083700,158.250000
5.084500,159.376000
5.085300,160.541000
5.086100,161.056000
5.086900,169.472000
5.087700,178.252000
5.088500,179.466000
5.089300,177.565000
5.090100,172.205000
5.090900,161.518000
5.091700,157.534000
5.092500,157.899000
5.093300,155.337000
5.094100,145.916000
5.094900,144.548000
5.095700,146.090000
5.096500,148.787000
5.097300,151.575000
5.098100,154.595000
5.098900,154.683000
5.099700,155.496000
5.100500,156.758000
5.101300,158.918000
5.102100,156.563000
5.102900,155.285000
5.103700,153.042000
5.104500,145.052000
5.105300,140.047000
5.106100,140.503000
5.106900,148.642000
5.107700,157.151000
5.108500,158.864000
5.109300,158.508000
5.110100,158.752000
5.111000,160.421000
5.111800,160.685000
5.112500,162.792000
5.113300,158.825000
5.114200,148.946000
5.115000,147.996000
5.115800,149.543000
5.116600,151.475000
5.117400,154.009000
5.118200,157.466000
5.119000,158.337000
5.119800,158.405000
5.120600,159.075000
5.121400,162.761000
5.122200,161.410000
5.123000,160.611000
5.123800,160.669000
5.124600,160.715000
5.125400,158.915000
5.126200,154.827000
5.127000,153.599000
5.127800,155.759000
5.128600,156.752000
5.129400,156.973000
5.130200,157.227000
5.131000,157.442000
5.131800,157.618000
5.132600,160.484000
5.133400,155.616000
5.134200,146.383000
5.135000,146.492000
5.135800,151.511000
5.136600,161.314000
5.137400,174.055000
5.138200,179.298000
5.139000,178.697000
5.139800,176.152000
5.140600,167.424000
5.141400,161.584000
5.142200,157.426000
5.143000,157.179000
5.143800,157.521000
5.144600,157.444000
5.145400,156.131000
5.146200,153.410000
5.147000,153.287000
5.147800,154.817000
5.148600,155.155000
5.149400,155.794000
5.150200,156.521000
5.151000,158.721000
5.151800,159.156000
5.152600,161.359000
5.153400,154.002000
5.154200,138.742000
5.155000,132.488000
5.155800,134.478000
5.156600,144.457000
5.157400,154.197000
5.158200,158.545000
5.159000,158.794000
5.159900,158.665000
5.160700,159.790000
5.161500,162.317000
5.162300,161.003000
5.163100,160.541000
5.165500,159.951000
5.166300,156.071000
