t,F
5.002900,149.160000
5.003700,149.885000
5.004500,151.542000
5.005300,152.703000
5.006100,150.658000
5.006900,157.517000
5.007700,170.651000
5.008500,174.653000
5.009300,171.045000
5.010100,170.556000
5.010900,170.502000
5.011700,172.907000
5.012500,174.598000
5.013300,176.764000
5.014100,165.613000
5.014900,158.889000
5.015700,162.830000
5.016500,169.700000
5.017300,165.971000
5.018100,158.218000
5.018900,155.529000
5.019700,155.489000
5.020500,156.493000
5.021400,162.202000
5.022200,160.169000
5.022900,156.716000
5.023800,155.735000
5.024500,149.641000
5.025400,141.416000
5.026100,139.501000
5.026900,146.852000
5.027800,157.478000
5.028600,161.363000
5.029400,160.776000
5.030200,161.344000
5.031000,163.781000
5.031800,163.159000
5.032600,163.410000
5.033400,166.057000
5.034200,155.048000
5.035000,148.686000
5.035800,152.269000
5.036600,158.098000
5.037400,159.829000
5.038200,159.151000
5.039000,158.940000
5.039800,158.525000
5.040600,159.774000
5.041400,166.013000
5.042200,163.969000
5.043000,160.009000
5.043800,160.729000
5.044600,161.262000
5.045400,159.291000
5.046200,154.529000
5.047000,153.356000
5.047800,155.999000
5.048600,156.154000
5.049400,155.738000
5.050200,155.990000
5.051000,156.735000
5.051800,158.373000
5.052600,159.051000
5.053400,160.731000
5.054200,150.389000
5.055000,146.334000
5.055800,153.660000
5.056600,166.647000
5.057400,174.310000
5.058200,176.862000
5.059000,177.419000
5.059800,175.738000
5.060600,170.032000
5.061400,168.439000
5.062200,160.672000
5.063000,157.691000
5.063800,157.936000
5.064600,157.392000
5.065400,155.309000
5.066200,153.621000
5.067000,154.100000
5.067800,156.627000
5.068600,156.218000
5.069400,156.133000
5.070200,156.592000
5.071000,157.012000
5.071800,159.242000
5.072600,162.451000
5.073400,163.842000
5.074200,147.235000
5.075000,135.233000
5.075800,139.662000
5.076600,149.464000
5.077400,156.164000
5.078200,157.960000
5.079000,158.916000
5.079800,159.375000
5.080600,159.301000
5.081400,158.525000
5.082200,159.566000
5.083000,159.663000
5.083800,160.382000
5.084600,160.855000
5.085500,159.189000
