t,F
5.005500,155.996000
5.006300,156.995000
5.007100,156.695000
5.007900,157.669000
5.008700,162.602000
5.009500,171.913000
5.010300,178.493000
5.011100,185.880000
5.011900,175.511000
5.012700,164.732000
5.013500,163.886000
5.014300,161.826000
5.015100,157.205000
5.015900,154.684000
5.016700,155.191000
5.017500,154.865000
5.018300,154.961000
5.019100,159.390000
5.019900,160.627000
5.020700,157.162000
5.021500,156.831000
5.022300,157.146000
5.023100,154.981000
5.023900,152.721000
5.024700,152.130000
5.025500,154.272000
5.026300,151.975000
5.027100,142.868000
5.027900,139.198000
5.028700,141.586000
5.029500,151.218000
5.030300,158.906000
5.031200,163.854000
5.032000,155.104000
5.032800,149.128000
5.033600,153.500000
5.034400,160.130000
5.035200,160.371000
5.036000,158.914000
5.036800,158.616000
5.037600,158.647000
5.038400,159.671000
5.039200,164.980000
5.040000,165.000000
5.040800,159.712000
5.041600,159.960000
5.042400,161.833000
5.043200,162.392000
5.044000,158.574000
5.044800,156.401000
5.045600,158.623000
5.046400,159.662000
5.047200,158.509000
5.048000,157.027000
5.048800,156.833000
5.049600,158.036000
5.050400,159.013000
5.051200,161.736000
5.052000,152.652000
5.052800,147.465000
5.053600,154.054000
5.054400,160.951000
5.055200,158.627000
5.056000,156.633000
5.056800,156.651000
5.057600,157.090000
5.058400,161.578000
5.059200,174.185000
5.060000,180.123000
5.060800,180.629000
5.061600,180.653000
5.062400,179.776000
5.063200,172.196000
5.064000,160.643000
5.064800,155.025000
5.065600,156.845000
5.066400,157.036000
5.067200,155.608000
5.068000,155.871000
5.068800,156.208000
5.069600,156.929000
5.070400,158.343000
5.071200,162.194000
5.072000,152.509000
5.072800,147.125000
5.073600,152.296000
5.074400,158.748000
5.075200,158.022000
5.076000,153.513000
5.076800,146.218000
5.077600,139.740000
5.078400,141.527000
5.079200,154.607000
5.080000,160.643000
5.080800,159.246000
5.081600,160.585000
5.082400,161.614000
5.083200,160.498000
5.084000,158.322000
5.084800,157.587000
5.085600,159.443000
5.086400,159.234000
5.087200,158.847000
5.088000,158.918000
5.088800,159.385000
5.089600,159.787000
5.090400,160.558000
5.091200,163.129000
5.092000,153.275000
5.092800,149.120000
5.093600,156.743000
5.094400,162.113000
5.095200,160.104000
5.096100,158.588000
5.096900,158.061000
5.097600,155.662000
5.098500,155.909000
5.099300,161.859000
5.100100,159.923000
5.100900,156.581000
5.101700,157.215000
5.102500,157.541000
5.103300,156.214000
5.104100,154.302000
5.104900,154.462000
5.105700,157.001000
5.106500,156.611000
5.107300,155.916000
5.108100,158.980000
5.108900,168.060000
5.109700,178.805000
5.110500,183.337000
5.111300,183.472000
5.112100,168.802000
5.112900,162.468000
5.113700,163.414000
5.114500,161.580000
5.115300,158.683000
5.116100,157.431000
5.116900,157.103000
5.117700,156.159000
5.118500,156.578000
5.119300,162.011000
5.120100,160.447000
5.120900,157.318000
5.121700,157.557000
5.122500,157.900000
5.123300,156.375000
5.124100,154.245000
5.124900,154.436000
5.125700,157.045000
5.126500,151.164000
5.127300,142.268000
5.128100,140.823000
5.128900,147.427000
5.129700,157.753000
5.130500,161.350000
5.131300,162.428000
5.132100,152.942000
5.132900,151.340000
5.133700,158.843000
5.134500,163.687000
5.135300,162.602000
5.136100,161.103000
5.136900,160.127000
5.137700,160.087000
5.138500,161.098000
5.139300,166.776000
5.140100,164.317000
5.140900,159.315000
5.141700,160.911000
5.142500,163.206000
5.143300,160.389000
5.144100,156.901000
5.144900,157.703000
5.145700,159.499000
5.146500,159.146000
5.147300,156.821000
5.148100,155.259000
5.148900,156.385000
5.149700,157.742000
5.150500,159.353000
5.151300,159.725000
5.152100,149.182000
5.152900,147.069000
5.153700,154.444000
5.154500,159.042000
5.155300,157.993000
5.156100,157.134000
5.156900,156.967000
5.157700,157.911000
5.158500,164.859000
5.159300,179.064000
5.160100,180.537000
5.160900,179.402000
5.161700,179.583000
5.162600,176.832000
5.163300,163.197000
5.164100,154.698000
5.165000,154.040000
5.165800,155.866000
5.166600,156.080000
5.167400,155.989000
5.168200,156.300000
5.169000,157.806000
5.169800,157.319000
5.170600,158.433000
5.171400,157.557000
5.172200,147.417000
5.173000,146.301000
5.173800,153.166000
5.174600,156.857000
5.175400,155.641000
5.176200,152.122000
5.177000,143.858000
5.177800,140.332000
5.178600,145.277000
5.179400,154.551000
5.180200,152.978000
5.181000,151.941000
5.181800,152.605000
5.182600,154.734000
5.183400,151.439000
5.184200,147.946000
5.185000,149.047000
5.185800,152.023000
5.186600,151.085000
5.187400,150.223000
5.188200,150.843000
5.189000,153.489000
5.189800,154.561000
5.190600,154.343000
5.191400,151.709000
5.192200,142.170000
5.193000,142.305000
5.193800,148.946000
5.194600,152.379000
5.195400,150.861000
5.196200,150.525000
5.197000,148.993000
5.197800,146.845000
5.198600,150.751000
5.199400,156.296000
5.200200,150.118000
5.201000,148.235000
5.201800,148.786000
5.202600,149.271000
5.203400,148.067000
5.204200,146.643000
5.205000,146.885000
5.205800,147.577000
5.206600,147.402000
5.207400,147.405000
5.208200,150.422000
5.209000,160.521000
5.209800,170.811000
5.210600,174.959000
5.211400,171.219000
5.212200,159.416000
5.213000,161.445000
5.213800,170.764000
5.214600,170.565000
5.215400,168.820000
5.216200,168.454000
5.217000,168.335000
5.217800,168.472000
5.218600,173.254000
5.219400,176.810000
5.220200,164.899000
5.221000,158.198000
5.221800,158.236000
5.222600,158.361000
5.223400,154.439000
5.224200,152.587000
5.225000,153.104000
5.225800,153.045000
5.226600,145.589000
5.227400,139.565000
5.228200,141.016000
5.229000,150.737000
5.229800,157.207000
5.230700,162.148000
5.231500,158.378000
5.232300,148.872000
5.233100,150.826000
5.233900,161.634000
5.234700,162.429000
5.235500,157.809000
5.236300,157.787000
5.237100,158.104000
5.237900,158.787000
5.238700,162.127000
5.239500,163.380000
5.240300,159.284000
5.241100,160.266000
5.241900,160.828000
5.242700,160.113000
5.243500,157.830000
5.244300,156.944000
5.245100,158.740000
5.245900,160.607000
5.246700,158.628000
5.247500,156.423000
5.248300,155.707000
5.249100,157.190000
5.249900,157.979000
5.250700,158.549000
5.251500,153.984000
5.252300,146.417000
5.253100,149.796000
5.253900,157.677000
5.254700,158.169000
5.255500,156.248000
5.256300,155.849000
5.257100,155.916000
5.257900,158.806000
5.258700,170.083000
5.259500,180.209000
5.260300,178.851000
5.261100,179.316000
5.261900,178.270000
5.262700,170.399000
5.263500,159.626000
5.264300,155.121000
5.265100,154.764000
5.265900,156.728000
5.266700,156.605000
5.267500,155.777000
5.268300,155.575000
5.269100,157.068000
5.269900,158.065000
5.270700,160.561000
5.271500,153.681000
5.272300,145.192000
5.273100,149.585000
5.273900,156.755000
5.274700,157.623000
5.275500,154.681000
5.276300,149.167000
5.277100,141.256000
5.277900,140.381000
5.278700,150.355000
5.279500,158.351000
5.280300,156.872000
5.281100,158.820000
5.281900,160.908000
5.282700,160.825000
5.283500,157.639000
5.284300,156.787000
5.285100,158.962000
5.285900,159.948000
5.286700,159.003000
5.287500,158.551000
5.288300,158.698000
5.289100,159.131000
5.289900,159.618000
5.290700,162.149000
5.291500,155.911000
5.292300,148.634000
5.293100,152.895000
5.293900,158.338000
5.294700,158.947000
5.295500,158.733000
5.296300,158.739000
5.297200,155.738000
5.298000,154.068000
5.298800,156.802000
5.299600,158.132000
5.300400,155.595000
5.301200,156.218000
5.302000,158.273000
5.302800,158.349000
5.303600,153.313000
5.304400,153.461000
5.305200,155.842000
5.306000,156.661000
5.306800,156.575000
5.307600,157.974000
5.308400,163.162000
5.309200,173.608000
5.310000,180.223000
5.310800,184.764000
5.311600,173.653000
5.312400,160.917000
5.313200,155.424000
5.314000,157.213000
5.314800,158.044000
5.315600,156.257000
5.316400,156.661000
5.317200,156.889000
5.318000,157.392000
5.318800,161.340000
5.319600,162.644000
5.320400,158.273000
5.321200,157.433000
5.322000,158.566000
5.322800,157.831000
5.323600,154.374000
5.324400,153.262000
5.325200,155.579000
5.326000,153.349000
5.326800,144.271000
5.327600,140.430000
5.328400,143.587000
5.329200,153.123000
5.330000,158.686000
5.330800,162.013000
5.331600,153.635000
5.332400,148.631000
5.333200,153.888000
5.334000,159.561000
5.334800,160.245000
5.335600,159.209000
5.336400,159.322000
5.337200,158.416000
5.338000,159.309000
5.338800,166.171000
5.339600,163.516000
5.340400,158.912000
5.341200,159.109000
5.342000,160.613000
5.342800,160.476000
5.343600,157.127000
5.344400,156.027000
5.345200,158.536000
5.346000,159.184000
5.346800,156.868000
5.347600,154.780000
5.348400,155.839000
5.349200,158.684000
5.350000,158.048000
5.350800,159.067000
5.351600,150.177000
5.352400,145.306000
5.353200,150.436000
5.354000,156.420000
5.354800,156.864000
5.355600,155.424000
5.356400,155.662000
5.357200,155.720000
5.358000,159.755000
5.358800,173.498000
5.359600,180.340000
5.360400,179.034000
5.361300,178.975000
5.362000,177.650000
5.362800,168.046000
5.363600,156.838000
5.364500,153.560000
5.365200,155.253000
5.366100,155.960000
5.366900,155.423000
5.367600,154.756000
5.368500,155.494000
5.369300,158.491000
5.370100,159.745000
5.370900,162.294000
5.371700,152.652000
5.372500,147.669000
5.373300,153.520000
5.374100,158.565000
5.374900,157.212000
5.375700,153.556000
5.376500,146.261000
5.377300,140.580000
5.378100,142.119000
5.378900,152.979000
5.379700,159.434000
5.380500,159.048000
5.381300,160.330000
5.382100,162.804000
5.382900,162.841000
5.383700,158.947000
5.384500,157.318000
5.385300,158.110000
5.386100,159.257000
5.386900,159.157000
5.387700,159.041000
5.388500,160.613000
5.389300,162.055000
5.390100,161.766000
5.390900,164.142000
5.391700,153.399000
5.392500,150.871000
5.393300,156.847000
5.394100,160.127000
5.394900,160.169000
5.395700,159.363000
5.396500,158.519000
5.397300,156.592000
5.398100,156.847000
5.398900,161.499000
5.399700,159.429000
5.400500,156.864000
5.401300,157.822000
5.402100,157.715000
5.402900,155.608000
5.403700,153.118000
5.404500,152.982000
5.405300,155.569000
5.406100,155.544000
5.406900,155.245000
5.407700,157.753000
5.408500,166.183000
5.409300,175.861000
5.410100,181.165000
5.410900,181.949000
5.411700,167.340000
5.412500,160.241000
5.413300,159.559000
5.414100,158.700000
5.414900,156.018000
5.415700,154.667000
5.416500,154.981000
5.417300,155.723000
5.418100,156.601000
5.418900,158.959000
5.419700,157.067000
5.420500,156.527000
5.421300,157.016000
5.422100,158.360000
5.422900,156.861000
5.423700,153.495000
5.424500,153.322000
5.425300,153.498000
5.426100,147.995000
5.426900,140.716000
5.427700,140.003000
5.428500,146.103000
5.429300,156.069000
5.430100,160.830000
5.430900,162.156000
5.431700,151.111000
5.432500,149.201000
5.433300,156.296000
5.434100,161.482000
5.435000,161.182000
5.435800,159.347000
5.436600,158.966000
5.437400,158.883000
5.438200,159.297000
5.439000,161.782000
5.439800,160.948000
5.440600,159.555000
5.441400,160.291000
5.442200,161.844000
5.443000,159.136000
5.443800,156.897000
5.444600,158.240000
5.445400,160.300000
5.446200,160.040000
5.447000,157.467000
5.447800,155.669000
5.448600,157.393000
5.449400,157.807000
5.450200,159.407000
5.452600,158.699000
5.453400,158.935000
5.454200,160.891000
5.455000,157.819000
5.455800,156.924000
5.456600,156.834000
5.457400,158.021000
5.458200,163.802000
5.459000,174.885000
5.459800,178.828000
5.460600,179.376000
5.461400,179.807000
5.462200,174.844000
5.463000,161.643000
5.463800,155.208000
5.464600,156.238000
5.465400,159.025000
5.466200,157.443000
5.467000,156.150000
5.467800,155.688000
5.468600,158.597000
5.469400,157.726000
5.470200,159.375000
5.471000,158.067000
5.471800,146.620000
5.472600,147.467000
5.473400,155.294000
5.474200,157.095000
5.475000,155.403000
5.475800,151.514000
5.476600,143.037000
5.477400,139.619000
5.478200,146.090000
5.479000,159.665000
5.479800,160.678000
5.480600,158.799000
5.481400,160.406000
5.482200,162.232000
5.483000,159.017000
5.483800,156.788000
5.484600,156.927000
5.485400,157.119000
5.486200,156.909000
5.487000,158.469000
5.487800,159.827000
5.488600,161.288000
5.489400,160.279000
5.490200,159.985000
5.491000,157.254000
5.491800,148.767000
5.492600,151.186000
5.493400,158.939000
5.494200,161.618000
5.495000,158.853000
5.495800,156.791000
5.496600,155.157000
5.497400,154.780000
5.498200,158.261000
5.499000,163.093000
5.499800,157.633000
5.500600,156.551000
5.501400,157.475000
5.502200,158.665000
5.503000,156.350000
5.503800,154.997000
5.504600,154.704000
5.505400,155.710000
5.506200,156.217000
5.507000,157.193000
5.507800,161.376000
5.508700,171.362000
5.509400,180.098000
5.510300,184.572000
