t,F
4.998000,152.326000
4.998800,153.066000
4.999600,153.049000
5.000400,149.292000
5.001200,147.987000
5.002000,149.586000
5.002800,150.776000
5.003600,150.287000
5.004400,150.045000
5.005200,149.160000
5.006000,150.524000
5.006800,150.613000
5.007600,152.706000
5.008400,147.748000
5.009200,140.638000
5.010000,146.145000
5.010800,153.910000
5.011600,151.475000
5.012400,148.566000
5.013200,148.602000
5.014000,148.441000
5.014800,148.761000
5.015600,155.482000
5.016400,160.858000
5.017200,166.270000
5.018000,172.225000
5.018800,173.591000
5.019600,172.319000
5.020400,167.953000
5.021200,166.703000
5.022000,168.429000
5.022800,170.012000
5.023600,169.861000
5.024400,169.747000
5.025200,168.997000
5.026000,170.049000
5.026800,171.040000
5.027600,168.083000
5.028500,155.190000
5.029200,147.259000
5.030100,157.739000
5.030900,165.020000
5.031700,160.446000
5.032500,155.846000
5.033300,155.584000
5.034100,152.170000
5.034900,143.498000
5.035700,141.709000
5.036500,148.967000
5.037300,155.521000
5.038100,159.158000
5.038900,160.569000
5.039700,158.365000
5.040500,156.002000
5.041300,156.488000
5.042100,157.347000
5.042900,157.398000
5.043700,157.545000
5.044500,158.282000
5.045300,159.176000
5.046100,160.755000
5.046900,160.747000
5.047700,164.866000
5.048500,156.327000
5.049300,149.951000
5.050100,162.145000
5.050900,168.011000
5.051700,162.502000
5.052500,158.570000
5.053300,158.487000
5.054100,158.663000
5.054900,158.662000
5.055700,162.571000
5.056500,161.246000
5.057300,158.208000
5.058100,159.057000
5.058900,160.159000
5.059700,158.520000
5.060500,153.894000
5.061300,153.093000
5.062100,155.997000
5.062900,156.788000
5.063700,155.944000
5.064500,155.722000
5.065300,157.355000
5.066100,162.156000
5.066900,171.047000
5.067700,182.455000
5.068500,172.887000
5.069300,168.181000
5.070100,180.267000
5.070900,176.890000
5.071700,162.940000
5.072500,156.212000
5.073300,156.110000
5.074100,156.203000
5.074900,156.607000
5.075700,162.764000
5.076500,162.416000
5.077300,157.325000
5.078100,157.187000
5.078900,158.447000
5.079700,157.267000
5.080500,155.102000
5.081300,155.835000
5.082100,158.522000
5.082900,157.185000
5.083700,153.304000
5.084500,145.593000
5.085300,143.490000
5.086100,150.763000
5.086900,154.253000
5.087800,161.596000
5.088600,153.251000
5.089400,150.014000
5.090200,161.176000
5.091000,165.312000
5.091800,162.345000
5.092600,158.619000
5.093400,158.049000
5.094200,157.615000
5.095000,159.231000
5.095800,165.575000
5.096600,163.197000
5.097400,159.086000
5.098200,159.403000
5.099000,160.231000
5.099800,157.929000
5.100600,155.939000
5.101400,156.252000
5.102200,159.116000
5.103000,158.450000
5.103800,157.669000
5.104600,157.366000
5.105400,157.494000
5.106200,157.476000
5.107000,157.448000
5.107800,158.776000
5.108600,149.560000
5.109400,147.371000
5.110200,157.713000
5.111000,164.112000
5.111800,159.450000
5.112600,156.298000
5.113400,156.014000
5.114200,155.233000
5.115000,156.743000
5.115800,164.273000
5.116600,167.794000
5.117400,176.544000
5.118200,181.627000
5.119000,183.177000
5.119800,178.861000
5.120600,168.033000
5.121400,158.134000
5.122200,156.887000
5.123000,157.065000
5.123800,157.057000
5.124600,156.660000
5.125400,158.178000
5.126200,159.200000
5.127000,159.028000
5.127800,160.522000
5.128600,150.356000
5.129400,149.455000
5.130200,162.193000
5.131000,165.228000
5.131800,158.803000
5.132600,155.899000
5.133400,155.816000
5.134200,150.711000
5.135000,144.460000
5.135800,148.802000
5.136600,153.076000
5.137400,157.819000
5.138200,161.052000
5.139000,161.571000
5.139800,158.912000
5.140600,158.737000
5.141400,158.125000
5.142200,159.305000
5.143000,159.214000
5.143800,159.401000
5.144600,159.863000
5.145400,159.524000
5.146300,158.863000
5.147000,163.525000
5.147900,165.641000
5.148700,152.437000
5.149500,151.910000
5.150300,163.611000
5.151100,164.932000
5.151900,159.395000
5.152700,157.951000
5.153500,157.961000
5.154300,158.613000
5.155100,160.317000
5.155900,165.424000
5.156700,159.529000
5.157500,156.609000
5.158300,157.600000
5.159100,157.104000
5.159900,153.895000
5.160700,152.189000
5.161500,153.197000
5.162300,154.830000
5.163100,155.404000
5.163900,155.446000
5.164700,156.361000
5.165500,159.093000
5.166300,164.290000
5.167100,175.004000
5.167900,180.092000
5.168700,168.070000
5.169500,169.147000
5.170300,176.071000
5.171100,166.058000
5.171900,157.188000
5.172700,155.287000
5.173500,154.945000
5.174300,155.156000
5.175100,159.490000
5.175900,165.300000
5.176700,158.260000
5.177500,156.278000
5.178300,156.441000
5.179100,156.865000
5.179900,154.399000
5.180700,152.117000
5.181500,152.895000
5.182300,155.956000
5.183100,155.735000
5.183900,152.928000
5.184700,144.709000
5.185500,144.084000
5.186300,149.780000
5.187100,159.128000
5.187900,161.881000
5.188700,151.175000
5.189500,152.941000
5.190300,166.040000
5.191100,168.297000
5.191900,161.316000
5.192700,158.973000
5.193500,158.614000
5.194300,159.227000
5.195100,163.476000
5.195900,168.307000
5.196700,162.372000
5.197500,160.589000
5.198300,161.639000
5.199100,162.193000
5.199900,159.407000
5.200700,157.447000
5.201500,158.795000
5.202300,161.201000
5.203100,159.295000
5.203900,158.868000
5.204700,158.835000
5.205500,159.333000
5.206300,159.038000
5.207100,161.537000
5.207900,158.241000
5.208700,148.146000
5.209500,152.833000
5.210400,162.531000
5.211200,161.783000
5.212000,157.190000
5.212800,156.557000
5.213600,156.389000
5.214400,156.174000
5.215200,161.126000
5.216000,168.924000
5.216800,172.847000
5.217600,178.544000
5.218400,181.515000
5.219200,181.197000
5.220000,172.602000
5.220800,159.092000
5.221600,157.924000
5.222400,159.038000
5.223200,155.193000
5.224000,154.768000
5.224800,155.144000
5.225600,156.809000
5.226400,156.885000
5.227200,158.835000
5.228000,155.671000
5.228800,146.691000
5.229600,152.588000
5.230400,163.207000
5.231200,159.842000
5.232000,156.020000
5.232800,154.849000
5.233600,153.229000
5.234400,146.522000
5.235200,148.751000
5.236000,158.212000
5.236800,156.175000
5.237600,156.988000
5.238400,159.390000
5.239200,159.541000
5.240000,157.363000
5.240800,157.647000
5.241600,159.715000
5.242400,161.253000
5.243200,158.343000
5.244000,157.724000
5.244800,158.023000
5.245600,160.707000
5.246400,161.219000
5.247200,163.633000
5.248000,159.096000
5.248800,150.320000
5.249600,157.794000
5.250400,168.738000
5.251200,165.147000
5.252000,159.824000
5.252800,159.555000
5.253600,159.565000
5.254400,159.379000
5.255200,161.301000
5.256000,163.110000
5.256800,158.219000
5.257600,157.344000
5.258400,159.184000
5.259200,160.087000
5.260000,155.880000
5.260800,153.689000
5.261600,156.353000
5.262400,158.579000
5.263200,157.587000
5.264000,156.672000
5.264800,156.914000
5.265600,161.530000
5.266400,170.254000
5.267200,184.238000
5.268000,178.289000
5.268800,168.151000
5.269700,178.479000
5.270400,179.234000
5.271300,164.638000
5.272100,157.483000
5.272800,156.770000
5.273600,156.886000
5.274500,156.824000
5.275300,161.500000
5.276100,162.567000
5.276900,158.368000
5.277700,157.599000
5.278500,157.532000
5.279300,155.761000
5.280100,153.229000
5.280900,151.890000
5.281700,154.053000
5.282500,155.701000
5.283300,154.900000
5.284100,150.149000
5.284900,141.498000
5.285700,138.498000
5.286500,147.434000
5.287300,161.806000
5.288100,157.280000
5.288900,149.549000
5.289700,157.795000
5.290500,167.714000
5.291300,164.986000
5.292100,159.582000
5.292900,158.632000
