t,F
4.991700,155.824000
4.992500,153.962000
4.993300,154.270000
4.994100,155.089000
4.994900,157.740000
4.995700,162.041000
4.996500,158.801000
4.997300,156.996000
4.998100,156.063000
4.998900,149.973000
4.999700,142.424000
5.000500,140.115000
5.001300,146.212000
5.002100,155.578000
5.002900,158.919000
5.003700,160.513000
5.004500,160.856000
5.005300,159.847000
5.006100,161.008000
5.006900,164.356000
5.007700,164.879000
5.008500,153.427000
5.009300,156.754000
5.010100,173.530000
5.010900,167.570000
5.011700,160.526000
5.012500,159.196000
5.013300,159.658000
5.014100,160.307000
5.014900,162.912000
5.015700,167.070000
5.016500,161.995000
5.017300,161.068000
5.018100,163.089000
5.018900,163.650000
5.019700,158.844000
5.020500,155.807000
5.021300,156.402000
5.022100,158.715000
5.022900,157.360000
5.023700,157.022000
5.024500,157.424000
5.025300,158.744000
5.026100,159.280000
5.026900,162.806000
5.027700,161.470000
5.028500,148.493000
5.029300,150.256000
5.030100,162.581000
5.030900,168.019000
5.031700,173.942000
5.032500,178.060000
5.033300,178.276000
5.034100,176.777000
5.034900,170.967000
5.035700,165.797000
5.036500,159.991000
5.037300,157.700000
5.038100,158.450000
5.038900,159.023000
5.039700,155.034000
5.040500,152.390000
5.041300,153.249000
5.042100,155.180000
5.042900,154.539000
5.043700,154.623000
5.044500,155.578000
5.045300,157.255000
5.046100,156.687000
5.046900,159.341000
5.047700,158.690000
5.048500,142.519000
5.049300,139.090000
5.050100,150.135000
5.050900,150.611000
5.051700,150.527000
5.052500,149.994000
5.053300,150.284000
5.054100,150.589000
5.054900,152.681000
5.055700,155.394000
5.056500,151.700000
5.057300,151.260000
5.058100,153.443000
5.058900,153.986000
5.059700,149.450000
5.060500,148.602000
5.061300,150.568000
5.062100,152.625000
5.062900,150.466000
5.063800,150.293000
5.064600,151.013000
5.065400,151.589000
5.066200,152.113000
5.067000,153.288000
5.067800,151.703000
5.068600,142.929000
5.069400,143.763000
5.070200,153.027000
5.071000,155.055000
5.071800,149.260000
5.072600,147.832000
5.073400,148.158000
5.074200,148.285000
5.075000,151.062000
5.075800,153.001000
5.076600,149.138000
5.077400,148.849000
5.078200,151.044000
5.079000,150.831000
5.079800,148.086000
5.080600,151.918000
5.081400,164.477000
5.082200,175.484000
5.083000,172.112000
5.083800,170.624000
5.084600,170.364000
5.085400,171.672000
5.086200,172.997000
5.087000,175.554000
5.087800,170.303000
5.088600,159.931000
5.089400,166.410000
5.090200,178.522000
5.091000,175.080000
5.091800,162.046000
5.092600,156.857000
5.093400,155.945000
5.094200,155.386000
5.095000,158.414000
5.095800,160.555000
5.096600,156.978000
5.097400,155.502000
5.098200,152.989000
5.099000,142.294000
5.099800,136.188000
5.100600,139.075000
5.101400,148.750000
5.102200,156.301000
5.103000,158.265000
5.103800,158.700000
5.104600,159.008000
5.105400,160.736000
5.106200,160.364000
5.107000,163.952000
5.107800,160.353000
5.108600,149.400000
5.109400,154.121000
5.110200,163.898000
5.111000,162.902000
5.111800,158.961000
5.112600,157.982000
5.113400,157.771000
5.114200,158.208000
5.115000,163.083000
5.115800,165.032000
5.116600,159.910000
5.117400,159.514000
5.118200,161.247000
5.119000,160.392000
5.119800,152.550000
5.120600,151.603000
5.121400,153.495000
5.122200,155.331000
5.123000,154.626000
5.123800,154.770000
5.124600,154.928000
5.125400,155.739000
5.126200,157.389000
5.127000,160.962000
5.127800,156.287000
5.128600,147.475000
5.129400,153.146000
5.130200,164.674000
5.131000,170.977000
5.131800,175.928000
5.132600,177.899000
5.133400,177.427000
5.134200,175.488000
5.135000,173.685000
5.135800,168.598000
5.136600,158.408000
5.137400,157.875000
5.138200,159.489000
5.139000,159.612000
5.139800,154.638000
5.140600,153.350000
5.141400,154.667000
5.142200,157.108000
5.143000,155.779000
5.143800,155.402000
5.144600,156.086000
5.145400,158.127000
5.146200,158.190000
5.147000,161.109000
5.147900,155.001000
5.148700,139.753000
5.149500,142.251000
5.150300,149.608000
5.151100,153.907000
5.151900,156.085000
5.152700,157.904000
5.153500,158.881000
5.154300,159.832000
5.155100,165.101000
5.155900,166.348000
5.156700,160.748000
5.157500,160.019000
5.158300,161.249000
5.159100,159.621000
5.159900,156.565000
5.160700,156.354000
5.161500,158.294000
5.162300,158.969000
5.163100,157.711000
5.163900,157.876000
5.164700,158.064000
5.165500,158.131000
5.166300,158.907000
5.167100,163.523000
5.167900,158.102000
5.168700,148.579000
5.169500,153.471000
5.170300,160.123000
5.171100,158.883000
5.171900,155.529000
5.172700,155.213000
5.173500,154.655000
5.174300,154.860000
5.175100,160.964000
5.175900,161.769000
5.176700,156.247000
5.177500,156.200000
5.178300,157.389000
5.179100,155.980000
5.179900,153.938000
5.180700,160.712000
5.181500,171.698000
5.182300,177.442000
5.183100,177.207000
5.183900,176.140000
5.184700,172.457000
5.185500,164.796000
5.186300,157.781000
5.187100,159.626000
5.187900,153.238000
5.188700,146.103000
5.189500,152.969000
5.190300,159.134000
5.191100,157.800000
5.191900,156.031000
5.192700,156.221000
5.193500,156.111000
5.194300,156.606000
5.195100,160.576000
5.195900,161.397000
5.196700,157.445000
5.197500,156.627000
5.198300,152.752000
5.199100,142.929000
5.199900,137.947000
5.200700,142.694000
5.201500,152.174000
5.202300,157.670000
5.203100,159.284000
5.203900,159.994000
5.204700,160.948000
5.205500,161.437000
5.206300,160.419000
5.207100,164.887000
5.207900,157.410000
5.208700,149.081000
5.209500,156.381000
5.210300,166.792000
5.211100,163.792000
5.211900,158.877000
5.212700,159.207000
5.213500,159.788000
5.214300,160.111000
5.215100,165.326000
5.215900,166.402000
5.216700,161.586000
5.217500,161.276000
5.218300,160.668000
5.219100,158.448000
5.219900,154.894000
5.220700,154.172000
5.221500,155.760000
5.222300,156.347000
5.223100,156.213000
5.224000,156.280000
5.224700,155.781000
5.227200,156.448000
5.227900,152.603000
5.228700,146.514000
5.229600,156.752000
5.230400,167.674000
5.231200,174.613000
5.232000,176.431000
5.232800,177.193000
5.233600,176.692000
5.234400,174.835000
5.235200,173.621000
5.236000,164.215000
5.236800,156.149000
5.237600,155.725000
5.238400,156.907000
5.239200,156.258000
5.240000,152.905000
5.240800,153.502000
5.241600,155.957000
5.242400,155.760000
5.243200,154.575000
5.244000,155.360000
5.244800,156.126000
5.245600,157.640000
5.246400,157.856000
5.247200,160.789000
5.248000,149.545000
5.248800,136.637000
5.249600,140.344000
5.250400,144.377000
5.251200,150.229000
5.252000,155.116000
5.252800,157.261000
5.253600,158.637000
5.254400,159.679000
5.255200,164.021000
5.256000,161.825000
5.256800,159.434000
5.257600,161.455000
5.258400,162.554000
5.259200,159.776000
5.260000,157.062000
5.260800,157.902000
5.261600,159.466000
5.262400,159.091000
5.263200,158.611000
5.264000,159.162000
5.264800,160.097000
5.265600,162.367000
5.266400,162.566000
5.267200,164.622000
5.268000,154.866000
5.268800,150.660000
5.269600,159.190000
5.270400,161.852000
5.271200,159.832000
5.272000,156.821000
5.272800,155.956000
5.273600,156.200000
5.274400,157.512000
5.275200,162.751000
5.276000,161.116000
5.276800,158.056000
5.277600,158.083000
5.278400,157.885000
5.279200,156.048000
5.280000,157.184000
5.280800,164.689000
5.281600,175.848000
5.282400,179.239000
5.283200,178.166000
5.284000,176.986000
5.284800,168.159000
5.285600,159.915000
5.286400,159.877000
5.287200,162.379000
5.288000,151.780000
5.288800,149.459000
5.289600,160.161000
5.290400,161.152000
5.291200,156.390000
5.292000,154.931000
5.292800,154.694000
5.293600,154.503000
5.294400,156.076000
5.295200,161.881000
5.296000,160.141000
5.296800,155.774000
5.297600,154.922000
5.298400,148.693000
5.299200,141.397000
5.300000,140.844000
5.300800,147.297000
5.301600,155.373000
5.302400,157.951000
5.303200,158.997000
5.304000,159.281000
5.304900,159.393000
5.305700,159.652000
5.306500,162.009000
5.307300,165.417000
5.308100,154.242000
5.308900,150.356000
5.309700,160.040000
5.310400,163.276000
5.311300,159.353000
5.312100,158.230000
5.312900,158.212000
5.313700,158.473000
5.314500,160.459000
5.315300,164.921000
5.316100,162.546000
5.316900,159.707000
5.317700,159.798000
5.318500,161.638000
5.319300,157.996000
5.320100,153.074000
5.320900,153.330000
5.321700,157.712000
5.322500,157.248000
5.323300,155.798000
