t,F
0.376700,153.116000
0.377500,154.569000
0.378300,154.857000
0.379100,154.823000
0.379900,155.414000
0.380700,161.310000
0.381500,168.478000
0.382300,174.056000
0.383100,179.278000
0.383900,181.433000
0.384700,179.461000
0.385500,171.016000
0.386300,162.056000
0.387100,157.561000
0.387900,156.466000
0.388700,156.298000
0.389500,156.290000
0.390300,156.718000
0.391100,157.999000
0.391900,158.142000
0.392700,158.866000
0.393500,150.295000
0.394400,146.928000
0.395200,150.077000
0.396000,154.075000
0.396800,155.868000
0.397600,155.871000
0.398400,155.067000
0.399200,150.625000
0.400000,143.609000
0.400800,144.184000
0.401600,149.023000
0.402400,154.846000
0.403200,159.091000
0.404000,160.280000
0.404800,160.348000
0.405600,158.692000
0.406400,157.375000
0.407200,159.968000
0.408000,160.094000
0.408800,159.080000
0.409600,159.203000
0.410400,160.602000
0.411200,161.841000
0.412000,161.850000
0.412800,162.818000
0.413600,152.643000
0.414400,149.427000
0.415200,151.626000
0.416000,154.528000
0.416800,155.851000
0.417600,158.223000
0.418400,158.340000
0.419200,157.798000
0.420000,157.693000
0.420800,161.722000
0.421600,160.744000
0.422400,156.842000
0.423200,157.115000
0.424000,157.852000
0.424800,156.212000
0.425600,152.309000
0.426400,152.923000
0.427200,156.550000
0.428000,156.137000
0.428800,155.112000
0.429600,154.821000
0.430400,158.044000
0.431200,163.564000
0.432000,172.149000
0.432800,179.129000
0.433600,168.851000
0.434400,165.488000
0.435200,165.129000
0.436000,159.127000
0.436800,154.697000
0.437600,155.404000
0.438400,155.188000
0.439200,154.971000
0.440000,156.319000
0.440800,160.818000
0.441600,159.169000
0.442400,156.364000
0.443200,156.869000
0.444000,157.869000
0.444800,156.430000
0.445600,152.845000
0.446400,152.909000
0.447300,158.374000
0.448000,157.027000
0.448800,153.344000
0.449700,145.564000
0.450500,142.330000
0.451300,143.262000
0.452100,153.058000
0.452900,158.425000
0.453700,150.820000
0.454500,149.767000
0.455300,154.079000
0.456100,157.778000
0.456900,158.429000
0.457700,158.913000
0.458500,159.218000
0.459300,159.536000
0.460100,160.799000
0.460900,166.778000
0.461700,164.626000
0.462500,161.431000
0.463300,162.357000
0.464100,163.349000
0.464900,162.354000
0.465700,157.930000
0.466500,157.978000
0.467300,160.367000
0.468100,160.039000
0.468900,159.154000
0.469700,158.359000
0.470500,159.622000
0.471300,159.589000
0.472100,159.020000
0.472900,157.828000
0.473700,148.602000
0.474500,146.835000
0.475300,150.337000
0.476100,154.888000
0.476900,155.971000
0.477700,156.927000
0.478500,156.266000
0.479300,155.216000
0.480100,156.797000
0.480900,164.152000
0.481700,169.003000
0.482500,175.396000
0.483300,179.121000
0.484100,180.151000
0.484900,176.148000
0.485700,165.719000
0.486500,158.402000
0.487300,157.749000
0.488100,156.315000
0.488900,155.195000
0.489700,155.093000
0.490500,157.506000
0.491300,157.816000
0.492100,156.788000
0.492900,153.613000
0.493700,146.837000
0.494500,146.528000
0.495300,150.020000
0.496100,152.036000
0.496900,153.161000
0.497700,155.501000
0.498500,154.251000
0.499300,147.168000
0.500100,143.583000
0.500900,152.047000
0.501700,154.280000
0.502500,156.547000
0.503400,159.672000
0.504200,161.806000
0.504900,160.232000
0.505800,156.987000
0.506600,157.199000
0.507400,160.473000
0.508200,159.605000
0.509000,159.448000
0.509800,159.116000
0.510600,160.373000
0.511400,161.008000
0.512200,162.463000
0.513000,160.342000
0.513800,150.483000
0.514600,149.765000
0.515400,154.125000
0.516200,157.440000
0.517000,158.337000
0.517800,159.956000
0.518600,160.945000
0.519400,160.136000
0.520200,158.504000
0.521000,159.605000
0.521800,157.491000
0.522600,157.334000
0.523400,157.888000
0.524200,158.846000
0.525000,156.522000
0.525800,153.818000
0.526600,154.563000
0.527400,156.204000
0.528200,156.842000
0.529000,157.033000
