t,F
0.446500,151.381000
0.447300,150.756000
0.448100,154.377000
0.448900,156.282000
0.449700,151.658000
0.450500,150.558000
0.451300,150.457000
0.452100,150.705000
0.452900,148.634000
0.453700,146.468000
0.454500,146.884000
0.455300,147.856000
0.456100,147.491000
0.456900,146.807000
0.457700,147.096000
0.458500,148.678000
0.459300,148.702000
0.460100,149.894000
0.460900,143.112000
0.461700,138.825000
0.462500,140.816000
0.463300,143.726000
0.464100,144.730000
0.464900,149.898000
0.465800,158.406000
0.466600,166.729000
0.467400,170.585000
0.468200,177.012000
0.469000,176.990000
0.469800,170.985000
0.470600,170.647000
0.471400,171.235000
0.472200,171.819000
0.473000,166.875000
0.473800,165.636000
0.474600,167.823000
0.475400,169.461000
0.476200,165.741000
0.477000,158.651000
0.477800,156.469000
0.478600,157.779000
0.479400,157.000000
0.480200,157.716000
0.481000,149.696000
0.481800,145.615000
0.482600,146.632000
0.483400,144.034000
0.484200,137.892000
0.485000,140.210000
0.485800,147.630000
0.486600,154.660000
0.487400,157.500000
0.488200,161.089000
0.489000,162.718000
0.489800,160.262000
0.490600,160.266000
0.491400,159.683000
0.492200,159.006000
0.493000,156.583000
0.493800,156.770000
0.494600,159.384000
0.495400,159.728000
0.496200,157.778000
0.497000,157.707000
0.497800,159.487000
0.498600,160.283000
0.499400,159.437000
0.500200,159.789000
0.501000,151.521000
0.501800,148.609000
0.502600,150.232000
0.503400,153.760000
0.504200,153.721000
0.505000,154.373000
0.505800,154.246000
0.506600,154.546000
0.507400,156.106000
0.508200,160.885000
0.509000,158.941000
0.509800,156.400000
0.510600,157.418000
0.511400,157.259000
0.512200,155.882000
0.513000,152.254000
0.513800,152.120000
0.514600,156.426000
0.515400,162.758000
0.516200,171.708000
0.517000,176.731000
0.517900,178.295000
0.518600,178.049000
0.519500,171.402000
0.520300,161.049000
0.521100,149.913000
0.521900,146.778000
0.522700,148.826000
0.523500,152.368000
0.524300,153.614000
0.525100,155.122000
0.525900,155.065000
0.526700,154.535000
0.527500,155.179000
0.528300,159.978000
0.529100,159.261000
0.529900,155.773000
0.530700,156.550000
