t,F
0.529900,158.267000
0.530700,162.195000
0.531500,159.559000
0.532300,157.875000
0.533100,158.529000
0.533900,159.238000
0.534700,155.657000
0.535500,153.550000
0.536300,154.365000
0.537100,156.551000
0.537900,156.353000
0.538700,156.616000
0.539500,156.781000
0.540300,159.916000
0.541100,165.833000
0.541900,176.282000
0.542700,175.347000
0.543500,166.308000
0.544300,164.588000
0.545100,160.069000
0.545900,154.121000
0.546700,154.274000
0.547500,155.733000
0.548300,156.054000
0.549100,156.085000
0.549900,157.533000
0.550700,160.587000
0.551500,156.669000
0.552300,155.965000
0.553100,157.210000
0.553900,158.051000
0.554700,154.271000
0.555500,150.853000
0.556300,153.112000
0.557100,155.708000
0.557900,154.063000
0.558700,149.115000
0.559500,141.388000
0.560300,138.951000
0.561100,145.743000
0.561900,157.030000
0.562700,155.591000
0.563500,148.846000
0.564300,149.701000
0.565100,153.478000
0.565900,155.662000
0.566700,157.399000
0.567500,158.843000
0.568300,158.926000
0.569200,158.834000
0.570000,160.660000
0.570800,167.020000
0.571500,163.128000
0.572400,160.157000
0.573200,161.008000
0.574000,160.304000
0.574800,157.574000
0.575600,156.194000
0.576400,156.799000
0.577200,158.049000
0.578000,158.700000
0.578800,159.052000
0.579600,157.023000
0.580400,157.570000
0.581200,158.238000
0.582000,159.893000
0.582800,154.178000
0.583600,146.372000
0.584400,147.348000
0.585200,151.730000
0.586000,153.974000
0.586800,154.688000
0.587600,155.575000
0.588400,155.939000
0.589200,156.754000
0.590000,162.498000
0.590800,168.569000
0.591600,173.134000
0.592400,179.399000
0.593200,182.156000
0.594000,180.707000
0.594800,171.619000
0.595600,160.041000
0.596400,157.159000
0.597200,157.750000
0.598000,155.464000
0.598800,155.120000
0.599600,156.398000
0.600400,158.758000
0.601200,157.474000
0.602000,156.900000
0.602800,150.577000
0.603600,145.286000
0.604400,147.189000
0.605200,150.930000
0.606000,152.176000
0.606800,153.613000
0.607600,154.474000
0.608400,151.506000
0.609200,143.730000
0.610000,144.938000
0.610800,152.223000
0.611600,154.297000
0.612400,158.787000
0.613200,161.172000
0.614000,162.200000
0.614800,158.568000
0.615600,156.791000
0.616400,159.446000
0.617200,159.988000
0.618000,158.954000
0.618800,159.043000
0.619600,159.065000
0.620400,160.244000
0.621200,161.007000
0.622000,162.794000
0.622800,154.686000
0.623600,149.123000
0.624400,151.565000
0.625200,154.168000
0.626000,156.024000
0.626800,158.415000
0.627600,158.459000
0.628500,158.588000
0.629200,158.193000
0.630100,161.823000
0.630800,163.264000
0.631700,158.611000
0.632500,158.556000
0.633300,159.021000
0.634100,158.716000
0.634900,154.988000
0.635700,154.536000
0.636500,155.791000
0.637300,156.611000
0.638100,155.552000
0.638900,155.810000
0.639700,157.511000
0.640500,162.077000
0.641300,169.400000
0.642100,179.565000
0.642900,171.929000
0.643700,165.871000
0.644500,164.876000
0.645300,159.456000
0.646100,154.717000
0.646900,155.172000
0.647700,155.375000
0.648500,154.757000
0.649300,155.176000
0.650100,160.477000
0.650900,161.553000
0.651700,157.269000
0.652500,156.968000
0.653300,157.155000
0.654100,155.640000
0.654900,153.228000
0.655700,152.689000
0.656500,156.457000
0.657300,156.508000
0.658100,152.987000
0.658900,145.966000
0.659700,140.336000
0.660500,141.202000
0.661300,150.180000
0.662100,157.618000
0.662900,151.861000
0.663700,148.888000
0.664500,151.218000
0.665300,153.982000
0.666100,155.574000
0.666900,158.509000
0.667700,159.345000
0.668500,158.957000
0.669300,159.567000
0.670100,165.654000
0.670900,165.584000
0.671700,160.428000
0.672500,160.421000
0.673300,161.077000
0.674100,160.230000
0.674900,158.132000
0.675700,157.150000
0.676500,159.657000
0.677300,159.840000
0.678100,158.829000
0.678900,158.054000
0.679700,157.144000
0.680500,158.294000
0.681300,158.356000
0.682100,158.481000
0.682900,149.724000
0.683700,146.951000
0.684500,149.005000
0.685300,152.177000
0.686100,153.474000
0.686900,155.103000
0.687700,155.775000
0.688500,155.652000
0.689300,156.700000
0.690100,163.582000
0.691000,168.764000
0.691800,175.610000
0.692600,181.111000
0.693400,182.176000
0.694200,178.265000
0.695000,167.833000
0.695800,159.156000
0.696600,156.728000
0.697400,155.462000
0.698200,155.106000
0.699000,155.217000
0.699800,156.266000
0.700600,157.174000
0.701400,156.862000
0.702200,155.560000
0.703000,147.302000
0.703800,145.912000
0.704600,148.873000
0.705400,152.300000
0.706200,153.530000
0.707000,154.405000
0.707800,153.897000
0.708600,149.023000
0.709400,143.792000
0.710200,149.071000
0.711000,150.127000
0.711800,154.529000
0.712600,158.782000
0.713400,160.123000
0.714200,158.877000
0.715000,158.398000
0.715800,158.512000
0.716600,159.688000
0.717400,159.358000
0.718200,158.937000
0.719000,158.785000
0.719800,160.546000
0.720600,161.569000
0.721400,161.871000
0.722200,159.834000
0.723000,150.102000
0.723800,149.187000
0.724600,152.822000
0.725400,155.659000
0.726200,158.359000
0.727000,159.590000
0.727800,159.547000
0.728600,158.798000
0.729400,158.614000
0.730200,163.457000
0.731000,161.295000
0.731800,157.127000
0.732600,157.946000
0.733400,159.002000
0.734200,156.235000
0.735000,153.053000
0.735800,153.893000
0.736600,157.216000
0.737400,156.343000
0.738200,155.639000
0.739000,155.387000
0.739800,157.516000
0.740600,163.375000
0.741400,173.938000
0.742300,177.805000
0.743000,167.534000
0.743800,165.291000
0.744600,164.579000
0.745500,158.092000
0.746300,155.268000
0.747100,156.306000
0.747900,155.606000
0.748700,154.915000
0.749500,157.038000
0.750300,162.902000
0.751100,159.405000
0.751900,156.108000
0.752700,156.743000
0.753500,156.617000
0.754300,154.584000
0.755100,152.017000
0.755900,152.694000
0.756700,155.763000
0.757500,155.605000
0.758300,151.992000
0.759100,143.911000
0.759900,142.130000
0.760700,144.981000
0.761500,154.343000
0.762300,156.042000
0.763100,149.154000
0.763900,149.209000
0.764700,152.792000
0.765500,155.970000
0.766300,158.146000
0.767100,159.303000
0.767900,159.442000
0.768700,159.370000
0.769500,160.537000
0.770300,165.372000
0.771100,162.257000
0.771900,160.080000
0.772700,160.542000
0.773500,160.365000
0.774300,158.289000
0.775100,157.248000
0.775900,157.669000
0.776700,159.800000
0.777500,159.659000
0.778300,159.246000
0.779100,157.833000
0.779900,157.915000
0.780700,158.769000
0.781500,158.902000
0.782300,154.875000
0.783100,146.980000
0.783900,146.965000
0.784700,150.833000
0.785500,153.000000
0.786300,154.164000
0.787100,155.872000
0.787900,156.559000
0.788700,156.565000
0.789500,160.658000
0.790300,169.340000
0.791100,172.292000
0.791900,178.128000
0.792700,181.023000
0.793500,179.649000
0.794300,172.676000
0.795200,161.284000
0.795900,155.012000
0.796700,155.063000
0.797600,155.885000
0.798400,156.175000
0.799100,156.171000
0.800000,157.332000
0.800800,156.966000
0.801600,157.383000
0.802400,152.757000
0.803200,145.531000
0.804000,146.300000
0.804800,150.114000
0.805600,152.758000
0.806400,154.948000
0.807200,154.645000
0.808000,153.164000
0.808800,146.297000
0.809600,141.009000
0.810400,144.845000
0.811200,150.046000
0.812000,156.998000
0.812800,159.985000
0.813600,159.850000
0.814400,157.997000
0.815200,157.072000
0.816000,158.781000
0.816800,160.472000
0.817600,159.362000
0.818400,159.103000
0.819200,159.140000
0.820000,161.970000
0.820800,163.260000
0.821600,163.287000
0.822400,156.586000
0.823200,148.815000
0.824000,150.385000
0.824800,153.802000
0.825600,155.674000
0.826400,157.693000
0.827200,158.722000
0.828000,159.209000
0.828800,158.885000
0.829600,160.228000
0.830400,163.978000
0.831200,159.611000
0.832000,158.422000
0.832800,158.526000
0.833600,157.676000
0.834400,154.440000
0.835200,153.519000
0.836000,154.641000
0.836800,155.244000
0.837600,155.070000
0.838400,155.756000
0.839200,157.805000
0.840000,161.604000
0.840800,167.508000
