t,F
0.242900,146.606000
0.243700,140.161000
0.244500,140.334000
0.245300,145.963000
0.246100,153.732000
0.246900,161.294000
0.247700,169.270000
0.248500,162.753000
0.249300,159.315000
0.250100,160.064000
0.250900,160.723000
0.251700,157.735000
0.252500,155.840000
0.253300,156.139000
0.254100,157.679000
0.254900,158.093000
0.255700,157.966000
0.256500,158.336000
0.257300,161.437000
0.258100,161.534000
0.258900,161.486000
0.259700,157.509000
0.260500,148.500000
0.261300,148.674000
0.262100,153.521000
0.262900,155.675000
0.263700,155.784000
0.264500,155.513000
0.265300,155.303000
0.266100,154.918000
0.266900,156.938000
0.267700,159.741000
0.268500,156.863000
0.269300,155.943000
0.270100,156.175000
0.270900,155.443000
0.271700,152.960000
0.272500,151.763000
0.273300,153.757000
0.274100,157.756000
0.274900,162.560000
0.275700,171.612000
0.276500,177.274000
0.277300,180.028000
0.278100,179.900000
0.278900,176.050000
0.279700,161.467000
0.280500,147.988000
0.281400,148.236000
0.282200,151.910000
0.282900,153.899000
0.283800,155.055000
0.284600,156.086000
0.285400,156.149000
0.286200,155.982000
0.287000,159.591000
0.287800,163.332000
0.288600,159.012000
0.289400,158.321000
0.290200,158.541000
0.291000,156.405000
0.291800,153.391000
0.292600,148.356000
0.293400,141.761000
0.294200,140.775000
0.295000,144.551000
0.295800,152.695000
0.296600,157.401000
0.297400,160.342000
0.298200,160.876000
0.299000,161.811000
0.299800,156.444000
0.300600,149.101000
0.301400,151.258000
0.302200,155.487000
0.303000,156.810000
0.303800,158.357000
0.304600,159.351000
0.305400,159.224000
0.306200,158.726000
0.307000,162.319000
0.307800,166.708000
0.308600,160.463000
0.309400,160.157000
0.310200,161.044000
0.311000,159.179000
0.311800,156.512000
0.312600,154.830000
0.313400,155.149000
0.314200,155.900000
0.315000,156.174000
0.315800,155.705000
0.316600,154.838000
0.317400,156.035000
0.318200,156.480000
0.319000,157.913000
0.319800,152.724000
0.320600,146.417000
0.321400,147.939000
0.322200,152.040000
0.323000,153.307000
0.323800,155.421000
0.324600,160.284000
0.325400,168.461000
0.326200,175.886000
0.327000,182.457000
0.327800,183.076000
0.328600,174.968000
0.329400,166.256000
0.330200,162.159000
0.331000,159.543000
0.331800,155.213000
0.332600,153.691000
0.333400,154.147000
0.334200,155.278000
0.335000,154.781000
0.335800,154.845000
0.336600,155.546000
0.337400,157.478000
0.338200,156.196000
0.339100,157.000000
0.339900,150.866000
0.340700,146.277000
0.341500,148.838000
0.342300,151.417000
0.343100,145.203000
0.343900,140.817000
0.344700,143.109000
0.345500,151.031000
0.346300,157.356000
0.347100,166.105000
0.347900,167.068000
0.348700,160.598000
0.349500,160.508000
0.350300,161.409000
0.351100,162.320000
0.351900,159.471000
0.352700,158.192000
0.353500,160.140000
0.354300,160.868000
0.355100,159.280000
0.355900,158.898000
0.356700,159.629000
0.357500,161.678000
0.358300,160.379000
0.359100,162.165000
0.359900,154.013000
0.360700,149.001000
0.361500,151.615000
0.362300,156.493000
0.363100,157.386000
0.363900,156.721000
0.364700,156.356000
0.365500,156.254000
0.366300,156.719000
0.367100,162.155000
0.367900,161.642000
0.368700,156.731000
0.369500,157.375000
0.370300,159.032000
0.371100,157.621000
0.371900,153.672000
0.372700,153.806000
0.373500,156.413000
0.374300,159.212000
0.375100,165.854000
0.375900,174.230000
0.376700,177.826000
0.377500,179.250000
0.378300,177.114000
0.379100,168.860000
0.379900,152.305000
0.380700,146.501000
0.381500,149.409000
0.382300,153.292000
0.383100,154.540000
0.383900,155.253000
0.384700,155.149000
0.385500,154.554000
0.386300,155.173000
0.387100,161.083000
0.387900,160.501000
0.388700,156.240000
0.389500,156.491000
0.390300,156.831000
0.391100,155.107000
0.392000,151.212000
0.392800,145.776000
0.393600,142.067000
0.394400,140.930000
0.395200,146.107000
0.396000,153.516000
0.396800,157.179000
0.397600,159.571000
0.398400,160.119000
0.399200,160.490000
0.400000,150.796000
0.400800,147.971000
0.401600,151.766000
0.402400,156.885000
0.403200,157.702000
0.404000,158.478000
0.404800,159.301000
0.405600,160.395000
0.406400,162.660000
0.407200,169.283000
0.408000,164.366000
0.408800,160.496000
0.409600,161.410000
0.410400,163.261000
0.411200,161.287000
0.412000,157.322000
0.412800,157.287000
0.413600,158.159000
0.414400,157.576000
0.415200,157.888000
0.416000,157.670000
0.416800,158.752000
0.417600,158.901000
0.418400,157.192000
0.419200,157.275000
0.420000,148.809000
0.420800,146.419000
0.421600,149.815000
0.422400,154.161000
0.423200,155.168000
0.424000,158.117000
0.424800,164.247000
0.425600,172.825000
0.426400,180.762000
0.427200,190.076000
0.428000,184.304000
0.428800,173.917000
0.429600,163.787000
0.430400,159.370000
0.431200,156.147000
0.432000,154.367000
0.432800,154.265000
0.433600,156.539000
0.434400,155.895000
0.435200,156.106000
0.436000,156.200000
0.436800,157.411000
0.437600,157.523000
0.438400,158.428000
0.439200,157.792000
0.440000,148.038000
0.440800,145.555000
0.441600,148.448000
0.442400,148.712000
0.443200,142.712000
0.444000,140.293000
0.444800,144.580000
0.445600,152.804000
0.446400,158.373000
0.447200,165.016000
0.448000,163.837000
0.448800,160.213000
0.449600,160.762000
0.450500,161.110000
0.451300,158.563000
0.452000,155.893000
0.452900,156.406000
0.453700,159.274000
0.454500,159.013000
0.455300,158.487000
0.456100,158.572000
0.456900,160.521000
0.457700,160.273000
0.458500,160.740000
0.459300,159.285000
0.460100,150.606000
0.460900,149.196000
0.461700,152.287000
0.462500,154.730000
0.463300,154.472000
0.464100,155.155000
0.464900,155.140000
0.465700,154.950000
0.466500,157.124000
0.467300,163.407000
0.468100,159.761000
0.468900,156.104000
0.469700,157.583000
0.470500,160.367000
0.471300,156.478000
0.472100,152.732000
0.472900,154.022000
0.473700,158.428000
0.474500,162.031000
0.475300,170.289000
0.476100,177.021000
0.476900,179.785000
0.477700,180.127000
0.478500,176.665000
0.479300,163.618000
0.480100,149.406000
0.480900,148.266000
0.481700,151.741000
0.482500,153.794000
0.483300,154.628000
0.484100,156.013000
0.484900,156.269000
0.485700,156.370000
0.486500,157.863000
0.487300,163.452000
0.488100,160.045000
0.488900,157.774000
0.489700,158.188000
0.490500,157.721000
0.491300,155.615000
0.492100,152.471000
0.492900,144.522000
0.493700,141.080000
0.494500,143.275000
0.495300,151.526000
0.496100,157.665000
0.496900,161.509000
0.497700,161.359000
0.498500,163.526000
0.499300,159.259000
0.500100,149.688000
0.500900,149.929000
0.501700,154.587000
0.502500,157.881000
0.503300,157.942000
0.504100,158.523000
0.504900,158.471000
0.505700,159.081000
0.506500,162.613000
0.507300,166.091000
0.508100,160.851000
0.508900,159.573000
0.509700,161.130000
0.510500,161.861000
0.511400,157.500000
0.512200,156.305000
0.513000,156.134000
0.513800,155.795000
0.514500,155.680000
0.515400,156.275000
0.516100,156.250000
0.517000,157.484000
0.517800,156.743000
0.518600,157.375000
0.519400,153.101000
0.520200,145.693000
0.521000,146.658000
0.521800,151.394000
0.522600,154.068000
0.523400,155.586000
0.524200,159.280000
0.525000,166.541000
0.525800,174.605000
0.526600,181.126000
0.527400,184.896000
0.528200,177.122000
0.529000,166.865000
0.529800,160.122000
0.530600,157.658000
0.531400,154.155000
0.532200,152.872000
0.533000,154.463000
0.533800,156.444000
0.534600,155.238000
0.535400,154.926000
0.536200,155.586000
0.537000,158.028000
0.537800,158.020000
0.538600,158.843000
0.539400,153.940000
0.540200,147.044000
0.541000,148.111000
0.541800,151.069000
0.542600,146.399000
0.543400,140.656000
0.544200,141.514000
0.545000,147.635000
0.545800,155.182000
0.546600,163.511000
0.547400,166.951000
0.548200,161.623000
0.549000,161.434000
0.549800,161.704000
0.550600,161.493000
0.551400,159.939000
0.552200,158.677000
0.553000,158.999000
0.553800,159.613000
0.554600,159.795000
0.555400,159.705000
0.556200,159.520000
0.557000,161.344000
0.557800,161.250000
0.558600,162.380000
0.559400,155.118000
0.560200,149.747000
0.561000,151.550000
0.561800,155.749000
0.562600,155.929000
0.563400,156.360000
0.564200,156.975000
0.565000,157.122000
0.565800,157.145000
0.566600,161.729000
0.567400,161.756000
0.568300,157.060000
0.569100,157.614000
0.569900,157.564000
0.570700,155.926000
0.571500,152.442000
0.572300,152.482000
0.573100,156.233000
0.573800,158.705000
0.574700,163.950000
0.575500,172.352000
0.576300,177.439000
0.577100,180.081000
0.577900,178.675000
0.578700,175.316000
0.579500,157.747000
0.580300,146.894000
0.581100,148.606000
0.581900,152.548000
0.582700,153.114000
0.583500,154.163000
0.584300,154.949000
0.585100,155.550000
0.585900,156.078000
0.586700,160.659000
0.587500,161.020000
0.588300,156.975000
0.589100,156.923000
0.589900,156.747000
0.590700,154.723000
0.591500,152.371000
0.592300,146.961000
0.593100,139.105000
0.593900,139.618000
0.594700,146.327000
0.595500,153.896000
0.596300,158.678000
0.597100,161.076000
0.597900,160.625000
0.598700,161.940000
0.599500,153.610000
0.600300,148.405000
0.601100,150.944000
0.601900,155.024000
0.602700,156.974000
0.603500,158.244000
0.604300,158.475000
0.605100,158.596000
0.605900,159.578000
0.606700,164.387000
0.607500,163.864000
0.608300,160.082000
0.609100,159.917000
0.609900,159.980000
0.610700,158.803000
