t,F
0.872600,157.326000
0.898300,158.755000
0.923900,157.146000
0.949600,158.725000
0.975300,157.746000
1.000900,158.188000
1.026600,157.780000
1.052300,157.736000
1.077900,157.616000
1.103600,157.861000
1.129300,158.089000
1.154900,158.748000
1.180600,157.740000
1.206200,157.748000
1.231900,158.387000
1.257600,157.633000
1.283200,158.971000
1.308900,157.337000
1.334600,159.081000
1.360200,158.103000
1.385900,158.744000
1.411600,157.646000
1.437200,159.019000
1.462900,157.407000
1.488500,159.195000
1.514200,157.227000
1.539900,159.543000
1.565600,157.439000
1.591200,158.603000
1.616900,157.044000
1.642600,159.195000
1.668200,157.149000
1.693900,158.748000
1.719600,157.890000
1.745200,158.978000
1.770900,157.883000
1.796600,158.597000
1.822200,157.467000
1.847900,159.115000
1.873600,157.451000
1.899200,158.559000
1.924900,157.881000
1.950600,158.798000
1.976200,158.215000
2.001900,157.836000
2.027600,158.629000
2.053200,158.459000
2.078900,158.249000
2.104500,158.196000
2.130200,158.132000
2.155900,157.942000
2.181500,158.684000
2.207200,157.314000
2.232800,158.690000
2.258500,157.443000
2.284200,158.824000
2.309900,157.743000
2.335500,158.595000
2.361200,157.488000
2.386900,158.426000
2.412500,157.540000
2.438200,159.726000
2.463900,157.450000
2.489500,159.272000
2.515200,157.285000
2.540900,158.697000
2.566500,152.597000
2.592200,154.733000
2.617900,157.485000
2.643600,158.039000
2.669200,156.442000
2.694900,158.140000
2.720600,156.470000
2.746200,158.452000
2.771900,157.232000
2.797600,158.061000
2.823200,157.587000
2.848900,157.794000
2.874600,156.875000
2.900200,157.676000
2.925900,157.708000
2.951600,157.962000
2.977300,157.987000
3.002900,157.855000
3.028600,157.807000
3.054300,158.377000
3.079900,157.929000
3.105600,157.733000
3.131300,158.945000
3.157000,157.634000
3.182600,158.708000
3.208300,157.154000
3.234000,158.577000
3.259600,157.360000
3.285300,158.295000
3.311000,157.430000
3.336600,158.651000
3.362300,157.015000
3.388000,158.978000
3.413600,156.884000
3.439300,159.253000
3.465000,157.268000
3.490600,158.795000
3.516300,157.293000
3.542000,158.448000
3.567700,157.555000
3.593300,158.992000
3.619000,157.349000
3.644700,159.069000
3.670400,157.349000
3.696000,158.937000
3.721700,157.573000
3.747400,158.292000
3.773000,157.910000
3.798700,158.165000
3.824400,158.265000
3.850000,158.937000
3.875700,157.516000
3.901400,158.315000
3.927100,157.834000
3.952700,157.785000
3.978400,158.191000
4.004100,158.027000
4.029800,158.081000
4.055400,157.971000
4.081100,158.386000
4.106800,157.434000
4.132400,159.196000
4.158100,157.437000
4.183800,158.232000
4.209500,157.443000
4.235100,159.383000
4.260800,157.410000
4.286500,159.033000
4.312200,157.469000
4.337800,158.997000
4.363500,158.006000
4.389200,158.942000
4.414800,157.330000
4.440500,159.085000
4.466200,157.053000
4.491800,159.409000
4.517500,157.369000
4.543200,158.921000
4.568800,157.823000
4.594500,158.548000
4.620200,157.679000
4.645800,158.816000
4.671500,157.340000
4.697200,158.389000
4.722800,158.354000
4.748500,158.563000
4.774100,158.502000
4.799800,158.772000
4.825500,157.967000
4.851100,158.796000
4.876800,158.197000
4.902500,158.016000
4.928100,158.202000
4.953800,157.451000
4.979500,158.868000
5.005100,158.061000
5.030800,158.606000
5.056500,155.688000
