t,F
0.641500,158.060000
0.667200,158.595000
0.692800,157.344000
0.718500,158.018000
0.744200,158.400000
0.769800,158.096000
0.795500,158.139000
0.821200,158.186000
0.846800,157.955000
0.872500,157.047000
0.898200,157.442000
0.923800,157.354000
0.949500,158.697000
0.975200,157.908000
1.000800,158.858000
1.026500,157.338000
1.052100,158.925000
1.077800,158.003000
1.103500,158.265000
1.129100,156.479000
1.154800,158.933000
1.180500,157.475000
1.206100,158.020000
1.231800,156.532000
1.257400,158.604000
1.283100,157.067000
1.308800,158.814000
1.334400,151.698000
1.360100,154.711000
1.385800,156.692000
1.411400,157.720000
1.437100,156.944000
1.462700,157.928000
1.488400,156.016000
1.514100,157.686000
1.539700,156.769000
1.565400,157.520000
1.591100,156.076000
1.616700,157.346000
1.642400,157.001000
1.668000,158.581000
1.693700,156.856000
1.719400,158.115000
1.745000,157.341000
1.770700,157.526000
1.796400,157.549000
1.822000,156.968000
1.847700,157.272000
1.873300,157.141000
1.899000,157.328000
1.924700,157.302000
1.950300,157.334000
1.976000,157.080000
2.001700,158.209000
2.027300,156.553000
2.053000,158.255000
2.078600,157.243000
2.104300,158.188000
2.130000,156.152000
2.155600,158.276000
2.181300,157.053000
2.207000,158.360000
2.232600,157.006000
2.258300,159.118000
2.283900,156.491000
2.309600,158.825000
2.335200,156.936000
2.360900,158.298000
2.386500,157.384000
2.412200,158.287000
2.437800,157.514000
2.463500,158.754000
2.489100,156.816000
2.514800,158.756000
2.540500,157.231000
2.566100,158.382000
2.591800,157.775000
2.617400,157.794000
2.643100,157.436000
2.643200,158.545000
2.694400,158.087000
2.720100,157.514000
2.745700,158.362000
2.771400,158.060000
2.797100,158.781000
2.822700,157.972000
2.848400,158.431000
2.874000,157.266000
2.899700,158.150000
2.925300,157.522000
2.951000,158.962000
2.976700,157.020000
3.002300,158.942000
3.028000,156.889000
3.053600,159.100000
3.079300,157.664000
3.105000,158.483000
3.130600,156.336000
3.156300,158.318000
3.181900,156.992000
3.207600,159.195000
3.233300,156.944000
3.258900,159.434000
3.284600,157.503000
3.310200,158.757000
3.335900,157.578000
3.361600,158.803000
3.387200,157.363000
3.412900,158.658000
3.438500,157.347000
3.464200,159.154000
3.489800,157.264000
3.515500,158.272000
3.541100,157.681000
3.566800,158.139000
3.592500,157.624000
3.618100,157.456000
3.643800,157.374000
3.669400,157.946000
3.695100,157.654000
3.720800,157.000000
3.746400,157.331000
3.772100,157.192000
3.797700,158.029000
3.823400,153.888000
3.849000,152.342000
3.874700,157.367000
3.900400,156.964000
3.926000,155.823000
3.951700,158.115000
3.977400,156.379000
4.003000,157.726000
4.028700,156.312000
4.054400,157.730000
4.080000,156.710000
4.105700,157.800000
4.131300,156.122000
4.157000,158.394000
4.182600,156.000000
4.208300,157.408000
4.234000,156.180000
4.259600,158.163000
4.285300,156.518000
4.310900,158.945000
4.336600,157.591000
4.362300,157.696000
4.387900,156.611000
4.413600,158.310000
4.439200,156.997000
4.464900,157.964000
4.490600,157.321000
4.516200,157.306000
4.541900,157.755000
4.567500,157.274000
4.593200,157.328000
4.618800,157.445000
4.644500,157.464000
4.670100,157.897000
4.695800,157.901000
4.721400,157.037000
4.747100,158.212000
4.772800,156.478000
4.798400,157.583000
4.824100,156.329000
4.849700,158.438000
4.875400,157.168000
4.901000,158.163000
4.926700,156.897000
4.952300,158.734000
4.978000,156.450000
5.003600,157.982000
5.029300,156.518000
5.055000,158.928000
5.080600,157.071000
5.106300,158.196000
5.131900,157.165000
5.157600,158.327000
5.183200,156.950000
5.208900,158.516000
5.234500,156.643000
5.260200,157.987000
5.285900,157.694000
5.311500,158.501000
5.337200,156.804000
5.362800,158.086000
5.388500,158.167000
5.414100,158.064000
5.439800,157.594000
5.465500,158.430000
5.491100,157.609000
5.516800,158.055000
5.542400,158.239000
5.568100,157.582000
5.593700,157.764000
5.619400,157.041000
5.645000,158.165000
5.670700,157.481000
5.696300,158.077000
5.722000,157.807000
5.747700,158.368000
5.773300,156.672000
5.799000,158.275000
5.824600,157.596000
5.850300,158.538000
5.876000,156.541000
5.901600,158.523000
5.927300,157.149000
5.952900,158.436000
5.978600,157.150000
6.004300,158.520000
6.029900,156.794000
6.055600,158.698000
6.081200,156.739000
6.106900,158.618000
6.132500,157.296000
6.158200,158.391000
6.183900,157.233000
6.209500,157.745000
6.235200,156.336000
6.260800,158.164000
6.286500,157.737000
6.312200,156.718000
6.337800,151.310000
6.363500,156.789000
6.389200,156.606000
6.414800,156.466000
6.440500,157.051000
6.466100,156.997000
6.491800,157.126000
6.517400,157.265000
6.543100,156.923000
6.568800,156.562000
6.594400,157.721000
6.620100,157.116000
6.645800,157.647000
6.671400,157.580000
6.697100,157.872000
6.722700,156.919000
6.748400,158.180000
6.774000,156.472000
6.799700,158.436000
6.825400,156.284000
6.851000,157.945000
6.876700,156.293000
6.902400,157.679000
6.928000,156.683000
6.953700,158.480000
6.979400,156.861000
7.005000,158.529000
7.030700,156.466000
7.056400,157.926000
7.082000,156.916000
7.107700,158.669000
7.133400,156.627000
7.159000,157.674000
7.184700,157.201000
7.210400,158.278000
7.236000,156.986000
7.261700,158.371000
7.287400,157.197000
7.313000,158.137000
7.338700,158.011000
7.364400,157.595000
7.390000,158.288000
7.415700,157.668000
7.441300,157.532000
7.467000,156.754000
7.492700,157.518000
7.518300,157.715000
7.544000,158.128000
7.569700,157.545000
7.595300,158.797000
7.621000,156.882000
7.646700,158.985000
7.672300,156.952000
7.698000,158.335000
7.723700,156.941000
7.749300,158.263000
7.775000,156.473000
7.800700,158.651000
7.826300,157.087000
7.852000,158.212000
7.877600,156.491000
7.903300,158.573000
7.929000,156.914000
7.954600,158.081000
7.980300,156.796000
8.006000,158.728000
8.031600,157.040000
8.057300,158.089000
8.083000,157.298000
8.108600,158.151000
8.134300,157.504000
8.159900,158.413000
8.185600,157.148000
8.211300,158.434000
8.236900,157.295000
8.262600,157.746000
8.288200,157.999000
8.313900,157.493000
8.339600,157.371000
8.365200,157.951000
8.390900,158.362000
8.416600,157.544000
8.442200,158.313000
8.467900,157.366000
8.493600,158.825000
8.519200,157.435000
8.544900,158.284000
8.570600,157.825000
8.596200,158.683000
8.621900,156.629000
8.647600,158.317000
8.673200,157.444000
8.698900,158.452000
8.724600,156.183000
8.750200,158.399000
8.775900,157.206000
8.801600,158.024000
8.827200,151.581000
8.852900,154.889000
8.878500,157.492000
8.904200,157.377000
8.929900,156.614000
8.955500,157.536000
8.981200,156.627000
9.006800,158.128000
9.032500,156.206000
9.058200,158.169000
9.083800,156.613000
9.109500,157.466000
9.135100,156.837000
9.160800,157.272000
9.186400,157.438000
9.212100,157.574000
9.237800,157.570000
9.263400,157.890000
9.289100,157.141000
9.314700,157.478000
9.340400,157.575000
9.366100,156.818000
9.391700,157.650000
9.417400,158.502000
9.443100,159.042000
9.468700,157.931000
9.494400,158.930000
9.520100,156.502000
9.545700,157.649000
9.571400,156.842000
9.597000,158.337000
9.622700,156.500000
9.648300,158.725000
9.674000,156.703000
9.699700,158.574000
9.725300,156.794000
9.751000,158.034000
9.776600,156.328000
9.802300,158.236000
9.828000,156.745000
9.853600,157.793000
9.879300,157.067000
9.904900,158.063000
9.930600,156.721000
9.956300,158.399000
9.981900,156.996000
10.007600,158.472000
10.033200,157.053000
10.058900,157.775000
10.084500,157.639000
10.110200,157.339000
10.135900,157.484000
10.161500,157.719000
10.187200,157.270000
10.212800,157.123000
10.238500,157.650000
10.264200,157.108000
10.289800,157.757000
10.315500,157.315000
10.341200,157.367000
10.366800,157.397000
10.392500,158.284000
10.418100,157.107000
10.443800,158.466000
10.469500,156.697000
10.495100,158.523000
10.520800,156.641000
10.546400,157.773000
10.572100,156.970000
10.597700,158.907000
10.623400,156.610000
10.649000,158.632000
10.674700,157.724000
10.700300,158.619000
10.726000,157.204000
10.751700,158.252000
10.777300,156.738000
10.803000,158.675000
10.828600,156.759000
10.854300,158.661000
10.879900,157.797000
10.905600,158.009000
10.931300,156.784000
10.956900,157.645000
10.982600,157.301000
11.008300,158.167000
11.033900,157.292000
11.059600,158.030000
11.085300,157.337000
11.110900,158.038000
11.136600,157.786000
11.162200,157.222000
11.187900,158.539000
11.213600,157.470000
11.239200,157.768000
11.264900,157.490000
11.290500,158.327000
11.316200,155.008000
11.341900,151.946000
11.367500,157.208000
11.393200,157.607000
11.418900,155.664000
11.444500,156.842000
11.470200,156.219000
11.495900,157.882000
11.521500,156.127000
11.547200,158.115000
11.572900,156.098000
11.598500,158.050000
11.624200,156.619000
11.649900,157.520000
11.675500,156.549000
11.701200,157.942000
11.726800,156.351000
11.752500,158.110000
11.778200,156.443000
11.803800,157.657000
11.829500,156.645000
11.855200,157.774000
11.880800,156.611000
11.906500,158.230000
11.932200,156.998000
11.957800,157.420000
11.983500,157.083000
12.009100,157.288000
12.034800,156.762000
12.060400,157.089000
12.086100,157.470000
12.111800,157.274000
12.137400,158.020000
12.163100,156.947000
12.188800,157.835000
12.214400,157.499000
12.240100,157.301000
12.265800,156.565000
12.291400,158.532000
12.317100,157.137000
12.342800,157.788000
12.368400,156.947000
12.394100,158.061000
12.419700,156.729000
12.445400,158.352000
12.471100,156.208000
12.496700,158.895000
12.522400,156.677000
12.548100,158.060000
12.573700,156.577000
12.599400,158.151000
12.625000,156.426000
12.650700,158.336000
12.676300,156.844000
12.702000,158.172000
12.727700,157.376000
12.753300,158.053000
12.779000,157.116000
12.804700,158.514000
12.830300,156.437000
12.856000,157.165000
12.881600,157.126000
12.907300,158.103000
12.933000,157.019000
12.958600,156.858000
12.984300,157.359000
13.010000,157.563000
13.035600,157.443000
13.061300,157.340000
13.086900,157.414000
13.112600,157.710000
13.138300,157.913000
