t,F
1.052200,158.295000
1.077900,157.119000
1.103600,159.043000
1.129200,156.887000
1.154900,158.876000
1.180600,156.943000
1.206300,159.051000
1.231900,157.632000
1.257600,158.313000
1.283200,156.923000
1.308900,159.338000
1.334600,157.694000
1.360200,158.800000
1.385900,157.916000
1.411600,158.663000
1.437200,157.736000
1.462900,158.862000
1.488600,157.662000
1.514300,159.203000
1.539900,157.753000
1.565600,158.613000
1.591300,157.926000
1.616900,157.958000
1.642600,158.326000
1.668200,158.170000
1.693900,157.785000
1.719600,157.753000
1.745200,158.583000
1.770900,157.493000
1.796500,157.810000
1.822200,157.813000
1.847900,159.107000
1.873500,157.563000
1.899200,158.940000
1.924800,157.573000
1.950500,158.740000
1.976200,157.831000
2.001800,158.821000
2.027500,153.909000
2.053100,154.043000
2.078800,157.459000
2.104400,158.336000
2.130100,156.387000
2.155800,158.014000
2.181400,156.599000
2.207100,157.962000
2.232700,157.120000
2.258400,157.921000
2.284000,156.673000
2.309700,158.769000
2.335400,156.688000
2.361000,158.324000
2.386700,157.022000
2.412400,158.398000
2.438000,157.566000
2.463700,157.928000
2.489300,157.407000
2.515000,158.104000
2.540700,157.226000
2.566300,158.448000
2.592000,157.533000
2.617600,158.166000
2.643300,157.818000
2.669000,157.372000
2.694600,158.489000
2.720300,157.567000
2.745900,158.233000
2.771600,157.426000
2.797300,158.029000
2.822900,157.939000
2.848600,158.230000
2.874300,157.447000
2.899900,159.301000
2.925600,157.297000
2.951200,159.096000
2.976900,157.046000
3.002600,158.665000
3.028200,157.354000
3.053900,158.445000
3.079600,157.491000
3.105200,158.910000
3.130900,157.174000
3.156500,159.225000
3.182200,157.078000
3.207900,159.161000
3.233500,157.419000
3.259200,158.577000
3.284900,157.707000
3.310500,158.344000
3.336200,157.662000
3.361900,158.875000
3.387500,157.362000
3.413200,158.800000
3.438900,157.743000
3.464600,158.444000
3.490200,157.901000
3.515900,158.271000
3.541600,158.360000
3.567200,157.998000
3.592900,157.585000
3.618500,157.677000
3.644200,158.578000
3.669900,157.638000
3.695600,158.329000
3.721200,158.295000
3.746900,159.003000
3.772600,157.577000
3.798200,159.058000
3.823900,157.815000
3.849600,158.827000
3.875200,157.912000
3.900900,158.833000
3.926600,157.587000
3.952200,159.280000
3.977900,157.029000
4.003600,159.285000
4.029200,157.341000
4.054900,159.143000
4.080600,157.524000
4.106200,158.646000
4.131900,157.521000
4.157600,158.943000
4.183200,157.519000
4.208900,159.293000
4.234500,157.291000
4.260200,159.013000
4.285900,157.643000
4.311500,158.897000
4.337200,158.495000
4.362800,158.256000
4.388500,157.881000
4.414200,158.863000
4.439800,158.239000
4.465500,158.915000
4.491200,158.437000
4.516800,156.966000
4.542500,152.134000
4.568200,157.388000
4.593800,158.541000
4.619500,157.317000
4.645200,157.621000
4.670800,157.194000
4.696500,157.674000
4.722200,157.598000
4.747800,157.956000
4.773500,156.952000
4.799200,158.731000
4.824800,156.920000
4.850500,158.840000
4.876200,156.895000
4.901800,158.518000
4.927500,157.383000
4.953100,158.116000
4.978800,157.047000
5.004500,158.560000
5.030100,156.890000
5.055800,158.953000
5.081400,156.905000
5.107100,159.109000
5.132800,157.231000
5.158500,158.276000
5.184100,157.526000
5.209800,158.326000
5.235400,157.092000
5.261100,158.309000
5.286700,157.726000
5.312400,158.176000
5.338100,157.722000
5.363700,158.085000
5.389400,157.317000
5.415000,157.803000
5.440700,158.185000
5.466400,157.978000
5.492000,158.233000
5.517700,158.342000
5.543300,158.009000
5.569000,157.377000
5.594700,158.536000
5.620300,157.983000
5.646000,158.267000
5.671600,157.878000
5.697300,158.607000
5.723000,157.131000
5.748600,158.879000
5.774300,157.096000
5.799900,159.156000
5.825600,157.098000
5.851200,158.795000
5.876900,157.867000
5.902600,158.819000
5.928200,157.491000
5.953900,158.851000
5.979600,157.223000
6.005200,159.454000
6.030900,157.377000
6.056500,159.031000
6.082200,157.539000
6.107800,158.526000
6.133500,157.755000
6.159200,158.724000
6.184800,157.885000
6.210500,158.784000
6.236100,157.625000
6.261800,158.939000
6.287500,157.946000
6.313100,158.257000
6.338800,158.048000
6.364500,158.006000
6.390100,158.428000
6.415800,158.143000
6.441500,158.299000
6.467100,158.395000
6.492800,158.626000
6.518500,158.159000
6.544100,158.401000
6.569800,157.658000
6.595500,158.953000
6.621100,157.363000
6.646800,159.140000
6.672500,157.608000
6.698100,158.803000
6.723800,157.453000
6.749400,158.659000
6.775100,157.633000
6.800800,159.479000
6.826400,157.353000
6.852100,159.321000
6.877800,157.232000
6.903400,159.420000
6.929100,157.958000
6.954700,158.992000
6.980400,157.751000
7.006100,158.505000
7.031700,151.921000
7.057400,156.198000
7.083100,157.196000
7.108700,158.484000
7.134400,156.868000
7.160000,157.178000
7.185700,156.514000
7.211400,158.358000
7.237000,157.006000
7.262700,157.599000
7.288400,157.531000
7.314000,157.544000
7.339700,158.101000
7.365300,157.655000
7.391000,157.610000
7.416700,157.780000
7.442300,157.687000
7.468000,157.893000
7.493600,158.371000
7.519300,157.341000
7.544900,158.747000
7.570600,157.174000
7.596200,158.778000
7.621900,157.384000
7.647600,158.131000
7.673200,157.185000
7.698900,158.923000
7.724500,157.254000
7.750200,158.639000
7.775800,156.991000
7.801500,159.153000
7.827200,156.979000
7.852800,158.918000
7.878500,157.311000
7.904100,158.583000
7.929800,157.735000
7.955500,158.644000
7.981100,157.414000
8.006800,159.142000
8.032400,157.031000
8.058100,158.636000
8.083800,157.234000
8.109400,158.582000
8.135100,158.024000
8.160700,158.123000
8.186400,157.731000
8.212100,158.368000
8.237700,157.285000
8.263400,158.355000
8.289000,157.398000
8.314700,158.161000
8.340400,157.849000
8.366000,157.501000
8.391700,158.261000
8.417300,157.602000
8.443000,158.099000
8.468700,157.748000
8.494300,158.166000
8.520000,157.815000
8.545600,158.135000
8.571300,156.891000
8.597000,158.637000
8.622600,156.967000
8.648200,158.805000
8.673900,156.922000
8.699600,158.783000
8.725200,157.464000
8.750900,158.537000
8.776500,157.290000
8.802200,159.042000
8.827800,157.178000
8.853500,159.162000
8.879100,156.837000
8.904800,158.629000
8.930400,157.063000
8.956100,158.883000
8.981800,156.785000
9.007400,159.075000
9.033100,157.360000
9.058700,158.106000
9.084400,156.990000
9.110100,158.658000
9.135700,157.226000
9.161400,157.916000
9.187100,157.413000
9.212700,158.482000
9.238400,157.627000
9.264000,158.098000
9.289700,158.068000
9.315400,158.076000
9.341000,158.778000
9.366700,157.587000
9.392400,157.965000
9.418000,157.758000
9.443700,159.176000
9.469300,157.403000
9.495000,159.490000
9.520700,154.366000
9.546300,153.630000
9.572000,158.202000
9.597600,158.473000
9.623300,157.058000
9.649000,158.386000
9.674600,156.206000
9.700300,159.091000
9.725900,156.852000
9.751600,158.641000
9.777200,157.055000
9.802900,158.262000
9.828600,156.379000
9.854200,158.674000
9.879900,156.791000
9.905600,158.354000
9.931200,157.146000
9.956900,158.251000
9.982500,156.951000
10.008200,158.437000
10.033900,156.845000
10.059500,158.674000
10.085200,157.257000
10.110900,158.199000
10.136500,157.674000
10.162200,157.513000
10.187900,157.638000
10.213500,157.845000
10.239200,157.710000
10.264800,157.905000
10.290500,157.771000
10.316200,159.079000
10.341800,159.342000
10.367500,157.522000
10.393200,158.513000
10.418800,156.977000
10.444500,158.291000
10.470200,157.173000
10.495800,158.347000
10.521500,157.438000
10.547100,158.262000
10.572800,156.298000
10.598500,158.852000
10.624100,156.740000
10.649800,158.708000
10.675500,156.645000
10.701100,158.757000
10.726800,157.198000
10.752400,158.120000
10.778100,156.991000
10.803700,158.472000
10.829400,156.721000
10.855100,158.632000
10.880700,156.659000
10.906400,157.996000
10.932100,157.294000
10.957700,158.538000
10.983400,156.882000
11.009000,158.619000
11.034700,157.319000
11.060400,157.906000
11.086000,157.379000
11.111700,157.992000
11.137400,158.266000
11.163000,157.717000
11.188700,158.160000
11.214300,158.503000
11.240000,158.103000
11.265700,157.708000
11.291300,158.346000
11.317000,157.172000
11.342600,158.456000
11.368300,157.816000
11.394000,159.019000
11.419600,157.517000
11.445300,159.176000
11.471000,156.829000
11.496600,158.758000
11.522300,157.166000
11.547900,158.736000
11.573600,157.089000
11.599300,159.519000
11.624900,157.167000
11.650600,158.642000
11.676200,157.492000
11.701900,159.433000
11.727600,157.237000
11.753200,159.172000
11.778900,157.559000
11.804500,158.841000
11.830200,158.043000
11.855900,158.437000
11.881500,157.910000
11.907200,159.334000
11.932900,157.775000
11.958500,158.838000
11.984200,157.902000
12.009800,157.070000
12.035500,152.257000
12.061100,157.227000
12.086800,158.005000
12.112500,157.529000
12.138100,157.208000
12.163800,157.196000
12.189400,158.410000
12.215100,157.302000
12.240700,157.868000
12.266400,157.217000
12.292000,158.909000
12.317700,157.274000
12.343300,158.835000
12.369000,157.264000
12.394700,158.650000
12.420300,157.855000
12.446000,158.781000
12.471600,157.745000
12.497300,159.637000
12.522900,157.293000
12.548600,159.247000
12.574300,157.101000
12.599900,158.476000
12.625600,157.235000
12.651200,159.324000
12.676900,157.266000
12.702600,159.088000
12.728200,157.760000
12.753900,158.976000
12.779500,158.118000
12.805200,158.783000
12.830900,157.737000
12.856500,158.506000
12.882200,157.695000
12.907800,159.106000
12.933500,158.067000
12.959200,158.454000
12.984800,158.658000
13.010500,158.122000
13.036100,158.945000
13.061800,157.850000
13.087500,158.522000
13.113100,158.197000
13.138800,158.222000
13.164500,158.409000
13.190100,159.269000
13.215800,157.764000
13.241500,159.427000
13.267100,157.552000
13.292800,159.219000
13.318400,157.479000
13.344100,158.661000
13.369800,157.000000
13.395400,159.513000
13.421100,157.610000
13.446700,158.986000
13.472400,157.783000
13.498100,159.337000
13.523800,157.962000
13.549400,159.347000
13.575100,157.489000
13.600700,159.184000
13.626400,157.224000
13.652000,159.213000
13.677700,157.795000
13.703400,158.805000
13.729000,158.357000
13.754700,158.579000
13.780300,157.383000
13.806000,158.704000
13.831700,158.299000
13.857300,158.397000
13.883000,158.240000
13.908600,158.679000
13.934300,157.961000
13.960000,159.080000
13.985600,158.311000
14.011300,158.378000
14.037000,158.147000
14.062600,157.158000
14.088300,158.682000
14.113900,157.905000
14.139600,158.180000
14.165300,157.296000
14.190900,158.745000
14.216600,157.255000
14.242200,158.460000
14.267900,157.387000
14.293600,158.643000
14.319200,157.733000
14.344900,158.786000
14.370600,156.742000
14.396200,158.862000
14.421900,157.610000
14.447600,158.750000
14.473200,157.798000
14.498900,158.994000
14.524600,152.049000
14.550200,155.937000
14.575900,156.945000
14.601500,158.432000
14.627200,157.094000
14.652900,158.066000
14.678500,157.162000
14.704200,157.999000
14.729800,156.814000
14.755500,158.139000
14.781200,157.582000
14.806800,157.842000
14.832500,157.629000
14.858200,158.038000
14.883800,157.695000
14.909500,158.571000
14.935100,157.922000
14.960800,157.959000
14.986500,158.339000
15.012100,157.592000
15.037800,158.662000
15.063400,157.333000
15.089100,158.358000
15.114800,157.850000
15.140400,158.425000
15.166100,157.300000
15.191700,158.503000
15.217400,157.407000
15.243100,158.971000
15.268700,156.592000
15.294400,159.105000
15.320000,157.069000
15.345700,158.416000
15.371400,156.859000
15.397000,158.654000
15.422700,157.577000
15.448300,158.636000
15.474000,156.898000
15.499600,158.644000
15.525300,157.448000
15.551000,158.300000
15.576600,157.311000
15.602300,158.880000
15.627900,157.393000
15.653600,158.458000
15.679300,157.369000
15.704900,158.054000
15.730600,157.948000
15.756200,158.001000
15.781900,158.130000
15.807600,158.078000
15.833200,157.834000
15.858900,158.367000
15.884500,157.946000
15.910200,157.810000
15.935900,158.400000
15.961500,157.267000
15.987200,158.022000
16.012800,158.066000
16.038500,158.783000
16.064200,157.590000
16.089800,159.370000
16.115500,157.161000
16.141100,159.200000
16.166800,157.297000
16.192400,158.415000
16.218100,156.981000
16.243800,159.458000
16.269400,157.368000
16.295100,158.894000
16.320700,157.884000
16.346400,159.017000
16.372000,157.685000
16.397700,159.025000
16.423400,157.100000
16.449000,159.357000
16.474700,157.501000
16.500300,158.451000
16.526000,157.454000
16.551600,158.813000
16.577300,157.303000
16.602900,158.705000
16.628600,157.619000
16.654200,158.316000
16.679900,157.982000
16.705600,158.204000
16.731200,158.384000
16.756900,158.527000
16.782500,158.273000
16.808200,158.610000
16.833800,158.239000
16.859500,157.393000
16.885100,158.043000
16.910800,157.443000
16.936400,158.884000
16.962100,157.579000
16.987700,158.658000
17.013400,154.792000
17.039100,153.057000
17.064700,157.754000
17.090400,157.725000
17.116000,156.373000
17.141700,158.124000
17.167400,156.263000
17.193000,158.767000
17.218700,156.708000
17.244300,157.562000
17.270000,156.076000
17.295700,158.155000
17.321300,156.922000
17.347000,158.047000
17.372700,156.388000
17.398300,158.619000
