t,F
0.359300,157.845000
0.385000,158.567000
0.410600,158.087000
0.436300,158.458000
0.462000,158.278000
0.487600,158.364000
0.513300,157.897000
0.538900,158.086000
0.564600,157.372000
0.590200,159.273000
0.615900,157.249000
0.641600,158.824000
0.667200,157.381000
0.692900,159.215000
0.718500,158.059000
0.744200,158.625000
0.769900,157.557000
0.795500,159.238000
0.821200,156.937000
0.846800,159.127000
0.872500,157.057000
0.898200,159.108000
0.923800,157.364000
0.949500,158.804000
0.975100,158.054000
1.000800,159.574000
1.026500,157.769000
1.052100,159.075000
1.077800,157.530000
1.103500,159.321000
1.129100,157.997000
1.154800,158.845000
1.180500,158.204000
1.206100,158.524000
1.231800,158.631000
1.257500,158.262000
1.283100,158.089000
1.308800,158.292000
1.334400,157.924000
1.360100,158.234000
1.385800,158.927000
1.411400,158.181000
1.437100,158.973000
1.462700,157.658000
1.488400,159.710000
1.514000,158.096000
1.539700,158.552000
1.565400,158.079000
1.591000,159.362000
1.616700,157.794000
1.642300,159.177000
1.668000,157.251000
1.693700,159.791000
1.719300,157.278000
1.745000,159.310000
1.770600,157.757000
1.796300,159.197000
1.822000,157.978000
1.847600,159.111000
1.873300,157.476000
1.898900,159.622000
1.924600,157.386000
1.950300,159.283000
1.975900,157.468000
2.001600,159.255000
2.027300,157.860000
2.052900,158.301000
2.078600,157.967000
2.104200,159.332000
2.129900,158.336000
2.155600,158.731000
2.181200,158.128000
2.206900,158.966000
2.232600,158.376000
2.258200,157.857000
2.283900,158.841000
2.309600,158.024000
2.335200,158.566000
2.360900,158.032000
2.386500,158.839000
2.412200,155.811000
2.437900,152.780000
2.463500,157.921000
2.489200,158.310000
2.514900,157.094000
2.540500,158.636000
2.566200,156.747000
2.591900,158.467000
2.617500,157.145000
2.643200,157.985000
2.668800,156.862000
2.694500,158.471000
2.720200,156.613000
2.745800,158.793000
2.771500,156.858000
2.797200,159.257000
2.822800,157.136000
2.848500,158.153000
2.874100,157.266000
2.899800,158.413000
2.925500,157.397000
2.951100,158.358000
2.976800,157.105000
3.002400,158.829000
3.028100,157.282000
3.053800,158.287000
3.079400,157.881000
3.105100,158.224000
3.130800,158.010000
3.156400,157.728000
3.182100,157.906000
3.207700,158.382000
3.233400,157.753000
3.259100,157.998000
3.284700,158.527000
3.310400,157.866000
3.336000,158.604000
3.361700,157.014000
3.387400,158.935000
3.413000,157.701000
3.438700,158.234000
3.464300,156.998000
3.490000,159.497000
3.515700,157.638000
3.541300,158.695000
3.567000,157.260000
3.592600,158.921000
3.618300,157.613000
3.643900,158.856000
3.669600,157.357000
3.695300,159.695000
3.720900,157.015000
3.746600,158.207000
3.772200,157.311000
3.797900,159.868000
3.823600,157.186000
3.849200,158.929000
3.874900,157.833000
3.900600,159.073000
3.926200,158.135000
3.951900,158.265000
3.977600,158.345000
4.003200,158.914000
4.028900,158.095000
4.054600,158.480000
4.080200,157.809000
4.105900,158.837000
4.131500,158.492000
4.157200,157.890000
4.182800,159.051000
4.208500,158.177000
4.234100,157.969000
4.259800,157.335000
4.285400,159.326000
4.311100,157.693000
4.336700,159.297000
4.362400,157.682000
4.388100,159.310000
4.413700,158.374000
4.439400,159.277000
4.465100,157.583000
4.490700,159.590000
4.516400,157.650000
4.542100,159.523000
4.567700,157.066000
4.593400,159.447000
4.619100,158.215000
4.644700,159.213000
4.670400,158.038000
4.696000,159.555000
4.721700,158.026000
4.747400,159.602000
4.773100,157.491000
4.798700,159.858000
4.824400,157.742000
4.850100,158.744000
4.875700,158.161000
4.901400,157.972000
4.927000,152.331000
4.952700,157.152000
4.978400,157.455000
5.004000,158.444000
5.029700,157.117000
5.055400,157.775000
5.081000,157.999000
5.106700,157.831000
5.132400,158.217000
5.158000,157.265000
5.183700,158.249000
5.209300,158.081000
5.235000,158.180000
5.260700,157.752000
5.286300,158.597000
5.312000,157.742000
5.337600,158.844000
5.363300,156.973000
5.389000,158.871000
5.414600,157.262000
5.440300,158.756000
5.466000,157.333000
5.491600,158.776000
5.517300,157.561000
5.543000,158.899000
5.568600,157.006000
5.594300,159.592000
5.619900,157.307000
5.645600,159.128000
5.671300,157.217000
5.696900,158.878000
5.722600,157.911000
5.748300,158.214000
5.773900,157.357000
5.799600,158.993000
5.825300,157.278000
5.850900,158.673000
5.876600,157.688000
5.902200,158.730000
5.927900,158.473000
5.953600,158.078000
5.979300,158.557000
6.004900,158.452000
6.030600,158.106000
6.056200,158.160000
6.081900,158.254000
6.107600,158.428000
6.133200,158.627000
6.158900,157.610000
6.184600,159.333000
6.210200,157.879000
6.235900,159.014000
6.261600,157.484000
6.287200,159.077000
6.312900,158.024000
6.338600,158.911000
6.364200,157.990000
6.389900,159.796000
6.415600,157.099000
6.441200,159.390000
6.466900,157.295000
6.492600,159.604000
6.518200,157.826000
6.543900,158.899000
6.569600,158.325000
6.595200,159.307000
6.620900,157.006000
6.646600,158.732000
6.672200,157.935000
6.697900,158.826000
6.723500,157.876000
6.749200,158.941000
6.774900,157.933000
6.800500,159.360000
6.826200,158.087000
6.851900,158.473000
6.877500,158.767000
6.903200,158.645000
6.928900,157.929000
6.954500,158.363000
6.980200,158.948000
7.005800,158.267000
7.031500,159.196000
7.057200,157.887000
7.082800,159.028000
7.108500,158.323000
7.134200,158.638000
7.159800,157.928000
7.185500,158.901000
7.211200,157.722000
7.236800,159.112000
7.262500,157.211000
7.288200,159.655000
7.313800,157.695000
7.339500,159.186000
