t,F
1.052500,157.841000
1.078200,159.069000
1.103800,157.479000
1.129500,159.337000
1.155200,157.248000
1.180900,158.534000
1.206500,157.859000
1.232200,159.216000
1.257900,157.551000
1.283600,158.588000
1.309200,158.240000
1.334900,158.787000
1.360600,157.658000
1.386300,158.513000
1.411900,158.323000
1.437600,158.348000
1.463300,157.949000
1.488900,157.895000
1.514600,158.776000
1.540300,158.124000
1.565900,158.894000
1.591600,158.492000
1.617300,158.745000
1.643000,158.706000
1.668600,158.810000
1.694300,158.139000
1.720000,159.479000
1.745700,157.505000
1.771300,158.876000
1.797000,158.087000
1.822700,159.410000
1.848400,157.386000
1.874000,159.929000
1.899700,157.451000
1.925400,159.431000
1.951000,158.236000
1.976700,159.133000
2.002400,157.953000
2.028100,159.323000
2.053700,157.255000
2.079400,158.836000
2.105100,157.805000
2.130700,158.801000
2.156400,157.920000
2.182100,159.398000
2.207800,158.101000
2.233400,159.365000
2.259100,158.252000
2.284800,158.952000
2.310500,158.493000
2.336100,158.732000
2.361800,158.990000
2.387500,158.816000
2.413200,158.402000
2.438800,158.938000
2.464500,158.237000
2.490200,157.952000
2.515900,158.963000
2.541500,158.694000
2.567200,159.754000
2.592900,159.129000
2.618600,158.975000
2.644200,157.871000
2.669900,158.876000
2.695600,157.929000
2.721300,159.114000
2.746900,157.994000
2.772600,159.289000
2.798300,153.622000
2.823900,154.937000
2.849600,158.019000
2.875300,158.473000
2.901000,157.175000
2.926600,158.259000
2.952300,157.464000
2.978000,158.457000
3.003700,157.100000
3.029300,159.127000
3.055000,157.120000
3.080700,158.874000
3.106300,157.314000
3.132000,158.501000
3.157700,157.663000
3.183300,158.189000
3.209000,156.835000
3.234700,158.668000
3.260300,158.203000
3.286000,158.357000
3.311700,158.605000
3.337400,158.320000
3.363000,157.565000
3.388700,157.605000
3.414400,158.299000
3.440000,157.929000
3.465700,158.354000
3.491400,158.005000
3.517000,158.157000
3.542700,158.154000
3.568400,158.489000
3.594100,157.151000
3.619700,158.686000
3.645400,158.190000
3.671100,158.736000
3.696800,157.120000
3.722400,159.244000
3.748100,157.904000
3.773800,158.886000
3.799500,157.487000
3.825100,159.232000
3.850800,157.019000
3.876500,158.643000
3.902100,157.793000
3.927800,159.026000
3.953500,157.597000
3.979200,159.281000
4.004800,157.287000
4.030500,159.406000
4.056200,157.566000
4.081800,158.860000
4.107500,158.560000
4.133200,158.731000
4.158900,158.234000
4.184500,158.815000
4.210200,157.550000
4.235900,158.331000
4.261600,158.549000
4.287200,158.462000
4.312900,158.652000
4.338600,159.105000
4.364300,159.203000
4.389900,159.704000
4.415600,159.202000
4.441300,157.783000
4.467000,158.520000
4.492600,158.189000
4.518300,158.927000
4.544000,157.902000
4.569700,159.172000
4.595300,157.369000
4.621000,158.831000
4.646700,157.915000
4.672400,159.379000
4.698000,157.383000
4.723700,159.649000
4.749400,157.551000
4.775100,159.118000
4.800700,157.554000
4.826400,159.422000
4.852100,157.237000
4.877700,159.292000
4.903400,157.940000
4.929100,158.918000
4.954800,157.509000
4.980400,158.714000
5.006100,157.906000
5.031800,159.354000
5.057500,157.884000
5.083100,159.163000
5.108800,157.861000
5.134500,159.083000
5.134600,158.509000
5.185800,158.149000
5.211500,158.078000
5.237200,158.365000
5.262900,158.528000
5.288500,157.076000
5.314200,151.955000
5.339900,158.370000
5.365500,158.082000
5.391200,157.258000
5.416900,158.152000
5.442500,157.306000
5.468200,158.396000
5.493900,157.306000
5.519500,158.188000
5.545200,157.773000
5.570900,158.500000
5.596500,157.456000
5.622200,158.836000
5.647900,156.898000
5.673500,158.992000
5.699200,157.104000
5.724900,159.091000
5.750600,157.504000
5.776200,158.667000
5.801900,157.589000
5.827600,158.823000
5.853200,157.295000
5.878900,159.431000
5.904600,157.480000
5.930200,158.531000
5.955900,157.611000
5.981600,159.050000
6.007200,157.389000
6.032900,159.157000
6.058600,157.731000
6.084200,158.832000
6.109900,158.283000
6.135600,158.244000
6.161300,158.334000
6.186900,158.338000
6.212600,158.175000
6.238300,158.596000
6.263900,158.028000
6.289600,157.475000
6.315300,158.495000
6.340900,158.157000
6.366600,158.387000
6.392300,158.201000
6.418000,158.744000
6.443600,157.972000
6.469300,159.628000
6.495000,157.475000
6.520700,158.910000
6.546300,157.838000
6.572000,159.332000
6.597700,157.267000
6.623400,158.963000
6.649000,156.982000
6.674700,159.053000
6.700400,157.923000
6.726000,158.879000
6.751700,157.707000
6.777400,159.295000
6.803100,157.524000
6.828700,159.216000
6.854400,156.988000
6.880100,158.637000
6.905700,157.891000
6.931400,159.184000
6.957100,157.736000
6.982700,159.292000
7.008400,157.907000
7.034100,158.720000
7.059700,158.348000
7.085400,158.274000
7.111100,158.568000
7.136800,158.534000
7.162400,158.643000
7.188100,158.668000
7.213800,158.150000
7.239400,157.797000
7.265100,158.693000
7.290800,158.211000
7.316400,158.726000
7.342100,158.419000
7.367800,159.016000
7.393500,157.587000
7.419100,159.509000
7.444800,157.569000
7.470500,159.324000
7.496100,157.602000
7.521800,159.392000
7.547500,157.987000
7.573200,159.093000
7.598800,157.596000
7.624500,159.418000
7.650200,157.018000
7.675800,159.001000
7.701500,158.216000
7.727200,159.257000
7.752800,157.620000
7.778500,158.930000
7.804200,151.773000
7.829900,156.810000
7.855500,157.572000
7.881200,157.752000
7.906900,157.295000
7.932500,157.745000
7.958200,157.305000
7.983900,158.326000
8.009500,156.938000
8.035200,157.603000
8.060900,157.008000
8.086600,157.856000
8.112200,158.146000
8.137900,157.814000
8.163600,158.277000
8.189200,157.391000
8.214900,158.016000
8.240600,158.253000
8.266300,158.097000
8.291900,157.830000
8.317600,158.742000
8.343300,157.428000
8.368900,158.138000
8.394600,156.825000
8.420300,159.068000
8.445900,157.519000
8.471600,158.811000
8.497300,157.667000
8.522900,158.747000
8.548600,157.495000
8.574300,158.962000
8.599900,156.782000
8.625600,158.813000
8.651300,157.688000
8.676900,158.802000
8.702600,156.962000
8.728300,158.607000
8.753900,157.908000
8.779600,158.687000
8.805300,157.656000
8.831000,159.232000
8.856600,157.426000
8.882300,158.187000
8.908000,158.198000
8.933600,158.879000
8.959300,157.519000
8.985000,157.840000
9.010600,158.255000
9.036300,158.326000
9.062000,157.908000
9.087700,157.825000
9.113300,159.035000
9.139000,158.138000
9.164700,158.413000
9.190300,157.891000
9.216000,159.064000
9.241700,157.298000
9.267300,158.924000
9.293000,157.640000
9.318600,158.861000
9.344300,157.484000
9.370000,158.765000
9.395600,157.757000
9.421300,159.374000
9.447000,157.205000
9.472600,159.773000
9.498300,157.886000
9.523900,159.522000
9.549600,157.845000
9.575300,158.540000
9.600900,157.139000
9.626600,159.567000
9.652300,157.877000
9.677900,158.481000
9.703600,157.395000
9.729300,159.454000
9.754900,157.916000
9.780600,158.999000
9.806300,158.251000
9.831900,158.583000
9.857600,158.087000
9.883300,158.585000
9.908900,157.968000
9.934600,159.183000
9.960300,158.025000
9.985900,157.685000
10.011600,158.192000
10.037300,158.662000
10.062900,158.403000
10.088600,158.237000
10.114300,158.896000
10.139900,157.583000
10.165600,158.496000
10.191300,158.015000
10.216900,159.205000
10.242600,157.344000
10.268300,158.546000
10.293900,154.607000
10.319600,153.956000
10.345300,158.065000
10.371000,158.130000
10.396600,156.290000
10.422300,158.500000
10.448000,156.696000
10.473600,158.244000
10.499300,157.069000
10.524900,158.003000
10.550600,156.928000
10.576300,158.189000
10.602000,157.094000
10.627600,159.216000
10.653300,156.940000
10.679000,157.691000
10.704700,157.560000
10.730300,158.868000
10.756000,157.266000
10.781700,157.919000
10.807300,158.183000
10.833000,158.214000
10.858700,157.243000
10.884300,158.238000
10.910000,157.645000
10.935700,158.100000
10.961300,158.319000
10.987000,157.692000
11.012700,158.835000
11.038300,157.772000
11.064000,157.911000
11.089700,157.353000
11.115300,158.625000
11.141000,157.202000
11.166700,158.047000
11.192300,157.030000
11.218000,158.927000
11.243700,157.588000
11.269400,158.364000
11.295000,157.346000
11.320700,159.327000
11.346400,157.123000
11.372000,159.304000
11.397700,157.519000
11.423400,158.827000
11.449000,156.950000
11.474700,159.063000
11.500400,157.294000
11.526000,159.313000
11.551700,157.829000
11.577400,158.679000
11.603000,157.875000
11.628700,158.846000
11.654400,157.719000
11.680100,158.694000
11.705700,157.527000
11.731400,159.162000
11.757100,157.991000
11.782700,158.033000
11.808400,157.669000
11.834100,157.809000
11.859800,158.379000
11.885400,157.970000
11.911100,158.250000
11.936800,158.439000
11.962400,158.103000
11.988100,157.725000
12.013800,158.730000
12.039500,158.071000
12.065100,158.946000
12.090800,157.060000
12.116500,158.376000
12.142200,157.518000
12.167800,159.115000
12.193500,157.319000
12.219200,158.760000
12.244800,157.383000
12.270500,158.899000
12.296200,157.715000
12.321900,159.141000
12.347500,157.929000
12.373200,159.302000
12.398900,157.635000
12.424500,159.428000
12.450200,156.988000
12.475900,158.665000
12.501500,157.579000
12.527200,159.058000
12.552900,158.199000
12.578500,158.525000
12.604200,157.755000
12.629800,159.376000
12.655500,158.036000
12.681200,158.899000
12.706800,157.938000
12.732500,157.939000
12.758200,157.651000
12.783900,156.596000
12.809500,152.232000
12.835200,157.483000
12.860900,157.601000
12.886500,157.650000
12.912200,157.366000
12.937900,157.355000
12.963600,157.609000
12.989200,156.636000
13.014900,158.415000
13.040600,157.300000
13.066200,158.264000
13.091900,157.208000
13.117600,158.267000
13.143200,157.349000
13.168900,158.129000
13.194600,156.611000
13.220200,158.541000
13.245900,156.815000
13.271600,158.213000
13.297200,157.375000
13.322900,158.951000
13.348600,156.887000
13.374200,158.757000
13.399900,156.852000
13.425600,158.268000
13.451300,157.081000
13.477000,158.841000
13.502600,156.925000
13.528300,158.098000
13.554000,157.483000
13.579600,158.600000
13.605300,157.468000
13.631000,158.649000
13.656600,157.709000
13.682300,158.073000
13.707900,158.134000
13.733600,158.027000
13.759300,158.094000
13.784900,157.798000
13.810600,158.286000
13.836300,158.155000
13.861900,157.928000
13.887600,157.857000
13.913300,158.860000
13.938900,157.338000
13.964600,158.701000
13.990300,157.101000
14.015900,159.075000
14.041600,157.820000
14.067300,158.119000
14.092900,156.925000
14.118600,159.457000
14.144300,156.915000
14.169900,158.646000
14.195600,157.634000
14.221300,159.019000
14.246900,157.058000
14.272600,158.789000
14.298300,158.035000
14.324000,159.154000
14.349600,157.669000
14.375300,158.916000
