t,F
0.744400,157.285000
0.770000,158.706000
0.795700,157.332000
0.821400,158.825000
0.847000,152.370000
0.872700,156.257000
0.898400,157.594000
0.924100,158.144000
0.949700,157.109000
0.975400,157.884000
1.001100,156.750000
1.026800,158.328000
1.052400,157.258000
1.078100,157.923000
1.103800,157.616000
1.129400,157.820000
1.155100,157.597000
1.180800,158.226000
1.206400,157.660000
1.232100,158.418000
1.257800,157.939000
1.283500,157.954000
1.309100,158.361000
1.334800,157.346000
1.360500,158.581000
1.386100,157.907000
1.411800,158.220000
1.437500,157.647000
1.463100,158.112000
1.488800,157.585000
1.514500,158.776000
1.540200,157.138000
1.565800,159.487000
1.591500,157.200000
1.617200,159.032000
1.642800,157.462000
1.668500,158.638000
1.694200,157.750000
1.719800,158.930000
1.745500,157.149000
1.771200,159.205000
1.796900,157.300000
1.822500,159.211000
1.848200,157.406000
1.873900,158.950000
1.899500,157.494000
1.925200,158.749000
1.950900,158.386000
1.976500,158.722000
2.002200,157.965000
2.027900,159.001000
2.053600,157.771000
2.079200,158.576000
2.104900,158.237000
2.130600,157.775000
2.156300,157.700000
2.181900,158.393000
2.207600,158.308000
2.233300,158.189000
2.258900,158.853000
2.284600,157.911000
2.310300,159.080000
2.336000,157.622000
2.361600,158.483000
2.387300,158.313000
2.413000,158.697000
2.438600,157.912000
2.464300,158.882000
2.490000,157.488000
2.515700,159.716000
2.541300,157.449000
2.567000,159.362000
2.592700,157.754000
2.618400,158.870000
2.644000,157.637000
2.669700,159.075000
2.695400,157.882000
2.721000,159.161000
2.746700,157.038000
2.772400,158.897000
2.798000,158.066000
2.823700,158.864000
2.849400,157.552000
2.875100,159.176000
2.900700,157.666000
2.926400,158.663000
2.952100,157.940000
2.977700,158.783000
3.003400,158.718000
3.029100,158.435000
3.054700,158.363000
3.080400,158.915000
3.106100,158.474000
3.131700,158.897000
3.157400,158.512000
3.183100,158.327000
3.208700,159.051000
3.234400,157.886000
3.260100,159.276000
3.285700,158.292000
3.311400,158.638000
3.337100,154.691000
3.362700,153.950000
3.388400,157.856000
3.414100,158.223000
3.439700,157.174000
3.465400,158.334000
3.491100,157.494000
3.516700,158.361000
3.542400,156.675000
3.568100,158.922000
3.593700,156.875000
3.619400,157.961000
3.645100,157.153000
3.670700,158.665000
3.696400,157.095000
3.722100,159.041000
3.747700,156.946000
3.773400,158.495000
3.799100,157.328000
3.824700,158.124000
3.850400,157.653000
3.876100,158.410000
3.901800,157.760000
3.927400,158.557000
3.953100,157.316000
3.978800,158.492000
4.004500,157.805000
4.030100,157.995000
4.055800,158.747000
4.081500,158.270000
4.107100,158.741000
4.132800,157.850000
4.158500,158.118000
4.184200,158.155000
4.209800,158.426000
4.235500,157.814000
4.261200,158.844000
4.286800,157.266000
4.312500,158.681000
4.338200,158.131000
4.363900,159.139000
4.389500,157.532000
4.415200,159.604000
4.440900,157.214000
4.466600,159.292000
4.492200,157.522000
4.517900,158.873000
4.543600,157.790000
4.569300,158.996000
4.594900,157.708000
4.620600,159.641000
4.646300,157.776000
4.671900,159.270000
4.697600,158.089000
4.723300,159.819000
4.749000,158.509000
4.774600,158.592000
4.800300,158.512000
4.826000,158.648000
4.851600,158.078000
4.877300,159.397000
4.903000,158.311000
4.928700,158.795000
4.954300,158.267000
4.980000,158.572000
5.005700,159.421000
5.031400,158.380000
5.057000,158.871000
5.082700,158.349000
5.108400,158.460000
5.134000,157.529000
5.159700,159.059000
5.185400,157.942000
5.211100,159.149000
5.236700,158.108000
5.262400,159.056000
5.288100,158.331000
5.313700,159.544000
5.339400,157.633000
5.365100,159.665000
5.390700,157.576000
5.416400,159.657000
5.442100,157.957000
5.467700,159.175000
5.493400,158.088000
5.519100,158.834000
5.544800,157.499000
5.570400,159.555000
5.596100,157.453000
5.621800,158.614000
5.647400,158.297000
5.673100,159.293000
5.698800,157.880000
5.724500,159.128000
5.750100,157.672000
5.775800,159.119000
5.801500,158.307000
5.827100,157.029000
5.852800,152.280000
5.878500,157.247000
5.904100,158.059000
5.929800,157.835000
5.955400,157.297000
5.981100,158.214000
6.006800,157.663000
6.032400,157.625000
6.058100,158.616000
6.083800,157.458000
6.109400,157.912000
6.135100,157.418000
6.160800,158.648000
6.186400,157.236000
6.212100,159.175000
6.237800,157.197000
6.263400,158.933000
6.289100,157.897000
6.314800,158.728000
6.340400,157.585000
6.366100,158.932000
6.391800,157.271000
6.417400,159.263000
6.443100,157.175000
6.468800,159.158000
6.494400,157.410000
6.520100,159.014000
6.545800,157.976000
6.571400,158.803000
6.597100,157.607000
6.622800,158.632000
6.648500,157.432000
6.674100,159.072000
6.699800,157.456000
6.725500,158.626000
6.751100,158.233000
6.776800,158.274000
6.802500,158.573000
6.828100,158.352000
6.853800,158.574000
6.879400,158.688000
6.905100,158.499000
6.930800,158.604000
6.956500,158.326000
6.982100,157.629000
7.007800,158.624000
7.033400,158.360000
7.059100,159.031000
7.084800,158.169000
7.110500,159.312000
7.136100,157.438000
7.161800,159.613000
7.187500,157.706000
7.213100,159.300000
7.238800,157.665000
7.264500,159.084000
7.290100,157.988000
7.315800,158.856000
7.341500,157.471000
7.367100,159.667000
7.392800,157.486000
7.418500,158.775000
7.444100,157.710000
7.469800,159.243000
7.495400,157.657000
7.521100,159.632000
7.546800,157.733000
7.572400,159.029000
7.598100,158.062000
7.623800,158.334000
7.649400,158.216000
7.675100,158.807000
7.700800,158.061000
7.726400,158.855000
7.752100,158.120000
7.777800,158.810000
7.803400,158.565000
7.829100,158.291000
7.854800,159.140000
7.880400,158.209000
7.906100,159.127000
7.931800,157.923000
7.957400,158.710000
7.983100,158.482000
8.008800,158.967000
8.034400,158.309000
8.060100,159.445000
8.085800,157.588000
8.111400,159.638000
8.137100,157.453000
8.162800,159.218000
8.188400,157.856000
8.214100,159.249000
8.239800,158.104000
8.265400,159.566000
8.291100,157.798000
8.316800,159.223000
8.342400,152.408000
8.368100,156.330000
8.393800,157.737000
8.419400,158.265000
8.445100,157.123000
8.470800,157.989000
8.496400,156.685000
8.522100,158.519000
8.547800,157.513000
8.573500,158.147000
8.599100,157.766000
8.624800,158.116000
8.650500,157.548000
8.676100,158.755000
8.701800,157.544000
8.727500,158.254000
8.753100,157.900000
8.778800,158.091000
8.804500,158.390000
8.830100,157.593000
8.855800,158.656000
8.881500,158.038000
8.907100,158.357000
8.932800,157.938000
8.958500,158.526000
8.984200,158.000000
9.009800,159.408000
9.035500,157.530000
9.061200,159.434000
9.086800,157.565000
9.112500,159.234000
9.138200,157.666000
9.163900,159.112000
9.189600,157.887000
9.215200,158.826000
9.240900,157.367000
9.266600,159.664000
9.292300,157.445000
9.317900,159.511000
9.343600,157.714000
9.369300,159.142000
9.395000,157.992000
9.420600,158.667000
9.446300,158.222000
9.472000,159.147000
9.497700,157.770000
9.523300,159.089000
9.549000,157.723000
9.574700,158.776000
9.600400,158.216000
9.626000,158.037000
9.651700,158.511000
9.677400,157.908000
9.703100,157.745000
9.728700,157.754000
9.754400,158.334000
9.780100,158.410000
9.805800,158.493000
9.831400,158.334000
9.857100,159.754000
9.882800,158.183000
9.908500,159.490000
9.934100,157.672000
9.959800,159.109000
9.985500,158.003000
10.011200,159.046000
10.036800,157.859000
10.062500,159.283000
10.088200,157.421000
10.113900,159.643000
10.139500,157.453000
10.165200,159.924000
10.190900,157.602000
10.216500,159.054000
10.242200,157.906000
10.267900,159.000000
10.293600,157.783000
10.319200,159.436000
10.344900,157.482000
10.370600,158.763000
10.396200,157.994000
10.421900,158.646000
10.447600,157.919000
10.473300,159.280000
10.498900,157.875000
10.524600,159.090000
10.550300,158.311000
10.575900,158.420000
10.601600,158.626000
10.627300,157.978000
10.653000,158.602000
10.678600,158.429000
10.704300,158.376000
10.730000,158.253000
10.755600,159.027000
10.781300,158.715000
10.807000,159.262000
10.832600,154.255000
10.858300,153.398000
10.884000,157.515000
10.909600,157.909000
10.935300,157.094000
10.961000,158.524000
10.986600,157.360000
11.012300,158.475000
11.038000,157.059000
11.063600,159.060000
11.089300,157.244000
11.115000,158.850000
11.140600,156.969000
11.166300,158.331000
11.192000,157.291000
11.217700,158.277000
11.243300,157.501000
11.269000,158.640000
11.294700,156.861000
11.320300,159.114000
11.346000,157.360000
11.371700,158.426000
11.397300,157.784000
11.423000,158.137000
11.448700,158.102000
11.474300,158.507000
11.500000,158.094000
11.525700,158.615000
11.551300,157.948000
11.577000,158.802000
11.602700,158.215000
11.628300,157.598000
11.654000,158.911000
11.679700,157.729000
11.705300,158.667000
11.731000,157.451000
11.756700,158.581000
11.782300,158.201000
11.808000,158.680000
11.833700,157.684000
11.859300,159.464000
11.885000,157.278000
11.910700,159.279000
11.936400,157.086000
11.962000,159.206000
11.987700,157.303000
12.013400,158.550000
12.039000,158.057000
12.064700,159.411000
12.090400,157.729000
12.116000,159.149000
12.141700,157.318000
12.167400,159.464000
12.193100,157.508000
12.218700,158.712000
12.244400,157.985000
12.270100,159.039000
12.295700,158.548000
12.321400,158.651000
12.347100,157.484000
12.372800,157.829000
12.398400,157.645000
12.424100,159.102000
12.449800,158.205000
12.475400,158.996000
12.501100,158.000000
12.526800,158.155000
12.552500,158.821000
12.578100,158.178000
12.603800,158.819000
12.629500,157.074000
12.655100,158.279000
12.680800,157.773000
12.706500,159.000000
12.732100,157.163000
12.757800,159.415000
12.783400,157.286000
12.809100,158.769000
12.834800,157.400000
12.860400,159.073000
12.886100,157.910000
12.911800,159.406000
12.937400,156.967000
12.963100,159.200000
12.988800,158.073000
13.014500,159.255000
13.040100,157.027000
13.065800,158.971000
13.091500,158.141000
13.117100,158.749000
13.142800,157.867000
13.168500,159.367000
13.194200,157.837000
13.219800,159.047000
13.245500,157.591000
13.271200,159.095000
13.296800,158.352000
13.322500,157.042000
13.348200,151.998000
13.373900,157.383000
13.399500,157.742000
13.425200,157.734000
13.450900,157.531000
13.476500,157.484000
13.502200,157.844000
13.527900,157.675000
13.553600,158.025000
13.579200,158.097000
13.604900,158.057000
13.630600,157.244000
13.656300,158.820000
13.681900,157.221000
13.707600,158.672000
13.733300,157.293000
13.759000,158.862000
13.784700,157.837000
13.810300,158.489000
13.836000,157.399000
13.861700,159.153000
13.887400,157.478000
13.913000,159.281000
13.938700,157.036000
13.964400,159.325000
13.990100,157.541000
14.015700,158.523000
14.041400,157.990000
14.067100,158.879000
14.092700,157.227000
14.118400,158.818000
14.144100,158.378000
14.169800,158.838000
14.195400,158.045000
14.221100,158.507000
14.246800,157.945000
14.272400,159.104000
14.298100,158.141000
14.323800,158.675000
14.349500,158.789000
