t,F
0.462100,156.586000
0.487800,158.294000
0.513400,156.523000
0.539100,157.770000
0.564800,156.834000
0.590400,157.758000
0.616100,156.586000
0.641800,157.754000
0.667400,157.078000
0.693100,157.706000
0.718800,157.115000
0.744400,157.395000
0.770100,157.212000
0.795800,157.383000
0.821400,158.409000
0.847100,158.390000
0.872800,157.964000
0.898400,157.830000
0.924100,157.607000
0.949800,156.987000
0.975400,157.881000
1.001100,157.069000
1.026800,157.813000
1.052400,156.562000
1.078100,158.008000
1.103700,156.733000
1.129400,157.704000
1.155100,156.683000
1.180700,158.309000
1.206400,156.334000
1.232100,157.765000
1.257700,152.339000
1.283400,154.224000
1.309100,156.878000
1.334700,157.621000
1.360400,156.169000
1.386000,157.715000
1.411700,156.317000
1.437400,158.191000
1.463000,156.279000
1.488700,157.601000
1.514400,156.235000
1.540000,157.148000
1.565700,156.590000
1.591400,157.576000
1.617000,156.416000
1.642700,157.122000
1.668300,156.705000
1.694000,157.337000
1.719700,156.907000
1.745300,157.134000
1.771000,157.321000
1.796700,157.109000
1.822300,157.081000
1.848000,156.603000
1.873700,157.540000
1.899300,156.895000
1.925000,157.261000
1.950700,156.508000
1.976300,158.016000
2.002000,156.680000
2.027700,157.670000
2.053300,156.338000
2.079000,158.480000
2.104700,156.864000
2.130300,157.932000
2.156000,156.353000
2.181700,158.199000
2.207300,156.330000
2.233000,157.877000
2.258700,156.278000
2.284400,158.220000
2.310000,156.818000
2.335700,158.042000
2.361300,157.159000
2.387000,158.922000
2.412700,156.928000
2.438300,157.908000
2.464000,157.378000
2.489700,158.689000
2.515300,157.073000
2.541000,157.676000
2.566700,157.414000
2.592400,157.692000
2.618000,157.270000
2.643700,157.303000
2.669300,157.266000
2.695000,157.175000
2.720700,157.345000
2.746300,157.357000
2.772000,158.629000
2.797700,157.226000
2.823300,157.792000
2.849000,156.642000
2.874600,157.941000
2.900300,157.086000
2.926000,157.975000
2.951600,156.833000
2.977300,158.602000
3.003000,156.711000
3.028600,158.098000
3.054300,156.567000
3.080000,158.543000
3.105600,156.345000
3.131300,158.273000
3.156900,156.954000
3.182600,158.968000
3.208300,157.641000
3.233900,158.312000
3.259600,156.907000
3.285300,158.411000
3.310900,156.904000
3.336600,158.147000
3.362300,157.113000
3.387900,158.308000
3.413600,157.369000
3.439200,157.850000
3.464900,157.340000
3.490600,158.617000
3.516200,157.577000
3.541900,157.556000
3.567600,157.481000
3.593200,157.854000
3.618900,157.426000
3.644600,157.038000
3.670200,157.810000
3.695900,157.608000
3.721600,157.853000
3.747200,154.844000
3.772900,152.015000
3.798500,157.336000
3.824200,157.091000
3.849900,156.073000
3.875500,157.471000
3.901200,155.996000
3.926800,157.223000
3.952500,156.058000
3.978200,158.082000
4.003800,156.137000
4.029500,157.537000
4.055200,156.199000
4.080800,157.888000
4.106500,156.064000
4.132200,157.503000
4.157800,155.950000
4.183500,157.933000
4.209200,157.103000
4.234800,158.637000
4.260500,156.648000
4.286200,158.354000
4.311800,157.378000
4.337500,157.776000
4.363200,156.666000
4.388900,157.656000
4.414500,156.709000
4.440200,157.595000
4.465900,157.191000
4.491500,158.141000
4.517200,157.757000
4.542900,157.414000
4.568500,157.611000
4.594200,157.520000
4.619900,157.316000
4.645500,156.729000
4.671200,157.669000
4.696900,156.670000
4.722600,157.392000
4.748200,156.598000
4.773900,157.986000
4.799500,157.171000
4.825200,157.884000
4.850900,156.305000
4.876500,158.295000
4.902200,156.325000
4.927900,157.837000
4.953500,156.288000
4.979200,158.572000
5.004900,157.210000
5.030500,158.145000
5.056200,156.336000
5.081900,158.305000
5.107500,156.469000
5.133200,157.966000
5.158900,156.774000
5.184600,158.242000
5.210200,156.698000
5.235900,158.061000
5.261500,156.953000
5.287200,158.089000
5.312900,157.205000
5.338600,157.704000
5.364200,157.089000
5.389900,157.582000
5.415600,156.978000
5.441200,157.862000
5.466900,158.156000
5.492600,157.767000
5.518200,157.516000
5.543900,157.169000
5.569600,157.888000
5.595300,157.648000
5.620900,158.082000
5.646600,156.884000
5.672200,158.069000
5.697900,157.567000
5.723600,158.069000
5.749200,157.124000
5.774900,158.492000
5.800600,156.852000
5.826300,158.371000
5.851900,156.870000
5.877600,158.662000
5.903300,156.835000
5.928900,158.782000
5.954600,157.587000
5.980300,158.890000
6.005900,157.163000
6.031600,158.439000
6.057300,157.070000
6.082900,158.619000
6.108600,157.011000
6.134300,157.972000
6.159900,156.652000
6.185600,158.157000
6.211300,156.861000
6.236900,157.291000
6.262600,151.420000
6.288300,156.217000
6.313900,156.811000
6.339600,156.812000
6.365300,156.241000
6.390900,157.186000
6.416600,156.698000
6.442300,156.807000
6.467900,157.563000
6.493600,157.714000
6.519300,157.039000
6.544900,156.474000
6.570600,157.025000
6.596200,156.562000
6.621900,156.873000
6.647500,156.278000
6.673200,157.667000
6.698900,156.827000
6.724500,157.419000
6.750200,156.402000
6.775800,158.042000
6.801500,156.846000
6.827200,157.861000
6.852800,156.444000
6.878500,158.261000
6.904200,156.397000
6.929800,158.142000
6.955500,156.886000
6.981200,158.493000
7.006800,156.854000
7.032500,157.993000
7.058200,156.569000
7.083900,157.931000
7.109500,156.497000
7.135200,157.791000
7.160900,156.900000
7.186500,157.840000
7.212200,156.765000
7.237900,157.616000
7.263500,157.148000
7.289200,157.992000
7.314900,157.042000
7.340500,157.247000
7.366200,157.257000
7.391900,157.316000
7.417500,157.112000
7.443200,157.102000
7.468900,158.186000
7.494500,158.161000
7.520200,157.703000
7.545900,156.945000
7.571500,158.273000
7.597200,156.711000
7.622900,157.800000
7.648500,156.889000
7.674200,158.380000
7.699900,156.870000
7.725600,158.244000
7.751200,156.871000
7.776900,158.566000
7.802600,157.051000
7.828200,158.260000
7.853900,156.536000
7.879500,158.565000
7.905200,156.537000
7.930900,158.210000
7.956500,156.672000
7.982200,158.610000
