t,F
0.821400,157.917000
0.847000,157.680000
0.872700,158.850000
0.898400,157.479000
0.924100,158.705000
0.949700,156.572000
0.975400,158.857000
1.001100,157.290000
1.026700,158.561000
1.052400,157.577000
1.078100,158.622000
1.103700,157.157000
1.129400,158.780000
1.155100,157.050000
1.180700,158.938000
1.206400,157.092000
1.232100,158.855000
1.257700,157.928000
1.283400,158.632000
1.309100,157.379000
1.334700,158.304000
1.360400,157.623000
1.386000,158.574000
1.411700,156.983000
1.437400,158.460000
1.463000,157.554000
1.488700,158.123000
1.514300,157.674000
1.540000,157.631000
1.565700,158.092000
1.591300,157.956000
1.617000,157.391000
1.642600,157.492000
1.668300,158.852000
1.694000,157.772000
1.719600,158.236000
1.745300,157.798000
1.771000,158.324000
1.796600,157.922000
1.822300,158.610000
1.848000,157.265000
1.873600,159.603000
1.899300,157.622000
1.925000,159.128000
1.950600,157.149000
1.976300,159.078000
2.002000,157.861000
2.027600,158.520000
2.053300,157.680000
2.079000,159.566000
2.104600,157.354000
2.130300,158.927000
2.156000,156.946000
2.181600,159.261000
2.207300,157.792000
2.232900,158.454000
2.258600,157.863000
2.284300,158.972000
2.309900,157.804000
2.335600,158.661000
2.361300,157.651000
2.386900,158.284000
2.412600,157.885000
2.438200,158.325000
2.463900,157.796000
2.489600,158.540000
2.515200,157.509000
2.540900,157.505000
2.566500,158.030000
2.592200,158.031000
2.617900,158.768000
2.643500,157.509000
2.669200,158.548000
2.694900,158.145000
2.720500,158.185000
2.746200,157.376000
2.771800,158.460000
2.797500,154.081000
2.823200,153.698000
2.848800,157.562000
2.874500,158.441000
2.900200,156.786000
2.925800,157.905000
2.951500,157.064000
2.977200,158.247000
3.002800,156.821000
3.028500,158.308000
3.054200,156.699000
3.079800,159.002000
3.105500,156.667000
3.131100,157.723000
3.156800,156.932000
3.182500,158.948000
3.208100,156.818000
3.233800,158.329000
3.259400,157.262000
3.285100,158.365000
3.310800,157.897000
3.336400,157.937000
3.362100,157.665000
3.387800,158.363000
3.413400,157.350000
3.439100,158.309000
3.464800,157.812000
3.490400,157.422000
3.516100,157.828000
3.541800,158.062000
3.567400,158.071000
3.593100,158.012000
3.618800,158.952000
3.644400,157.906000
3.670100,159.101000
3.695800,157.546000
3.721400,158.764000
3.747100,157.085000
3.772800,158.219000
3.798400,157.742000
3.824100,158.411000
3.849800,157.409000
3.875400,159.442000
3.901100,156.982000
3.926800,158.999000
3.952500,157.040000
