t,F
0.179600,158.443000
0.205300,158.135000
0.231000,158.719000
0.256600,157.538000
0.282300,159.083000
0.308000,157.140000
0.333600,158.279000
0.359300,157.846000
0.385000,159.470000
0.410700,157.131000
0.436300,159.707000
0.462000,157.501000
0.487700,158.757000
0.513300,157.305000
0.539000,159.728000
0.564700,157.335000
0.590300,158.940000
0.616000,157.531000
0.641700,159.446000
0.667300,157.075000
0.693000,159.214000
0.718600,158.012000
0.744300,158.810000
0.770000,158.148000
0.795600,158.325000
0.821300,156.406000
0.847000,159.401000
0.872600,158.494000
0.898300,158.332000
0.924000,158.179000
0.949700,158.684000
0.975300,157.972000
1.001000,158.536000
1.026700,157.774000
1.052300,157.923000
1.078000,157.954000
1.103700,157.594000
1.129400,159.145000
1.155000,157.855000
1.180700,158.874000
1.206400,157.898000
1.232000,158.431000
1.257700,154.114000
1.283400,153.500000
1.309100,157.971000
1.334700,158.338000
1.360400,157.517000
1.386100,158.344000
1.411700,157.174000
1.437400,158.973000
1.463100,156.342000
1.488700,158.154000
1.514400,157.336000
1.540100,158.641000
1.565700,156.745000
1.591400,158.959000
1.617100,156.971000
1.642700,159.136000
1.668400,157.204000
1.694000,158.266000
1.719700,157.515000
1.745400,158.554000
1.771000,157.731000
1.796700,158.692000
1.822400,157.034000
1.848000,158.068000
1.873700,158.299000
1.899400,158.330000
1.925000,157.713000
1.950700,158.367000
1.976400,157.656000
2.002000,158.063000
2.027700,158.332000
2.053400,157.646000
2.079100,158.637000
2.104700,157.461000
2.130400,158.791000
2.156100,158.093000
2.181700,158.770000
2.207400,157.639000
2.233100,158.757000
2.258700,157.689000
2.284400,159.167000
2.310100,156.766000
2.335700,159.245000
2.361400,157.239000
2.387100,158.986000
2.412800,157.350000
2.438400,158.549000
2.464100,157.621000
2.489700,159.087000
2.515400,157.013000
2.541100,159.265000
2.566700,157.232000
2.592400,159.216000
2.618100,157.687000
2.643700,158.718000
2.669400,157.940000
2.695100,158.447000
2.720700,158.040000
2.746400,159.108000
2.772100,157.819000
2.797700,158.837000
2.823400,157.944000
2.849100,158.499000
2.874700,158.452000
2.900400,158.017000
2.926100,158.816000
2.951700,158.104000
2.977400,158.589000
3.003000,158.206000
3.028700,158.150000
3.054400,157.535000
3.080000,159.068000
3.105700,157.939000
3.131400,158.725000
3.157100,158.137000
3.182700,159.156000
3.208400,157.635000
3.234100,159.668000
3.259800,157.293000
3.285400,159.296000
3.311100,157.289000
3.336800,159.376000
3.362400,157.920000
3.388100,158.897000
3.413800,157.716000
3.439500,159.325000
3.465100,157.249000
3.490800,158.911000
3.516500,158.302000
3.542100,159.272000
3.567800,157.424000
3.593500,158.895000
3.619100,158.054000
3.644800,158.547000
3.670500,157.581000
3.696100,158.367000
3.721800,157.694000
3.747500,157.497000
3.773100,151.551000
3.798800,157.150000
3.824500,157.556000
3.850200,157.793000
3.875800,157.576000
3.901500,158.450000
3.927200,158.457000
3.952800,157.536000
3.978500,158.265000
4.004200,157.132000
4.029800,158.218000
4.055500,157.372000
4.081100,158.116000
4.106800,157.362000
4.132500,158.286000
4.158100,157.219000
4.183800,158.786000
4.209500,156.663000
4.235200,159.045000
4.260800,156.907000
4.286500,158.418000
4.312200,157.173000
4.337800,158.387000
4.363500,157.334000
4.389200,158.833000
4.414900,156.881000
4.440500,158.778000
4.466200,156.853000
4.491900,158.619000
4.517500,157.268000
4.543200,158.556000
4.568900,157.666000
4.594500,158.090000
4.620200,157.532000
4.645800,158.743000
4.671500,157.431000
4.697200,157.967000
4.722800,158.086000
4.748500,158.323000
4.774200,157.573000
4.799800,157.627000
4.825500,158.514000
4.851200,158.107000
4.876800,157.881000
4.902500,157.383000
4.928200,158.249000
4.953800,158.074000
4.979500,158.711000
5.005200,157.260000
5.030800,159.333000
5.056500,157.289000
5.082100,158.893000
5.107800,157.322000
5.133500,158.955000
5.159100,157.702000
5.184800,158.976000
5.210500,157.440000
5.236100,159.250000
5.261800,157.393000
5.287500,159.478000
5.313100,157.113000
5.338800,158.626000
5.364500,157.465000
5.390100,159.176000
5.415800,156.934000
5.441500,158.969000
5.467200,157.634000
5.492800,158.907000
5.518500,158.396000
5.544100,158.693000
5.569800,157.655000
5.595500,158.618000
5.621100,158.679000
5.646800,158.566000
5.672500,158.430000
5.698100,158.153000
5.723800,157.773000
5.749400,158.229000
5.775100,158.734000
5.800800,157.675000
5.826400,158.288000
5.852100,158.323000
5.877700,158.382000
5.903400,158.217000
5.929100,159.035000
5.954700,157.386000
5.980400,158.593000
6.006100,157.258000
