t,F
1.129600,159.046000
1.155200,157.432000
1.180900,159.749000
1.206600,157.404000
1.232300,159.249000
1.257900,157.676000
1.283600,158.955000
1.309300,153.421000
1.334900,154.611000
1.360600,157.206000
1.386300,158.339000
1.412000,157.096000
1.437600,158.101000
1.463300,156.792000
1.489000,158.506000
1.514700,156.642000
1.540300,158.687000
1.566000,157.019000
1.591700,158.309000
1.617400,157.507000
1.643000,158.041000
1.668700,157.629000
1.694400,158.312000
1.720100,157.503000
1.745700,158.506000
1.771400,157.591000
1.797100,158.535000
1.822800,157.975000
1.848400,157.541000
1.874100,158.396000
1.899800,157.889000
1.925500,158.455000
1.951200,157.572000
1.976800,158.415000
2.002500,158.176000
2.028200,158.458000
2.053900,157.126000
2.079500,159.053000
2.105200,157.338000
2.130900,159.390000
2.156600,157.133000
2.182200,159.066000
2.207900,157.757000
2.233600,158.573000
2.259300,156.590000
2.285000,159.138000
2.310600,157.186000
2.336300,158.577000
2.362000,157.850000
2.387700,158.894000
2.413400,157.340000
2.439000,159.163000
2.464700,157.233000
2.490400,159.342000
2.516100,157.517000
2.541700,158.629000
2.567400,158.045000
2.593100,158.385000
2.618700,157.373000
2.644400,158.552000
2.670100,158.099000
2.695700,158.342000
2.721400,158.662000
2.747100,158.040000
2.772800,158.301000
2.798400,158.375000
2.824100,158.101000
2.849800,157.498000
2.875400,158.887000
2.901100,158.132000
2.926800,158.572000
2.952500,158.120000
2.978100,158.641000
3.003800,157.889000
3.029500,159.498000
3.055100,157.095000
3.080800,159.188000
3.106500,157.420000
3.132200,159.444000
3.157800,158.035000
3.183500,159.100000
3.209200,158.343000
3.234900,159.111000
3.260500,157.137000
3.286200,159.096000
3.311900,157.865000
3.337500,158.870000
3.363200,157.720000
3.388900,159.533000
3.414600,157.594000
3.440200,159.322000
3.465900,157.526000
3.491600,158.474000
3.517200,157.789000
3.542900,159.368000
3.568600,158.234000
3.594200,158.758000
3.619900,158.317000
3.645600,158.080000
3.671300,158.740000
3.696900,158.064000
3.722600,157.892000
3.748300,158.209000
3.773900,159.042000
3.799600,155.630000
3.825300,152.594000
3.851000,157.820000
3.876600,157.602000
3.902300,157.553000
3.928000,157.975000
3.953700,157.184000
3.979300,158.663000
4.005000,156.964000
4.030700,158.765000
4.056300,156.453000
4.082000,158.611000
4.107700,157.203000
4.133400,158.464000
4.159000,157.359000
4.184700,158.645000
4.210400,157.341000
4.236100,159.024000
4.261700,156.575000
4.287400,158.279000
4.313100,157.238000
4.338800,158.960000
4.364400,157.170000
4.390100,159.054000
4.415800,157.524000
4.441500,158.605000
4.467100,158.149000
4.492800,158.393000
4.518500,158.177000
4.544100,158.247000
4.569800,157.206000
4.595500,158.034000
4.621200,158.392000
4.646800,157.599000
4.672500,157.824000
4.698200,158.171000
4.723900,158.367000
4.749500,158.136000
4.775200,158.169000
4.800900,157.271000
4.826600,158.820000
4.852200,156.839000
4.877900,159.047000
4.903600,157.947000
4.929200,158.948000
4.954900,157.858000
4.980600,158.497000
5.006300,157.225000
5.031900,159.224000
5.057600,157.379000
5.083300,158.648000
5.108900,157.125000
5.134600,159.273000
5.160300,157.668000
5.185900,158.829000
5.211600,158.215000
5.237300,158.939000
5.263000,157.536000
5.288600,159.151000
5.314300,157.962000
5.340000,159.079000
5.365600,157.353000
5.391300,158.469000
5.417000,158.250000
5.442700,158.245000
5.468300,158.256000
5.494000,158.207000
5.519700,158.107000
5.545300,158.548000
5.571000,158.006000
5.596700,158.296000
5.622300,158.698000
5.648000,158.265000
5.673700,159.109000
5.699400,157.676000
5.725000,158.835000
5.750700,157.749000
5.776400,158.757000
5.802100,158.838000
5.827700,159.297000
5.853400,157.662000
5.879100,159.214000
5.904700,157.614000
5.930400,159.591000
5.956100,157.015000
5.981800,159.053000
6.007400,157.938000
6.033100,159.122000
6.058800,158.053000
6.084500,159.441000
6.110100,157.594000
6.135800,159.500000
6.161500,157.452000
6.187100,159.262000
6.212800,157.561000
6.238500,158.787000
6.264200,157.962000
6.289800,157.743000
6.315500,152.012000
6.341200,157.046000
6.366900,157.471000
6.392500,157.944000
6.418200,156.848000
6.443900,157.895000
6.469600,157.466000
6.495200,157.613000
6.520900,158.364000
6.546600,157.576000
6.572300,157.618000
6.597900,157.651000
6.623600,157.901000
6.649300,157.724000
6.674900,157.685000
6.700600,157.139000
6.726300,158.595000
6.752000,157.078000
6.777600,158.464000
6.803300,157.286000
6.829000,158.658000
6.854600,157.126000
6.880300,158.223000
6.906000,157.365000
6.931600,158.752000
6.957300,156.783000
6.983000,159.008000
7.008600,156.966000
7.034300,159.023000
7.060000,157.537000
7.085700,158.535000
7.111300,157.517000
7.137000,158.391000
7.162700,157.550000
7.188300,158.733000
7.214000,157.217000
7.239700,158.837000
7.265300,157.345000
7.291000,158.254000
7.316700,157.937000
7.342400,158.102000
7.368000,157.822000
7.393700,158.083000
7.419400,158.232000
7.445100,158.391000
7.470700,157.746000
7.496400,157.550000
7.522100,158.659000
7.547700,158.109000
7.573400,158.041000
7.599100,157.874000
7.624800,158.626000
7.650400,157.816000
7.676100,159.202000
7.701800,157.240000
7.727400,159.117000
7.753100,157.211000
7.778800,158.603000
7.804400,158.073000
7.830100,159.066000
7.855800,157.534000
7.881400,158.926000
7.907100,156.950000
7.932800,159.505000
7.958500,157.447000
7.984100,159.029000
8.009800,157.419000
8.035500,158.802000
8.061200,157.781000
8.086800,158.640000
8.112500,157.897000
8.138200,159.371000
8.163800,157.572000
8.189500,158.820000
8.215200,157.692000
8.240900,158.562000
8.266500,158.058000
8.292200,158.236000
8.317900,158.612000
8.343600,158.457000
8.369200,158.069000
8.394900,158.427000
8.420600,158.214000
8.446200,158.512000
8.471900,158.607000
8.497600,157.944000
8.523300,159.164000
