t,F
0.872800,157.266000
0.898500,158.457000
0.924200,157.700000
0.949800,158.102000
0.975500,157.283000
1.001200,158.748000
1.026800,157.651000
1.052500,158.312000
1.078200,157.482000
1.103800,157.758000
1.129500,158.146000
1.155100,157.525000
1.180800,158.486000
1.206500,157.876000
1.232100,158.149000
1.257800,157.884000
1.283400,158.322000
1.309100,157.428000
1.334800,158.624000
1.360400,157.629000
1.386100,158.748000
1.411700,157.838000
1.437400,158.718000
1.463000,156.938000
1.488700,159.357000
1.514400,156.994000
1.540000,158.523000
1.565700,157.336000
1.591400,159.142000
1.617000,156.913000
1.642700,159.311000
1.668400,157.340000
1.694000,158.985000
1.719700,157.507000
1.745300,158.817000
1.771000,157.796000
1.796700,159.075000
1.822300,157.276000
1.848000,158.268000
1.873700,157.880000
1.899300,158.556000
1.925000,157.717000
1.950700,158.268000
1.976300,157.502000
2.002000,158.700000
2.027700,157.891000
2.053300,157.812000
2.079000,158.558000
2.104600,158.031000
2.130300,158.555000
2.156000,157.903000
2.181600,158.667000
2.207300,158.358000
2.233000,158.544000
2.258600,157.816000
2.284300,159.087000
2.310000,157.102000
2.335700,158.531000
2.361300,157.881000
2.387000,159.176000
2.412700,157.729000
2.438300,159.545000
2.464000,156.961000
2.489700,159.469000
2.515300,158.290000
2.541000,159.307000
2.566700,157.590000
2.592300,159.131000
2.618000,157.608000
2.643700,159.139000
2.669300,157.469000
2.695000,159.446000
2.720600,157.283000
2.746300,158.544000
2.772000,152.095000
2.797600,156.247000
2.823300,156.992000
2.849000,157.734000
2.874600,156.964000
2.900300,157.455000
2.926000,157.292000
2.951600,157.487000
2.977300,157.717000
3.003000,158.399000
3.028600,157.520000
3.054300,157.835000
3.079900,157.556000
3.105600,157.563000
3.131300,158.140000
3.156900,157.025000
3.182600,157.890000
3.208300,157.583000
3.233900,158.226000
3.259600,156.868000
3.285200,158.942000
3.310900,156.741000
3.336600,158.465000
3.362300,157.134000
3.387900,158.466000
3.413600,157.563000
3.439200,158.679000
3.464900,156.931000
3.490600,159.082000
3.516300,156.962000
3.541900,159.090000
3.567600,157.410000
3.593300,159.077000
3.618900,157.557000
3.644600,158.387000
3.670300,157.789000
3.695900,159.244000
3.721600,157.630000
3.747300,158.754000
3.772900,157.156000
3.798600,158.308000
3.824300,157.616000
3.849900,158.315000
3.875600,157.747000
3.901300,158.627000
3.926900,157.937000
3.952600,157.904000
3.978300,158.325000
4.003900,157.600000
4.029600,158.558000
4.055300,157.788000
4.081000,158.536000
4.106600,158.275000
4.132300,158.345000
4.157900,157.316000
4.183600,158.984000
4.209300,157.495000
4.234900,159.075000
4.260600,157.223000
4.286300,159.444000
4.311900,157.473000
4.337600,158.668000
4.363300,157.552000
4.388900,159.069000
4.414600,157.045000
4.440300,158.834000
4.465900,157.824000
4.491600,159.006000
4.517300,157.544000
4.542900,158.879000
4.568600,156.929000
4.594200,158.987000
4.619900,157.024000
4.645600,158.181000
4.671200,157.119000
4.696900,158.601000
4.722600,158.116000
4.748200,158.289000
4.773900,158.005000
4.799600,158.226000
