t,F
0.770100,158.408000
0.795800,158.148000
0.821500,158.320000
0.847100,157.482000
0.872800,159.051000
0.898500,157.923000
0.924100,158.799000
0.949800,157.940000
0.975500,158.886000
1.001100,157.910000
1.026800,159.373000
1.052500,157.018000
1.078100,158.872000
1.103800,157.069000
1.129500,159.175000
1.155200,157.946000
1.180800,159.070000
1.206500,157.827000
1.232200,159.165000
1.257800,157.325000
1.283500,158.899000
1.309200,157.801000
1.334800,158.870000
1.360500,157.875000
1.386200,159.102000
1.411800,157.468000
1.437500,159.323000
1.463200,158.128000
1.488800,158.704000
1.514500,158.473000
1.540100,158.310000
1.565800,158.706000
1.591500,158.652000
1.617100,157.888000
1.642800,158.001000
1.668500,159.050000
1.694100,158.059000
1.719800,158.755000
1.745500,158.436000
1.771200,158.664000
1.796800,158.131000
1.822500,158.865000
1.848100,157.250000
1.873800,159.039000
1.899500,158.138000
1.925100,159.176000
1.950800,158.075000
1.976500,159.703000
2.002100,157.603000
2.027800,159.691000
2.053500,153.096000
2.079100,154.631000
2.104800,157.125000
2.130500,157.466000
2.156100,156.932000
2.181800,158.534000
2.207500,156.867000
2.233100,158.460000
2.258800,156.576000
2.284500,158.521000
2.310100,156.919000
2.335800,158.055000
2.361500,157.696000
2.387100,158.097000
2.412800,157.526000
2.438500,158.380000
2.464100,157.556000
2.489800,158.590000
2.515500,157.592000
2.541100,158.417000
2.566800,158.471000
2.592500,157.727000
2.618200,158.389000
2.643800,157.685000
2.669500,158.235000
2.695200,157.826000
2.720900,157.988000
2.746500,157.947000
2.772200,159.086000
2.797900,157.214000
2.823500,158.554000
2.849200,157.797000
2.874900,158.862000
2.900500,157.511000
2.926200,159.212000
2.951900,157.239000
2.977500,159.415000
3.003200,157.355000
3.028900,159.074000
3.054500,157.766000
3.080200,158.939000
3.105900,157.906000
3.131600,158.961000
3.157200,157.428000
3.182900,159.424000
3.208600,157.446000
3.234200,159.115000
3.259900,157.678000
3.285600,158.740000
3.311200,158.088000
3.336900,158.349000
3.362600,157.956000
3.388200,158.516000
3.413900,157.745000
3.439600,158.565000
3.465200,157.909000
3.490900,157.931000
3.516600,158.246000
3.542300,158.449000
3.567900,158.356000
3.593600,158.272000
3.619300,158.863000
3.644900,157.657000
3.670600,159.059000
3.696300,157.704000
3.721900,159.083000
3.747600,157.788000
3.773300,158.818000
3.799000,157.659000
3.824600,158.846000
3.850300,157.525000
3.876000,159.470000
3.901600,157.177000
3.927300,159.331000
3.953000,157.413000
3.978700,159.464000
4.004300,157.722000
4.030000,158.912000
4.055700,157.755000
4.081400,159.091000
4.107000,157.050000
4.132700,158.788000
4.158400,158.313000
4.184000,158.997000
4.209700,157.462000
4.235400,158.595000
4.261000,158.401000
4.286700,158.722000
4.312400,157.782000
4.338000,158.539000
4.363700,158.535000
4.389400,158.391000
4.415000,158.693000
4.440700,158.096000
4.466400,158.113000
4.492000,158.587000
4.517700,158.259000
4.543400,156.037000
4.569000,152.377000
4.594700,157.782000
4.620400,158.353000
4.646000,156.647000
4.671700,157.352000
4.697400,156.897000
4.723100,158.234000
4.748700,156.501000
4.774400,158.009000
4.800100,157.203000
4.825700,158.610000
4.851400,156.456000
4.877100,158.411000
4.902700,157.327000
4.928400,158.616000
4.954100,156.764000
4.979700,159.115000
5.005400,157.013000
5.031100,158.709000
5.056800,157.264000
5.082400,158.641000
5.108100,157.790000
5.133800,158.282000
5.159400,156.907000
5.185100,158.126000
5.210800,157.011000
5.236400,158.555000
5.262100,157.687000
5.287800,158.432000
5.313400,158.074000
5.339100,157.757000
5.364800,157.592000
5.390400,157.807000
5.416100,157.897000
5.441800,158.120000
5.467400,158.166000
5.493100,158.183000
5.518800,158.350000
5.544500,157.139000
5.570100,158.234000
5.595800,157.771000
5.621500,158.721000
5.647100,157.832000
5.672800,159.178000
5.698500,157.167000
5.724200,159.069000
5.749800,157.324000
5.775500,158.635000
5.801200,157.331000
5.826800,159.452000
5.852500,157.361000
5.878200,159.314000
5.903800,158.415000
5.929500,159.565000
5.955200,157.673000
5.980900,159.229000
6.006500,157.488000
6.032200,159.113000
6.057800,157.137000
6.083500,158.514000
6.109200,157.802000
6.134900,158.719000
6.160500,157.494000
6.186200,158.601000
6.211900,157.673000
6.237500,158.639000
6.263200,158.966000
6.288900,158.235000
6.314500,157.826000
6.340200,158.434000
6.365900,158.277000
6.391600,157.241000
6.417200,157.996000
6.442900,158.199000
6.468600,158.606000
6.494300,157.361000
6.519900,158.445000
6.545600,157.984000
6.571300,159.357000
6.596900,157.475000
6.622600,158.574000
6.648300,157.661000
6.674000,159.157000
6.699600,156.806000
6.725300,159.078000
6.751000,158.015000
6.776600,159.460000
6.802300,157.912000
6.828000,159.172000
6.853700,157.293000
6.879300,159.800000
6.905000,157.028000
6.930700,158.505000
6.956400,157.328000
6.982000,159.057000
7.007700,158.156000
7.033400,158.113000
7.059100,151.853000
7.084700,157.054000
7.110400,157.364000
7.136100,157.302000
7.161800,157.193000
7.187400,157.564000
7.213100,156.333000
7.238800,157.091000
7.264500,157.719000
7.290100,158.133000
7.315800,157.604000
7.341500,157.706000
7.367100,157.729000
7.392800,157.708000
7.418500,157.815000
7.444100,157.139000
7.469800,158.676000
7.495500,156.791000
7.521200,158.236000
7.546800,157.297000
7.572500,158.369000
7.598200,157.340000
7.623900,158.451000
7.649600,157.320000
7.675200,159.641000
7.700900,156.948000
7.726600,158.211000
7.752300,157.386000
7.777900,159.196000
7.803600,157.198000
7.829300,158.189000
7.855000,156.926000
7.880600,158.992000
7.906300,157.365000
7.932000,158.105000
7.957700,156.950000
7.983300,159.379000
8.009000,157.942000
8.034700,158.317000
8.060400,158.197000
8.086000,158.461000
8.111700,157.891000
8.137400,158.203000
8.163100,157.536000
8.188700,157.763000
8.214400,158.424000
8.240100,158.164000
8.265800,158.114000
8.291400,158.289000
8.317100,157.979000
8.342800,157.350000
8.368400,158.831000
8.394100,157.792000
8.419800,158.232000
8.445500,157.774000
8.471100,158.990000
8.496800,157.863000
8.522500,159.232000
8.548200,156.968000
8.573800,159.689000
8.599500,157.939000
8.625200,158.821000
8.650900,157.636000
8.676500,158.967000
8.702200,157.308000
8.727900,159.022000
8.753600,157.217000
8.779200,158.832000
8.804900,156.909000
8.830600,159.085000
8.856300,157.607000
8.881900,158.802000
8.907600,158.228000
8.933300,158.572000
8.959000,157.700000
8.984600,159.124000
9.010300,157.601000
9.035900,158.811000
9.061600,157.929000
9.087300,158.027000
9.113000,157.999000
9.138600,158.377000
9.164300,158.537000
9.190000,158.468000
9.215600,158.495000
9.241300,157.483000
9.267000,158.218000
9.292600,158.241000
9.318300,158.735000
9.344000,157.813000
9.369600,159.435000
9.395300,157.158000
9.421000,158.443000
9.446700,157.527000
9.472300,159.277000
9.498000,157.183000
9.523700,159.108000
9.549400,153.525000
9.575000,154.256000
9.600700,158.172000
9.626400,157.915000
9.652100,156.700000
9.677700,158.406000
9.703400,156.409000
9.729100,158.673000
9.754800,156.577000
9.780400,158.038000
9.806100,156.578000
9.831800,157.947000
9.857500,157.622000
9.883200,158.579000
9.908800,157.616000
9.934500,158.155000
9.960200,157.038000
9.985800,158.111000
10.011500,157.879000
10.037200,158.107000
10.062900,157.474000
10.088500,158.079000
10.114200,157.384000
10.139900,157.340000
10.165600,157.646000
10.191200,157.565000
10.216900,158.343000
10.242600,157.299000
10.268200,158.090000
10.293900,157.306000
10.319600,158.086000
10.345300,157.369000
10.370900,158.602000
10.396600,157.284000
10.422300,158.976000
10.448000,157.189000
10.473600,159.352000
10.499300,157.281000
10.525000,158.347000
10.550700,157.468000
10.576300,159.042000
10.602000,157.490000
10.627700,158.794000
10.653400,157.356000
10.679000,158.800000
10.704700,157.977000
10.730400,158.644000
10.756000,157.438000
10.781700,159.190000
10.807400,157.642000
10.833100,158.788000
10.858700,158.018000
10.884400,158.141000
10.910100,157.399000
10.935800,158.236000
10.961400,158.550000
10.987100,158.644000
11.012800,157.785000
11.038500,157.915000
11.064100,158.034000
11.089800,158.090000
11.115500,158.256000
11.141200,157.460000
11.166800,159.021000
11.192500,157.938000
11.218200,158.540000
11.243800,157.812000
11.269500,158.917000
11.295200,158.212000
11.320900,158.636000
11.346500,157.481000
11.372200,159.708000
11.397900,157.077000
11.423500,158.997000
11.449200,157.465000
11.474900,158.840000
11.500600,156.927000
11.526300,159.424000
11.551900,157.472000
11.577600,158.670000
11.603300,157.467000
11.629000,159.409000
11.654600,157.449000
11.680300,159.109000
11.680400,157.754000
11.731600,158.295000
11.757300,157.765000
11.783000,158.624000
11.808600,157.976000
11.834300,158.900000
11.859900,158.066000
11.885600,158.815000
11.911300,157.751000
11.936900,157.833000
11.962600,158.470000
11.988300,158.357000
12.013900,157.899000
12.039600,156.305000
12.065200,152.343000
12.090900,157.068000
12.116600,157.796000
12.142200,156.697000
12.167900,157.886000
12.193600,157.576000
12.219200,157.857000
12.244900,157.513000
12.270600,158.261000
