t,F
0.898100,157.177000
0.923800,158.672000
0.949500,157.857000
0.975100,158.727000
1.000800,157.999000
1.026500,158.405000
1.052100,157.801000
1.077800,158.755000
1.103400,157.792000
1.129100,158.791000
1.154800,158.153000
1.180400,158.375000
1.206100,158.678000
1.231800,157.960000
1.257400,158.890000
1.283100,158.250000
1.308700,158.574000
1.334400,158.392000
1.360100,158.558000
1.385700,157.893000
1.411400,158.913000
1.437000,157.588000
1.462700,159.597000
1.488400,157.670000
1.514000,159.299000
1.539700,157.883000
1.565400,158.728000
1.591000,157.183000
1.616700,159.499000
1.642400,157.570000
1.668000,159.280000
1.693700,157.893000
1.719300,158.961000
1.745000,157.752000
1.770700,159.304000
1.796300,157.460000
1.822000,159.417000
1.847700,157.494000
1.873400,159.356000
1.899000,158.408000
1.924700,158.560000
1.950400,157.496000
1.976000,158.921000
2.001700,158.257000
2.027300,158.762000
2.053000,158.651000
2.078700,158.504000
2.104300,158.552000
2.130000,158.844000
2.155700,158.444000
2.181300,159.123000
2.207000,158.915000
2.232700,158.258000
2.258300,158.963000
2.284000,157.844000
2.309700,159.292000
2.335300,157.895000
2.361000,158.957000
2.386700,158.129000
2.412400,158.807000
2.438000,157.711000
2.463700,159.017000
2.489400,153.836000
2.515000,154.187000
2.540700,157.526000
2.566300,158.350000
2.592000,156.830000
2.617700,158.151000
2.643300,156.957000
2.669000,158.188000
2.694700,157.198000
2.720300,158.682000
2.746000,156.915000
2.771700,159.120000
2.797300,157.160000
2.823000,158.449000
2.848700,157.469000
2.874300,158.279000
2.900000,157.703000
2.925700,158.374000
2.951300,157.415000
2.977000,158.633000
3.002700,157.383000
3.028300,157.889000
3.054000,157.939000
3.079700,158.399000
3.105300,158.008000
3.131000,158.202000
3.156700,158.039000
3.182400,158.296000
3.208000,158.597000
3.233700,157.365000
3.259300,159.000000
3.285000,157.630000
3.310700,158.660000
3.336400,157.893000
3.362000,158.583000
3.387700,157.470000
3.413400,158.800000
3.439000,157.082000
3.464700,159.269000
3.490300,157.309000
3.516000,159.220000
3.541700,157.589000
3.567300,159.096000
3.593000,157.353000
3.618700,158.790000
3.644300,157.596000
3.670000,159.110000
3.695600,157.381000
3.721300,159.410000
3.747000,157.355000
3.772600,159.177000
3.798300,157.929000
3.824000,158.268000
3.849600,157.379000
3.875300,159.227000
3.901000,158.401000
3.926600,158.380000
3.952300,158.580000
3.978000,158.420000
4.003600,158.487000
4.029300,158.914000
4.055000,158.411000
4.080600,158.689000
4.106300,158.417000
4.131900,158.258000
4.157600,159.058000
4.183300,158.134000
4.208900,159.184000
4.234600,157.997000
4.260300,159.436000
4.285900,158.075000
4.311600,158.841000
4.337300,157.984000
4.362900,159.541000
4.388600,158.022000
4.414300,159.791000
4.439900,157.334000
4.465600,159.748000
4.491300,157.841000
4.516900,159.121000
4.542600,158.109000
4.568300,159.077000
4.593900,157.788000
4.619600,159.220000
4.645300,157.237000
4.670900,159.498000
4.696600,157.755000
4.722300,159.102000
4.747900,158.548000
4.773600,158.807000
4.799200,158.500000
4.824900,158.654000
4.850600,157.552000
4.876200,158.656000
4.901900,158.631000
4.927500,158.212000
4.953200,158.355000
4.978800,156.990000
5.004500,151.822000
5.030200,157.960000
5.055800,157.825000
5.081500,157.618000
5.107200,158.116000
5.132800,156.860000
5.158500,158.327000
5.184100,157.370000
5.209800,158.097000
5.235500,157.679000
5.261100,158.445000
5.286800,157.638000
5.312500,158.581000
5.338100,157.086000
5.363800,159.069000
5.389400,157.025000
5.415100,158.342000
5.440700,157.159000
5.466400,159.050000
5.492100,156.913000
5.517700,159.078000
5.543400,157.348000
5.569000,158.719000
5.594700,157.357000
5.620300,159.090000
5.646000,157.303000
5.671700,159.003000
5.697300,157.986000
5.723000,158.573000
5.748600,157.906000
5.774300,158.395000
5.799900,158.032000
5.825600,158.986000
5.851200,157.962000
5.876900,158.521000
5.902500,158.800000
5.928200,158.814000
5.953900,158.492000
5.979500,157.723000
6.005200,158.767000
6.030800,157.982000
6.056500,158.018000
6.082100,157.830000
6.107800,158.555000
6.133500,158.274000
6.159100,159.201000
6.184800,157.642000
6.210400,159.188000
6.236100,157.380000
6.261800,159.106000
6.287400,157.735000
6.313100,158.770000
6.338700,157.631000
6.364400,158.977000
6.390000,157.528000
6.415700,159.157000
6.441400,157.248000
6.467000,159.599000
6.492700,157.794000
6.518300,158.918000
6.544000,157.949000
6.569700,158.474000
6.595300,157.922000
6.621000,159.284000
6.646600,157.582000
