时间(s),电流(mA)
0.8726,157.326
0.8983,158.755
0.9239,157.146
0.9496,158.725
0.9753,157.746
1.0009,158.188
1.0266,157.78
1.0523,157.736
1.0779,157.616
1.1036,157.861
1.1293,158.089
1.1549,158.748
1.1806,157.74
1.2062,157.748
1.2319,158.387
1.2576,157.633
1.2832,158.971
1.3089,157.337
1.3346,159.081
1.3602,158.103
1.3859,158.744
1.4116,157.646
1.4372,159.019
1.4629,157.407
1.4885,159.195
1.5142,157.227
1.5399,159.543
1.5656,157.439
1.5912,158.603
1.6169,157.044
1.6426,159.195
1.6682,157.149
1.6939,158.748
1.7196,157.89
1.7452,158.978
1.7709,157.883
1.7966,158.597
1.8222,157.467
1.8479,159.115
1.8736,157.451
1.8992,158.559
1.9249,157.881
1.9506,158.798
1.9762,158.215
2.0019,157.836
2.0276,158.629
2.0532,158.459
2.0789,158.249
2.1045,158.196
2.1302,158.132
2.1559,157.942
2.1815,158.684
2.2072,157.314
2.2328,158.69
2.2585,157.443
2.2842,158.824
2.3099,157.743
2.3355,158.595
2.3612,157.488
2.3869,158.426
2.4125,157.54
2.4382,157.9946
2.4639,157.45
2.4895,159.272
2.5152,157.285
2.5409,156.27439999999999
2.5665,157.2478
2.5922,156.652
2.6179,157.485
2.6436,158.039
2.6692,156.442
2.6949,158.14
2.7206,156.47
2.7462,158.452
2.7719,157.232
2.7976,158.061
2.8232,157.587
2.8489,157.794
2.8746,156.875
2.9002,157.676
2.9259,157.708
2.9516,157.962
2.9773,157.987
3.0029,157.855
3.0286,157.807
3.0543,158.377
3.0799,157.929
3.1056,157.733
3.1313,158.945
3.157,157.634
3.1826,158.708
3.2083,157.154
3.234,158.577
3.2596,157.36
3.2853,158.295
3.311,157.43
3.3366,158.651
3.3623,157.015
3.388,158.978
3.4136,156.884
3.4393,159.253
3.465,157.268
3.4906,158.795
3.5163,157.293
3.542,158.448
3.5677,157.555
3.5933,158.992
3.619,157.349
3.6447,159.069
3.6704,157.349
3.696,158.937
3.7217,157.573
3.7474,158.292
3.773,157.91
3.7987,158.165
3.8244,158.265
3.85,158.937
3.8757,157.516
3.9014,158.315
3.9271,157.834
3.9527,157.785
3.9784,158.191
4.0041,158.027
4.0298,158.081
4.0554,157.971
4.0811,158.386
4.1068,157.434
4.1324,159.196
4.1581,157.437
4.1838,158.232
4.2095,157.443
4.2351,159.383
4.2608,157.41
4.2865,159.033
4.3122,157.469
