时间(s),电流(mA)
0.6415,158.06
0.6672,158.595
0.6928,157.344
0.7185,158.018
0.7442,158.4
0.7698,158.096
0.7955,158.139
0.8212,158.186
0.8468,157.955
0.8725,157.047
0.8982,157.442
0.9238,157.354
0.9495,158.697
0.9752,157.908
1.0008,158.858
1.0265,157.338
1.0521,158.925
1.0778,158.003
1.1035,158.265
1.1291,156.479
1.1548,158.933
1.1805,157.475
1.2061,158.02
1.2318,156.532
1.2574,158.604
1.2831,157.067
1.3088,155.7544
1.3344,157.0008
1.3601,156.37359999999998
1.3858,156.692
1.4114,157.72
1.4371,156.944
1.4627,157.928
1.4884,156.016
1.5141,157.686
1.5397,156.769
1.5654,157.52
1.5911,156.076
1.6167,157.346
1.6424,157.001
1.668,158.581
1.6937,156.856
1.7194,158.115
1.745,157.341
1.7707,157.526
1.7964,157.549
1.822,156.968
1.8477,157.272
1.8733,157.141
1.899,157.328
1.9247,157.302
1.9503,157.334
1.976,157.08
2.0017,158.209
2.0273,156.553
2.053,158.255
2.0786,157.243
2.1043,158.188
2.13,156.152
2.1556,158.276
2.1813,157.053
2.207,158.36
2.2326,157.006
2.2583,159.118
2.2839,156.491
2.3096,158.825
2.3352,156.936
2.3609,158.298
2.3865,157.384
2.4122,158.287
2.4378,157.514
2.4635,158.754
2.4891,156.816
2.5148,158.756
2.5405,157.231
2.5661,158.382
2.5918,157.775
2.6174,157.794
2.6431,157.436
2.6432,158.545
2.6944,158.087
2.7201,157.514
2.7457,158.362
2.7714,158.06
2.7971,158.781
2.8227,157.972
2.8484,158.431
2.874,157.266
2.8997,158.15
2.9253,157.522
2.951,158.962
2.9767,157.02
3.0023,158.942
3.028,156.889
3.0536,159.1
3.0793,157.664
3.105,158.483
3.1306,156.336
3.1563,158.318
3.1819,156.992
3.2076,159.195
3.2333,156.944
3.2589,157.9954
3.2846,157.503
3.3102,158.757
3.3359,157.578
3.3616,158.803
3.3872,157.363
3.4129,158.658
3.4385,157.347
3.4642,159.154
3.4898,157.264
3.5155,158.272
3.5411,157.681
3.5668,158.139
3.5925,157.624
3.6181,157.456
3.6438,157.374
3.6694,157.946
3.6951,157.654
3.7208,157.0
3.7464,157.331
3.7721,157.192
3.7977,158.029
3.8234,156.3788
3.849,156.4142
3.8747,157.367
3.9004,156.964
3.926,157.3102
3.9517,158.115
3.9774,156.379
4.003,157.726
4.0287,156.312
4.0544,157.73
4.08,156.71
4.1057,157.8
4.1313,156.122
4.157,158.394
4.1826,156.0
4.2083,157.408
4.234,156.18
4.2596,158.163
4.2853,156.518
4.3109,158.945
4.3366,157.591
4.3623,157.696
4.3879,156.611
4.4136,158.31
4.4392,156.997
4.4649,157.964
4.4906,157.321
4.5162,157.306
4.5419,157.755
4.5675,157.274
4.5932,157.328
4.6188,157.445
4.6445,157.464
4.6701,157.897
4.6958,157.901
4.7214,157.037
4.7471,158.212
4.7728,156.478
4.7984,157.583
4.8241,156.329
4.8497,158.438
4.8754,157.168
4.901,158.163
4.9267,156.897
4.9523,158.734
4.978,156.45
5.0036,157.982
5.0293,156.518
5.055,158.928
5.0806,157.071
5.1063,158.196
5.1319,157.165
5.1576,158.327
5.1832,156.95
5.2089,158.516
5.2345,156.643
5.2602,157.987
5.2859,157.694
5.3115,158.501
5.3372,156.804
5.3628,158.086
5.3885,158.167
5.4141,158.064
5.4398,157.594
5.4655,158.43
5.4911,157.609
5.5168,158.055
5.5424,158.239
5.5681,157.582
5.5937,157.764
5.6194,157.041
5.645,158.165
5.6707,157.481
5.6963,158.077
5.722,157.807
5.7477,158.368
5.7733,156.672
5.799,158.275
5.8246,157.596
5.8503,158.538
5.876,156.541
5.9016,158.523
5.9273,157.149
5.9529,158.436
5.9786,157.15
6.0043,158.52
6.0299,156.794
6.0556,158.698
6.0812,156.739
6.1069,158.618
6.1325,157.296
6.1582,158.391
6.1839,157.233
6.2095,157.745
6.2352,156.336
6.2608,158.164
6.2865,157.737
6.3122,156.718
6.3378,156.86319999999998
6.3635,156.789
6.3892,156.606
6.4148,156.466
6.4405,157.051
6.4661,156.997
6.4918,157.126
6.5174,157.265
6.5431,156.923
6.5688,156.562
6.5944,157.721
6.6201,157.116
6.6458,157.647
6.6714,157.58
6.6971,157.872
6.7227,156.919
6.7484,158.18
6.774,156.472
6.7997,158.436
6.8254,156.284
6.851,157.945
6.8767,156.293
6.9024,157.679
6.928,156.683
6.9537,158.48
6.9794,156.861
7.005,158.529
7.0307,156.466
7.0564,157.926
7.082,156.916
7.1077,158.669
7.1334,156.627
7.159,157.674
7.1847,157.201
7.2104,158.278
7.236,156.986
7.2617,158.371
7.2874,157.197
7.313,158.137
7.3387,158.011
7.3644,157.595
7.39,158.288
7.4157,157.668
7.4413,157.532
7.467,156.754
7.4927,157.518
7.5183,157.715
7.544,158.128
7.5697,157.545
7.5953,158.797
7.621,156.882
7.6467,158.985
7.6723,156.952
7.698,158.335
7.7237,156.941
7.7493,158.263
7.775,156.473
7.8007,158.651
7.8263,157.087
7.852,158.212
7.8776,156.491
7.9033,158.573
7.929,156.914
7.9546,158.081
7.9803,156.796
8.006,158.728
8.0316,157.04
8.0573,158.089
8.083,157.298
8.1086,158.151
8.1343,157.504
8.1599,158.413
8.1856,157.148
8.2113,158.434
8.2369,157.295
8.2626,157.746
8.2882,157.999
8.3139,157.493
8.3396,157.371
8.3652,157.951
8.3909,158.362
8.4166,157.544
8.4422,158.313
8.4679,157.366
8.4936,158.825
8.5192,157.435
8.5449,158.284
8.5706,157.825
8.5962,158.683
8.6219,156.629
8.6476,158.317
8.6732,157.444
8.6989,158.452
8.7246,156.183
8.7502,158.399
8.7759,157.206
8.8016,158.024
8.8272,156.9976
8.8529,156.2176
8.8785,157.492
8.9042,157.377
8.9299,156.614
8.9555,157.536
8.9812,156.627
9.0068,158.128
9.0325,156.206
9.0582,158.169
9.0838,156.613
9.1095,157.466
9.1351,156.837
9.1608,157.272
9.1864,157.438
9.2121,157.574
9.2378,157.57
9.2634,157.89
9.2891,157.141
9.3147,157.478
9.3404,157.575
9.3661,156.818
9.3917,157.65
9.4174,158.502
9.4431,159.042
9.4687,157.931
9.4944,158.93
9.5201,156.502
9.5457,157.649
9.5714,156.842
9.597,158.337
9.6227,156.5
9.6483,158.725
9.674,156.703
9.6997,158.574
9.7253,156.794
9.751,158.034
9.7766,156.328
9.8023,158.236
9.828,156.745
9.8536,157.793
9.8793,157.067
9.9049,158.063
9.9306,156.721
9.9563,158.399
9.9819,156.996
10.0076,158.472
10.0332,157.053
10.0589,157.775
10.0845,157.639
10.1102,157.339
10.1359,157.484
10.1615,157.719
10.1872,157.27
10.2128,157.123
10.2385,157.65
10.2642,157.108
10.2898,157.757
10.3155,157.315
10.3412,157.367
10.3668,157.397
10.3925,158.284
10.4181,157.107
10.4438,158.466
10.4695,156.697
10.4951,158.523
10.5208,156.641
10.5464,157.773
10.5721,156.97
10.5977,158.907
10.6234,156.61
10.649,158.632
10.6747,157.724
10.7003,158.619
10.726,157.204
10.7517,158.252
10.7773,156.738
10.803,158.675
10.8286,156.759
10.8543,158.661
10.8799,157.797
10.9056,158.009
10.9313,156.784
10.9569,157.645
10.9826,157.301
11.0083,158.167
11.0339,157.292
11.0596,158.03
11.0853,157.337
11.1109,158.038
11.1366,157.786
11.1622,157.222
11.1879,158.539
11.2136,157.47
11.2392,157.768
11.2649,157.49
11.2905,158.327
11.3162,156.5156
11.3419,156.7628
11.3675,157.208
11.3932,157.607
11.4189,157.1516
11.4445,156.842
11.4702,156.219
11.4959,157.882
11.5215,156.127
11.5472,158.115
11.5729,156.098
11.5985,158.05
11.6242,156.619
11.6499,157.52
11.6755,156.549
11.7012,157.942
11.7268,156.351
11.7525,158.11
11.7782,156.443
11.8038,157.657
11.8295,156.645
11.8552,157.774
11.8808,156.611
11.9065,158.23
11.9322,156.998
11.9578,157.42
11.9835,157.083
12.0091,157.288
12.0348,156.762
12.0604,157.089
12.0861,157.47
12.1118,157.274
12.1374,158.02
12.1631,156.947
12.1888,157.835
12.2144,157.499
12.2401,157.301
12.2658,156.565
12.2914,158.532
12.3171,157.137
12.3428,157.788
12.3684,156.947
12.3941,158.061
12.4197,156.729
12.4454,158.352
12.4711,156.208
12.4967,158.895
12.5224,156.677
12.5481,158.06
12.5737,156.577
12.5994,158.151
12.625,156.426
12.6507,158.336
12.6763,156.844
12.702,158.172
12.7277,157.376
12.7533,158.053
12.779,157.116
12.8047,158.514
12.8303,156.437
12.856,157.165
12.8816,157.126
12.9073,158.103
12.933,157.019
12.9586,156.858
12.9843,157.359
13.01,157.563
13.0356,157.443
13.0613,157.34
13.0869,157.414
13.1126,157.71
13.1383,157.913
13.1639,156.262
13.1896,157.864
13.2153,157.58
13.2409,158.122
13.2666,156.983
13.2923,158.805
13.3179,156.851
13.3436,158.449
13.3693,156.786
13.3949,158.59
13.4206,157.282
13.4463,158.203
13.4719,156.368
13.4976,158.517
13.5233,156.946
13.5489,157.883
13.5746,156.708
13.6003,158.589
13.6259,156.95
13.6516,158.444
13.6772,156.929
13.7029,159.091
13.7286,157.26
13.7542,157.736
13.7799,157.249
13.8056,157.161
