时间(s),电流(mA)
1.0522,158.295
1.0779,157.119
1.1036,159.043
1.1292,156.887
1.1549,158.876
1.1806,156.943
1.2063,159.051
1.2319,157.632
1.2576,158.313
1.2832,156.923
1.3089,159.338
1.3346,157.694
1.3602,158.8
1.3859,157.916
1.4116,158.663
1.4372,157.736
1.4629,158.862
1.4886,157.662
1.5143,159.203
1.5399,157.753
1.5656,158.613
1.5913,157.926
1.6169,157.958
1.6426,158.326
1.6682,158.17
1.6939,157.785
1.7196,157.753
1.7452,158.583
1.7709,157.493
1.7965,157.81
1.8222,157.813
1.8479,159.107
1.8735,157.563
1.8992,158.94
1.9248,157.573
1.9505,158.74
1.9762,157.831
2.0018,158.821
2.0275,157.298
2.0531,156.9824
2.0788,157.459
2.1044,158.336
2.1301,156.387
2.1558,158.014
2.1814,156.599
2.2071,157.962
2.2327,157.12
2.2584,157.921
2.284,156.673
2.3097,158.769
2.3354,156.688
2.361,158.324
2.3867,157.022
2.4124,158.398
2.438,157.566
2.4637,157.928
2.4893,157.407
2.515,158.104
2.5407,157.226
2.5663,158.448
2.592,157.533
2.6176,158.166
2.6433,157.818
2.669,157.372
2.6946,158.489
2.7203,157.567
2.7459,158.233
2.7716,157.426
2.7973,158.029
2.8229,157.939
2.8486,158.23
2.8743,157.447
2.8999,159.301
2.9256,157.297
2.9512,159.096
2.9769,157.046
3.0026,158.665
3.0282,157.354
3.0539,158.445
3.0796,157.491
3.1052,158.91
3.1309,157.174
3.1565,159.225
3.1822,157.078
3.2079,159.161
3.2335,157.419
3.2592,158.577
3.2849,157.707
3.3105,158.344
3.3362,157.662
3.3619,158.875
3.3875,157.362
3.4132,158.8
3.4389,157.743
3.4646,158.444
3.4902,157.901
3.5159,158.271
3.5416,158.36
3.5672,157.998
3.5929,157.585
3.6185,157.677
3.6442,158.578
3.6699,157.638
3.6956,158.329
3.7212,158.295
3.7469,159.003
3.7726,157.577
3.7982,159.058
3.8239,157.815
3.8496,158.827
3.8752,157.912
3.9009,158.833
3.9266,157.587
3.9522,159.28
3.9779,157.029
4.0036,159.285
4.0292,157.341
4.0549,159.143
4.0806,157.524
4.1062,158.646
4.1319,157.521
4.1576,158.943
4.1832,157.519
4.2089,159.293
4.2345,157.291
4.2602,159.013
4.2859,157.643
4.3115,158.897
4.3372,158.495
4.3628,158.256
4.3885,157.881
4.4142,158.863
4.4398,158.239
4.4655,158.915
4.4912,158.437
4.5168,156.966
4.5425,157.7298
4.5682,157.388
4.5938,158.541
4.6195,157.317
4.6452,157.621
4.6708,157.194
4.6965,157.674
4.7222,157.598
4.7478,157.956
4.7735,156.952
4.7992,158.731
4.8248,156.92
4.8505,158.84
4.8762,156.895
4.9018,158.518
4.9275,157.383
4.9531,158.116
4.9788,157.047
5.0045,158.56
5.0301,156.89
5.0558,158.953
5.0814,156.905
5.1071,159.109
5.1328,157.231
5.1585,158.276
5.1841,157.526
5.2098,158.326
5.2354,157.092
5.2611,158.309
5.2867,157.726
5.3124,158.176
5.3381,157.722
5.3637,158.085
5.3894,157.317
5.415,157.803
5.4407,158.185
5.4664,157.978
5.492,158.233
5.5177,158.342
5.5433,158.009
5.569,157.377
5.5947,158.536
5.6203,157.983
5.646,158.267
5.6716,157.878
5.6973,158.607
5.723,157.131
5.7486,158.879
5.7743,157.096
5.7999,159.156
5.8256,157.098
5.8512,158.795
5.8769,157.867
5.9026,158.819
5.9282,157.491
5.9539,158.851
5.9796,157.223
6.0052,158.0042
6.0309,157.377
6.0565,159.031
6.0822,157.539
6.1078,158.526
6.1335,157.755
6.1592,158.724
6.1848,157.885
6.2105,158.784
6.2361,157.625
6.2618,158.939
6.2875,157.946
6.3131,158.257
6.3388,158.048
6.3645,158.006
6.3901,158.428
