时间(s),电流(mA)
0.3593,157.845
0.385,158.567
0.4106,158.087
0.4363,158.458
0.462,158.278
0.4876,158.364
0.5133,157.897
0.5389,158.086
0.5646,157.372
0.5902,159.273
0.6159,157.249
0.6416,158.824
0.6672,157.381
0.6929,159.215
0.7185,158.059
0.7442,158.625
0.7699,157.557
0.7955,159.238
0.8212,156.937
0.8468,159.127
0.8725,157.057
0.8982,159.108
0.9238,157.364
0.9495,158.804
0.9751,158.054
1.0008,159.574
1.0265,157.769
1.0521,159.075
1.0778,157.53
1.1035,159.321
1.1291,157.997
1.1548,158.845
1.1805,158.204
1.2061,158.524
1.2318,158.631
1.2575,158.262
1.2831,158.089
1.3088,158.292
1.3344,157.924
1.3601,158.234
1.3858,158.927
1.4114,158.181
1.4371,158.973
1.4627,157.658
1.4884,159.71
1.514,158.096
1.5397,158.552
1.5654,158.079
1.591,159.362
1.6167,157.794
1.6423,159.177
1.668,157.251
1.6937,159.791
1.7193,157.278
1.745,159.31
1.7706,157.757
1.7963,159.197
1.822,157.978
1.8476,159.111
1.8733,157.476
1.8989,159.622
1.9246,157.386
1.9503,159.283
1.9759,157.468
2.0016,159.255
2.0273,157.86
2.0529,158.301
2.0786,157.967
2.1042,159.332
2.1299,158.336
2.1556,158.731
2.1812,158.128
2.2069,158.966
2.2326,158.376
2.2582,157.857
2.2839,158.841
2.3096,158.024
2.3352,158.566
2.3609,158.032
2.3865,158.839
2.4122,157.17639999999997
2.4379,157.59499999999997
2.4635,157.921
2.4892,158.31
2.5149,157.094
2.5405,158.636
2.5662,156.747
2.5919,158.467
2.6175,157.145
2.6432,157.985
2.6688,156.862
2.6945,158.471
2.7202,156.613
2.7458,158.793
2.7715,156.858
2.7972,159.257
2.8228,157.136
2.8485,158.153
2.8741,157.266
2.8998,158.413
2.9255,157.397
2.9511,158.358
2.9768,157.105
3.0024,158.829
3.0281,157.282
3.0538,158.287
3.0794,157.881
3.1051,158.224
3.1308,158.01
3.1564,157.728
3.1821,157.906
3.2077,158.382
3.2334,157.753
3.2591,157.998
3.2847,158.527
3.3104,157.866
3.336,158.604
3.3617,157.014
3.3874,158.935
3.413,157.701
3.4387,158.234
3.4643,156.998
3.49,159.497
3.5157,157.638
3.5413,158.695
3.567,157.26
3.5926,158.921
3.6183,157.613
3.6439,158.856
3.6696,157.357
3.6953,159.695
3.7209,157.015
3.7466,158.207
3.7722,157.311
3.7979,159.868
3.8236,157.186
3.8492,158.929
3.8749,157.833
3.9006,159.073
3.9262,158.135
3.9519,158.265
3.9776,158.345
4.0032,158.914
4.0289,158.095
4.0546,158.48
4.0802,157.809
4.1059,158.837
4.1315,158.492
4.1572,157.89
4.1828,159.051
4.2085,158.177
4.2341,157.969
4.2598,157.335
4.2854,159.326
4.3111,157.693
4.3367,159.297
4.3624,157.682
4.3881,159.31
4.4137,158.374
4.4394,159.277
4.4651,157.583
4.4907,159.59
4.5164,157.65
4.5421,159.523
4.5677,157.066
4.5934,159.447
4.6191,158.215
4.6447,159.213
4.6704,158.038
4.696,159.555
4.7217,158.026
4.7474,159.602
4.7731,157.491
4.7987,159.858
4.8244,157.742
4.8501,158.744
4.8757,158.161
4.9014,157.972
4.927,157.83679999999998
4.9527,157.152
4.9784,157.455
5.004,158.444
5.0297,157.117
5.0554,157.775
5.081,157.999
5.1067,157.831
5.1324,158.217
5.158,157.265
5.1837,158.249
5.2093,158.081
5.235,158.18
5.2607,157.752
5.2863,158.597
5.312,157.742
5.3376,158.844
5.3633,156.973
5.389,158.871
5.4146,157.262
5.4403,158.756
5.466,157.333
5.4916,158.776
5.5173,157.561
5.543,158.899
5.5686,157.006
5.5943,159.592
5.6199,157.307
5.6456,159.128
5.6713,157.217
5.6969,158.878
5.7226,157.911
5.7483,158.214
5.7739,157.357
5.7996,158.993
5.8253,157.278
5.8509,158.673
5.8766,157.688
5.9022,158.73
5.9279,158.473
5.9536,158.078
5.9793,158.557
6.0049,158.452
6.0306,158.106
6.0562,158.16
6.0819,158.254
6.1076,158.428
6.1332,158.627
6.1589,157.61
6.1846,159.333
6.2102,157.879
6.2359,159.014
6.2616,157.484
6.2872,159.077
6.3129,158.024
6.3386,158.911
6.3642,157.99
6.3899,159.796
6.4156,157.099
6.4412,159.39
6.4669,157.295
6.4926,159.604
6.5182,157.826
6.5439,158.899
6.5696,158.325
6.5952,159.307
6.6209,157.006
6.6466,158.732
6.6722,157.935
6.6979,158.826
6.7235,157.876
6.7492,158.941
6.7749,157.933
6.8005,159.36
6.8262,158.087
6.8519,158.473
6.8775,158.767
6.9032,158.645
6.9289,157.929
6.9545,158.363
6.9802,158.948
7.0058,158.267
7.0315,159.196
7.0572,157.887
7.0828,159.028
7.1085,158.323
7.1342,158.638
7.1598,157.928
7.1855,158.901
