时间(s),电流(mA)
1.0525,157.841
1.0782,159.069
1.1038,157.479
1.1295,159.337
1.1552,157.248
1.1809,158.534
1.2065,157.859
1.2322,159.216
1.2579,157.551
1.2836,158.588
1.3092,158.24
1.3349,158.787
1.3606,157.658
1.3863,158.513
1.4119,158.323
1.4376,158.348
1.4633,157.949
1.4889,157.895
1.5146,158.776
1.5403,158.124
1.5659,158.894
1.5916,158.492
1.6173,158.745
1.643,158.706
1.6686,158.81
1.6943,158.139
1.72,159.479
1.7457,157.505
1.7713,158.876
1.797,158.087
1.8227,159.41
1.8484,157.386
1.874,158.3828
1.8997,157.451
1.9254,159.431
1.951,158.236
1.9767,159.133
2.0024,157.953
2.0281,159.323
2.0537,157.255
2.0794,158.836
2.1051,157.805
2.1307,158.801
2.1564,157.92
2.1821,159.398
2.2078,158.101
2.2334,159.365
2.2591,158.252
2.2848,158.952
2.3105,158.493
2.3361,158.732
2.3618,158.99
2.3875,158.816
2.4132,158.402
2.4388,158.938
2.4645,158.237
2.4902,157.952
2.5159,158.963
2.5415,158.694
2.5672,159.754
2.5929,159.129
2.6186,158.975
2.6442,157.871
2.6699,158.876
2.6956,157.929
2.7213,159.114
2.7469,157.994
2.7726,156.7372
2.7983,157.7424
2.8239,157.3156
2.8496,158.019
2.8753,158.473
2.901,157.175
2.9266,158.259
2.9523,157.464
2.978,158.457
3.0037,157.1
3.0293,159.127
3.055,157.12
3.0807,158.874
3.1063,157.314
3.132,158.501
3.1577,157.663
3.1833,158.189
3.209,156.835
3.2347,158.668
3.2603,158.203
3.286,158.357
3.3117,158.605
3.3374,158.32
3.363,157.565
3.3887,157.605
3.4144,158.299
3.44,157.929
3.4657,158.354
3.4914,158.005
3.517,158.157
3.5427,158.154
3.5684,158.489
3.5941,157.151
3.6197,158.686
3.6454,158.19
3.6711,158.736
3.6968,157.12
3.7224,159.244
3.7481,157.904
3.7738,158.886
3.7995,157.487
3.8251,159.232
3.8508,157.019
3.8765,158.643
3.9021,157.793
3.9278,159.026
3.9535,157.597
3.9792,159.281
4.0048,157.287
4.0305,159.406
4.0562,157.566
4.0818,158.86
4.1075,158.56
4.1332,158.731
4.1589,158.234
4.1845,158.815
4.2102,157.55
4.2359,158.331
4.2616,158.549
4.2872,158.462
4.3129,158.652
4.3386,159.105
4.3643,159.203
4.3899,159.704
4.4156,159.202
4.4413,157.783
4.467,158.52
4.4926,158.189
4.5183,158.927
4.544,157.902
4.5697,159.172
4.5953,157.369
4.621,158.831
4.6467,157.915
4.6724,159.379
4.698,157.383
4.7237,159.649
4.7494,157.551
4.7751,159.118
4.8007,157.554
4.8264,159.422
4.8521,157.237
4.8777,159.292
4.9034,157.94
4.9291,158.918
4.9548,157.509
4.9804,158.714
5.0061,157.906
5.0318,159.354
5.0575,157.884
5.0831,159.163
5.1088,157.861
5.1345,159.083
5.1346,158.509
5.1858,158.149
5.2115,158.078
5.2372,158.365
5.2629,158.528
5.2885,157.076
5.3142,157.86280000000002
5.3399,158.37
5.3655,158.082
5.3912,157.258
5.4169,158.152
5.4425,157.306
5.4682,158.396
5.4939,157.306
5.5195,158.188
5.5452,157.773
5.5709,158.5
5.5965,157.456
5.6222,158.836
5.6479,156.898
5.6735,158.992
5.6992,157.104
5.7249,159.091
5.7506,157.504
5.7762,158.667
5.8019,157.589
5.8276,158.823
5.8532,157.295
5.8789,159.431
5.9046,157.48
5.9302,158.531
5.9559,157.611
5.9816,159.05
6.0072,157.389
6.0329,159.157
6.0586,157.731
6.0842,158.832
6.1099,158.283
6.1356,158.244
6.1613,158.334
6.1869,158.338
6.2126,158.175
6.2383,158.596
6.2639,158.028
6.2896,157.475
6.3153,158.495
6.3409,158.157
6.3666,158.387
6.3923,158.201
6.418,158.744
6.4436,157.972
6.4693,159.628
6.495,157.475
6.5207,158.91
6.5463,157.838
6.572,159.332
6.5977,157.267
6.6234,158.963
6.649,156.982
6.6747,159.053
6.7004,157.923
6.726,158.879
6.7517,157.707
6.7774,159.295
6.8031,157.524
6.8287,159.216
6.8544,156.988
6.8801,158.637
6.9057,157.891
6.9314,159.184
6.9571,157.736
6.9827,159.292
7.0084,157.907
7.0341,158.72
7.0597,158.348
7.0854,158.274
7.1111,158.568
7.1368,158.534
7.1624,158.643
7.1881,158.668
7.2138,158.15
7.2394,157.797
7.2651,158.693
7.2908,158.211
7.3164,158.726
7.3421,158.419
7.3678,159.016
7.3935,157.587
7.4191,159.509
7.4448,157.569
7.4705,159.324
7.4961,157.602
7.5218,159.392
7.5475,157.987
7.5732,159.093
7.5988,157.596
7.6245,159.418
7.6502,157.018
7.6758,159.001
7.7015,158.216
7.7272,159.257
7.7528,157.62
7.7785,158.93
7.8042,157.7368
7.8299,156.81
7.8555,157.572
7.8812,157.752
7.9069,157.295
7.9325,157.745
7.9582,157.305
7.9839,158.326
8.0095,156.938
8.0352,157.603
8.0609,157.008
8.0866,157.856
8.1122,158.146
8.1379,157.814
8.1636,158.277
8.1892,157.391
8.2149,158.016
8.2406,158.253
8.2663,158.097
8.2919,157.83
8.3176,158.742
8.3433,157.428
8.3689,158.138
8.3946,156.825
8.4203,159.068
8.4459,157.519
8.4716,158.811
8.4973,157.667
8.5229,158.747
8.5486,157.495
8.5743,158.962
8.5999,156.782
8.6256,158.813
8.6513,157.688
8.6769,158.802
8.7026,156.962
8.7283,158.607
8.7539,157.908
8.7796,158.687
8.8053,157.656
8.831,159.232
8.8566,157.426
8.8823,158.187
8.908,158.198
8.9336,158.879
8.9593,157.519
8.985,157.84
9.0106,158.255
9.0363,158.326
9.062,157.908
9.0877,157.825
9.1133,159.035
9.139,158.138
9.1647,158.413
9.1903,157.891
9.216,159.064
9.2417,157.298
9.2673,158.924
9.293,157.64
9.3186,158.861
9.3443,157.484
9.37,158.765
9.3956,157.757
9.4213,159.374
9.447,157.205
9.4726,159.773
9.4983,157.886
9.5239,159.522
9.5496,157.845
9.5753,158.54
9.6009,157.139
9.6266,159.567
9.6523,157.877
9.6779,158.481
9.7036,157.395
9.7293,159.454
9.7549,157.916
9.7806,158.999
9.8063,158.251
9.8319,158.583
9.8576,158.087
9.8833,158.585
9.9089,157.968
9.9346,159.183
9.9603,158.025
9.9859,157.685
10.0116,158.192
10.0373,158.662
10.0629,158.403
10.0886,158.237
10.1143,158.896
10.1399,157.583
10.1656,158.496
10.1913,158.015
10.2169,159.205
10.2426,157.344
10.2683,158.546
10.2939,157.2082
10.3196,157.12759999999997
10.3453,158.065
10.371,158.13
10.3966,157.927
10.4223,158.5
10.448,156.696
10.4736,158.244
10.4993,157.069
10.5249,158.003
10.5506,156.928
10.5763,158.189
10.602,157.094
10.6276,159.216
10.6533,156.94
10.679,157.691
10.7047,157.56
10.7303,158.868
10.756,157.266
10.7817,157.919
10.8073,158.183
10.833,158.214
10.8587,157.243
10.8843,158.238
10.91,157.645
10.9357,158.1
10.9613,158.319
10.987,157.692
11.0127,158.835
11.0383,157.772
11.064,157.911
11.0897,157.353
11.1153,158.625
11.141,157.202
11.1667,158.047
11.1923,157.03
11.218,158.927
11.2437,157.588
11.2694,158.364
11.295,157.346
11.3207,159.327
11.3464,157.123
11.372,159.304
11.3977,157.519
11.4234,158.827
11.449,156.95
11.4747,159.063
11.5004,157.294
11.526,159.313
11.5517,157.829
11.5774,158.679
11.603,157.875
11.6287,158.846
11.6544,157.719
11.6801,158.694
11.7057,157.527
11.7314,159.162
11.7571,157.991
11.7827,158.033
11.8084,157.669
11.8341,157.809
11.8598,158.379
11.8854,157.97
11.9111,158.25
11.9368,158.439
11.9624,158.103
11.9881,157.725
12.0138,158.73
12.0395,158.071
12.0651,158.946
12.0908,157.06
12.1165,158.376
12.1422,157.518
12.1678,159.115
12.1935,157.319
12.2192,158.76
12.2448,157.383
12.2705,158.899
12.2962,157.715
12.3219,159.141
12.3475,157.929
12.3732,159.302
12.3989,157.635
12.4245,159.428
12.4502,156.988
12.4759,158.665
12.5015,157.579
12.5272,159.058
12.5529,158.199
12.5785,158.525
12.6042,157.755
12.6298,159.376
12.6555,158.036
12.6812,158.899
12.7068,157.938
12.7325,157.939
