时间(s),电流(mA)
0.7444,157.285
0.77,158.706
0.7957,157.332
0.8214,158.825
0.847,157.6304
0.8727,156.8084
0.8984,157.594
0.9241,158.144
0.9497,157.109
0.9754,157.884
1.0011,156.75
1.0268,158.328
1.0524,157.258
1.0781,157.923
1.1038,157.616
1.1294,157.82
1.1551,157.597
1.1808,158.226
1.2064,157.66
1.2321,158.418
1.2578,157.939
1.2835,157.954
1.3091,158.361
1.3348,157.346
1.3605,158.581
1.3861,157.907
1.4118,158.22
1.4375,157.647
1.4631,158.112
1.4888,157.585
1.5145,158.776
1.5402,157.138
1.5658,159.487
1.5915,157.2
1.6172,159.032
1.6428,157.462
1.6685,158.638
1.6942,157.75
1.7198,158.93
1.7455,157.149
1.7712,159.205
1.7969,157.3
1.8225,159.211
1.8482,157.406
1.8739,158.95
1.8995,157.494
1.9252,158.749
1.9509,158.386
1.9765,158.722
2.0022,157.965
2.0279,159.001
2.0536,157.771
2.0792,158.576
2.1049,158.237
2.1306,157.775
2.1563,157.7
2.1819,158.393
2.2076,158.308
2.2333,158.189
2.2589,158.853
2.2846,157.911
2.3103,159.08
2.336,157.622
2.3616,158.483
2.3873,158.313
2.413,158.697
2.4386,157.912
2.4643,158.882
2.49,157.488
2.5157,159.716
2.5413,157.449
2.567,159.362
2.5927,157.754
2.6184,158.87
2.644,157.637
2.6697,159.075
2.6954,157.882
2.721,159.161
2.7467,157.038
2.7724,158.897
2.798,158.066
2.8237,158.864
2.8494,157.552
2.8751,159.176
2.9007,157.666
2.9264,158.663
2.9521,157.94
2.9777,158.783
3.0034,158.718
3.0291,158.435
3.0547,158.363
3.0804,158.915
3.1061,158.474
3.1317,158.897
3.1574,158.512
3.1831,158.327
3.2087,159.051
3.2344,157.886
3.2601,159.276
3.2857,158.292
3.3114,158.638
3.3371,157.39180000000002
3.3627,157.3164
3.3884,157.856
3.4141,158.223
3.4397,157.174
3.4654,158.334
3.4911,157.494
3.5167,158.361
3.5424,156.675
3.5681,158.922
3.5937,156.875
3.6194,157.961
3.6451,157.153
3.6707,158.665
3.6964,157.095
3.7221,159.041
3.7477,156.946
3.7734,158.495
3.7991,157.328
3.8247,158.124
3.8504,157.653
3.8761,158.41
3.9018,157.76
3.9274,158.557
3.9531,157.316
3.9788,158.492
4.0045,157.805
4.0301,157.995
4.0558,158.747
4.0815,158.27
4.1071,158.741
4.1328,157.85
4.1585,158.118
4.1842,158.155
4.2098,158.426
4.2355,157.814
4.2612,158.844
4.2868,157.266
4.3125,158.681
4.3382,158.131
4.3639,159.139
4.3895,157.532
4.4152,159.604
4.4409,157.214
4.4666,159.292
4.4922,157.522
4.5179,158.873
4.5436,157.79
4.5693,158.996
4.5949,157.708
4.6206,159.641
4.6463,157.776
4.6719,159.27
4.6976,158.089
4.7233,159.819
4.749,158.509
4.7746,158.592
4.8003,158.512
4.826,158.648
4.8516,158.078
4.8773,159.397
4.903,158.311
4.9287,158.795
4.9543,158.267
4.98,158.572
5.0057,159.421
5.0314,158.38
5.057,158.871
5.0827,158.349
5.1084,158.46
5.134,157.529
5.1597,159.059
5.1854,157.942
5.2111,159.149
5.2367,158.108
5.2624,159.056
5.2881,158.331
5.3137,159.544
5.3394,157.633
5.3651,159.665
5.3907,157.576
5.4164,159.657
5.4421,157.957
5.4677,159.175
5.4934,158.088
5.5191,158.834
5.5448,157.499
5.5704,159.555
5.5961,157.453
5.6218,158.614
5.6474,158.297
5.6731,159.293
5.6988,157.88
5.7245,159.128
5.7501,157.672
5.7758,159.119
5.8015,158.307
5.8271,157.029
5.8528,157.6954
5.8785,157.247
5.9041,158.059
5.9298,157.835
5.9554,157.297
5.9811,158.214
6.0068,157.663
6.0324,157.625
6.0581,158.616
6.0838,157.458
6.1094,157.912
6.1351,157.418
6.1608,158.648
6.1864,157.236
6.2121,159.175
6.2378,157.197
6.2634,158.933
6.2891,157.897
6.3148,158.728
6.3404,157.585
6.3661,158.932
6.3918,157.271
6.4174,159.263
6.4431,157.175
6.4688,159.158
6.4944,157.41
6.5201,159.014
6.5458,157.976
6.5714,158.803
6.5971,157.607
6.6228,158.632
6.6485,157.432
6.6741,159.072
6.6998,157.456
6.7255,158.626
6.7511,158.233
6.7768,158.274
6.8025,158.573
6.8281,158.352
6.8538,158.574
6.8794,158.688
6.9051,158.499
6.9308,158.604
6.9565,158.326
6.9821,157.629
7.0078,158.624
7.0334,158.36
7.0591,159.031
7.0848,158.169
7.1105,159.312
7.1361,157.438
7.1618,159.613
7.1875,157.706
7.2131,159.3
7.2388,157.665
7.2645,159.084
7.2901,157.988
7.3158,158.856
7.3415,157.471
7.3671,159.667
7.3928,157.486
7.4185,158.775
7.4441,157.71
7.4698,159.243
7.4954,157.657
7.5211,159.632
7.5468,157.733
7.5724,159.029
7.5981,158.062
7.6238,158.334
7.6494,158.216
7.6751,158.807
7.7008,158.061
7.7264,158.855
7.7521,158.12
7.7778,158.81
7.8034,158.565
7.8291,158.291
7.8548,159.14
7.8804,158.209
7.9061,159.127
7.9318,157.923
7.9574,158.71
7.9831,158.482
8.0088,158.967
8.0344,158.309
8.0601,159.445
8.0858,157.588
8.1114,159.638
8.1371,157.453
8.1628,159.218
8.1884,157.856
8.2141,159.249
8.2398,158.104
8.2654,159.566
8.2911,157.798
8.3168,159.223
8.3424,157.8706
8.3681,156.95119999999997
8.3938,157.737
8.4194,158.265
8.4451,157.123
8.4708,157.989
8.4964,156.685
8.5221,158.519
8.5478,157.513
8.5735,158.147
8.5991,157.766
8.6248,158.116
8.6505,157.548
8.6761,158.755
8.7018,157.544
8.7275,158.254
8.7531,157.9
8.7788,158.091
8.8045,158.39
8.8301,157.593
8.8558,158.656
8.8815,158.038
8.9071,158.357
8.9328,157.938
8.9585,158.526
8.9842,158.0
9.0098,159.408
9.0355,157.53
9.0612,159.434
9.0868,157.565
9.1125,159.234
9.1382,157.666
9.1639,159.112
9.1896,157.887
9.2152,158.826
9.2409,157.367
9.2666,159.664
9.2923,157.445
9.3179,159.511
9.3436,157.714
9.3693,159.142
9.395,157.992
9.4206,158.667
9.4463,158.222
9.472,159.147
9.4977,157.77
9.5233,159.089
9.549,157.723
9.5747,158.776
9.6004,158.216
9.626,158.037
9.6517,158.511
9.6774,157.908
9.7031,157.745
9.7287,157.754
9.7544,158.334
9.7801,158.41
9.8058,158.493
9.8314,158.334
9.8571,159.754
9.8828,158.183
9.9085,159.49
9.9341,157.672
9.9598,159.109
9.9855,158.003
10.0112,159.046
10.0368,157.859
10.0625,159.283
10.0882,157.421
10.1139,159.643
10.1395,157.453
10.1652,158.33159999999998
10.1909,157.602
10.2165,159.054
10.2422,157.906
10.2679,159.0
10.2936,157.783
10.3192,159.436
10.3449,157.482
10.3706,158.763
10.3962,157.994
10.4219,158.646
10.4476,157.919
10.4733,159.28
10.4989,157.875
10.5246,159.09
10.5503,158.311
10.5759,158.42
10.6016,158.626
10.6273,157.978
10.653,158.602
10.6786,158.429
10.7043,158.376
10.73,158.253
10.7556,159.027
10.7813,158.715
10.807,156.582
10.8326,157.3598
10.8583,157.20700000000002
10.884,157.515
10.9096,157.909
10.9353,157.094
10.961,158.524
10.9866,157.36
11.0123,158.475
11.038,157.059
11.0636,159.06
11.0893,157.244
11.115,158.85
11.1406,156.969
11.1663,158.331
11.192,157.291
11.2177,158.277
11.2433,157.501
11.269,158.64
11.2947,156.861
11.3203,159.114
11.346,157.36
11.3717,158.426
11.3973,157.784
11.423,158.137
11.4487,158.102
11.4743,158.507
11.5,158.094
11.5257,158.615
11.5513,157.948
11.577,158.802
11.6027,158.215
11.6283,157.598
11.654,158.911
11.6797,157.729
11.7053,158.667
11.731,157.451
11.7567,158.581
