时间(s),电流(mA)
0.4621,156.586
0.4878,158.294
0.5134,156.523
0.5391,157.77
0.5648,156.834
0.5904,157.758
0.6161,156.586
0.6418,157.754
0.6674,157.078
0.6931,157.706
0.7188,157.115
0.7444,157.395
0.7701,157.212
0.7958,157.383
0.8214,158.409
0.8471,158.39
0.8728,157.964
0.8984,157.83
0.9241,157.607
0.9498,156.987
0.9754,157.881
1.0011,157.069
1.0268,157.813
1.0524,156.562
1.0781,158.008
1.1037,156.733
1.1294,157.704
1.1551,156.683
1.1807,158.309
1.2064,156.334
1.2321,157.765
1.2577,156.5644
1.2834,156.15439999999998
1.3091,156.878
1.3347,157.621
1.3604,156.169
1.386,157.715
1.4117,156.317
1.4374,158.191
1.463,156.279
1.4887,157.601
1.5144,156.235
1.54,157.148
1.5657,156.59
1.5914,157.576
1.617,156.416
1.6427,157.122
1.6683,156.705
1.694,157.337
1.7197,156.907
1.7453,157.134
1.771,157.321
1.7967,157.109
1.8223,157.081
1.848,156.603
1.8737,157.54
1.8993,156.895
1.925,157.261
1.9507,156.508
1.9763,158.016
2.002,156.68
2.0277,157.67
2.0533,156.338
2.079,158.48
2.1047,156.864
2.1303,157.932
2.156,156.353
2.1817,158.199
2.2073,156.33
2.233,157.877
2.2587,156.278
2.2844,158.22
2.31,156.818
2.3357,158.042
2.3613,157.159
2.387,158.922
2.4127,156.928
2.4383,157.908
2.464,157.378
2.4897,158.689
2.5153,157.073
2.541,157.676
2.5667,157.414
2.5924,157.692
2.618,157.27
2.6437,157.303
2.6693,157.266
2.695,157.175
2.7207,157.345
2.7463,157.357
2.772,158.629
2.7977,157.226
2.8233,157.792
2.849,156.642
2.8746,157.941
2.9003,157.086
2.926,157.975
2.9516,156.833
2.9773,158.602
3.003,156.711
3.0286,158.098
3.0543,156.567
3.08,158.543
3.1056,156.345
3.1313,158.273
3.1569,156.954
3.1826,158.968
3.2083,157.641
3.2339,158.312
3.2596,156.907
3.2853,158.411
3.3109,156.904
3.3366,158.147
3.3623,157.113
3.3879,158.308
3.4136,157.369
3.4392,157.85
3.4649,157.34
3.4906,158.617
3.5162,157.577
3.5419,157.556
3.5676,157.481
3.5932,157.854
3.6189,157.426
3.6446,157.038
3.6702,157.81
