时间(s),电流(mA)
0.8214,157.917
0.847,157.68
0.8727,158.85
0.8984,157.479
0.9241,158.705
0.9497,156.572
0.9754,158.857
1.0011,157.29
1.0267,158.561
1.0524,157.577
1.0781,158.622
1.1037,157.157
1.1294,158.78
1.1551,157.05
1.1807,158.938
1.2064,157.092
1.2321,158.855
1.2577,157.928
1.2834,158.632
1.3091,157.379
1.3347,158.304
1.3604,157.623
1.386,158.574
1.4117,156.983
1.4374,158.46
1.463,157.554
1.4887,158.123
1.5143,157.674
1.54,157.631
1.5657,158.092
1.5913,157.956
1.617,157.391
1.6426,157.492
1.6683,158.852
1.694,157.772
1.7196,158.236
1.7453,157.798
1.771,158.324
1.7966,157.922
1.8223,158.61
1.848,157.265
1.8736,159.603
1.8993,157.622
1.925,159.128
1.9506,157.149
1.9763,159.078
2.002,157.861
2.0276,158.52
2.0533,157.68
2.079,159.566
2.1046,157.354
2.1303,158.927
2.156,156.946
2.1816,159.261
2.2073,157.792
2.2329,158.454
2.2586,157.863
2.2843,158.972
2.3099,157.804
2.3356,158.661
2.3613,157.651
2.3869,158.284
2.4126,157.885
2.4382,158.325
2.4639,157.796
2.4896,158.54
2.5152,157.509
2.5409,157.505
2.5665,158.03
2.5922,158.031
2.6179,158.768
2.6435,157.509
2.6692,158.548
2.6949,158.145
2.7205,158.185
2.7462,157.376
2.7718,158.46
2.7975,157.1074
2.8232,157.06599999999997
2.8488,157.562
2.8745,158.441
2.9002,156.786
2.9258,157.905
2.9515,157.064
2.9772,158.247
3.0028,156.821
3.0285,158.308
3.0542,156.699
3.0798,159.002
3.1055,156.667
3.1311,157.723
3.1568,156.932
3.1825,158.948
3.2081,156.818
3.2338,158.329
3.2594,157.262
3.2851,158.365
3.3108,157.897
3.3364,157.937
3.3621,157.665
3.3878,158.363
3.4134,157.35
3.4391,158.309
3.4648,157.812
3.4904,157.422
3.5161,157.828
3.5418,158.062
3.5674,158.071
3.5931,158.012
3.6188,158.952
3.6444,157.906
3.6701,159.101
3.6958,157.546
3.7214,158.764
3.7471,157.085
3.7728,158.219
3.7984,157.742
3.8241,158.411
3.8498,157.409
3.8754,159.442
3.9011,156.982
3.9268,158.999
3.9525,157.04
3.9781,158.893
4.0038,157.602
4.0295,158.41
4.0551,157.498
4.0808,158.885
4.1065,157.203
4.1322,158.847
4.1578,157.246
4.1835,159.008
4.2092,157.775
4.2349,158.185
4.2605,158.343
4.2862,158.77
4.3119,158.359
4.3375,158.379
4.3632,157.948
4.3889,158.757
4.4145,157.827
4.4402,157.921
4.4659,158.549
4.4915,157.737
4.5172,158.668
4.5429,157.689
4.5686,158.296
4.5942,157.504
4.6199,158.784
4.6456,157.516
4.6712,159.167
4.6969,157.748
4.7226,158.539
4.7482,157.98
4.7739,159.127
4.7996,157.349
4.8252,159.062
4.8509,157.075
4.8766,158.757
4.9022,157.651
4.9279,158.934
4.9536,157.64
4.9792,159.494
5.0049,157.189
5.0306,159.046
5.0562,157.917
5.0819,158.835
5.1076,157.971
5.1333,158.615
5.1589,157.926
5.1846,158.971
5.2103,157.707
5.2359,159.026
5.2616,157.976
5.2873,157.089
5.3129,157.4328
5.3386,157.339
5.3642,157.484
5.3899,157.276
5.4156,157.776
5.4413,157.314
5.4669,158.357
5.4926,157.383
5.5183,157.985
5.544,157.577
5.5696,158.163
5.5953,157.548
5.621,158.376
5.6466,157.493
5.6723,159.319
5.698,156.622
5.7237,158.736
5.7493,157.003
5.775,158.448
5.8007,157.423
5.8264,158.571
5.852,157.414
5.8777,158.947
5.9034,156.868
5.929,159.038
5.9547,157.115
5.9804,159.023
6.0061,157.48
6.0317,158.354
6.0574,157.909
6.0831,158.451
6.1087,157.767
6.1344,158.972
6.16,157.666
6.1857,158.608
6.2114,157.628
6.237,157.973
6.2627,158.027
6.2883,158.58
6.314,158.271
6.3397,158.043
6.3653,158.362
6.391,157.565
6.4167,158.753
6.4423,157.792
6.468,158.928
6.4937,157.99
6.5194,158.4
6.545,157.732
6.5707,158.974
6.5964,157.228
6.622,158.949
6.6477,157.261
6.6734,159.526
6.699,157.439
6.7247,158.829
6.7504,157.144
6.776,159.346
6.8017,157.178
6.8274,159.124
6.853,158.095
6.8787,158.941
6.9044,158.151
6.93,159.182
6.9557,157.645
6.9814,159.155
7.0071,157.351
7.0327,159.18
7.0584,158.301
7.0841,158.715
7.1097,158.289
7.1354,158.187
7.1611,158.391
7.1867,158.539
7.2124,157.852
7.2381,158.572
7.2638,158.485
7.2894,157.825
7.3151,158.271
7.3408,158.116
7.3664,158.373
7.3921,158.027
7.4178,158.655
7.4434,157.492
7.4691,159.351
7.4948,157.344
7.5205,159.268
7.5461,158.127
7.5718,159.005
7.5975,157.852
7.6231,158.852
7.6488,157.59
7.6745,159.592
7.7001,157.236
7.7258,157.05059999999997
7.7515,157.242
7.7771,158.654
7.8028,157.5686
7.8285,156.88479999999998
7.8541,158.048
7.8798,158.335
7.9055,156.858
7.9311,158.773
7.9568,156.861
7.9825,158.362
8.0081,157.228
8.0338,157.723
8.0595,157.188
8.0851,158.506
8.1108,157.5
8.1365,158.122
8.1621,158.332
8.1878,157.502
8.2135,158.025
8.2391,158.235
8.2648,158.196
8.2905,157.979
8.3161,158.192
8.3418,158.077
8.3675,158.52
8.3931,157.38
8.4188,159.124
8.4445,157.525
8.4701,159.071
8.4958,157.81
8.5215,158.634
8.5472,157.12
8.5728,159.138
8.5985,157.28
8.6242,159.066
8.6498,158.241
8.6755,158.79
8.7012,156.953
8.7269,159.378
8.7525,158.003
8.7782,159.19
8.8039,157.287
8.8295,159.106
8.8552,157.859
8.8809,158.645
8.9066,158.431
8.9322,158.753
8.9579,157.804
8.9836,158.977
9.0092,157.879
9.0349,158.888
9.0606,158.394
9.0862,158.459
9.1119,158.205
9.1376,157.954
9.1632,158.688
9.1889,158.221
9.2146,158.469
9.2402,158.34
9.2659,158.462
9.2916,158.236
9.3172,158.872
9.3429,157.76
9.3686,159.368
9.3942,157.59
9.4199,159.396
9.4456,157.85
9.4712,158.806
9.4969,157.873
9.5226,159.231
9.5482,157.083
9.5739,159.036
9.5996,157.914
9.6253,158.945
9.6509,157.68
9.6766,159.134
9.7023,157.148
9.728,159.605
9.7537,157.499
9.7793,158.989
9.805,157.914
9.8307,158.887
9.8563,157.968
9.882,158.588
9.9077,158.274
9.9334,159.272
9.959,157.863
9.9847,159.031
10.0104,158.254
10.0361,158.373
10.0617,159.015
10.0874,158.332
10.1131,158.629
10.1387,158.054
10.1644,158.748
10.1901,158.658
10.2158,158.717
10.2414,158.514
10.2671,156.6102
10.2928,157.4622
10.3185,157.35139999999998
10.3441,157.742
10.3698,158.318
10.3955,157.124
10.4212,158.132
10.4468,156.538
10.4725,158.835
10.4982,157.133
10.5239,158.557
10.5495,157.159
10.5752,158.423
10.6009,157.128
10.6266,158.845
10.6522,156.766
10.6779,158.941
10.7036,156.995
10.7293,158.954
10.7549,157.501
10.7806,158.468
10.8063,157.851
10.832,158.587
10.8576,157.739
10.8833,158.701
10.909,157.538
10.9347,158.714
10.9603,157.835
10.986,157.653
11.0117,157.64
11.0373,158.483
11.063,158.055
11.0887,157.526
11.1143,158.425
11.14,158.355
11.1657,158.179
11.1914,157.839
11.217,159.058
11.2427,157.806
11.2684,159.233
11.2941,157.391
11.3197,159.273
11.3454,157.673
11.3711,158.576
11.3967,156.782
11.4224,159.095
11.4481,157.265
11.4738,159.09
11.4994,157.82
11.5251,159.084
11.5508,157.523
11.5765,159.161
11.6021,157.437
11.6278,159.566
11.6535,157.407
11.6791,158.536
11.7048,157.445
11.7305,159.335
11.7562,157.655
11.7818,158.961
11.8075,157.897
11.8332,158.487
11.8588,158.468
