时间(s),电流(mA)
0.1796,158.443
0.2053,158.135
0.231,158.719
0.2566,157.538
0.2823,159.083
0.308,157.14
0.3336,158.279
0.3593,157.846
0.385,159.47
0.4107,157.131
0.4363,159.707
0.462,157.501
0.4877,158.757
0.5133,157.305
0.539,159.728
0.5647,157.335
0.5903,158.94
0.616,157.531
0.6417,159.446
0.6673,157.075
0.693,159.214
0.7186,158.012
0.7443,158.81
0.77,158.148
0.7956,158.325
0.8213,156.406
0.847,159.401
0.8726,158.494
0.8983,158.332
0.924,158.179
0.9497,158.684
0.9753,157.972
1.001,158.536
1.0267,157.774
1.0523,157.923
1.078,157.954
1.1037,157.594
1.1294,159.145
1.155,157.855
1.1807,158.874
1.2064,157.898
1.232,158.431
1.2577,157.2276
1.2834,157.2742
1.3091,157.971
1.3347,158.338
1.3604,157.517
1.3861,158.344
1.4117,157.174
1.4374,158.973
1.4631,156.342
1.4887,158.154
1.5144,157.336
1.5401,158.641
1.5657,156.745
1.5914,158.959
1.6171,156.971
1.6427,159.136
1.6684,157.204
1.694,158.266
1.7197,157.515
1.7454,158.554
1.771,157.731
1.7967,158.692
1.8224,157.034
1.848,158.068
1.8737,158.299
1.8994,158.33
1.925,157.713
1.9507,158.367
1.9764,157.656
2.002,158.063
2.0277,158.332
2.0534,157.646
2.0791,158.637
2.1047,157.461
2.1304,158.791
2.1561,158.093
2.1817,158.77
2.2074,157.639
2.2331,158.757
2.2587,157.689
2.2844,159.167
2.3101,156.766
2.3357,159.245
2.3614,157.239
2.3871,158.986
2.4128,157.35
2.4384,158.549
2.4641,157.621
2.4897,159.087
2.5154,157.013
2.5411,159.265
2.5667,157.232
2.5924,159.216
2.6181,157.687
2.6437,158.718
2.6694,157.94
2.6951,158.447
2.7207,158.04
2.7464,159.108
2.7721,157.819
2.7977,158.837
2.8234,157.944
2.8491,158.499
2.8747,158.452
2.9004,158.017
2.9261,158.816
2.9517,158.104
2.9774,158.589
3.003,158.206
3.0287,158.15
3.0544,157.535
3.08,159.068
3.1057,157.939
3.1314,158.725
3.1571,158.137
3.1827,159.156
3.2084,157.635
3.2341,159.668
3.2598,157.293
3.2854,159.296
3.3111,157.289
3.3368,159.376
3.3624,157.92
3.3881,158.897
3.4138,157.716
3.4395,159.325
3.4651,157.249
3.4908,158.911
3.5165,158.302
3.5421,159.272
3.5678,157.424
3.5935,158.895
3.6191,158.054
3.6448,158.547
3.6705,157.581
3.6961,158.367
3.7218,157.694
3.7475,157.497
3.7731,157.538
3.7988,157.15
3.8245,157.556
3.8502,157.793
3.8758,157.576
3.9015,158.45
3.9272,158.457
3.9528,157.536
3.9785,158.265
4.0042,157.132
4.0298,158.218
4.0555,157.372
4.0811,158.116
4.1068,157.362
4.1325,158.286
4.1581,157.219
4.1838,158.786
4.2095,156.663
4.2352,159.045
4.2608,156.907
4.2865,158.418
4.3122,157.173
4.3378,158.387
4.3635,157.334
4.3892,158.833
4.4149,156.881
4.4405,158.778
4.4662,156.853
4.4919,158.619
4.5175,157.268
4.5432,158.556
4.5689,157.666
4.5945,158.09
4.6202,157.532
4.6458,158.743
4.6715,157.431
4.6972,157.967
4.7228,158.086
4.7485,158.323
4.7742,157.573
4.7998,157.627
4.8255,158.514
4.8512,158.107
4.8768,157.881
4.9025,157.383
4.9282,158.249
4.9538,158.074
4.9795,158.711
5.0052,157.26
5.0308,159.333
5.0565,157.289
5.0821,158.893
5.1078,157.322
5.1335,158.955
5.1591,157.702
5.1848,158.976
5.2105,157.44
5.2361,159.25
5.2618,157.393
5.2875,159.478
5.3131,157.113
5.3388,158.626
5.3645,157.465
5.3901,159.176
5.4158,156.934
5.4415,158.969
5.4672,157.634
5.4928,158.907
5.5185,158.396
5.5441,158.693
5.5698,157.655
5.5955,158.618
5.6211,158.679
5.6468,158.566
5.6725,158.43
5.6981,158.153
5.7238,157.773
5.7494,158.229
5.7751,158.734
5.8008,157.675
5.8264,158.288
5.8521,158.323
5.8777,158.382
5.9034,158.217
5.9291,159.035
5.9547,157.386
5.9804,158.593
6.0061,157.258
6.0317,159.255
6.0574,157.567
6.0831,158.959
6.1087,157.63
6.1344,158.907
6.1601,157.574
6.1857,159.125
6.2114,156.878
6.2371,158.325
6.2627,157.2896
6.2884,156.648
6.3141,157.579
6.3397,158.025
6.3654,157.306
6.3911,158.093
6.4167,156.821
6.4424,158.364
6.4681,156.838
6.4937,158.659
6.5194,157.26
6.5451,157.997
6.5707,157.8
6.5964,157.725
6.6221,157.303
6.6477,157.766
6.6734,157.702
6.6991,157.946
6.7248,157.791
6.7504,158.213
6.7761,158.257
6.8018,157.491
6.8274,158.629
6.8531,157.231
6.8788,158.557
6.9045,157.609
6.9301,158.396
6.9558,157.424
6.9815,158.562
7.0071,156.726
7.0328,158.172
7.0585,156.965
7.0841,159.153
7.1098,156.989
7.1355,158.747
7.1611,157.453
7.1868,158.876
7.2125,157.502
7.2381,158.678
7.2638,156.885
7.2895,158.175
7.3152,156.88
7.3409,158.866
7.3665,157.41
7.3922,158.531
7.4179,157.83
