时间(s),电流(mA)
1.1296,159.046
1.1552,157.432
1.1809,159.749
1.2066,157.404
1.2323,159.249
1.2579,157.676
1.2836,156.43259999999998
1.3093,157.3574
1.3349,157.0034
1.3606,157.206
1.3863,158.339
1.412,157.096
1.4376,158.101
1.4633,156.792
1.489,158.506
1.5147,156.642
1.5403,158.687
1.566,157.019
1.5917,158.309
1.6174,157.507
1.643,158.041
1.6687,157.629
1.6944,158.312
1.7201,157.503
1.7457,158.506
1.7714,157.591
1.7971,158.535
1.8228,157.975
1.8484,157.541
1.8741,158.396
1.8998,157.889
1.9255,158.455
1.9512,157.572
1.9768,158.415
2.0025,158.176
2.0282,158.458
2.0539,157.126
2.0795,159.053
2.1052,157.338
2.1309,159.39
2.1566,157.133
2.1822,159.066
2.2079,157.757
2.2336,158.573
2.2593,156.59
2.285,159.138
2.3106,157.186
2.3363,158.577
2.362,157.85
2.3877,158.894
2.4134,157.34
2.439,159.163
2.4647,157.233
2.4904,159.342
2.5161,157.517
2.5417,158.629
2.5674,158.045
2.5931,158.385
2.6187,157.373
2.6444,158.552
2.6701,158.099
2.6957,158.342
2.7214,158.662
2.7471,158.04
2.7728,158.301
2.7984,158.375
2.8241,158.101
2.8498,157.498
2.8754,158.887
2.9011,158.132
2.9268,158.572
2.9525,158.12
2.9781,158.641
3.0038,157.889
3.0295,159.498
3.0551,157.095
3.0808,159.188
3.1065,157.42
3.1322,159.444
3.1578,158.035
3.1835,159.1
3.2092,158.343
3.2349,159.111
3.2605,157.137
3.2862,159.096
3.3119,157.865
3.3375,158.87
3.3632,157.72
3.3889,159.533
3.4146,157.594
3.4402,159.322
3.4659,157.526
3.4916,158.474
3.5172,157.789
3.5429,159.368
3.5686,158.234
3.5942,158.758
3.6199,158.317
3.6456,158.08
3.6713,158.74
3.6969,158.064
3.7226,157.892
3.7483,158.209
3.7739,156.429
3.7996,157.05339999999998
3.8253,157.5294
3.851,157.82
3.8766,157.602
3.9023,157.553
3.928,157.975
3.9537,157.184
3.9793,158.663
4.005,156.964
4.0307,158.765
4.0563,156.453
4.082,158.611
4.1077,157.203
4.1334,158.464
4.159,157.359
4.1847,158.645
4.2104,157.341
4.2361,159.024
4.2617,156.575
4.2874,158.279
4.3131,157.238
4.3388,158.96
4.3644,157.17
4.3901,159.054
4.4158,157.524
4.4415,158.605
4.4671,158.149
4.4928,158.393
4.5185,158.177
4.5441,158.247
4.5698,157.206
4.5955,158.034
4.6212,158.392
4.6468,157.599
4.6725,157.824
4.6982,158.171
4.7239,158.367
4.7495,158.136
4.7752,158.169
4.8009,157.271
4.8266,158.82
4.8522,156.839
4.8779,159.047
4.9036,157.947
4.9292,158.948
4.9549,157.858
4.9806,158.497
5.0063,157.225
5.0319,159.224
5.0576,157.379
5.0833,158.648
5.1089,157.125
5.1346,159.273
5.1603,157.668
5.1859,158.829
5.2116,158.215
5.2373,158.939
5.263,157.536
5.2886,159.151
5.3143,157.962
5.34,159.079
5.3656,157.353
5.3913,158.469
5.417,158.25
5.4427,158.245
5.4683,158.256
5.494,158.207
5.5197,158.107
5.5453,158.548
5.571,158.006
5.5967,158.296
5.6223,158.698
5.648,158.265
5.6737,159.109
5.6994,157.676
5.725,158.835
5.7507,157.749
5.7764,158.757
5.8021,158.838
5.8277,159.297
5.8534,157.662
5.8791,159.214
5.9047,157.614
5.9304,159.591
5.9561,157.015
5.9818,159.053
6.0074,157.938
6.0331,159.122
6.0588,158.053
6.0845,159.441
6.1101,157.594
6.1358,159.5
6.1615,157.452
6.1871,159.262
6.2128,157.561
6.2385,158.787
6.2642,157.962
6.2898,157.743
6.3155,157.6332
6.3412,157.046
6.3669,157.471
6.3925,157.944
6.4182,156.848
6.4439,157.895
6.4696,157.466
6.4952,157.613
6.5209,158.364
6.5466,157.576
6.5723,157.618
6.5979,157.651
6.6236,157.901
6.6493,157.724
6.6749,157.685
6.7006,157.139
6.7263,158.595
6.752,157.078
6.7776,158.464
6.8033,157.286
6.829,158.658
6.8546,157.126
6.8803,158.223
6.906,157.365
6.9316,158.752
6.9573,156.783
6.983,159.008
7.0086,156.966
7.0343,159.023
7.06,157.537
7.0857,158.535
7.1113,157.517
7.137,158.391
7.1627,157.55
7.1883,158.733
7.214,157.217
7.2397,158.837
7.2653,157.345
7.291,158.254
7.3167,157.937
7.3424,158.102
7.368,157.822
7.3937,158.083
7.4194,158.232
7.4451,158.391
7.4707,157.746
7.4964,157.55
7.5221,158.659
7.5477,158.109
7.5734,158.041
7.5991,157.874
7.6248,158.626
7.6504,157.816
7.6761,159.202
7.7018,157.24
7.7274,159.117
7.7531,157.211
7.7788,158.603
7.8044,158.073
7.8301,159.066
7.8558,157.534
7.8814,158.926
7.9071,156.95
7.9328,159.505
7.9585,157.447
7.9841,159.029
8.0098,157.419
8.0355,158.802
8.0612,157.781
8.0868,158.64
8.1125,157.897
8.1382,159.371
8.1638,157.572
8.1895,158.82
8.2152,157.692
8.2409,158.562
8.2665,158.058
8.2922,158.236
8.3179,158.612
8.3436,158.457
8.3692,158.069
8.3949,158.427
8.4206,158.214
8.4462,158.512
8.4719,158.607
8.4976,157.944
8.5233,159.164
8.5489,157.558
8.5746,158.107
8.6003,157.813
8.6259,159.386
8.6516,157.431
8.6773,159.061
8.7029,157.517
8.7286,159.355
8.7543,157.9
8.78,158.591
8.8056,157.4078
8.8313,156.83840000000004
8.857,157.478
8.8826,158.346
8.9083,157.8
8.934,158.735
8.9596,156.83
8.9853,157.611
9.011,156.565
9.0366,158.891
9.0623,157.237
9.088,158.074
9.1137,157.37
9.1393,158.387
9.165,157.542
9.1907,158.064
9.2163,157.449
9.242,158.487
9.2677,157.373
9.2934,157.852
9.3191,157.949
9.3447,157.843
9.3704,158.262
9.3961,157.506
9.4218,158.294
9.4475,157.894
9.4731,157.725
9.4988,157.682
9.5245,158.56
9.5501,157.303
9.5758,158.649
9.6015,156.94
9.6272,159.118
9.6528,157.381
9.6785,158.538
9.7042,157.728
9.7299,158.623
9.7556,156.448
9.7812,158.568
9.8069,157.136
9.8326,158.565
9.8583,157.417
9.8839,158.692
9.9096,157.049
9.9353,159.069
9.961,157.042
9.9866,158.967
10.0123,157.702
10.038,158.749
10.0636,157.962
10.0893,158.036
10.115,157.69
10.1407,158.621
10.1663,157.285
10.192,157.484
10.2177,158.128
10.2433,158.273
10.269,157.936
10.2947,157.892
10.3203,158.145
10.346,158.164
10.3717,158.048
10.3974,156.937
10.423,158.226
10.4487,157.534
10.4744,158.867
10.5001,157.633
10.5257,158.925
10.5514,157.753
10.5771,158.389
10.6027,158.28300000000002
10.6284,159.151
10.6541,157.643
10.6797,158.479
10.7054,157.538
10.7311,159.439
10.7568,157.308
10.7824,159.113
10.8081,156.944
10.8338,159.286
10.8594,157.527
10.8851,158.33
10.9108,157.664
10.9365,159.73
10.9621,157.332
10.9878,158.096
11.0135,157.913
11.0392,158.328
11.0648,157.816
11.0905,158.673
11.1162,157.989
11.1418,158.821
11.1675,158.099
11.1932,158.051
11.2189,158.584
11.2445,157.72
11.2702,156.4098
11.2959,156.88320000000002
11.3216,157.4088
11.3472,157.882
11.3729,157.644
11.3986,157.229
11.4243,158.133
11.4499,156.799
11.4756,158.315
11.5013,156.574
11.5269,158.706
11.5526,157.109
11.5783,158.294
11.604,157.199
11.6296,158.418
11.6553,156.611
11.681,158.319
11.7066,156.555
11.7323,159.303
11.758,157.289
11.7836,158.047
11.8093,156.942
11.835,158.966
11.8606,157.08
11.8863,158.68
11.912,157.358
11.9376,158.613
11.9633,157.869
11.989,157.725
12.0146,157.796
12.0403,158.662
12.066,157.738
12.0916,158.107
12.1173,157.528
12.143,157.729
12.1686,157.992
12.1943,157.88
12.22,157.921
12.2456,158.462
12.2713,158.382
12.297,157.341
12.3226,159.309
12.3483,157.47
12.374,159.104
12.3997,157.342
12.4253,158.443
12.451,156.769
12.4766,158.989
12.5023,157.017
12.528,159.454
12.5537,157.865
12.5793,158.623
12.605,157.39
12.6307,159.16
12.6564,156.978
12.682,159.14
12.7077,157.058
12.7334,159.191
12.759,157.746
12.7847,158.556
12.8104,157.975
12.836,158.794
12.8617,157.86
12.8874,158.668
12.9131,157.439
12.9387,159.09
12.9644,158.22
12.9901,158.135
13.0158,158.675
13.0414,158.07
13.0671,158.573
13.0928,158.131
13.1185,158.726
13.1441,158.581
13.1698,158.292
13.1955,158.085
13.2211,158.616
13.2468,157.692
13.2725,159.279
13.2982,157.082
13.3238,159.063
13.3495,157.962
13.3752,158.876
13.4008,157.562
13.4265,159.075
13.4522,157.666
13.4779,159.394
13.5035,157.273
13.5292,159.792
13.5549,157.439
13.5806,159.227
13.6062,157.792
13.6319,158.843
13.6576,157.842
13.6832,159.179
13.7089,157.583
13.7346,156.82999999999998
13.7603,157.51
13.7859,158.171
13.8116,157.45459999999997
13.8373,156.825
13.8629,157.524
13.8886,157.243
13.9143,157.265
13.94,157.893
13.9656,157.188
13.9913,157.992
14.017,157.402
14.0427,157.911
14.0683,157.885
14.094,157.244
14.1197,158.143
14.1454,157.608
14.171,158.377
14.1967,157.531
14.2224,158.204
14.2481,157.832
14.2737,158.374
14.2994,157.051
14.3251,158.966
14.3507,156.77
14.3764,158.889
14.4021,157.235
14.4278,158.565
14.4535,157.381
14.4791,158.434
14.5048,156.749
14.5305,159.079
14.5561,157.385
14.5818,158.269
14.6075,156.791
14.6076,158.938
14.6589,157.409
14.6845,158.477
14.7102,157.925
14.7359,158.768
14.7616,157.567
14.7872,158.579
14.8129,157.425
14.8386,158.865
14.8643,158.039
14.8899,158.269
14.9156,158.268
14.9413,157.766
14.9669,158.353
14.9926,157.956
15.0183,158.398
15.044,158.418
15.0696,158.138
15.0953,157.075
15.121,158.1
15.1466,157.48
15.1723,158.54
15.198,157.777
15.2237,159.204
15.2493,157.306
15.275,159.21
15.3007,157.298
15.3263,159.433
15.352,157.47
15.3777,159.092
15.4034,157.632
15.429,158.957
15.4547,157.65
15.4804,159.101
15.506,156.697
15.5317,158.78
15.5574,157.956
15.5831,158.806
15.6088,157.448
15.6344,159.155
15.6601,157.541
15.6858,159.144
15.7114,158.158
15.7371,158.536
15.7628,158.309
15.7885,158.414
15.8141,158.601
15.8398,158.776
15.8655,158.369
15.8911,158.509
15.9168,158.14
15.9425,158.521
15.9681,158.668
15.9938,157.372
16.0195,158.85
16.0451,158.755
16.0708,159.042
16.0965,157.749
16.1222,159.571
16.1478,157.604
16.1735,159.536
16.1992,157.739
16.2249,158.992
16.2505,157.796
16.2762,158.841
16.3019,157.4324
16.3275,156.8986
16.3532,157.272
16.3789,158.422
16.4046,156.536
16.4303,158.365
16.4559,156.78
16.4816,158.068
16.5073,156.947
16.533,158.101
16.5586,156.945
16.5843,158.629
16.61,156.804
16.6357,158.413
16.6613,157.094
16.687,157.824
16.7127,157.573
16.7384,157.824
16.764,157.617
16.7897,157.716
16.8154,157.712
16.8411,158.517
16.8667,157.929
16.8924,157.851
16.9181,158.131
16.9438,157.232
16.9694,158.471
16.9951,157.602
17.0208,158.566
17.0465,157.701
17.0721,158.463
17.0978,157.773
17.1235,158.839
17.1492,156.899
17.1748,158.537
17.2005,157.435
17.2262,158.828
17.2519,157.474
17.2775,159.166
17.3032,156.766
17.3289,159.353
17.3546,157.203
17.3802,158.641
17.4059,156.905
17.4316,158.894
17.4573,157.913
17.4829,158.628
17.5086,157.248
17.5343,159.039
17.56,157.304
17.5857,158.641
17.6113,157.516
17.637,158.606
17.6627,158.643
17.6884,157.803
17.714,158.083
17.7397,158.3
17.7654,158.212
17.7911,158.375
17.8168,158.117
17.8424,158.206
17.8681,158.447
17.8938,157.441
17.9194,158.746
17.9451,157.748
17.9708,158.892
17.9965,157.632
18.0221,158.52
18.0478,158.071
18.0735,159.034
18.0992,157.414
18.1248,159.537
18.1505,157.726
18.1762,159.33
18.2019,157.498
18.2275,159.243
18.2532,157.757
18.2789,158.762
18.3045,157.712
18.3302,159.072
18.3559,156.927
18.3816,158.952
18.4072,157.479
18.4329,159.334
18.4586,158.019
18.4843,158.884
18.51,158.378
18.5356,158.821
18.5613,158.33
18.587,158.809
18.6126,157.637
18.6383,158.564
18.664,158.212
18.6897,158.499
18.7153,158.251
18.741,157.788
18.7667,158.157
18.7924,156.72060000000002
18.8181,157.27360000000002
18.8437,157.586
18.8694,157.824
18.8951,156.782
18.9208,157.976
18.9464,157.238
18.9721,157.982
18.9978,157.341
19.0235,158.069
19.0491,156.893
19.0748,158.935
19.1005,156.697
19.1262,158.908
19.1518,157.154
19.1775,158.11
19.2032,156.666
19.2288,159.037
19.2545,157.011
19.2802,158.758
19.3058,157.189
19.3315,158.554
19.3572,157.791
19.3829,158.435
19.4085,156.89
19.4342,158.413
19.4599,158.204
19.4856,158.43
19.5112,157.701
19.5369,158.264
19.5626,158.07
19.5882,159.381
19.6139,157.764
19.6396,158.563
19.6653,159.1
19.6909,157.839
19.7166,158.374
19.7423,157.568
19.768,158.004
19.7937,157.279
19.8193,158.95
19.845,157.808
19.8707,158.851
19.8963,157.689
19.922,158.613
19.9477,158.252
19.9734,159.012
19.999,156.895
20.0247,158.987
20.0504,157.004
20.0761,159.482
20.1018,157.364
20.1274,159.056
20.1531,157.952
20.1788,158.817
20.2045,157.572
20.2301,159.178
20.2558,157.32
20.2815,158.522
20.3072,157.107
20.3328,158.77
20.3585,157.755
20.3842,158.287
20.4099,157.043
20.4355,158.699
20.4612,158.127
20.4869,158.655
20.5126,158.477
20.5382,158.143
20.5639,158.021
20.5896,158.008
20.6152,158.008
20.6409,158.256
20.6666,158.285
20.6923,158.089
20.7179,158.774
20.7436,157.643
20.7693,159.097
20.795,157.624
20.8206,158.931
20.8463,157.925
20.872,158.949
20.8976,157.694
20.9233,158.712
20.949,157.287
20.9747,159.476
21.0003,156.955
21.026,159.254
21.0517,157.675
21.0773,159.246
21.103,157.634
21.1287,159.003
21.1544,158.692
21.18,159.524
21.2057,157.736
21.2314,159.413
21.2571,157.659
21.2827,158.394
21.3084,157.5846
21.3341,156.515
21.3597,157.807
21.3854,157.548
21.4111,156.961
21.4368,158.0
21.4624,157.215
21.4881,158.037
21.5138,157.223
21.5395,157.405
21.5651,157.951
21.5908,157.513
21.6165,158.0
21.6421,157.27
21.6678,158.022
21.6935,157.528
21.7192,157.672
21.7448,157.212
21.7705,158.229
21.7962,156.982
21.8218,158.466
21.8475,156.889
21.8732,158.899
21.8988,156.993
21.9245,158.333
21.9502,157.352
21.9758,158.667
22.0015,157.181
22.0272,158.615
22.0529,156.985
22.0785,159.284
22.1042,157.302
22.1299,158.758
22.1556,157.529
22.1812,158.463
22.2069,157.934
22.2326,158.364
22.2583,157.322
22.2839,158.661
22.3096,157.278
22.3353,158.625
22.3609,157.941
22.3866,158.045
22.4123,158.132
22.438,157.736
22.4636,158.359
22.4893,158.213
22.515,157.883
22.5406,157.844
22.5663,157.974
22.592,157.77
22.6177,158.48
22.6433,157.088
22.669,158.682
22.6947,157.341
22.7204,158.704
22.746,157.538
22.7717,158.837
22.7974,157.605
22.823,158.293
22.8487,157.048
22.8744,159.421
22.9001,157.069
22.9257,159.378
22.9514,157.437
22.9771,158.95
23.0027,157.477
23.0284,158.313
23.0541,157.266
23.0797,158.949
23.1054,156.967
23.131,159.118
23.1567,157.954
23.1824,158.94
23.2081,157.755
23.2337,158.314
23.2594,157.948
23.2851,158.291
23.3108,157.976
23.3364,158.714
23.3621,158.056
23.3878,158.562
23.4134,157.957
23.4391,157.907
23.4648,158.805
23.4904,158.066
23.5161,158.861
23.5418,157.273
23.5674,158.458
23.5931,157.939
23.6188,158.212
23.6444,157.087
23.6701,159.073
23.6958,157.891
23.7215,158.608
23.7471,157.858
23.7728,156.26720000000003
23.7984,157.399
23.8241,156.8548
23.8498,157.455
23.8755,158.472
23.9011,156.548
23.9268,157.882
23.9524,156.765
23.9781,157.888
24.0038,156.65
24.0294,157.977
24.0551,156.712
24.0808,158.749
24.1064,156.989
24.1321,158.286
24.1578,157.76
24.1834,158.095
24.2091,157.62
24.2348,157.525
24.2604,157.182
24.2861,158.226
24.3118,157.577
24.3375,158.196
24.3631,157.954
24.3888,157.815
24.4145,158.08
24.4401,157.257
24.4658,157.8
24.4915,157.23
24.5172,158.108
24.5428,157.43
24.5685,158.496
24.5942,157.726
24.6199,158.436
24.6455,157.076
24.6712,159.375
24.6969,157.269
24.7225,158.859
24.7482,157.006
24.7739,158.329
24.7995,156.695
24.8252,158.854
24.8509,157.211
24.8766,158.858
24.9022,157.251
24.9279,158.248
24.9536,157.348
24.9793,158.819
25.0049,157.12
25.0306,158.914
25.0563,157.334
25.082,159.025
25.1076,157.776
25.1333,157.85
25.159,157.291
25.1847,158.586
25.2103,157.739
25.236,157.733
25.2617,158.521
25.2874,157.963
25.313,158.05
25.3387,157.64
25.3644,158.307
25.3901,158.594
25.4157,157.945
25.4414,157.082
25.4671,158.828
25.4927,158.101
25.5184,158.162
25.5441,157.234
25.5697,158.563
25.5954,156.766
25.6211,158.503
25.6467,156.837
25.6724,158.843
25.6981,157.496
25.7237,158.448
25.7494,157.103
25.7751,158.46
25.8008,156.727
25.8264,158.415
25.8521,157.299
25.8778,158.621
25.9034,157.601
25.9291,158.462
25.9548,157.27
25.9804,158.817
26.0061,156.941
26.0318,158.273
26.0574,157.619
26.0831,158.072
26.1088,158.167
26.1345,157.951
26.1601,157.642
26.1858,157.959
26.2115,158.09
26.2371,157.706
26.2628,156.38400000000001
26.2885,156.9144
26.3142,157.72100000000003
26.3398,157.97
26.3655,157.758
26.3912,157.167
26.4169,157.911
26.4425,156.491
26.4682,158.438
26.4939,157.427
26.5195,158.185
26.5452,156.886
26.5709,158.324
26.5966,157.121
26.6222,157.916
26.6479,156.483
26.6736,158.871
26.6992,156.715
26.7249,158.625
26.7506,156.842
26.7762,158.488
26.8019,157.508
26.8276,158.179
26.8532,157.641
26.8789,158.993
26.9046,156.884
26.9302,158.544
26.9559,157.168
26.9816,158.634
27.0072,157.599
27.0329,157.776
27.0586,157.395
27.0842,158.204
27.1099,157.639
27.1356,157.796
27.1612,157.536
27.1869,158.115
27.2126,157.408
27.2382,157.405
27.2639,158.268
27.2896,157.408
27.3153,157.608
27.3409,157.362
27.3666,158.756
27.3923,157.213
27.4179,158.617
27.4436,157.145
27.4693,158.828
27.4949,157.302
27.5206,158.064
27.5463,157.462
27.5719,158.831
27.5976,157.662
27.6233,159.074
27.6489,156.823
27.6746,158.409
27.7003,156.698
27.7259,158.761
27.7516,156.98
27.7773,159.12
27.803,157.336
27.8286,158.823
27.8543,157.684
27.88,158.577
27.9056,157.59
27.9313,158.233
27.957,157.358
27.9827,158.601
28.0083,157.118
28.034,158.381
28.0597,157.715
28.0854,158.117
28.111,158.011
28.1367,157.69
28.1624,158.494
28.188,158.045
28.2137,157.886
28.2394,157.844
28.2651,158.01
28.2907,157.312
28.3164,158.731
28.342,157.0
28.3677,158.761
28.3934,156.652
28.419,158.33
28.4447,157.268
28.4704,158.758
28.4961,157.316
28.5217,158.611
28.5474,156.698
28.5731,159.236
28.5988,156.991
28.6244,159.112
28.6501,156.858
28.6758,159.194
28.7014,157.631
28.7271,158.619
28.7528,157.356
28.7785,158.547
28.8041,157.63420000000002
28.8298,156.69
28.8555,157.302
28.8812,158.276
28.9068,156.972
28.9325,157.456
28.9582,156.733
28.9839,158.199
29.0095,157.343
29.0352,157.157
29.0609,157.188
29.0865,158.348
29.1122,157.568
29.1379,157.479
29.1636,158.395
29.1892,157.188
29.2149,158.317
29.2406,157.185
29.2662,158.345
29.2919,157.408
29.3176,158.063
29.3432,156.983
29.3689,158.742
29.3946,156.823
29.4202,158.781
29.4459,156.683
29.4716,159.055
29.4972,157.097
29.5229,158.661
29.5486,157.276
29.5742,158.686
29.5999,156.664
29.6256,158.804
29.6513,157.085
29.6769,158.629
29.7026,157.569
29.7283,158.648
29.7539,156.966
29.7796,159.352
29.8053,157.44
29.8309,158.577
29.8566,157.585
29.8823,158.234
29.9079,158.006
29.9336,157.948
29.9593,158.094
29.985,158.526
30.0106,158.037
30.0363,157.982
30.0619,157.904
30.0876,157.959
30.1133,158.87
30.1389,157.334
30.1646,158.312
30.1903,157.706
30.2159,158.751
30.2416,156.941
30.2673,159.213
30.2929,157.174
30.3186,159.008
30.3442,157.427
30.3699,158.996
30.3956,157.513
30.4213,158.88
30.4469,157.15
30.4726,159.767
30.4982,157.088
30.5239,158.565
30.5496,157.376
30.5752,159.409
30.6009,157.098
30.6266,159.181
30.6523,157.26
30.6779,158.982
30.7036,157.599
30.7293,158.425
30.7549,158.224
30.7806,158.727
30.8063,157.839
30.8319,158.971
30.8576,158.003
30.8833,158.525
30.909,158.03
30.9347,158.315
30.9603,158.773
30.986,158.011
31.0117,158.945
31.0374,158.059
31.063,158.476
31.0887,157.952
31.1144,158.561
31.1401,158.044
31.1657,159.166
31.1914,157.428
31.2171,159.479
31.2427,157.287
31.2684,156.4614
31.2941,157.4242
31.3198,157.367
31.3454,158.014
31.3711,158.56
31.3968,157.438
31.4225,159.238
31.4482,156.455
31.4738,159.071
31.4995,156.911
31.5252,157.97
31.5508,156.85
31.5765,159.042
31.6022,156.964
31.6278,158.732
31.6535,157.485
31.6792,158.291
31.7049,157.759
31.7305,158.211
31.7562,156.838
31.7819,158.012
31.8076,158.424
31.8332,158.394
31.8589,158.045
31.8846,158.294
31.9102,158.114
31.9359,158.216
31.9616,158.145
31.9873,157.758
32.0129,158.669
32.0386,157.165
32.0643,159.003
32.09,157.453
32.1156,158.549
32.1413,157.605
32.167,158.873
32.1926,157.64
32.2183,159.132
32.244,157.209
32.2697,159.428
