时间(s),电流(mA)
0.8728,157.266
0.8985,158.457
0.9242,157.7
0.9498,158.102
0.9755,157.283
1.0012,158.748
1.0268,157.651
1.0525,158.312
1.0782,157.482
1.1038,157.758
1.1295,158.146
1.1551,157.525
1.1808,158.486
1.2065,157.876
1.2321,158.149
1.2578,157.884
1.2834,158.322
1.3091,157.428
1.3348,158.624
1.3604,157.629
1.3861,158.748
1.4117,157.838
1.4374,158.718
1.463,156.938
1.4887,159.357
1.5144,156.994
1.54,158.523
1.5657,157.336
1.5914,159.142
1.617,156.913
1.6427,159.311
1.6684,157.34
1.694,158.985
1.7197,157.507
1.7453,158.817
1.771,157.796
1.7967,159.075
1.8223,157.276
1.848,158.268
1.8737,157.88
1.8993,158.556
1.925,157.717
1.9507,158.268
1.9763,157.502
2.002,158.7
2.0277,157.891
2.0533,157.812
2.079,158.558
2.1046,158.031
2.1303,158.555
2.156,157.903
2.1816,158.667
2.2073,158.358
2.233,158.544
2.2586,157.816
2.2843,159.087
2.31,157.102
2.3357,158.531
2.3613,157.881
2.387,159.176
2.4127,157.729
2.4383,159.545
2.464,156.961
2.4897,159.469
2.5153,158.29
2.541,159.307
2.5667,157.59
2.5923,159.131
2.618,157.608
2.6437,159.139
2.6693,157.469
2.695,156.906
2.7206,157.283
2.7463,158.544
2.772,157.36
2.7976,156.247
2.8233,156.992
2.849,157.734
2.8746,156.964
2.9003,157.455
2.926,157.292
2.9516,157.487
2.9773,157.717
3.003,158.399
3.0286,157.52
3.0543,157.835
3.0799,157.556
3.1056,157.563
3.1313,158.14
3.1569,157.025
3.1826,157.89
3.2083,157.583
3.2339,158.226
3.2596,156.868
3.2852,158.942
3.3109,156.741
3.3366,158.465
3.3623,157.134
3.3879,158.466
3.4136,157.563
3.4392,158.679
3.4649,156.931
3.4906,159.082
3.5163,156.962
3.5419,159.09
3.5676,157.41
3.5933,159.077
3.6189,157.557
3.6446,158.387
3.6703,157.789
3.6959,159.244
3.7216,157.63
3.7473,158.754
3.7729,157.156
3.7986,158.308
3.8243,157.616
3.8499,158.315
3.8756,157.747
3.9013,158.627
3.9269,157.937
3.9526,157.904
3.9783,158.325
4.0039,157.6
4.0296,158.558
4.0553,157.788
4.081,158.536
4.1066,158.275
4.1323,158.345
4.1579,157.316
4.1836,158.984
4.2093,157.495
4.2349,159.075
4.2606,157.223
4.2863,159.444
4.3119,157.473
4.3376,158.668
4.3633,157.552
4.3889,159.069
4.4146,157.045
4.4403,158.834
4.4659,157.824
4.4916,159.006
4.5173,157.544
4.5429,158.879
4.5686,156.929
4.5942,158.987
4.6199,157.024
4.6456,158.181
4.6712,157.119
4.6969,158.601
4.7226,158.116
4.7482,158.289
4.7739,158.005
4.7996,158.226
4.8252,157.569
4.8509,158.679
4.8766,158.271
4.9023,157.74
4.9279,158.064
4.9536,158.334
4.9793,158.709
5.005,158.186
5.0306,158.984
5.0563,157.485
5.082,159.076
5.1076,157.512
5.1333,158.766
5.159,157.579
5.1846,158.7
5.2103,157.705
5.236,156.38959999999997
5.2616,157.2868
5.2873,156.81019999999998
5.313,157.502
5.3386,157.67
5.3643,156.541
5.39,158.67
5.4156,156.713
5.4413,158.674
5.467,156.711
5.4927,158.407
5.5184,157.085
5.544,158.014
5.5697,157.419
5.5954,158.436
5.621,156.98
5.6467,158.678
5.6724,157.381
5.698,157.926
5.7237,157.405
5.7494,158.287
5.775,157.55
5.8007,158.229
5.8264,157.752
5.852,157.603
5.8777,158.253
5.9034,157.223
5.9291,158.181
5.9547,157.392
5.9804,158.363
6.0061,158.23
6.0317,158.462
6.0574,157.463
6.0831,158.781
6.1087,157.478
6.1344,159.074
6.1601,156.819
6.1857,159.109
6.2114,157.615
6.2371,158.759
6.2627,157.986
6.2884,159.018
6.3141,156.85
6.3397,158.975
6.3654,156.978
6.3911,159.36
6.4168,157.358
6.4424,158.725
6.4681,157.548
6.4938,158.838
6.5194,157.707
6.5451,158.474
6.5708,157.283
6.5965,158.347
6.6221,158.212
6.6478,158.526
6.6735,158.038
6.6992,158.538
6.7248,157.611
6.7505,158.312
6.7761,158.257
6.8018,158.456
6.8275,158.403
6.8532,157.25
6.8788,158.91
6.9045,157.758
6.9302,158.578
6.9558,157.964
6.9815,158.967
7.0072,157.86
7.0328,158.811
7.0585,156.938
7.0842,159.457
7.1098,157.099
7.1355,159.331
7.1612,157.815
7.1868,159.486
7.2125,157.798
7.2382,158.816
7.2638,156.686
7.2895,159.465
7.3152,157.581
7.3408,158.768
7.3665,157.663
7.3922,159.198
7.4178,157.367
7.4435,159.037
7.4692,157.441
7.4948,159.135
7.5205,158.227
7.5462,158.134
7.5718,157.412
7.5975,159.155
7.6232,158.885
7.6488,158.108
7.6745,158.474
7.7001,158.706
7.7258,158.844
7.7515,156.4
7.7771,157.39900000000003
7.8028,157.469
7.8285,157.357
7.8541,156.925
7.8798,158.186
7.9055,157.136
7.9311,158.287
7.9568,156.418
7.9825,158.122
8.0081,157.019
8.0338,157.793
8.0595,157.07
8.0851,158.666
8.1108,156.702
8.1365,158.685
8.1622,156.388
8.1878,158.272
8.2135,157.354
8.2391,158.9
8.2648,156.856
8.2905,158.837
8.3161,156.561
8.3418,158.422
8.3675,157.502
8.3931,158.467
8.4188,157.502
8.4445,158.36
8.4701,157.46
8.4958,158.803
8.5215,157.378
8.5471,158.296
8.5728,157.892
8.5985,158.074
8.6241,158.114
8.6498,157.452
8.6755,158.392
8.7011,158.079
8.7268,157.85
8.7524,157.958
8.7781,158.343
8.8038,158.054
8.8294,158.76
8.8551,157.064
8.8808,159.213
8.9064,157.088
8.9321,158.498
8.9578,157.319
8.9834,158.687
9.0091,157.505
9.0348,158.781
9.0604,157.32
9.0861,159.466
9.1118,157.077
9.1374,158.821
9.1631,156.935
9.1888,159.145
9.2144,157.87
9.2401,158.514
9.2658,157.568
9.2914,158.955
9.3171,157.183
9.3428,158.957
9.3684,157.232
9.3941,159.009
9.4198,158.083
9.4454,158.189
9.4711,158.228
9.4968,158.259
9.5224,158.072
9.5481,158.39
9.5738,158.055
9.5995,158.643
9.6251,158.412
9.6508,157.617
9.6765,158.968
9.7021,157.921
9.7278,158.771
9.7535,157.247
9.7791,158.763
9.8048,158.159
9.8305,158.727
9.8561,157.469
9.8818,158.937
9.9075,157.093
9.9332,159.12
9.9588,157.127
9.9845,159.5
10.0102,157.745
10.0359,158.895
10.0615,157.509
10.0872,159.058
10.1129,157.44
10.1385,159.427
10.1642,157.233
10.1899,156.82379999999998
10.2155,157.422
10.2412,158.135
10.2669,157.3814
10.2925,156.4194
10.3182,157.663
10.3439,157.564
10.3695,156.833
10.3952,158.509
10.4209,156.889
10.4466,157.722
10.4722,157.516
10.4979,157.674
10.5236,157.825
10.5492,157.119
10.5749,157.859
10.6006,157.705
10.6262,157.492
10.6519,157.209
10.6776,157.942
10.7032,157.778
10.7289,158.411
10.7546,156.634
10.7802,158.987
10.8059,157.318
10.8316,158.314
10.8572,156.912
10.8829,158.39
10.9086,157.546
10.9342,158.811
10.9599,157.195
10.9856,159.393
11.0112,156.717
11.0369,158.034
11.0626,157.046
11.0882,159.151
11.1139,157.287
11.1396,159.215
11.1653,157.526
11.1909,158.697
11.2166,157.618
11.2422,158.119
11.2679,158.065
11.2936,158.716
11.3192,157.571
11.3449,158.419
11.3706,157.742
11.3962,158.989
11.4219,158.203
11.4476,157.925
11.4732,158.96
11.4989,158.081
11.5246,158.46
11.5502,157.737
11.5759,158.164
11.6016,158.159
11.6272,158.335
11.6529,157.18
11.6786,158.848
11.7042,157.881
11.7299,158.453
11.7556,157.517
11.7812,159.272
11.8069,157.204
11.8326,159.035
11.8582,157.014
11.8839,159.538
11.9096,157.871
11.9352,158.726
11.9609,157.708
11.9866,159.207
12.0122,157.47
12.0379,159.158
12.0636,157.21
12.0893,159.522
12.1149,157.31
12.1406,158.884
12.1663,158.659
12.1919,158.792
12.2176,157.814
12.2433,158.391
12.2689,157.949
12.2946,158.915
12.3203,157.963
12.3459,158.935
12.3716,158.518
12.3972,158.547
12.4229,158.783
12.4486,157.89
12.4742,158.825
12.4999,158.157
12.5256,158.509
12.5513,158.558
12.5769,158.877
12.6026,157.812
12.6283,159.068
12.6539,157.222
12.6796,158.843
12.7053,158.166
12.7309,156.7342
12.7566,157.77519999999998
12.7823,157.5658
12.8079,157.521
12.8336,158.582
12.8593,157.62
12.8849,158.546
12.9106,157.248
12.9363,158.495
12.9619,156.991
12.9876,158.828
13.0133,156.548
13.0389,158.532
13.0646,157.201
13.0903,158.25
13.1159,157.286
13.1416,158.809
13.1673,157.233
13.1929,158.555
13.2186,158.063
13.2443,158.039
13.2699,158.168
13.2956,158.5
13.3213,157.912
13.3469,158.479
13.3726,158.026
13.3983,158.255
13.4239,158.221
13.4496,157.509
13.4753,158.088
13.5009,157.994
13.5266,158.268
13.5523,157.752
13.5779,159.237
13.6036,157.409
13.6293,159.099
13.6549,157.282
13.6806,159.139
13.7063,157.612
13.7319,158.681
13.7576,157.751
13.7833,159.399
13.8089,157.413
13.8346,159.496
13.8602,157.604
13.8859,159.421
13.9116,157.525
13.9372,158.867
13.9629,157.158
13.9885,159.077
14.0142,157.572
14.0399,158.891
14.0656,158.115
14.0912,158.553
14.1169,158.071
14.1426,158.816
14.1682,157.937
14.1939,159.05
14.2195,157.861
14.2452,157.987
14.2709,158.277
14.2965,158.524
14.3222,158.088
14.3479,158.574
14.3735,158.896
14.3992,158.215
14.4249,159.275
14.4505,158.033
14.4762,158.663
14.5018,157.982
14.5275,159.356
14.5532,157.982
14.5788,159.731
14.6045,157.224
14.6302,159.449
14.6558,158.584
14.6815,159.415
14.7072,157.905
14.7329,159.386
14.7585,157.544
14.7842,158.35340000000002
14.8099,157.57
14.8355,159.507
14.8612,157.76
14.8868,159.07
14.9125,157.705
14.9382,158.949
14.9638,157.967
14.9895,159.688
15.0152,157.858
15.0408,159.08
15.0665,157.865
15.0922,159.471
15.1178,158.415
15.1435,158.711
15.1691,158.474
15.1948,158.49
15.2205,158.034
15.2461,156.815
15.2718,157.70440000000002
15.2975,158.019
15.3231,157.842
15.3488,157.812
15.3744,158.429
15.4001,157.284
15.4258,158.224
15.4514,157.4
15.4771,158.306
15.5028,157.723
15.5284,158.147
15.5541,157.542
15.5798,158.86
15.6054,157.024
15.6311,158.954
15.6567,156.859
15.6824,158.875
15.7081,157.433
15.7337,158.563
15.7594,157.291
15.785,158.684
15.8107,157.107
15.8364,159.039
15.862,156.783
15.8877,159.149
15.9134,157.172
15.939,158.683
15.9647,157.547
15.9904,158.244
16.016,157.62
16.0417,158.649
16.0674,157.37
16.093,158.695
16.1187,157.483
16.1444,158.693
16.17,157.974
16.1957,157.821
