时间(s),电流(mA)
0.7701,158.408
0.7958,158.148
0.8215,158.32
0.8471,157.482
0.8728,159.051
0.8985,157.923
0.9241,158.799
0.9498,157.94
0.9755,158.886
1.0011,157.91
1.0268,159.373
1.0525,157.018
1.0781,158.872
1.1038,157.069
1.1295,159.175
1.1552,157.946
1.1808,159.07
1.2065,157.827
1.2322,159.165
1.2578,157.325
1.2835,158.899
1.3092,157.801
1.3348,158.87
1.3605,157.875
1.3862,159.102
1.4118,157.468
1.4375,159.323
1.4632,158.128
1.4888,158.704
1.5145,158.473
1.5401,158.31
1.5658,158.706
1.5915,158.652
1.6171,157.888
1.6428,158.001
1.6685,159.05
1.6941,158.059
1.7198,158.755
1.7455,158.436
1.7712,158.664
1.7968,158.131
1.8225,158.865
1.8481,157.25
1.8738,159.039
1.8995,158.138
1.9251,159.176
1.9508,158.075
1.9765,159.703
2.0021,157.603
2.0278,156.4316
2.0535,157.3032
2.0791,156.86200000000002
2.1048,157.125
2.1305,157.466
2.1561,156.932
2.1818,158.534
2.2075,156.867
2.2331,158.46
2.2588,156.576
2.2845,158.521
2.3101,156.919
2.3358,158.055
2.3615,157.696
2.3871,158.097
2.4128,157.526
2.4385,158.38
2.4641,157.556
2.4898,158.59
2.5155,157.592
2.5411,158.417
2.5668,158.471
2.5925,157.727
2.6182,158.389
2.6438,157.685
2.6695,158.235
2.6952,157.826
2.7209,157.988
2.7465,157.947
2.7722,159.086
2.7979,157.214
2.8235,158.554
2.8492,157.797
2.8749,158.862
2.9005,157.511
2.9262,159.212
2.9519,157.239
2.9775,159.415
3.0032,157.355
3.0289,159.074
3.0545,157.766
3.0802,158.939
3.1059,157.906
3.1316,158.961
3.1572,157.428
3.1829,159.424
3.2086,157.446
3.2342,159.115
3.2599,157.678
3.2856,158.74
3.3112,158.088
3.3369,158.349
3.3626,157.956
3.3882,158.516
3.4139,157.745
3.4396,158.565
3.4652,157.909
3.4909,157.931
3.5166,158.246
3.5423,158.449
3.5679,158.356
3.5936,158.272
3.6193,158.863
3.6449,157.657
3.6706,159.059
3.6963,157.704
3.7219,159.083
3.7476,157.788
3.7733,158.818
3.799,157.659
3.8246,158.846
3.8503,157.525
3.876,159.47
3.9016,157.177
3.9273,159.331
3.953,157.413
3.9787,159.464
4.0043,157.722
4.03,158.912
4.0557,157.755
4.0814,159.091
4.107,157.05
4.1327,158.788
4.1584,158.313
