时间(s),电流(mA)
0.8981,157.177
0.9238,158.672
0.9495,157.857
0.9751,158.727
1.0008,157.999
1.0265,158.405
1.0521,157.801
1.0778,158.755
1.1034,157.792
1.1291,158.791
1.1548,158.153
1.1804,158.375
1.2061,158.678
1.2318,157.96
1.2574,158.89
1.2831,158.25
1.3087,158.574
1.3344,158.392
1.3601,158.558
1.3857,157.893
1.4114,158.913
1.437,157.588
1.4627,159.597
1.4884,157.67
1.514,159.299
1.5397,157.883
1.5654,158.728
1.591,157.183
1.6167,159.499
1.6424,157.57
1.668,159.28
1.6937,157.893
1.7193,158.961
1.745,157.752
1.7707,159.304
1.7963,157.46
1.822,159.417
1.8477,157.494
1.8734,159.356
1.899,158.408
1.9247,158.56
1.9504,157.496
1.976,158.921
2.0017,158.257
2.0273,158.762
2.053,158.651
2.0787,158.504
2.1043,158.552
2.13,158.844
2.1557,158.444
2.1813,159.123
2.207,158.915
2.2327,158.258
2.2583,158.963
2.284,157.844
2.3097,159.292
2.3353,157.895
2.361,158.957
2.3867,158.129
2.4124,158.807
2.438,157.711
2.4637,156.4134
2.4894,157.3582
2.515,157.11180000000002
2.5407,157.526
2.5663,158.35
2.592,156.83
2.6177,158.151
2.6433,156.957
2.669,158.188
2.6947,157.198
2.7203,158.682
2.746,156.915
2.7717,159.12
2.7973,157.16
2.823,158.449
2.8487,157.469
2.8743,158.279
2.9,157.703
2.9257,158.374
2.9513,157.415
2.977,158.633
3.0027,157.383
3.0283,157.889
3.054,157.939
3.0797,158.399
3.1053,158.008
3.131,158.202
3.1567,158.039
3.1824,158.296
3.208,158.597
3.2337,157.365
3.2593,159.0
3.285,157.63
3.3107,158.66
3.3364,157.893
3.362,158.583
3.3877,157.47
3.4134,158.8
3.439,157.082
3.4647,159.269
3.4903,157.309
3.516,159.22
3.5417,157.589
3.5673,159.096
3.593,157.353
3.6187,158.79
3.6443,157.596
3.67,159.11
3.6956,157.381
3.7213,159.41
3.747,157.355
3.7726,159.177
3.7983,157.929
3.824,158.268
3.8496,157.379
3.8753,159.227
3.901,158.401
3.9266,158.38
3.9523,158.58
3.978,158.42
4.0036,158.487
4.0293,158.914
4.055,158.411
4.0806,158.689
4.1063,158.417
4.1319,158.258
4.1576,159.058
4.1833,158.134
4.2089,159.184
4.2346,157.997
4.2603,159.436
4.2859,158.075
4.3116,158.841
4.3373,157.984
4.3629,159.541
4.3886,158.022
4.4143,159.791
4.4399,157.334
4.4656,159.748
4.4913,157.841
4.5169,159.121
4.5426,158.109
4.5683,159.077
4.5939,157.788
4.6196,159.22
4.6453,157.237
4.6709,159.498
4.6966,157.755
4.7223,159.102
4.7479,158.548
4.7736,158.807
4.7992,158.5
4.8249,158.654
4.8506,157.552
4.8762,158.656
4.9019,158.631
4.9275,158.212
4.9532,158.355
4.9788,156.99
5.0045,157.74960000000002
5.0302,157.96
5.0558,157.825
5.0815,157.618
5.1072,158.116
5.1328,156.86
5.1585,158.327
5.1841,157.37
5.2098,158.097
5.2355,157.679
5.2611,158.445
5.2868,157.638
5.3125,158.581
5.3381,157.086
5.3638,159.069
5.3894,157.025
5.4151,158.342
5.4407,157.159
5.4664,159.05
5.4921,156.913
5.5177,159.078
5.5434,157.348
5.569,158.719
5.5947,157.357
5.6203,159.09
5.646,157.303
5.6717,159.003
5.6973,157.986
5.723,158.573
5.7486,157.906
5.7743,158.395
5.7999,158.032
5.8256,158.986
5.8512,157.962
5.8769,158.521
5.9025,158.8
5.9282,158.814
5.9539,158.492
5.9795,157.723
6.0052,158.767
6.0308,157.982
6.0565,158.018
6.0821,157.83
6.1078,158.555
6.1335,158.274
6.1591,159.201
6.1848,157.642
6.2104,159.188
6.2361,157.38
6.2618,159.106
6.2874,157.735
6.3131,158.77
6.3387,157.631
6.3644,158.977
6.39,157.528
6.4157,159.157
6.4414,157.248
6.467,159.599
6.4927,157.794
6.5183,158.918
6.544,157.949
6.5697,158.474
6.5953,157.922
6.621,159.284
6.6466,157.582
6.6723,158.821
6.698,157.896
6.7236,158.98
6.7493,158.081
6.7749,158.405
6.8006,158.29
6.8262,158.273
6.8519,158.311
6.8776,158.642
6.9032,158.004
6.9289,157.85
6.9545,158.957
6.9802,158.002
7.0059,158.616
7.0315,158.231
7.0572,158.602
7.0828,158.087
7.1085,159.194
7.1342,157.53
7.1598,159.246
7.1855,157.469
7.2112,159.321
7.2369,157.891
7.2625,158.982
7.2882,158.354
7.3138,159.213
7.3395,157.304
7.3652,159.349
7.3908,157.361
7.4165,157.08700000000002
7.4422,157.674
7.4678,158.574
7.4935,157.61180000000002
7.5192,156.77280000000002
7.5448,157.937
7.5705,158.072
7.5962,156.804
7.6218,158.572
7.6475,156.613
7.6732,157.884
7.6988,157.445
7.7245,158.068
7.7501,157.95
7.7758,157.801
7.8015,157.952
7.8271,158.218
7.8528,157.129
7.8784,157.39
7.9041,158.547
7.9298,157.796
7.9554,158.026
7.9811,157.87
8.0068,158.133
8.0324,157.711
8.0581,158.745
8.0838,157.569
8.1094,159.304
8.1351,157.088
8.1608,158.141
8.1864,157.204
8.2121,159.355
8.2378,156.875
8.2634,159.038
8.2891,157.462
8.3147,158.811
8.3404,157.584
8.366,158.694
8.3917,157.673
8.4173,159.0
8.443,157.349
8.4687,159.292
8.4943,157.255
8.52,158.779
8.5457,157.942
8.5713,158.345
8.597,158.075
8.6227,158.622
8.6483,157.855
8.674,158.404
8.6997,157.936
8.7253,158.824
8.751,158.267
8.7767,158.249
8.8023,159.21
8.828,157.908
8.8537,158.169
8.8793,158.178
8.905,159.066
8.9306,157.481
