攻击类型,数据点数,平均值(mA),标准差(mA),最小值(mA),最大值(mA),变化范围(mA)
正常,3860,157.57,0.68,155.73,159.24,3.5
TCP攻击-弱,3879,158.02,0.72,156.06,159.73,3.66
TCP攻击-中,3879,158.09,0.73,156.24,159.8,3.56
TCP攻击-强,3927,158.07,0.72,156.22,159.79,3.57
UDP攻击-弱,3907,158.08,0.71,156.08,159.71,3.63
UDP攻击-中,3930,158.17,0.69,156.26,159.79,3.53
UDP攻击-强,3908,157.97,0.78,155.65,159.75,4.09
ICMP攻击-弱,3896,158.15,0.73,156.23,159.78,3.55
ICMP攻击-中,3907,158.14,0.75,155.56,159.91,4.35
ICMP攻击-强,3905,158.21,0.74,156.04,159.93,3.9
DNS攻击-弱,3903,157.59,0.74,155.27,159.29,4.02
DNS攻击-中,3932,157.69,0.76,155.71,159.43,3.72
DNS攻击-强,3908,157.93,0.73,155.46,159.63,4.17
