t,F
0.5726,154.917
0.5734,162.113
0.5742,164.408
0.575,159.347
0.5758,160.714
0.5766,165.132
0.5774,166.007
0.5782,163.355
0.579,163.268
0.5798,165.521
0.5806,173.902
0.5814,169.606
0.5822,162.271
0.583,155.163
0.5838,152.92
0.5846,158.576
0.5854,160.858
0.5862,159.47
0.587,161.691
0.5878,162.793
0.5886,161.714
0.5894,160.645
0.5902,165.541
0.591,171.996
0.5918,163.389
0.5926,161.545
0.5934,162.928
0.5942,162.155
0.595,158.105
0.5958,157.458
0.5966,160.026
0.5975,161.204
0.5983,160.529
0.5991,161.09
0.5999,164.729
0.6007,174.206
0.6015,181.249
0.6023,186.605
0.6031,177.756
0.6039,168.842
0.6047,173.998
0.6055,174.246
0.6063,165.259
0.6071,160.431
0.6079,158.824
0.6087,157.777
0.6095,157.53
0.6103,163.389
0.6111,166.256
0.6119,159.737
0.6127,159.24
0.6135,159.716
0.6143,158.701
0.6151,154.123
0.6159,152.506
0.6167,156.046
0.6175,156.312
0.6183,147.598
0.6191,141.087
0.6199,140.64
0.6207,147.673
0.6215,157.437
0.6223,164.31
0.6231,157.618
0.6239,151.564
0.6247,158.592
0.6255,160.766
0.6263,159.624
0.6271,161.138
0.6279,161.733
0.6287,162.461
0.6295,163.236
0.6303,166.336
0.6311,169.877
0.6319,165.209
0.6327,163.496
0.6335,164.229
0.6343,162.499
0.6351,158.883
0.6359,160.792
0.6367,162.556
0.6375,161.884
0.6383,160.865
0.6391,160.654
0.6399,161.324
0.6407,161.79
0.6416,162.189
0.6423,164.931
0.6431,156.412
0.6439,150.194
0.6447,154.754
0.6456,156.563
0.6464,157.539
0.6472,159.894
0.648,160.538
0.6488,160.483
0.6495,162.799
0.6504,176.903
0.6512,187.096
0.652,182.607
0.6528,183.057
0.6536,183.526
0.6544,177.715
0.6552,164.143
0.656,158.11
0.6568,159.444
0.6576,159.037
0.6584,158.541
0.6592,158.512
0.66,158.921
0.6608,160.47
0.6616,159.964
0.6624,161.105
0.6632,152.912
0.664,148.964
0.6648,154.253
0.6656,156.199
0.6664,156.242
0.6672,156.81
0.668,151.556
0.6688,143.845
0.6696,141.784
0.6704,153.729
0.6712,162.179
0.672,160.19
0.6728,162.199
0.6736,163.405
0.6744,161.623
0.6752,160.328
0.676,160.626
0.6768,160.83
0.6776,161.769
0.6784,162.316
0.6792,162.125
0.68,163.709
0.6808,164.906
0.6816,163.792
0.6824,166.997
0.6832,157.044
0.684,151.932
0.6848,155.132
0.6856,157.687
0.6864,158.49
0.6872,160.151
0.688,160.96
0.6888,159.911
0.6896,160.721
0.6904,168.079
0.6912,167.619
0.692,160.898
0.6928,160.714
0.6936,160.352
0.6944,157.694
0.6952,156.299
0.696,156.823
0.6969,160.207
0.6977,160.393
0.6985,159.342
0.6993,160.476
0.7001,166.272
0.7009,176.447
0.7017,182.08
0.7025,185.768
0.7033,172.767
0.7041,167.987
0.7049,168.026
0.7057,161.536
0.7065,158.128
0.7073,158.55
0.7081,158.123
0.7089,157.456
0.7097,158.417
0.7105,166.829
0.7113,165.77
0.7121,159.638
0.7129,160.523
0.7137,162.367
0.7145,160.614
0.7153,155.541
0.7161,155.88
0.7169,158.161
0.7177,154.281
0.7185,145.865
0.7193,141.3
0.7201,142.994
0.7209,151.823
0.7217,160.307
0.7225,164.661
0.7233,155.283
0.7241,154.831
0.7249,160.923
0.7257,159.68
0.7265,160.338
0.7273,162.508
0.7281,163.308
0.7289,163.734
0.7297,164.263
0.7305,168.876
0.7313,169.482
0.7321,163.606
0.7329,164.101
0.7337,165.088
0.7345,166.003
0.7353,165.283
0.7361,163.241
0.7369,162.922
0.7377,162.362
0.7385,161.308
0.7393,159.648
0.7401,159.056
0.7409,160.329
0.7417,161.872
0.7425,162.772
0.7433,152.338
0.7441,150.282
0.7449,156.38
0.7458,157.328
0.7466,157.597
0.7474,158.881
0.7482,158.894
0.749,160.038
0.7498,165.429
0.7506,182.688
0.7514,186.635
0.7522,181.585
0.753,182.552
0.7538,183.266
0.7546,174.584
0.7554,161.268
0.7562,158.652
0.757,159.52
0.7578,157.653
0.7586,156.593
0.7594,156.514
0.7602,156.922
0.761,159.199
0.7618,160.806
0.7626,161.331
0.7634,150.517
0.7642,149.071
0.765,155.315
0.7658,155.935
0.7666,155.731
0.7674,154.505
0.7682,147.295
0.769,141.206
0.7698,143.234
0.7706,157.439
0.7714,159.466
0.7722,161.434
0.773,164.838
0.7738,165.74
0.7746,165.066
0.7754,163.703
0.7762,162.517
0.777,161.699
0.7778,162.318
0.7786,162.102
0.7794,162.578
0.7802,165.996
0.781,167.564
0.7818,164.743
0.7826,160.837
0.7834,153.186
0.7842,154.874
0.785,160.132
0.7858,157.968
0.7866,159.896
0.7874,162.927
0.7882,162.525
0.789,161.076
0.7898,161.604
0.7906,165.99
0.7914,165.365
0.7922,161.733
0.793,162.195
0.7938,161.302
0.7946,158.851
0.7954,158.05
0.7963,158.115
0.7971,160.503
0.7979,160.795
0.7987,160.698
0.7995,162.699
0.8003,170.757
0.8011,179.15
0.8019,184.699
0.8027,183.77
0.8035,169.842
0.8043,168.133
0.8051,166.169
0.8059,158.186
0.8067,156.535
0.8075,157.92
0.8083,157.83
0.8091,157.488
0.8099,159.163
0.8107,166.418
0.8115,161.694
0.8123,157.857
0.8131,158.516
0.8139,159.83
0.8147,156.415
0.8155,153.073
0.8163,154.066
0.8171,155.844
