t,F
1.948000,153.192000
1.948800,152.622000
1.949600,156.376000
1.950400,158.345000
1.951200,160.039000
1.952000,162.909000
1.952800,163.170000
1.953600,162.816000
1.954400,165.498000
1.955200,170.613000
1.956000,164.878000
1.956800,162.855000
1.957600,163.306000
1.958400,162.457000
1.959200,162.114000
1.960000,164.949000
1.960800,165.992000
1.961600,166.749000
1.962400,163.867000
1.963200,161.997000
1.964000,160.183000
1.964800,160.561000
1.965600,161.557000
1.966400,163.364000
1.967200,159.845000
1.968000,150.612000
1.968800,151.085000
1.969600,153.855000
1.970400,156.808000
1.971200,158.451000
1.972000,159.441000
1.972900,159.630000
1.973700,160.024000
1.974500,166.206000
1.975200,181.192000
1.976000,182.061000
1.976900,181.327000
1.977700,182.782000
1.978500,182.817000
1.979300,170.329000
1.980100,159.101000
1.980900,156.589000
1.981700,157.981000
1.982500,158.163000
1.983300,157.823000
1.984100,157.512000
1.984900,159.998000
1.985700,161.013000
1.986500,161.481000
1.987300,156.625000
1.988100,147.637000
1.988900,148.266000
1.989700,152.808000
1.990500,155.542000
1.991300,156.071000
1.992100,155.743000
1.992900,149.559000
1.993700,141.775000
1.994500,140.488000
1.995300,149.318000
1.996100,158.142000
1.996900,161.764000
1.997700,162.998000
1.998500,164.242000
1.999300,162.557000
2.000100,159.849000
2.000900,162.111000
2.001700,163.152000
2.002500,161.696000
2.003300,161.368000
2.004100,161.790000
2.004900,162.627000
2.005700,163.046000
2.006500,166.468000
2.007300,158.269000
2.008100,151.134000
2.008900,152.963000
2.009700,158.160000
2.010500,160.283000
2.011300,161.770000
2.012100,162.877000
2.012900,162.369000
2.013700,160.970000
2.014500,163.467000
2.015300,167.980000
2.016100,163.760000
2.016900,161.610000
2.017700,163.096000
2.018500,161.257000
2.019300,158.648000
2.020100,157.414000
2.020900,157.866000
2.021700,158.419000
2.022500,158.857000
2.023300,159.151000
2.024200,161.197000
2.025000,169.300000
2.025800,178.583000
2.026600,185.435000
2.027400,178.604000
2.028200,168.357000
2.029000,166.722000
2.029800,164.337000
2.030600,159.701000
2.031400,158.800000
2.032200,158.765000
2.033000,158.312000
2.033800,158.291000
2.034600,162.660000
2.035400,165.748000
2.036200,160.618000
2.037000,160.128000
2.037800,161.574000
2.038600,160.716000
2.039400,157.322000
2.040200,155.858000
2.041000,156.407000
2.041800,157.110000
2.042600,153.090000
2.043400,144.945000
2.044200,140.770000
2.045000,141.354000
2.045800,141.524000
2.046600,149.270000
2.047400,150.737000
2.048200,149.037000
2.049000,152.374000
2.049800,156.593000
2.050600,159.354000
2.051400,160.754000
2.052200,161.473000
2.053000,161.507000
2.053800,161.750000
2.054600,163.020000
2.055400,162.568000
2.056200,161.914000
2.057000,162.863000
2.057800,163.878000
2.058600,162.963000
2.059400,160.473000
2.060200,160.302000
2.061000,163.833000
2.061800,163.706000
2.062600,161.494000
2.063400,160.629000
2.064200,160.552000
2.065000,162.950000
2.065800,162.499000
2.066600,164.423000
2.067400,155.498000
2.068200,148.724000
2.069000,151.219000
2.069800,155.606000
2.070600,157.242000
2.071400,158.583000
2.072200,159.318000
2.073000,159.430000
2.073800,160.418000
2.074600,164.457000
2.075500,174.597000
2.076300,180.011000
2.077100,182.879000
2.077900,183.993000
2.078700,183.035000
2.079500,178.712000
2.080300,176.752000
2.081100,171.596000
2.081900,164.364000
2.082700,158.539000
2.083500,157.156000
2.084300,156.501000
2.085100,158.216000
2.085900,160.073000
2.086700,163.165000
2.087500,153.417000
2.088300,148.215000
2.089100,150.087000
2.089900,152.923000
2.090700,154.512000
2.091500,156.986000
2.092300,156.114000
2.093100,148.265000
2.093900,141.976000
2.094700,144.274000
2.095500,151.080000
2.096300,158.023000
2.097100,162.691000
2.097900,164.446000
2.098700,163.413000
2.099500,159.902000
2.100300,158.733000
2.101100,165.181000
2.101900,165.346000
2.102700,163.126000
2.103500,163.379000
2.104300,163.282000
2.105100,161.991000
2.105900,165.203000
2.106700,171.031000
2.107500,157.840000
2.108300,152.757000
2.109100,155.316000
2.109900,157.940000
2.110700,159.370000
2.111500,161.547000
2.112300,162.266000
2.113100,161.396000
2.113900,160.154000
2.114700,164.405000
2.115500,165.446000
2.116300,161.671000
2.117100,162.016000
2.117900,161.940000
2.118700,159.337000
2.119500,157.073000
2.120300,157.531000
2.121100,158.913000
2.121900,159.197000
2.122700,159.031000
2.123500,159.755000
2.124300,163.336000
2.125100,171.114000
2.125900,179.571000
2.126700,184.231000
2.127600,171.235000
2.128300,167.060000
2.129200,168.091000
2.130000,165.320000
2.130800,159.521000
2.131600,157.670000
2.132400,157.249000
2.133200,157.271000
2.134000,158.001000
2.134800,162.700000
2.135600,163.347000
2.136400,158.992000
2.137200,159.639000
2.138000,159.872000
2.138800,157.385000
2.139600,155.110000
2.140400,155.399000
2.141200,157.059000
2.142000,157.335000
2.142800,150.834000
2.143600,143.106000
2.144400,142.908000
2.145200,150.835000
2.146000,161.033000
2.146800,164.793000
2.147600,155.488000
2.148400,153.047000
2.149200,155.880000
2.150000,159.758000
2.150800,161.325000
2.151600,162.773000
2.152400,162.675000
2.153200,162.519000
2.154000,163.478000
2.154800,170.921000
2.155600,169.552000
2.156400,164.999000
2.157200,166.224000
2.158000,165.216000
2.158800,161.099000
2.159600,157.721000
2.160400,158.274000
2.161200,160.471000
2.162000,163.040000
2.162800,163.033000
2.163600,161.354000
2.164400,161.657000
2.165200,163.284000
2.166000,163.774000
2.166800,162.914000
2.167600,151.644000
2.168400,149.916000
2.169200,152.846000
2.170000,156.977000
2.170800,159.450000
2.171600,160.002000
2.172400,158.630000
2.173200,158.067000
2.174000,160.953000
2.174800,175.326000
2.175600,181.427000
2.176400,181.228000
2.177300,182.532000
2.178000,181.684000
2.178800,174.725000
2.179600,163.892000
2.180500,158.164000
2.181300,158.542000
2.182100,158.220000
2.182900,157.842000
2.183700,157.635000
2.184500,158.321000
2.185300,160.043000
2.186100,160.775000
2.186900,159.257000
2.187700,149.339000
2.188500,148.499000
2.189300,151.995000
2.190100,154.673000
2.190900,155.259000
2.191700,154.880000
2.192500,151.082000
2.193300,144.019000
2.194100,140.702000
2.194900,143.871000
2.195700,145.364000
2.196500,152.552000
2.197300,159.349000
2.198100,162.614000
2.198900,162.389000
2.199700,161.136000
2.200500,162.027000
2.201300,165.345000
2.202100,162.431000
2.202900,161.969000
2.203700,162.224000
2.204500,162.783000
2.205300,162.980000
2.206100,169.205000
2.206900,169.586000
2.207700,155.204000
2.208500,154.447000
2.209300,155.453000
2.210100,156.777000
2.210900,159.356000
2.211700,162.614000
2.212500,163.225000
2.213300,162.163000
2.214100,164.362000
2.214900,170.918000
2.215700,165.839000
2.216500,161.855000
2.217300,162.391000
2.218100,161.236000
2.218900,158.158000
2.219700,157.758000
2.220500,159.199000
2.221300,160.734000
2.222100,160.990000
2.222900,160.806000
2.223700,161.269000
2.224500,166.648000
2.225300,177.945000
2.226100,185.428000
2.226900,180.688000
2.227700,169.737000
2.228500,169.912000
2.229300,172.276000
2.230100,168.143000
2.230900,162.066000
2.231800,160.246000
2.232600,159.289000
2.233400,158.485000
2.234200,160.692000
2.235000,167.500000
2.235800,162.962000
2.236600,160.597000
2.237400,161.633000
2.238200,161.309000
2.239000,156.464000
2.239800,154.774000
2.240600,155.925000
2.241400,156.747000
2.242200,154.401000
2.243000,146.288000
2.243800,141.091000
2.244600,145.355000
2.245400,154.014000
2.246200,162.189000
2.247000,160.232000
2.247800,151.791000
2.248600,152.527000
2.249400,156.539000
2.250200,159.230000
2.251000,161.661000
2.251800,161.913000
2.252600,161.357000
2.253400,161.348000
2.254200,164.074000
2.255000,166.584000
2.255800,165.163000
2.256600,162.421000
2.257400,163.277000
2.258200,164.808000
2.259000,159.100000
2.259800,158.623000
2.260600,160.751000
2.261400,162.461000
2.262200,162.467000
2.263000,160.957000
2.263800,158.869000
2.264600,160.944000
2.265400,162.472000
2.266200,164.593000
2.267000,158.247000
2.267800,149.465000
2.268600,150.348000
2.269400,154.045000
2.270200,156.531000
2.271000,158.255000
2.271800,160.182000
2.272600,159.980000
2.273400,160.662000
2.274200,169.418000
2.275000,180.231000
2.275800,180.250000
2.276600,181.576000
2.277400,183.697000
2.278200,181.790000
2.279000,170.281000
2.279800,160.428000
2.280600,159.429000
2.281400,161.096000
2.282200,159.083000
2.283000,158.258000
2.283800,158.701000
2.284700,160.762000
2.285500,160.665000
2.286300,162.032000
2.287100,155.314000
2.287800,148.507000
2.288600,150.595000
2.289500,155.025000
2.290300,156.537000
2.291100,156.743000
2.291900,156.163000
2.292700,149.399000
2.293500,142.565000
2.294300,145.734000
2.295100,156.629000
2.295900,159.220000
2.296700,162.307000
2.297500,163.376000
2.298300,163.740000
2.299100,163.547000
2.299900,160.044000
