t,F
0.485900,158.121000
0.486700,158.824000
0.487500,161.007000
0.488300,151.634000
0.489100,147.323000
0.489900,148.451000
0.490700,150.562000
0.491500,152.454000
0.492300,154.968000
0.493100,155.669000
0.493900,155.111000
0.494700,155.196000
0.495500,160.124000
0.496300,156.621000
0.497100,143.871000
0.497900,142.702000
0.498700,149.176000
0.499500,156.817000
0.500300,157.087000
0.501100,157.264000
0.501900,159.996000
0.502700,161.645000
0.503500,160.806000
0.504300,160.541000
0.505100,161.216000
0.505900,163.828000
0.506700,164.435000
0.507500,167.855000
0.508400,154.877000
0.509200,149.698000
0.510000,151.526000
0.510800,154.150000
0.511600,155.472000
0.512400,158.986000
0.513200,160.785000
0.514000,160.925000
0.514800,160.814000
0.515600,163.493000
0.516400,165.056000
0.517200,160.450000
0.518000,159.608000
0.518800,159.880000
0.519600,157.737000
0.520400,155.637000
0.521200,155.279000
0.522000,157.546000
0.522800,158.718000
0.523600,158.090000
0.524400,157.266000
0.525200,157.206000
0.526000,158.675000
0.526800,160.988000
0.527600,163.529000
0.528400,156.254000
0.529200,160.619000
0.530000,167.498000
0.530800,172.155000
0.531600,174.072000
0.532400,174.310000
0.533200,165.111000
0.534000,158.688000
0.534800,157.750000
0.535600,164.077000
0.536400,162.856000
0.537200,157.891000
0.538000,158.474000
0.538800,160.168000
0.539600,159.243000
0.540400,155.955000
0.541200,154.859000
0.542000,157.581000
0.542800,158.915000
0.543600,158.035000
0.544400,157.139000
0.545200,156.272000
0.546000,154.045000
0.546800,146.730000
0.547600,139.054000
0.548400,135.509000
0.549200,142.436000
0.550000,149.415000
0.550800,154.096000
0.551700,156.754000
0.552500,159.657000
0.553200,160.358000
0.554100,160.494000
0.554900,162.197000
0.555600,171.015000
0.556500,168.198000
0.557300,161.149000
0.558100,161.782000
0.558900,160.390000
0.559700,158.014000
0.560500,157.645000
0.561300,158.028000
0.562100,160.795000
0.562900,160.619000
0.563700,160.064000
0.564500,160.392000
0.565300,161.050000
0.566100,160.863000
0.566900,161.656000
0.567700,160.905000
0.568500,149.730000
0.569300,147.027000
0.570100,149.266000
0.570900,152.117000
0.571700,154.793000
0.572500,157.022000
0.573300,156.867000
0.574100,156.664000
0.574900,156.807000
0.575700,161.426000
0.576500,161.311000
0.577300,158.474000
0.578100,162.641000
0.578900,171.830000
0.579700,177.981000
0.580500,178.668000
0.581300,178.942000
0.582100,178.829000
0.582900,169.066000
0.583700,160.190000
0.584500,157.621000
0.585300,157.762000
0.586100,158.418000
0.586900,159.972000
0.587700,159.522000
0.588500,148.328000
0.589300,146.323000
0.590100,149.123000
0.590900,152.574000
0.591700,154.395000
0.592500,156.954000
0.593300,158.130000
0.594100,158.207000
0.594900,158.620000
0.595700,161.267000
0.596500,152.036000
0.597300,143.251000
0.598200,144.933000
0.599000,154.054000
0.599800,158.750000
0.600600,159.734000
0.601400,160.679000
0.602200,164.349000
0.603000,163.375000
0.603800,162.116000
0.604600,162.456000
0.605400,163.711000
0.606200,166.382000
0.607000,166.650000
0.607800,164.505000
0.608600,152.017000
0.609400,150.741000
0.610200,152.813000
0.611000,154.708000
0.611800,156.115000
0.612600,159.515000
0.613400,160.131000
0.614200,160.062000
0.615000,160.873000
0.615800,165.307000
0.616600,161.748000
0.617400,158.381000
0.618200,159.751000
0.619000,159.205000
0.619800,156.334000
0.620600,154.382000
0.621400,153.836000
0.622200,156.610000
0.623000,157.796000
0.623800,157.212000
0.624600,156.521000
0.625400,157.337000
0.626200,158.803000
0.627000,161.782000
0.627800,161.050000
0.628600,155.604000
0.629400,162.755000
0.630200,169.415000
0.631000,172.444000
0.631800,173.772000
0.632600,169.288000
0.633400,160.776000
0.634200,157.505000
0.635000,158.114000
0.635800,164.130000
0.636600,161.508000
0.637400,157.657000
0.638200,157.533000
0.639000,159.025000
0.639800,155.505000
0.640600,152.316000
0.641400,152.713000
0.642200,154.787000
0.643000,155.766000
0.643900,156.356000
0.644600,156.633000
0.645500,158.212000
0.646300,153.435000
0.647000,146.859000
0.647900,141.720000
0.648700,138.395000
0.649500,145.395000
0.650300,151.158000
0.651100,155.214000
0.651900,158.011000
0.652700,161.112000
0.653500,161.456000
0.654300,161.518000
0.655100,165.511000
0.655900,172.333000
0.656700,164.454000
0.657500,161.865000
0.658300,162.892000
0.659100,162.181000
0.659900,159.479000
0.660700,159.603000
0.661500,159.121000
0.662300,161.942000
0.663100,161.377000
0.663900,160.955000
0.664700,161.112000
0.665500,164.244000
0.666300,164.617000
0.667100,164.221000
0.667900,159.140000
0.668700,148.511000
0.669500,148.113000
0.670300,151.362000
0.671100,152.651000
0.671900,156.159000
0.672700,158.198000
0.673500,157.794000
0.674300,157.373000
0.675100,160.797000
0.675900,167.079000
0.676700,161.005000
0.677500,160.069000
0.678300,166.375000
0.679100,174.871000
0.679900,176.901000
0.680700,176.393000
0.681500,177.205000
0.682300,175.090000
0.683100,163.879000
0.683900,157.846000
0.684700,156.472000
0.685500,157.727000
0.686300,158.396000
0.687200,161.473000
0.687900,156.892000
0.688700,148.012000
0.689500,147.618000
0.690400,149.542000
0.691200,150.830000
0.692000,153.045000
0.692800,155.199000
0.693600,155.417000
0.694400,155.259000
0.695200,156.041000
