t,F
0.2373,151.59
0.2381,154.421
0.2389,166.063
0.2397,172.941
0.2405,176.833
0.2413,179.804
0.2421,174.732
0.2429,165.186
0.2437,162.162
0.2445,168.495
0.2453,164.249
0.2461,159.602
0.2469,160.104
0.2477,159.826
0.2485,157.277
0.2493,155.193
0.2501,155.776
0.2509,160.152
0.2517,157.957
0.2525,156.964
0.2533,157.35
0.2541,158.741
0.2549,158.902
0.2557,157.262
0.2565,147.833
0.2573,134.347
0.2581,136.474
0.2589,147.201
0.2597,154.521
0.2605,158.522
0.2613,161.424
0.2621,161.269
0.2629,161.227
0.2637,164.692
0.2645,173.483
0.2653,166.104
0.2661,162.269
0.2669,162.673
0.2677,164.242
0.2685,163.899
0.2693,158.504
0.2702,158.537
0.271,162.861
0.2718,162.433
0.2726,162.158
0.2734,162.045
0.2742,161.465
0.275,162.455
0.2758,168.579
0.2766,167.135
0.2774,151.035
0.2782,149.841
0.279,153.056
0.2798,155.419
0.2806,157.327
0.2814,159.733
0.2822,160.22
0.283,160.028
0.2838,162.549
0.2846,167.589
0.2854,162.414
0.2862,160.969
0.287,161.745
0.2878,164.549
0.2886,168.196
0.2894,173.627
0.2902,178.792
0.291,183.177
0.2918,178.162
0.2926,167.961
0.2934,160.4
0.2942,158.884
0.295,159.328
0.2958,162.454
0.2966,158.335
0.2974,147.616
0.2982,147.897
0.299,152.517
0.2998,155.087
0.3006,157.233
0.3014,158.367
0.3022,158.263
0.303,158.147
0.3038,160.906
0.3046,165.66
0.3054,159.693
0.3062,150.618
0.307,144.71
0.3078,144.632
0.3086,149.411
0.3094,155.658
0.3102,159.841
0.311,162.522
0.3118,162.93
0.3126,163.054
0.3134,162.964
0.3142,162.433
0.3166,163.516
0.3175,150.47
0.3182,151.091
0.3191,154.869
0.3199,157.25
0.3207,158.175
0.3215,160.351
0.3223,161.417
0.3231,161.933
0.3239,164.921
0.3247,168.522
0.3255,165.219
0.3263,162.543
0.3271,162.177
0.3279,162.668
0.3287,157.878
0.3295,155.668
0.3303,157.298
0.3311,159.623
0.3319,159.417
0.3327,158.658
0.3335,158.051
0.3343,158.905
0.3351,159.93
0.3359,163.357
0.3367,158.645
0.3375,151.136
0.3383,157.259
0.3391,168.167
0.3399,173.681
0.3407,177.371
0.3415,178.626
0.3423,172.383
0.3431,163.149
0.3439,162.2
0.3447,165.152
0.3455,160.37
0.3463,158.786
0.3471,160.079
0.3479,159.383
0.3487,156.824
0.3495,155.599
0.3503,155.985
0.3511,158.261
0.3519,157.561
0.3527,157.118
0.3535,156.913
0.3543,158.608
0.3551,157.911
0.3559,154.317
0.3567,142.46
0.3575,132.889
0.3583,132.97
0.3591,136.027
0.3599,141.605
0.3607,148.942
0.3616,152.849
0.3623,153.697
0.3632,153.998
0.364,156.167
0.3647,158.803
0.3656,155.192
0.3664,153.579
0.3672,154.173
0.368,153.729
0.3688,150.012
0.3696,149.673
0.3704,151.556
0.3712,153.759
0.372,153.236
0.3728,153.432
0.3736,153.551
0.3744,155.484
0.3752,156.09
0.376,158.36
0.3768,150.436
0.3776,141.491
0.3784,142.761
0.3792,147.252
0.38,148.446
0.3808,148.6
0.3816,149.008
0.3824,149.472
0.3832,149.824
0.384,154.132
0.3848,159.189
0.3856,152.954
0.3864,151.827
0.3872,153.844
0.388,156.906
0.3888,161.945
0.3896,164.644
0.3904,169.303
0.3912,173.468
0.392,171.066
0.3928,171.207
0.3936,171.966
0.3944,173.974
0.3952,174.876
0.396,177.985
0.3968,167.888
0.3976,160.264
0.3984,161.874
0.3992,166.39
0.4,167.304
0.4008,167.446
0.4016,163.874
0.4024,159.657
0.4032,157.714
0.404,160.645
0.4048,163.192
0.4056,155.05
0.4065,146.303
0.4072,143.254
0.4081,145.691
0.4089,150.4
0.4097,155.48
0.4105,159.997
0.4113,161.375
0.4121,160.86
0.4129,161.504
0.4137,162.395
0.4145,163.963
0.4153,162.977
0.4161,166.559
0.4169,158.893
0.4177,151.894
0.4185,153.784
0.4193,158.465
0.4201,157.872
0.4209,160.339
0.4217,162.118
0.4225,162.345
0.4233,162.351
0.4241,163.121
0.4249,163.562
0.4257,165.039
0.4265,163.013
0.4273,161.971
0.4281,162.682
0.4289,158.022
0.4297,156.745
0.4305,159.321
0.4313,160.396
0.4321,158.938
0.4329,158.504
0.4337,157.992
0.4345,158.356
0.4353,160.361
0.4361,163.989
0.4369,154.835
0.4377,151.802
0.4385,160.051
0.4393,170.174
0.4401,173.719
0.4409,177.479
0.4417,176.584
0.4425,168.18
0.4433,161.909
0.4441,164.813
0.4449,167.413
0.4457,160.305
0.4465,159.002
0.4473,159.945
0.4481,158.91
0.4489,154.2
0.4497,153.71
0.4505,156.978
0.4513,158.341
0.4521,156.706
0.4529,156.239
0.4537,155.874
0.4546,156.987
0.4553,155.72
0.4561,151.11
0.457,137.591
0.4578,132.215
0.4586,133.864
0.4594,136.398
0.4602,136.647
0.461,137.937
0.4618,138.609
0.4626,138.702
0.4634,139.551
0.4642,148.292
0.465,159.055
0.4658,159.378
0.4666,160.341
0.4674,160.977
0.4682,160.732
0.469,157.321
0.4698,157.251
0.4706,158.834
0.4714,159.79
0.4722,160.648
0.473,160.937
0.4738,160.906
0.4746,162.941
0.4754,163.807
0.4762,164.499
0.477,152.883
0.4778,148.931
0.4786,152.245
0.4794,156.157
0.4802,156.842
0.481,158.792
0.4818,159.55
0.4826,159.454
0.4834,160.179
0.4842,165.079
0.485,164.736
0.4858,159.702
0.4866,160.174
0.4874,164.191
0.4882,169.155
0.489,172.139
0.4898,176.13
0.4906,180.056
0.4914,180.792
0.4922,180.002
0.493,180.097
0.4938,179.506
0.4946,180.647
0.4954,182.922
0.4962,185.848
0.497,171.922
0.4978,165.324
0.4986,161.429
0.4994,156.76
0.5002,154.622
0.501,156.631
0.5018,157.888
0.5027,158.132
0.5035,159.077
0.5043,165.604
0.505,164.865
0.5059,153.126
0.5067,145.097
0.5075,143.779
0.5083,147.125
0.5091,152.778
