t,F
0.186000,157.326000
0.186800,153.649000
0.187600,146.428000
0.188400,141.826000
0.189200,142.397000
0.190000,148.152000
0.190800,155.007000
0.191600,159.320000
0.192400,161.902000
0.193200,162.028000
0.194000,165.718000
0.194800,156.461000
0.195600,150.053000
0.196400,152.091000
0.197200,156.236000
0.198000,158.043000
0.198800,160.142000
0.199600,161.113000
0.200500,160.883000
0.201300,160.617000
0.202100,165.647000
0.202900,168.247000
0.203700,162.420000
0.204500,163.112000
0.205300,165.024000
0.206100,166.082000
0.206900,163.439000
0.207700,159.019000
0.208500,160.417000
0.209300,162.059000
0.210100,159.590000
0.210900,159.437000
0.211700,159.285000
0.212500,159.675000
0.213300,159.854000
0.214100,161.868000
0.214900,152.426000
0.215700,147.729000
0.216500,150.387000
0.217300,154.495000
0.218100,155.644000
0.218900,159.112000
0.219700,165.782000
0.220500,174.273000
0.221300,179.267000
0.222100,186.073000
0.222900,186.858000
0.223700,174.046000
0.224500,163.709000
0.225300,160.388000
0.226100,158.925000
0.226900,155.583000
0.227700,154.691000
0.228500,155.523000
0.229300,156.449000
0.230100,156.242000
0.230900,156.173000
0.231700,156.677000
0.232500,158.524000
0.233300,159.305000
0.234100,161.401000
0.234900,150.658000
0.235700,146.864000
0.236500,149.865000
0.237300,149.451000
0.238100,142.789000
0.238900,141.353000
0.239700,146.377000
0.240500,154.632000
0.241300,160.125000
0.242100,167.893000
0.242900,167.367000
0.243700,162.370000
0.244500,162.078000
0.245300,162.665000
0.246100,160.891000
0.246900,157.465000
0.247700,157.333000
0.248500,159.944000
0.249300,161.041000
0.250200,159.901000
0.250900,159.433000
0.251700,162.066000
0.252600,164.528000
0.253300,162.925000
0.254200,161.694000
0.255000,152.613000
0.255800,149.813000
0.256600,153.205000
0.257400,156.666000
0.258200,156.213000
0.259000,158.327000
0.259800,158.840000
0.260600,158.214000
0.261400,159.100000
0.262200,165.429000
0.263000,164.789000
0.263800,160.089000
0.264600,160.011000
0.265400,160.134000
0.266200,157.967000
0.267000,156.159000
0.267800,156.508000
0.268600,159.673000
0.269400,164.177000
0.270200,171.780000
0.271000,176.833000
0.271800,180.194000
0.272600,182.561000
0.273400,180.077000
0.274200,169.855000
0.275000,152.699000
0.275800,149.327000
0.276600,152.325000
0.277400,155.279000
0.278200,156.331000
0.279000,157.720000
0.279800,158.397000
0.280600,158.564000
0.281400,160.275000
0.282200,166.928000
0.283000,162.978000
0.283800,159.502000
0.284600,160.488000
0.285400,160.156000
0.286200,157.229000
0.287000,152.492000
0.287800,144.612000
0.288600,140.017000
0.289400,140.237000
0.290200,143.737000
0.291000,152.234000
0.291800,159.089000
0.292600,164.147000
0.293400,168.055000
0.294200,168.116000
0.295000,156.586000
0.295800,154.603000
0.296600,155.810000
0.297400,158.484000
0.298200,159.811000
0.299100,162.313000
0.299900,161.931000
0.300700,161.304000
0.301500,162.972000
0.302300,169.552000
0.303100,166.807000
0.303900,164.478000
0.304700,164.070000
0.305500,165.071000
0.306300,163.869000
0.307100,160.664000
0.307900,160.028000
0.308700,160.328000
0.309500,159.687000
0.310300,159.516000
0.311100,159.224000
0.311900,160.634000
0.312700,160.731000
0.313500,161.499000
0.314300,160.457000
0.315100,150.026000
0.315900,149.198000
0.316700,152.782000
0.317500,155.502000
0.318300,156.502000
0.319100,160.739000
0.319900,168.210000
0.320700,175.825000
0.321500,180.902000
0.322300,188.434000
0.323100,183.978000
0.323900,178.956000
0.324700,171.056000
0.325500,163.143000
0.326300,158.084000
0.327100,154.653000
0.327900,154.487000
0.328700,159.241000
0.329500,158.221000
0.330300,157.347000
0.331100,157.091000
0.331900,158.593000
0.332700,159.347000
0.333500,161.430000
0.334300,158.099000
0.335100,148.264000
0.335900,148.069000
0.336700,152.009000
0.337500,148.286000
0.338300,141.547000
0.339100,140.608000
0.339900,143.541000
