t,F
0.2453,162.217
0.2461,165.608
0.2469,160.327
0.2477,150.679
0.2485,152.514
0.2493,157.932
0.2501,159.562
0.2509,161.321
0.2517,161.983
0.2525,161.595
0.2533,161.33
0.2541,163.911
0.2549,167.968
0.2557,164.354
0.2565,162.539
0.2573,163.184
0.2581,163.662
0.2589,157.315
0.2597,155.65
0.2605,156.515
0.2613,158.085
0.2621,157.822
0.2629,157.349
0.2637,157.323
0.2645,159.077
0.2653,158.57
0.2661,161.408
0.2669,157.037
0.2677,152.946
0.2685,162.787
0.2693,171.632
0.2701,173.868
0.2709,176.06
0.2717,176.194
0.2725,168.738
0.2733,161.741
0.2742,162.257
0.2749,165.342
0.2758,159.98
0.2766,159.128
0.2774,160.069
0.2782,158.566
0.279,154.62
0.2798,152.998
0.2806,155.373
0.2814,157.067
0.2822,156.824
0.283,157.019
0.2838,156.517
0.2846,157.792
0.2854,155.221
0.2862,149.432
0.287,141.188
0.2878,133.266
0.2886,141.303
0.2894,152.62
0.2902,157.114
0.291,159.153
0.2918,160.215
0.2926,160.002
0.2934,160.823
0.2942,168.666
0.295,175.949
0.2958,165.643
0.2966,162.619
0.2974,165.231
0.2982,164.429
0.299,158.102
0.2998,159.154
0.3006,160.669
0.3014,162.318
0.3022,161.681
0.303,161.709
0.3038,162.498
0.3046,165.819
0.3054,165.858
0.3062,165.271
0.307,156.542
0.3078,148.989
0.3086,151.231
0.3094,155.122
0.3102,155.877
0.311,157.07
0.3118,158.462
0.3126,158.702
0.3134,158.781
0.3142,163.286
0.315,165.117
0.3158,159.443
0.3166,159.847
0.3174,165.204
0.3182,171.994
0.3191,174.771
0.3199,176.687
0.3207,180.635
0.3215,180.737
0.3223,172.579
0.3231,163.799
0.3239,160.472
0.3247,161.723
0.3255,161.85
0.3263,163.164
0.3271,153.762
0.3279,147.861
0.3287,150.175
0.3295,153.466
0.3303,154.38
0.3311,156.438
0.3319,157.399
0.3327,157.218
0.3335,157.664
0.3343,163.72
0.3351,162.396
0.3359,148.379
0.3367,142.809
0.3375,145.597
0.3383,152.845
0.3391,155.44
0.3399,157.611
0.3407,160.023
0.3415,160.419
0.3423,160.048
0.3431,160.689
0.3439,161.611
0.3447,162.968
0.3455,163.816
0.3463,165.933
0.3471,155.465
0.3479,150.134
0.3487,154.479
0.3495,157.126
0.3503,157.553
0.3511,159.804
0.3519,160.306
0.3527,160.457
0.3535,161.28
0.3543,168.473
0.3551,168.261
0.3559,160.974
0.3567,159.87
0.3575,160.235
0.3583,157.959
0.3591,155.404
0.3599,155.591
0.3607,160.088
0.3615,161.112
0.3623,158.879
0.3631,158.631
0.3639,159.009
0.3647,161.667
0.3655,161.745
0.3663,163.446
0.3671,156.327
0.368,158.466
0.3687,167.344
0.3696,172.792
0.3704,174.818
0.3712,176.753
0.372,169.245
0.3728,161.44
0.3736,159.438
0.3744,164.572
0.3752,165.222
0.376,160.086
0.3768,160.432
0.3776,159.864
0.3784,157.134
0.3792,155.826
0.38,155.234
0.3808,157.259
0.3816,158.486
0.3824,158.112
0.3832,157.784
0.384,157.964
0.3848,158.105
0.3856,153.591
0.3864,148.247
0.3872,135.599
0.388,133.087
0.3888,142.034
0.3896,152.036
0.3904,156.221
0.3912,159.141
0.392,159.711
0.3928,159.857
0.3936,162.232
0.3944,174.752
0.3952,171.198
0.396,162.151
0.3968,163.434
0.3976,165.074
0.3984,161.362
0.3992,158.546
0.4,158.572
0.4008,160.877
0.4016,161.169
0.4024,160.548
0.4032,160.417
0.404,160.408
0.4048,161.455
0.4056,163.125
0.4064,162.781
0.4072,151.82
0.408,148.984
0.4088,152.839
0.4096,154.654
0.4104,154.869
0.4112,156.914
0.412,157.732
0.4128,157.445
0.4136,158.141
0.4144,164.811
0.4152,163.021
0.4161,159.085
0.4169,161.484
0.4177,169.23
0.4185,174.877
0.4193,174.97
0.4201,176.339
0.4209,179.221
0.4217,179.35
0.4225,174.894
0.4233,165.25
0.4241,160.132
0.4249,159.772
0.4257,160.387
0.4265,161.431
0.4273,150.86
0.4281,148.68
0.4289,152.402
0.4297,155.347
0.4305,156.132
0.4313,157.568
0.4321,157.411
0.4329,157.586
0.4337,159.44
0.4345,166.128
0.4353,158.918
0.4361,146.574
0.4369,144.534
0.4377,149.125
0.4385,154.801
0.4393,157.396
0.4401,158.785
0.4409,159.697
0.4417,160.987
0.4425,161.662
0.4433,162.209
0.4441,164.938
0.4449,164.739
0.4457,166.31
0.4465,167.381
0.4473,153.026
0.4481,151.838
0.4489,155.788
0.4497,158.318
0.4505,159.318
0.4513,161.461
0.4521,161.74
0.4529,161.722
0.4537,164.531
0.4545,173.306
0.4553,168.864
0.4561,163.254
0.4569,161.602
0.4577,160.117
0.4585,156.996
0.4593,155.039
0.4601,155.307
0.4609,157.163
0.4617,157.095
0.4625,157.408
0.4634,157.642
0.4642,159.551
0.465,160.684
0.4658,160.948
0.4666,160.111
0.4673,153.62
0.4682,160.391
0.469,170.144
0.4698,173.877
0.4706,175.285
0.4714,174.897
0.4722,165.419
0.473,159.234
0.4738,160.446
0.4746,167.599
0.4754,161.968
0.4762,158.604
0.477,159.674
0.4778,158.796
0.4786,155.058
0.4794,152.828
0.4802,154.692
0.481,157.862
0.4818,156.993
0.4826,156.804
0.4834,157.058
0.4842,157.629
0.485,156.985
0.4858,149.939
0.4866,140.738
0.4874,132.25
0.4882,132.485
0.489,140.633
0.4898,152.227
0.4906,157.894
0.4914,161.047
0.4922,161.584
0.493,161.715
0.4938,164.164
0.4946,167.26
0.4954,164.919
0.4962,162.777
0.497,162.502
0.4978,162.359
0.4986,157.682
0.4994,158.816
0.5002,160.33
0.501,162.095
0.5018,161.676
0.5026,161.608
0.5034,162.131
0.5042,163.818
0.505,164.238
0.5058,165.43
0.5066,161.052
0.5074,150.089
0.5082,150.036
0.509,154.311
0.5098,156.465
0.5106,157.624
0.5114,158.956
0.5122,159.017
0.513,158.557
0.5139,161.194
0.5146,168.093
0.5154,162.79
0.5163,160.927
0.5171,165.385
0.5179,171.915
0.5187,174.265
0.5195,176.623
0.5203,179.019
0.5211,183.012
0.5219,180.503
0.5227,176.72
0.5235,167.808
0.5243,162.819
0.5251,160.842
0.5259,161.871
0.5267,157.516
0.5275,147.778
0.5283,148.686
0.5291,153.214
0.5299,154.536
0.5307,155.043
0.5315,156.799
0.5323,157.102
0.5331,157.071
0.5339,160.267
0.5347,164.836
0.5355,152.932
0.5363,143.311
0.5371,140.272
0.5379,141.838
0.5387,147.382
0.5395,153.516
0.5403,157.178
0.5411,158.678
0.5419,159.195
0.5427,159.435
0.5435,160.445
0.5443,162.824
0.5451,162.823
0.5459,164.663
0.5467,158.871
0.5475,149.995
0.5483,151.139
0.5491,155.567
0.5499,158.122
0.5507,160.449
0.5515,160.99
0.5523,160.861
0.5531,160.108
0.5539,163.263
0.5547,166.978
0.5555,162.68
0.5563,160.873
0.5571,161.681
0.5579,162.32
0.5587,157.698
0.5595,156.652
0.5603,157.386
0.5611,158.386
0.5619,158.474
0.5627,158.766
0.5635,159.081
0.5643,160.804
0.5651,161.518
0.5659,163.988
0.5667,158.558
0.5675,155.232
0.5683,164.488
0.5691,171.508
0.57,174.482
0.5708,178.067
0.5732,178.348
0.574,165.628
0.5748,167.612
0.5756,159.525
0.5764,159.239
0.5772,160.224
0.578,158.928
0.5788,156.465
0.5796,155.416
0.5804,157.006
0.5812,158.757
0.582,158.397
0.5828,158.233
0.5836,158.05
0.5844,158.551
0.5852,155.267
0.586,148.786
0.5868,141.292
0.5876,137.503
0.5884,146.474
0.5892,154.82
0.59,156.987
0.5908,158.632
0.5916,159.596
0.5924,159.699
0.5932,160.056
0.594,164.985
0.5948,169.73
0.5956,163.437
0.5964,161.875
0.5972,162.601
0.598,163.079
0.5988,160.343
0.5996,158.432
0.6004,160.183
0.6012,161.811
0.602,160.99
0.6028,160.584
0.6036,160.452
0.6044,161.993
0.6052,164.888
0.606,165.819
0.6068,154.886
0.6076,147.372
0.6084,150.056
0.6092,153.837
0.61,154.958
0.6108,156.481
