t,F
0.441900,156.072000
0.442700,155.917000
0.443500,153.914000
0.444300,146.280000
0.445100,141.276000
0.445900,141.969000
0.446700,150.272000
0.447500,160.257000
0.448300,163.403000
0.449100,160.420000
0.449900,152.351000
0.450700,151.753000
0.451500,155.398000
0.452300,160.504000
0.453100,162.321000
0.453900,162.899000
0.454700,163.697000
0.455600,163.749000
0.456300,163.288000
0.457200,161.259000
0.458000,160.983000
0.458800,164.883000
0.459600,167.694000
0.460400,169.642000
0.461200,165.197000
0.462000,160.341000
0.462800,161.739000
0.463600,163.731000
0.464400,161.340000
0.465200,160.114000
0.466000,160.230000
0.466800,161.302000
0.467600,161.555000
0.468400,162.343000
0.469200,163.387000
0.470000,152.478000
0.470800,150.021000
0.471600,153.399000
0.472400,156.308000
0.473200,157.696000
0.474000,159.463000
0.474800,160.732000
0.475600,163.814000
0.476400,172.486000
0.477200,186.232000
0.478000,184.984000
0.478800,181.919000
0.479600,183.003000
0.480400,179.599000
0.481200,166.068000
0.482000,156.988000
0.482800,156.218000
0.483600,160.468000
0.484400,159.205000
0.485200,157.225000
0.486000,157.002000
0.486800,158.302000
0.487600,160.437000
0.488400,160.299000
0.489200,160.393000
0.490000,150.738000
0.490800,148.985000
0.491600,152.354000
0.492400,155.364000
0.493200,154.371000
0.494000,147.950000
0.494900,142.374000
0.495600,143.380000
0.496500,153.416000
0.497300,168.063000
0.498100,166.544000
0.498900,163.982000
0.499700,166.483000
0.500500,166.349000
0.501300,163.233000
0.502100,163.271000
0.502900,162.886000
0.503700,164.868000
0.504500,164.268000
0.505300,163.868000
0.506100,164.077000
0.506900,164.876000
0.507700,162.750000
0.508500,164.867000
0.509300,168.419000
0.510100,157.708000
0.510900,154.130000
0.511700,156.679000
0.512500,158.234000
0.513300,161.071000
0.514100,162.787000
0.514900,161.165000
0.515700,160.775000
0.516500,162.559000
0.517300,171.785000
0.518100,166.181000
0.518900,161.594000
0.519700,163.236000
0.520500,163.012000
0.521300,160.997000
0.522100,159.033000
0.522900,158.809000
0.523700,159.899000
0.524500,160.113000
0.525300,162.655000
0.526100,169.389000
0.526900,178.194000
0.527700,183.310000
0.528500,185.275000
0.529300,180.178000
0.530100,162.315000
0.530900,153.753000
0.531700,154.686000
0.532500,156.245000
0.533300,156.355000
0.534200,157.620000
0.535000,157.950000
0.535800,157.849000
0.536600,160.062000
0.537400,164.756000
0.538200,160.347000
0.539000,159.060000
0.539800,159.701000
0.540600,158.401000
0.541400,155.238000
0.542200,153.748000
0.543000,154.449000
0.543800,151.264000
0.544600,142.640000
0.545400,140.870000
0.546200,146.820000
0.547000,157.115000
0.547800,162.925000
0.548600,167.178000
0.549400,162.757000
0.550200,151.146000
0.551000,151.750000
0.551800,157.848000
0.552600,161.968000
0.553400,161.631000
0.554200,162.880000
0.555000,162.915000
0.555800,163.056000
0.556600,170.462000
0.557400,180.088000
0.558200,169.018000
0.559000,164.603000
0.559800,165.655000
0.560600,164.346000
0.561400,162.649000
0.562200,161.308000
0.563000,159.843000
0.563800,163.854000
0.564600,161.717000
0.565400,161.093000
0.566200,161.009000
0.567000,161.716000
0.567800,162.187000
0.568600,165.776000
0.569500,161.678000
