t,F
0.641400,159.049000
0.667100,157.565000
0.692800,159.265000
0.718400,157.561000
0.744100,158.991000
0.769700,158.069000
0.795400,158.573000
0.821100,158.493000
0.846700,158.440000
0.872400,158.423000
0.898000,158.682000
0.923700,158.124000
0.949400,158.605000
0.975000,158.501000
1.000700,158.295000
1.026300,159.152000
1.052000,157.852000
1.077700,159.282000
1.103300,157.812000
1.129000,158.923000
1.154600,158.143000
1.180300,158.933000
1.205900,157.935000
1.231600,159.315000
1.257300,157.581000
1.282900,159.823000
1.308600,157.264000
1.334200,159.491000
1.359900,157.654000
1.385500,159.056000
1.411200,157.968000
1.436900,159.233000
1.462500,157.710000
1.488200,159.490000
1.513800,157.373000
1.539500,159.592000
1.565100,157.632000
1.590700,159.304000
1.616400,158.214000
1.642000,158.867000
1.667700,158.300000
1.693300,158.930000
1.719000,157.881000
1.744600,159.145000
1.770300,158.077000
1.796000,159.104000
1.821600,158.457000
1.847300,158.614000
1.872900,159.141000
1.898600,158.304000
1.924200,158.825000
1.949900,158.619000
1.975600,158.912000
2.001200,158.696000
2.026900,158.997000
2.052500,158.285000
2.078200,159.519000
2.103800,158.337000
2.129500,160.531000
2.155200,158.083000
2.180800,159.585000
2.206500,158.146000
2.232100,159.278000
2.257800,157.429000
2.283400,160.192000
2.309100,158.229000
2.334700,159.974000
2.360400,157.588000
2.386000,159.491000
2.411700,152.700000
2.437300,156.028000
2.463000,158.417000
2.488600,158.704000
2.514300,157.468000
2.539900,158.738000
2.565600,156.883000
2.591200,159.242000
2.616900,157.324000
2.642500,158.477000
2.668200,157.525000
2.693900,158.950000
2.719500,158.335000
2.745200,158.386000
2.770800,158.050000
2.796500,158.652000
2.822100,157.969000
2.847800,158.638000
2.873500,158.393000
2.899100,158.161000
2.924800,158.862000
2.950400,157.794000
2.976100,159.015000
3.001800,157.917000
3.027400,158.773000
3.053100,158.222000
3.078700,158.881000
3.104400,157.949000
3.130000,159.273000
3.155700,157.225000
3.181400,159.611000
3.207000,157.569000
3.232700,159.560000
3.258300,157.795000
3.284000,159.065000
3.309600,157.912000
3.335300,159.180000
3.361000,157.514000
3.386600,159.503000
3.412300,157.370000
3.437900,159.510000
3.463600,157.668000
3.489200,159.287000
3.514900,158.125000
3.540600,158.789000
3.566200,158.077000
3.591900,159.175000
3.617500,157.913000
3.643200,159.160000
3.668900,158.094000
3.694500,158.966000
3.720200,158.367000
3.745800,158.351000
3.771500,158.826000
3.797100,158.255000
3.822800,158.761000
3.848500,158.518000
3.874100,158.678000
3.899800,158.482000
3.925400,158.728000
3.951100,158.220000
3.976700,159.541000
