t,F
0.410300,156.989000
0.436000,159.240000
0.461600,157.779000
0.487300,158.745000
0.512900,157.822000
0.538600,158.921000
0.564200,157.588000
0.589900,159.167000
0.615500,157.916000
0.641200,158.860000
0.666800,158.079000
0.692500,158.388000
0.718100,158.459000
0.743700,158.272000
0.769400,158.391000
0.795000,158.109000
0.820700,158.109000
0.846300,158.681000
0.872000,158.466000
0.897600,158.318000
0.923300,159.093000
0.948900,157.636000
0.974600,159.226000
1.000200,157.587000
1.025900,158.867000
1.051500,158.009000
1.077200,158.838000
1.102800,157.809000
1.128400,159.462000
1.154100,157.478000
1.179700,159.620000
1.205400,157.166000
1.231000,159.358000
1.256700,157.390000
1.282300,159.056000
1.308000,157.834000
1.333600,158.971000
1.359300,157.666000
1.384900,159.249000
1.410600,157.402000
1.436200,159.302000
1.461900,157.330000
1.487500,159.186000
1.513200,158.161000
1.538800,158.657000
1.564500,158.147000
1.590100,158.611000
1.615800,157.951000
1.641400,158.932000
1.667100,157.918000
1.692700,158.626000
1.718300,158.316000
1.744000,158.406000
1.769600,158.891000
1.795300,155.957000
1.820900,152.423000
1.846600,157.886000
1.872200,157.677000
1.897900,157.605000
1.923500,157.727000
1.949200,157.285000
1.974800,158.167000
2.000500,156.574000
2.026100,158.580000
2.051700,156.805000
2.077400,158.785000
2.103000,157.440000
2.128700,158.530000
2.154300,157.284000
2.180000,158.641000
2.205600,156.969000
2.231200,159.112000
2.256900,156.748000
2.282500,159.224000
2.308200,157.130000
2.333800,158.716000
2.359400,157.611000
2.385100,158.486000
2.410700,157.932000
2.436400,159.614000
2.462000,157.606000
2.487600,158.922000
2.513300,157.266000
2.538900,158.700000
2.564600,157.805000
2.590200,158.193000
2.615900,158.242000
2.641500,158.241000
2.667100,158.197000
2.692800,158.462000
2.718400,158.014000
2.744100,158.379000
2.769700,158.230000
2.795400,157.954000
2.821000,158.951000
2.846700,157.637000
2.872300,159.026000
2.898000,157.642000
2.923600,158.768000
2.949300,157.740000
2.974900,158.635000
3.000600,157.637000
3.026200,159.091000
3.051900,157.324000
3.077500,159.413000
3.103200,157.096000
3.128800,159.515000
3.154500,157.448000
3.180100,159.121000
3.205800,157.777000
3.231400,159.091000
3.257100,157.543000
3.282700,159.297000
3.308400,157.272000
3.334000,159.477000
3.359700,157.621000
3.385300,158.980000
3.411000,157.900000
3.436600,158.556000
3.462300,158.070000
3.487900,158.790000
3.513600,157.890000
3.539300,158.916000
3.564900,157.858000
3.590600,158.575000
3.616200,158.145000
3.641900,158.810000
3.667500,158.871000
3.693200,158.055000
3.718800,158.720000
3.744500,158.365000
3.770100,158.593000
3.795800,158.289000
3.821400,158.663000
3.847100,157.767000
3.872700,159.038000
3.898400,157.465000
3.924000,159.347000
3.949700,157.397000
3.975300,159.193000
4.001000,157.707000
4.026700,158.994000
4.052300,157.884000
4.078000,159.258000
4.103600,157.422000
4.129300,159.744000
4.154900,157.277000
4.180600,159.510000
4.206200,157.557000
4.231900,159.124000
4.257500,157.910000
4.283200,158.396000
4.308800,152.141000
4.334500,156.549000
4.360100,157.540000
4.385800,158.177000
4.411400,156.268000
4.437100,159.095000
4.462800,157.412000
4.488400,157.925000
4.514100,157.759000
4.539700,157.878000
4.565400,157.524000
4.591000,158.129000
4.616700,157.509000
4.642300,158.192000
4.668000,157.919000
4.693700,157.710000
4.719300,158.558000
4.745000,157.538000
4.770600,158.708000
4.796300,157.756000
4.821900,158.562000
4.847600,158.040000
4.873200,158.480000
4.898900,157.644000
4.924500,158.934000
4.950200,157.159000
4.975800,159.182000
5.001500,156.952000
5.027100,159.037000
5.052800,157.367000
5.078400,158.754000
5.104100,157.621000
5.129700,159.085000
5.155400,157.637000
5.181000,159.388000
5.206700,157.218000
5.232300,159.255000
5.258000,157.280000
5.283600,159.063000
5.309300,157.857000
5.334900,158.659000
5.360600,158.014000
5.386200,158.797000
5.411900,157.614000
5.437500,158.942000
5.463200,157.484000
5.488800,158.758000
5.514500,158.120000
5.540100,158.366000
5.565800,158.508000
5.591400,158.148000
5.617100,158.550000
5.642700,158.333000
5.668400,158.231000
5.694000,158.476000
5.719700,158.365000
5.745300,158.168000
5.771000,159.068000
5.796600,157.523000
5.822300,159.255000
5.847900,157.743000
5.873600,159.104000
5.899200,158.043000
5.924800,158.997000
5.950500,157.820000
5.976100,159.251000
6.001800,157.303000
6.027400,159.470000
6.053100,157.053000
6.078700,159.412000
6.104400,157.382000
6.130000,159.021000
6.155700,157.877000
6.181300,158.812000
6.207000,157.456000
6.232600,159.260000
6.258300,157.257000
6.283900,159.291000
6.309500,157.397000
6.335200,158.899000
6.360800,157.835000
6.386500,158.297000
6.412100,157.883000
6.437800,158.503000
6.463400,157.875000
6.489000,158.727000
6.514700,157.863000
6.540300,158.670000
6.566000,158.387000
6.591600,158.324000
6.617300,159.015000
6.642900,157.933000
6.668500,159.130000
6.694200,158.072000
6.719800,158.891000
6.745500,158.254000
6.771100,158.768000
6.796800,154.751000
6.822400,153.554000
6.848000,157.967000
6.873700,158.804000
6.899300,156.847000
6.925000,158.645000
6.950600,157.151000
6.976300,158.330000
7.001900,157.221000
7.027600,158.560000
7.053200,157.040000
7.078900,159.083000
7.104500,156.979000
7.130100,159.109000
7.155800,157.297000
7.181400,158.686000
7.207100,157.589000
7.232700,158.468000
7.258400,157.698000
7.284000,158.806000
7.309700,157.376000
7.335300,159.093000
7.361000,157.538000
7.386600,158.698000
7.412300,157.900000
7.437900,158.254000
7.463600,158.402000
7.489200,158.116000
7.514900,158.660000
7.540500,158.998000
7.566200,158.712000
7.591800,158.478000
7.617500,158.272000
7.643100,157.885000
7.668800,158.904000
7.694400,157.399000
7.720100,159.031000
7.745800,157.541000
7.771400,158.854000
7.797100,157.787000
7.822700,158.984000
7.848400,157.813000
7.874000,159.054000
7.899700,157.345000
7.925300,159.471000
7.951000,157.140000
7.976600,159.564000
8.002300,157.592000
8.027900,159.030000
8.053600,157.685000
8.079200,158.815000
8.104900,157.633000
8.130500,159.393000
8.156200,157.705000
8.181800,159.330000
8.207500,157.540000
8.233100,159.005000
8.258800,157.961000
8.284400,158.495000
8.310100,158.338000
8.335700,158.586000
8.361400,158.208000
8.387000,158.799000
8.412700,158.025000
8.438300,158.722000
8.464000,158.398000
8.489600,158.038000
8.515300,158.906000
8.540900,158.169000
8.566600,159.087000
8.592200,158.113000
8.617800,158.770000
8.643500,158.298000
8.669100,158.766000
8.694800,157.868000
8.720400,159.397000
8.746100,157.509000
8.771700,159.620000
8.797400,157.445000
8.823000,159.531000
8.848700,157.774000
8.874300,159.053000
8.899900,157.946000
8.925600,159.291000
8.951200,157.647000
8.976900,159.561000
9.002500,157.237000
9.028200,159.629000
9.053800,157.620000
9.079400,159.123000
9.105100,158.055000
9.130700,158.907000
9.156400,158.209000
9.182000,159.044000
9.207700,157.818000
9.233300,159.373000
9.259000,157.837000
9.284600,157.766000
9.310200,151.704000
9.335900,157.364000
9.361500,158.180000
9.387200,157.580000
9.412800,157.604000
9.438500,157.884000
9.464100,157.582000
9.489700,158.027000
9.515400,157.860000
9.541000,157.505000
9.566700,158.407000
9.592300,157.067000
9.618000,158.630000
9.643600,157.421000
9.669300,158.451000
9.694900,157.609000
9.720500,158.588000
9.746200,157.641000
9.771800,158.883000
9.797500,157.052000
9.823100,159.332000
9.848800,157.150000
9.874400,159.131000
9.900100,157.367000
9.925700,158.642000
9.951400,157.614000
9.977000,158.791000
10.002700,157.388000
10.028300,159.247000
10.054000,157.278000
10.079600,159.233000
10.105300,157.362000
10.130900,158.796000
10.156500,158.206000
10.182200,158.621000
10.207800,158.114000
10.233500,158.268000
10.259100,157.708000
10.284800,158.905000
10.310400,157.920000
10.336100,158.522000
10.361700,158.262000
10.387400,158.114000
10.413000,158.701000
10.438700,157.763000
10.464300,158.784000
10.489900,158.038000
10.515600,158.411000
10.541200,158.124000
10.566900,158.747000
10.592500,157.863000
10.618200,159.255000
10.643800,157.693000
10.669500,159.476000
10.695100,157.311000
10.720800,159.277000
10.746400,157.824000
10.772100,158.972000
10.797700,157.709000
10.823400,159.404000
10.849000,157.479000
10.874700,159.494000
10.900300,157.274000
10.926000,159.494000
10.951600,157.619000
10.977300,158.953000
11.002900,157.902000
11.028600,158.821000
11.054200,157.814000
11.079800,159.089000
11.105500,157.681000
11.131100,159.346000
11.156800,158.091000
11.182400,158.900000
11.208000,157.943000
11.233700,158.450000
11.259300,158.666000
11.285000,158.439000
11.310600,158.515000
11.336300,158.497000
11.361900,158.282000
11.387600,158.572000
11.413200,158.565000
11.438800,158.041000
11.464500,159.034000
11.490100,157.673000
11.515800,159.305000
11.541400,157.890000
11.567100,159.030000
11.592700,158.055000
11.618400,158.959000
11.644000,157.845000
11.669600,159.226000
11.695300,157.301000
11.720900,159.543000
11.746600,157.364000
11.772200,159.329000
11.797900,153.024000
11.823500,154.974000
11.849200,157.963000
11.874800,158.164000
11.900500,156.839000
11.926100,158.675000
11.951700,156.641000
11.977400,158.659000
12.003000,156.762000
12.028700,158.443000
12.054300,157.461000
12.080000,157.971000
12.105600,157.583000
12.131300,158.318000
12.156900,157.642000
12.182600,158.493000
12.208200,157.374000
12.233900,158.359000
12.259500,157.906000
12.285200,158.021000
12.310800,158.358000
12.336400,157.728000
12.362100,158.436000
12.387700,157.806000
12.413400,158.110000
12.439000,158.039000
12.464700,158.344000
12.490300,157.683000
12.516000,158.839000
12.541600,157.245000
12.567300,159.297000
12.592900,157.276000
12.618600,159.300000
12.644200,158.362000
12.669900,159.298000
12.695500,157.627000
12.721200,158.913000
12.746800,157.311000
12.772400,159.286000
12.798100,156.872000
12.823700,159.464000
12.849300,157.534000
12.875000,158.896000
12.900600,157.788000
12.926300,158.740000
12.951900,157.786000
12.977600,159.057000
13.003200,157.536000
13.028800,159.276000
13.054500,157.815000
13.080100,158.837000
13.105800,158.091000
13.131400,158.296000
13.157100,158.645000
13.182700,158.349000
13.208400,158.272000
13.234000,158.523000
13.259600,158.151000
13.285300,158.583000
13.310900,158.541000
13.336600,158.009000
13.362200,159.106000
13.387900,157.731000
13.413500,159.077000
13.439200,157.917000
13.464800,158.994000
13.490500,157.980000
13.516100,158.730000
13.541800,157.735000
13.567400,159.391000
13.593100,157.374000
13.618700,159.596000
13.644400,157.336000
13.670000,159.375000
13.695700,157.575000
13.721300,158.981000
13.747000,157.873000
13.772600,159.208000
13.798200,157.660000
13.823900,159.755000
13.849500,157.455000
13.875200,159.565000
13.900800,157.695000
13.926500,158.971000
13.952200,158.016000
13.977800,158.599000
14.003400,157.906000
14.029100,159.273000
14.054800,158.338000
14.080400,160.049000
14.106100,158.359000
14.131700,158.899000
14.157400,158.604000
14.183000,158.284000
14.208700,158.877000
14.234300,158.194000
14.260000,158.814000
14.285600,156.229000
14.311300,152.179000
14.336900,158.471000
