t,F
0.025600,156.536000
0.051300,158.023000
0.076900,156.696000
0.102600,158.335000
0.128200,156.474000
0.153900,158.032000
0.179600,156.378000
0.205200,158.436000
0.230900,156.521000
0.256500,158.373000
0.282200,156.823000
0.307900,158.116000
0.333500,156.776000
0.359200,158.015000
0.384800,156.664000
0.410500,157.840000
0.436200,156.639000
0.461800,158.125000
0.487500,156.863000
0.513200,157.817000
0.538800,157.070000
0.564500,157.665000
0.590100,157.806000
0.615800,157.882000
0.641500,157.062000
0.667100,157.355000
0.692800,157.322000
0.718500,157.112000
0.744100,157.621000
0.769800,156.877000
0.795500,157.215000
0.821100,156.762000
0.846800,157.558000
0.872400,156.916000
0.898100,157.988000
0.923800,156.880000
0.949500,158.027000
0.975100,156.520000
1.000800,157.935000
1.026500,156.509000
1.052100,158.055000
1.077800,156.310000
1.103400,158.292000
1.129100,156.644000
1.154800,158.157000
1.180500,156.377000
1.206100,158.513000
1.231800,156.926000
1.257500,158.101000
1.283100,156.307000
1.308800,158.203000
1.334500,157.935000
1.360200,158.425000
1.385800,156.681000
1.411500,157.690000
1.437200,156.961000
1.462800,157.803000
1.488500,156.930000
1.514200,157.658000
1.539800,157.659000
1.565500,156.965000
1.591200,151.530000
1.616800,156.755000
1.642500,156.906000
1.668200,156.404000
1.693800,156.519000
1.719500,156.411000
1.745200,156.816000
1.770800,156.178000
1.796500,157.133000
1.822200,156.419000
1.847800,157.383000
1.873500,156.083000
1.899100,157.549000
1.924800,156.421000
1.950500,157.599000
1.976100,155.824000
2.001800,157.627000
2.027500,155.069000
2.053100,157.991000
2.078800,156.201000
2.104500,157.611000
2.130100,155.886000
2.155800,157.680000
2.181500,155.533000
2.207100,157.605000
2.232800,155.839000
2.258500,157.574000
2.284100,155.634000
2.309800,157.553000
2.335500,156.280000
2.361100,157.493000
2.386800,155.948000
2.412500,157.347000
2.438100,156.333000
2.463800,157.383000
2.489500,156.402000
2.515200,157.169000
2.540800,156.709000
2.566500,157.172000
2.592200,156.734000
2.617800,157.079000
2.643500,156.963000
2.669200,156.518000
2.694800,157.012000
2.720500,157.017000
2.746200,157.833000
2.771800,156.806000
2.797500,157.539000
2.823200,156.913000
2.848800,158.144000
2.874500,156.413000
2.900200,157.855000
2.925800,156.419000
2.951500,158.258000
2.977200,156.126000
3.002800,158.041000
3.028500,156.604000
3.054200,158.230000
3.079900,155.953000
3.105500,157.968000
3.131200,156.388000
3.156900,158.119000
3.182500,156.139000
3.208200,157.992000
3.233900,156.357000
3.259600,157.661000
3.285200,156.204000
3.310900,157.850000
3.336500,156.396000
3.362200,157.538000
3.387900,156.356000
3.413500,157.676000
3.439200,156.641000
3.464900,157.274000
3.490500,156.607000
3.516200,157.066000
3.541900,156.995000
3.567500,157.042000
3.593200,157.093000
3.618800,157.001000
3.644500,157.269000
3.670100,156.438000
3.695800,157.398000
3.721400,156.705000
3.747100,157.646000
3.772800,156.402000
3.798400,157.784000
3.824100,156.578000
3.849800,157.647000
3.875400,156.073000
3.901100,158.016000
3.926700,156.468000
3.952400,158.339000
3.978100,156.241000
4.003700,158.025000
4.029400,156.256000
4.055100,157.688000
4.080700,150.952000
4.106400,155.112000
4.132000,156.790000
4.157700,157.413000
4.183400,155.764000
4.209000,157.578000
4.234700,156.258000
4.260400,157.202000
4.286000,155.901000
4.311700,157.220000
4.337400,156.430000
4.363100,157.066000
4.388700,156.938000
4.414400,157.760000
4.440100,156.866000
4.465700,156.652000
4.491400,156.877000
4.517100,156.846000
4.542700,157.073000
4.568400,156.559000
4.594100,157.063000
4.619700,156.758000
4.645400,157.603000
4.671100,156.281000
4.696700,157.510000
4.722400,156.361000
4.748000,157.832000
4.773700,156.580000
4.799400,158.005000
4.825100,156.407000
4.850700,157.853000
4.876400,156.021000
4.902000,157.732000
4.927700,156.484000
4.953400,157.742000
4.979100,156.104000
5.004700,157.633000
5.030400,156.407000
5.056100,157.828000
5.081700,156.648000
5.107400,157.679000
5.133100,156.804000
5.158800,157.678000
5.184400,156.712000
5.210100,157.449000
5.235800,157.021000
5.261400,157.468000
5.287100,156.920000
5.312800,157.462000
5.338400,157.699000
5.364100,157.359000
5.389800,157.370000
5.415400,157.145000
5.441100,157.922000
5.466800,156.971000
5.492400,157.318000
5.518100,156.698000
5.543800,157.807000
5.569400,156.779000
5.595100,157.647000
5.620800,156.638000
5.646400,158.296000
5.672100,156.418000
5.697800,157.874000
5.723400,156.663000
5.749100,158.256000
5.774800,156.233000
5.800400,157.880000
5.826100,156.516000
5.851800,158.377000
5.877400,156.563000
5.903100,158.129000
5.928700,156.830000
5.954400,158.112000
5.980100,156.590000
6.005800,157.827000
6.031400,156.867000
6.057100,158.258000
6.082800,156.832000
6.108400,157.724000
6.134100,157.247000
6.159800,157.828000
6.185400,156.941000
