t,F
0.615700,157.398000
0.641400,158.563000
0.667000,157.259000
0.692700,158.795000
0.718400,157.166000
0.744000,159.210000
0.769700,156.962000
0.795300,158.839000
0.821000,157.430000
0.846600,158.336000
0.872300,157.666000
0.897900,158.349000
0.923600,157.783000
0.949200,158.674000
0.974900,157.535000
1.000500,158.735000
1.026200,157.823000
1.051800,158.125000
1.077500,158.191000
1.103100,157.934000
1.128800,158.613000
1.154400,157.950000
1.180100,158.349000
1.205700,158.131000
1.231400,158.232000
1.257000,157.754000
1.282700,158.578000
1.308400,157.469000
1.334000,159.232000
1.359700,157.444000
1.385300,159.123000
1.410900,157.395000
1.436600,158.842000
1.462300,157.549000
1.487900,158.822000
1.513600,158.048000
1.539200,160.256000
1.564900,157.435000
1.590500,159.369000
1.616200,157.169000
1.641800,159.005000
1.667500,157.424000
1.693100,158.826000
1.718800,157.816000
1.744400,158.952000
1.770100,157.613000
1.795700,159.094000
1.821400,157.467000
1.847000,158.872000
1.872700,157.597000
1.898300,158.523000
1.924000,158.291000
1.949600,158.233000
1.975200,158.158000
2.000900,158.309000
2.026500,157.891000
2.052200,158.316000
2.077800,157.929000
2.103500,158.223000
2.129100,158.467000
2.154800,157.624000
2.180400,158.869000
2.206100,157.406000
2.231700,158.763000
2.257300,157.746000
2.283000,158.544000
2.308700,157.922000
2.334300,158.783000
2.360000,153.954000
2.385600,154.081000
2.411300,157.551000
2.436900,158.630000
2.462600,156.566000
2.488200,158.232000
2.513900,157.117000
2.539500,158.175000
2.565200,157.104000
2.590800,158.511000
2.616500,156.752000
2.642100,158.833000
2.667800,156.660000
2.693400,158.568000
2.719100,157.016000
2.744700,158.142000
2.770400,157.475000
2.796000,158.123000
2.821700,157.375000
2.847300,158.485000
2.873000,157.328000
2.898700,158.377000
2.924300,157.349000
2.950000,158.142000
2.975600,158.044000
3.001300,157.705000
3.026900,158.261000
3.052600,157.778000
3.078300,158.125000
3.103900,157.902000
3.129600,157.838000
3.155200,157.779000
3.180900,158.400000
3.206500,157.462000
3.232200,159.066000
3.257800,157.109000
3.283500,158.970000
3.309200,157.450000
3.334800,158.747000
3.360500,157.695000
3.386100,158.759000
3.411800,157.422000
3.437400,159.185000
