t,F
0.025700,158.088000
0.051300,157.486000
0.077000,158.062000
0.102700,157.120000
0.128300,158.859000
0.154000,156.538000
0.179700,158.467000
0.205300,157.358000
0.231000,157.983000
0.256700,156.305000
0.282300,158.683000
0.308000,157.052000
0.333700,158.294000
0.359300,156.806000
0.385000,158.097000
0.410700,156.956000
0.436300,158.608000
0.462000,156.810000
0.487600,158.817000
0.513300,156.794000
0.539000,158.399000
0.564700,156.819000
0.590300,158.359000
0.616000,157.987000
0.641700,158.274000
0.667300,157.408000
0.693000,158.435000
0.718700,157.426000
0.744300,158.527000
0.770000,157.400000
0.795700,158.014000
0.821300,158.474000
0.847000,157.657000
0.872700,158.195000
0.898300,157.633000
0.924000,158.049000
0.949700,157.693000
0.975300,157.704000
1.001000,157.807000
1.026600,158.879000
1.052300,157.141000
1.078000,158.618000
1.103600,153.605000
1.129300,152.924000
1.154900,157.333000
1.180600,157.502000
1.206300,156.927000
1.231900,157.865000
1.257600,156.344000
1.283300,158.082000
1.308900,156.272000
1.334600,158.446000
1.360200,156.351000
1.385900,157.969000
1.411600,156.939000
1.437200,157.852000
1.462900,156.835000
1.488600,157.991000
1.514200,156.447000
1.539900,158.151000
1.565500,156.588000
1.591200,157.862000
1.616900,157.017000
1.642500,157.811000
1.668200,157.276000
1.693800,157.428000
1.719500,157.476000
1.745100,157.673000
1.770800,157.247000
1.796500,157.904000
1.822100,157.601000
1.847800,157.331000
1.873400,157.857000
1.899100,157.324000
1.924700,158.251000
1.950400,156.877000
1.976100,158.171000
2.001700,157.449000
2.027400,158.010000
2.053000,157.293000
2.078700,158.312000
2.104400,156.892000
2.130000,158.856000
2.155700,156.555000
2.181400,159.019000
2.207000,157.254000
2.232700,158.546000
2.258400,157.176000
2.284000,158.609000
2.309700,157.190000
2.335300,158.531000
2.361000,156.664000
2.386700,158.833000
2.412300,156.995000
2.438000,158.522000
2.463600,157.009000
2.489300,157.943000
2.515000,157.380000
2.540600,157.981000
2.566300,157.630000
2.592000,158.476000
2.617600,157.368000
2.643300,158.310000
2.668900,157.500000
2.694600,157.619000
2.720300,158.238000
2.745900,157.639000
2.771600,158.311000
2.797300,157.639000
2.822900,158.636000
2.848600,158.532000
2.874200,158.404000
2.899900,157.885000
2.925500,158.673000
2.951200,156.982000
2.976900,158.949000
3.002500,156.943000
3.028200,158.799000
3.053900,157.199000
3.079500,158.779000
3.105200,157.766000
3.130800,158.628000
3.156500,156.832000
3.182100,158.678000
3.207800,157.098000
3.233500,159.378000
3.259100,156.994000
3.284800,158.689000
3.310500,157.480000
3.336100,158.266000
3.361800,157.210000
3.387500,158.375000
3.413100,157.191000
3.438800,158.977000
3.464500,157.272000
3.490100,158.683000
3.515800,157.607000
3.541500,158.198000
3.567100,158.206000
3.592800,156.468000
3.618400,151.581000
3.644100,157.156000
3.669800,156.937000
3.695500,157.505000
3.721100,156.965000
3.746800,156.913000
3.772500,157.545000
3.798100,156.994000
3.823800,158.126000
3.849500,156.671000
3.875100,157.809000
3.900800,156.968000
3.926500,157.792000
3.952100,157.258000
3.977800,158.116000
4.003500,156.463000
4.029200,158.661000
4.054800,156.393000
4.080500,158.678000
4.106200,156.540000
4.131800,157.866000
4.157500,156.959000
4.183200,158.407000
4.208800,157.653000
4.234500,158.452000
4.260200,156.490000
4.285800,158.574000
4.311500,156.642000
4.337200,158.309000
4.362800,157.078000
4.388500,158.141000
4.414200,157.572000
4.439800,157.847000
4.465500,157.438000
4.491200,158.117000
4.516800,157.318000
4.542500,158.629000
4.568200,157.652000
4.593800,157.867000
4.619500,158.076000
4.645200,157.285000
4.670900,158.130000
4.696500,157.271000
4.722200,157.987000
4.747900,157.625000
4.773500,157.811000
4.799200,157.603000
4.824900,158.533000
4.850500,156.814000
4.876200,158.894000
4.901800,156.953000
4.927500,158.928000
4.953200,157.318000
4.978900,158.595000
5.004500,157.568000
5.030200,158.844000
5.055900,157.007000
5.081500,158.568000
5.107200,156.627000
5.132800,159.002000
5.158500,156.925000
5.184200,158.631000
5.209800,157.339000
5.235500,158.169000
5.261200,157.269000
5.286800,158.264000
5.312500,156.957000
5.338200,158.365000
5.363800,157.007000
5.389500,158.325000
5.415200,157.459000
5.440800,157.647000
5.466500,158.021000
5.492200,157.753000
5.517800,158.087000
5.543500,157.829000
5.569200,157.775000
5.594800,157.996000
