t,F
0.025700,157.522000
0.051300,158.989000
0.077000,157.857000
0.102600,158.521000
0.128300,158.387000
0.154000,158.061000
0.179600,158.424000
0.205300,158.160000
0.230900,158.304000
0.256600,158.540000
0.282200,158.185000
0.307900,158.121000
0.333600,158.679000
0.359200,157.621000
0.384900,159.123000
0.410600,157.561000
0.436200,159.105000
0.461900,157.747000
0.487500,158.916000
0.513200,157.874000
0.538800,158.740000
0.564500,157.331000
0.590200,159.244000
0.615800,157.191000
0.641500,159.656000
0.667100,157.412000
0.692800,159.215000
0.718500,157.846000
0.744100,158.938000
0.769800,157.776000
0.795400,159.031000
0.821100,157.606000
0.846800,159.462000
0.872400,157.394000
0.898100,159.114000
0.923700,157.689000
0.949400,158.927000
0.975000,158.277000
1.000700,158.503000
1.026300,158.308000
1.052000,158.718000
1.077700,158.043000
1.103300,158.886000
1.129000,158.192000
1.154600,158.513000
1.180300,158.761000
1.206000,158.036000
1.231600,158.996000
1.257300,155.611000
1.282900,152.497000
1.308600,158.421000
1.334300,157.836000
1.359900,157.468000
1.385600,158.092000
1.411200,157.006000
1.436900,158.566000
1.462600,156.619000
1.488200,158.678000
1.513900,156.978000
1.539500,158.468000
1.565200,157.344000
1.590900,158.359000
1.616500,157.127000
1.642200,158.695000
1.667800,156.699000
1.693500,159.036000
1.719100,156.982000
1.744800,158.921000
1.770500,157.357000
1.796100,158.464000
1.821800,157.666000
1.847400,158.430000
1.873100,157.348000
1.898700,158.864000
1.924400,157.362000
1.950000,159.148000
1.975700,157.715000
2.001400,158.380000
2.027000,158.095000
2.052700,157.887000
2.078400,158.210000
2.104000,158.197000
2.129700,158.046000
2.155300,158.360000
2.181000,158.109000
2.206700,158.164000
2.232300,158.522000
2.258000,157.481000
2.283700,158.989000
2.309300,157.448000
2.335000,159.106000
2.360700,157.829000
2.386300,158.450000
2.412000,156.979000
2.437600,158.516000
2.463300,156.785000
2.489000,158.606000
2.514600,156.970000
2.540300,158.849000
2.566000,157.020000
2.591600,158.683000
2.617300,156.971000
2.643000,158.663000
2.668600,156.866000
2.694300,158.658000
2.719900,157.196000
2.745600,158.719000
2.771200,157.222000
2.796900,158.423000
2.822500,157.285000
2.848200,158.315000
2.873900,157.290000
2.899500,158.256000
2.925200,157.552000
2.950800,158.337000
2.976500,157.576000
3.002200,157.833000
3.027800,157.625000
3.053500,157.640000
3.079100,157.604000
3.104800,157.618000
3.130500,157.693000
3.156100,157.420000
3.181800,157.888000
3.207400,157.287000
3.233100,158.015000
3.258800,157.118000
3.284400,158.256000
3.310100,157.233000
3.335800,158.516000
3.361400,157.173000
3.387100,158.613000
3.412700,157.030000
3.438400,158.658000
3.464100,156.875000
3.489700,158.736000
3.515400,157.098000
3.541000,158.929000
3.566700,157.227000
3.592400,158.908000
3.618000,157.215000
3.643700,158.845000
3.669300,157.170000
3.695000,158.906000
3.720700,157.396000
3.746300,157.903000
3.772000,151.102000
3.797600,156.354000
3.823300,157.298000
3.849000,157.667000
3.874600,156.805000
3.900300,157.687000
3.926000,157.022000
3.951600,157.801000
3.977300,157.250000
4.003000,157.455000
4.028600,157.286000
4.054300,157.476000
4.079900,157.580000
4.105600,157.329000
4.131300,157.872000
4.156900,157.265000
4.182600,158.047000
4.208200,156.988000
4.233900,158.055000
4.259600,156.872000
4.285200,158.277000
4.310900,156.999000
4.336500,158.558000
4.362200,156.904000
4.387900,158.443000
4.413500,156.792000
4.439200,158.411000
4.464800,156.604000
4.490500,158.473000
4.516100,156.827000
4.541800,158.627000
4.567400,156.871000
4.593100,158.510000
4.618700,156.810000
4.644400,158.428000
4.670000,156.930000
4.695700,158.495000
4.721300,157.018000
4.747000,158.728000
4.772600,157.897000
4.798300,158.460000
4.823900,157.202000
4.849600,157.886000
4.875200,157.263000
4.900900,157.875000
4.926600,157.377000
4.952200,157.822000
4.977900,157.612000
5.003500,157.524000
5.029200,157.707000
5.054900,157.356000
5.080500,158.408000
5.106200,158.135000
5.131800,158.310000
5.157500,158.045000
5.183200,158.645000
5.208800,157.432000
5.234500,159.102000
5.260200,157.073000
5.285800,159.219000
5.311500,157.427000
5.337200,158.910000
5.362800,157.707000
5.388500,158.716000
5.414100,157.408000
5.439800,159.142000
5.465400,156.870000
5.491100,159.293000
5.516800,157.103000
5.542400,159.014000
5.568100,157.526000
5.593700,158.623000
5.619400,157.708000
5.645100,158.700000
5.670700,157.518000
5.696400,159.010000
5.722100,157.482000
5.747700,158.824000
5.773400,157.736000
5.799000,158.396000
5.824700,158.234000
5.850400,157.958000
5.876000,158.340000
