t,F
0.282200,158.624000
0.307900,157.216000
0.333500,158.925000
0.359200,157.191000
0.384800,159.083000
0.410500,157.429000
0.436100,158.849000
0.461800,157.825000
0.487400,159.010000
0.513100,157.607000
0.538800,159.507000
0.564400,157.267000
0.590100,159.577000
0.615700,157.322000
0.641400,159.271000
0.667000,158.185000
0.692700,159.297000
0.718300,157.965000
0.744000,159.261000
0.769600,157.828000
0.795300,159.423000
0.820900,157.674000
0.846600,159.504000
0.872200,158.065000
0.897900,159.115000
0.923500,158.503000
0.949200,158.804000
0.974900,158.420000
1.000500,158.791000
1.026200,158.093000
1.051800,159.299000
1.077500,158.106000
1.103100,158.475000
1.128800,158.487000
1.154400,157.840000
1.180100,158.696000
1.205700,157.686000
1.231400,158.349000
1.257000,157.792000
1.282700,158.181000
1.308300,157.672000
1.334000,158.491000
1.359700,157.361000
1.385300,159.053000
1.411000,156.719000
1.436600,158.472000
1.462300,157.333000
1.487900,159.231000
1.513600,157.056000
1.539200,159.588000
1.564900,157.341000
1.590500,159.186000
1.616200,157.618000
1.641800,158.835000
1.667500,157.945000
1.693200,159.194000
1.718800,157.235000
1.744500,158.918000
1.770100,158.185000
1.795800,158.822000
1.821400,157.894000
1.847100,159.138000
1.872700,157.623000
1.898400,158.231000
1.924000,157.665000
1.949700,158.172000
1.975300,157.845000
2.001000,157.920000
2.026600,157.936000
2.052300,158.046000
2.078000,158.794000
2.103600,158.663000
2.129300,158.471000
2.154900,157.650000
2.180600,158.376000
2.206300,157.491000
2.231900,158.550000
2.257600,157.400000
2.283200,158.683000
2.308900,157.325000
2.334500,158.799000
2.360200,157.257000
2.385900,158.802000
2.411500,156.948000
2.437200,158.876000
2.462800,157.273000
2.488500,158.952000
2.514200,157.255000
2.539800,158.889000
2.565500,157.263000
2.591200,158.612000
2.616800,157.119000
2.642500,159.409000
2.668100,158.129000
2.693800,158.395000
2.719400,152.519000
2.745100,157.095000
2.770800,158.157000
2.796400,158.531000
2.822100,157.191000
2.847700,158.690000
2.873400,157.552000
2.899000,158.127000
2.924700,158.065000
2.950300,157.855000
2.976000,158.434000
3.001700,158.115000
3.027300,158.137000
3.053000,158.370000
3.078600,158.250000
3.104300,158.228000
3.130000,158.816000
3.155600,157.575000
3.181300,159.210000
3.206900,157.579000
3.232600,159.081000
3.258300,157.753000
3.283900,158.736000
